"Type","Gauge","Railway","Works no.","Year","Builder"
"0-4-0+0-4-0","4 ft 8½ in","Guest, Keen & Baldwins","6779","1934","Beyer, Peacock"
"0-4-0+0-4-0","4 ft 8½ in","Sneyd Colliery, Burslem","6729","1931","Beyer, Peacock"
"0-4-0+0-4-0","4 ft 8½ in","Vivian & Sons (British Copper/ICI)","6172","1924","Beyer, Peacock"
"0-6-0+0-6-0","750 mm","C.F. du Congo","1744","1913","St. Leonard, Belgium"
"0-6-0+0-6-0","750 mm","C.F. du Congo","1901-1912","1920-21","St. Leonard, Belgium"
"0-6-0+0-6-0","750 mm","C.F. du Congo","2001-2009","1924-25","St. Leonard, Belgium"
"0-6-0+0-6-0","750 mm","C.F. du Congo","2040-2049","1925-26","St. Leonard, Belgium"
"0-6-0+0-6-0","2 ft 6 in","Buthidaung-Maungdaw Tramway, Burma","5702-5703","1913","Beyer, Peacock"
"0-6-0+0-6-0","1000 mm","SNCV, Belgium","2121","1929","St. Leonard, Belgium"
"0-6-0+0-6-0","1000 mm","SNCV, Belgium","2140","1930","St. Leonard, Belgium"
"0-6-0+0-6-0","4 ft 8½ in","Limburg Tramway, Holland","22063","1931","Hanomag & Henschel"
"2-4-0+0-4-2","2 ft 6 in","Ceylon Government Railway","6629","1929","Beyer, Peacock"
"2-4-0+0-4-2","1000 mm","São Paulo Railway, Brazil","","1919","São Paulo Railway"
"2-4-0+0-4-2","5 ft 3 in","São Paulo Railway, Brazil","5892-5894","1915","Beyer, Peacock"
"2-4-2+2-4-2","1000 mm","Leopoldina Railway, Brazil","6976-6979","1943","Beyer, Peacock"
"2-6-0+0-6-2","10¼ in","Wells and Walsingham Light Railway","","1986","Neil Simkins"
"2-6-0+0-6-2","10¼ in","Wells and Walsingham Light Railway","","2010","Wells and Walsingham Light Railway"
"2-6-0+0-6-2","2 ft","South African Railways","5975-5977","1919","Beyer, Peacock"
"2-6-0+0-6-2","2 ft","South African Railways","6199-6200","1925","Beyer, Peacock"
"2-6-0+0-6-2","2 ft 6 in","Victorian Government Railways, Australia","6267-6268","1926","Beyer, Peacock"
"2-6-0+0-6-2","1000 mm","C.F.Madagascar","2031-2032","1926","St. Leonard, Belgium"
"2-6-0+0-6-2","1000 mm","São Paulo Railway, Brazil","5664","1912","Beyer, Peacock"
"2-6-0+0-6-2","1000 mm","São Paulo Railway, Brazil","6795","1936","Beyer, Peacock"
"2-6-0+0-6-2","3 ft 6 in","Australian Portland Cement","6794","1936","Beyer, Peacock"
"2-6-0+0-6-2","3 ft 6 in","Australian Portland Cement","6935","1939","Beyer, Peacock"
"2-6-0+0-6-2","3 ft 6 in","South African Railways","5941","1920","Beyer, Peacock"
"2-6-0+0-6-2","3 ft 6 in","Western Australian Government Railways","46-55","1930","Western Australian Government R'ys"
"2-6-0+0-6-2","3 ft 6 in","Western Australian Government Railways","5477-5482","1911","Beyer, Peacock"
"2-6-0+0-6-2","3 ft 6 in","Western Australian Government Railways","5665-5671","1912","Beyer, Peacock"
"2-6-0+0-6-2","4 ft 8½ in","Argentine North Eastern (FCNEA)","6238-6240","1925","Beyer, Peacock"
"2-6-0+0-6-2","4 ft 8½ in","Argentine North Eastern (FCNEA)","6349-6352","1927","Beyer, Peacock"
"2-6-0+0-6-2","4 ft 8½ in","East African Railways","6355-6359","1927","Beyer, Peacock"
"2-6-0+0-6-2","4 ft 8½ in","London Midland & Scottish Railway","6325-6327","1927","Beyer, Peacock"
"2-6-0+0-6-2","4 ft 8½ in","London Midland & Scottish Railway","6648-6677","1930","Beyer, Peacock"
"2-6-2+2-6-2","2 ft","South African Railways","10747","1930","Hanomag"
"2-6-2+2-6-2","2 ft","South African Railways","10549-10551","1927","Hanomag"
"2-6-2+2-6-2","2 ft","South African Railways","10598-10599","1928","Hanomag"
"2-6-2+2-6-2","2 ft","South African Railways","10629-10635","1928","Hanomag"
"2-6-2+2-6-2","2 ft","South African Railways","2506-2507","1927","Franco-Belge, Belgium"
"2-6-2+2-6-2","2 ft","South African Railways","3265-3268","1936","John Cockerill"
"2-6-2+2-6-2","2 ft","South African Railways","3894-3901","1967-68","Hunslet-Taylor"
"2-6-2+2-6-2","2 ft","South African Railways","6919-6926","1939","Beyer, Peacock"
"2-6-2+2-6-2","2 ft","South African Railways","7426-7432","1951","Beyer, Peacock"
"2-6-2+2-6-2","2 ft 6 in","Nepal Government Railway","6736","1932","Beyer, Peacock"
"2-6-2+2-6-2","2 ft 6 in","Nepal Government Railway","7243","1947","Beyer, Peacock"
"2-6-2+2-6-2","2 ft 6 in","Sierra Leone Government Railway","6297-6299","1926","Beyer, Peacock"
"2-6-2+2-6-2","2 ft 6 in","Sierra Leone Government Railway","6497-6498","1928","Beyer, Peacock"
"2-6-2+2-6-2","2 ft 6 in","Sierra Leone Government Railway","6578-6579","1929","Beyer, Peacock"
"2-6-2+2-6-2","2 ft 6 in","Sierra Leone Government Railway","7045-7048","1942","Beyer, Peacock"
"2-6-2+2-6-2","2 ft 6 in","Sierra Leone Government Railway","7049-7050","1943","Beyer, Peacock"
"2-6-2+2-6-2","1000 mm","Assam-Bengal Railway, India","6385-6389","1927","Beyer, Peacock"
"2-6-2+2-6-2","1000 mm","C.G. de F. Catalanes, Spain","1960-1963","1922","St. Leonard, Belgium"
"2-6-2+2-6-2","1000 mm","C.G. de F. Catalanes, Spain","2035-2038","1925","St. Leonard, Belgium"
"2-6-2+2-6-2","1000 mm","Great Western of Brazil","1024-1025","1929","Armstrong Whitworth"
"2-6-2+2-6-2","1000 mm","La Robla Railway, Spain","10646-10647","1929","Hanomag"
"2-6-2+2-6-2","1000 mm","La Robla Railway, Spain","421-422","1931","Babcock & Wilcox, Spain"
"2-6-2+2-6-2","1000 mm","Minera de Sierra Minera, Spain","189-190","1930","Euskalduna, Spain"
"2-6-2+2-6-2","1000 mm","Transandine Railway, Argentina","6543-6546","1930","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Consolidated Main Reef Mine, South Africa","6780","1935","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Dundee Coal & Coke Ltd, South Africa","6353","1927","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Guayaquil & Quito Railway, Ecuador","6527-6529","1929","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Natal Navigation Collieries, South Africa","6206","1925","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","New Cape Central Railway, South Africa","6135-6136","1923","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Rhodesia Railways","6269-6280","1926","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Rhodesia Railways","6510-6515","1929","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Rhodesia Railways","6616-6625","1930","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Rhodesia Railways","7581-7592","1952","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Rhodesia Railways","7599-7604","1953","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Rio Tinto Railway, Spain","6560-6561","1928","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","5942","1921","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","6232","1925","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","1043-1068","1928","Krupp"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","3115-3119","1929","Linke-Hofmann"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","6181-6186","1924","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","6187-6192","1924","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","6263-6266","1925","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","6281-6287","1925","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","6288-6290","1926","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","South African Railways","970-982","1927","Krupp"
"2-6-2+2-6-2","3 ft 6 in","Trans Zambezia, Moçambique/Nyasaland","6380","1930","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Trans Zambezia, Moçambique/Nyasaland","6178-6179","1924","Beyer, Peacock"
"2-6-2+2-6-2","3 ft 6 in","Tasmanian Government Railways","5525-5526","1912","Beyer, Peacock"
"2-6-2+2-6-2","5 ft 6 in","North Western Railway, India","6203","1925","Beyer, Peacock"
"2-6-2+2-6-2","5 ft 6 in","Ceylon Government Railway","6410","1927","Beyer, Peacock"
"2-6-2+2-6-2","5 ft 6 in","Ceylon Government Railway","7160-7167","1945","Beyer, Peacock"
"2-6-2+2-6-2","5 ft 6 in","São Paulo Railway, Brazil","6367-6372","1927","Beyer, Peacock"
"2-8-0+0-8-2","1000 mm","War Dept., Bengal Assam Railway","7112-7121","1943","Beyer, Peacock"
"2-8-0+0-8-2","1000 mm","Burma Railways","6180","1924","Beyer, Peacock"
"2-8-0+0-8-2","1000 mm","Burma Railways","6354","1927","Beyer, Peacock"
"2-8-0+0-8-2","1000 mm","Burma Railways","1077-1084","1929","Krupp"
"2-8-0+0-8-2","1000 mm","Burma Railways","6411-6413","1927","Beyer, Peacock"
"2-8-0+0-8-2","4 ft 8½ in","Ottoman Railways, Turkey","6324","1927","Beyer, Peacock"
"2-8-0+0-8-2","4 ft 8½ in","Mauritius Railway","6381-6383","1927","Beyer, Peacock"
"2-8-0+0-8-2","4 ft 8½ in","London and North Eastern Railway","6209","1925","Beyer, Peacock"
"2-8-0+0-8-2","5 ft 6 in","Bengal Nagpur Railway, India","6261-6262","1925","Beyer, Peacock"
"2-8-2+2-8-2","1000 mm","C.F. Franco Ethiopien & Libya","1371-1376","1939","Ansaldo, Italy"
"2-8-2+2-8-2","1000 mm","Royal State Railways of Thailand","21618-21623","1929","Henschel"
"2-8-2+2-8-2","1000 mm","Royal State Railways of Thailand","23109-23110","1936","Henschel"
"2-8-2+2-8-2","1000 mm","War Dept., India/Burma","7122-7135","1944","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","Rhodesia Railways","6562-6569","1929-30","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","Rhodesia Railways","6877-6882","1938","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","Rhodesia Railways","6899-6904","1937","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","Rhodesia Railways","7498-7527","1953","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","Sierra Leone Development Corp.","6786","1937","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","Sierra Leone Development Corp.","6842","1937","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","Sierra Leone Development Corp.","6726-6727","1931","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","South African Railways","6193-6198","1924","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","South African Railways","6339-6348","1927","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","South African Railways","6716-6717","1930","Beyer, Peacock"
"2-8-2+2-8-2","3 ft 6 in","War Dept., Congo/Gold Coast/Rhodesia","7057-7074","1943","Beyer, Peacock"
"2-8-2+2-8-2","4 ft 8½ in","Central of Peru","6731","1931","Beyer, Peacock"
"2-8-2+2-8-2","4 ft 8½ in","Central of Peru","6626-6628","1930","Beyer, Peacock"
"2-8-2+2-8-2","4 ft 8½ in","Nitrate Railways, Chile","6291-6293","1926","Beyer, Peacock"
"2-8-2+2-8-2","4 ft 8½ in","Nitrate Railways, Chile","6481-6483","1928","Beyer, Peacock"
"2-8-2+2-8-2","5 ft 6 in","Central of Aragon, Spain","402-407","1931","Babcock & Wilcox, Spain"
"2-8-2+2-8-2","5 ft 6 in","RENFE, Spain","730-739","1960","Babcock & Wilcox, Spain"
"4-4-2+2-4-4","3 ft 6 in","Tasmanian Government Railways","5523-5524","1912","Beyer, Peacock"
"4-4-2+2-4-4","4 ft 8½ in","Argentine North Eastern (FCNEA)","6645-6647","1930","Beyer, Peacock"
"4-4-2+2-4-4","4 ft 8½ in","Entre Rios Railway (FCER), Argentina","6360-6364","1927","Beyer, Peacock"
"4-6-0+0-6-4","3 ft","Ferrocarril Pacifico de Colombia","565-566","1924","Armstrong Whitworth"
"4-6-0+0-6-4","1000 mm","Mogyana Railway, Brazil","5529-5530","1912","Beyer, Peacock"
"4-6-2+2-6-4","3 ft","Ferrocarril Dorada, Colombia","6843-6844","1938","Beyer, Peacock"
"4-6-2+2-6-4","1000 mm","Leopoldina Railway, Brazil","6572-6573","1929","Beyer, Peacock"
"4-6-2+2-6-4","1000 mm","Leopoldina Railway, Brazil","6845-6850","1937","Beyer, Peacock"
"4-6-2+2-6-4","1000 mm","Leopoldina Railway, Brazil","7026-7033","1943","Beyer, Peacock"
"4-6-2+2-6-4","1000 mm","Midland of Buenos Aires, Argentina","6570-6571","1929","Beyer, Peacock"
"4-6-2+2-6-4","1000 mm","Vicoa Ferrea do Rio Grande do Sul, Brazil","22047-22056","1931","Henschel"
"4-6-2+2-6-4","3 ft 6 in","New Zealand Government Railways","6484-6486","1928","Beyer, Peacock"
"4-6-2+2-6-4","3 ft 6 in","Nigerian Railways","6781-6784","1935","Beyer, Peacock"
"4-6-2+2-6-4","3 ft 6 in","Nigerian Railways","6796-6797","1936","Beyer, Peacock"
"4-6-2+2-6-4","3 ft 6 in","Nigerian Railways","6861-6866","1937","Beyer, Peacock"
"4-6-2+2-6-4","3 ft 6 in","Nigerian Railways","6927-6930","1939","Beyer, Peacock"
"4-6-2+2-6-4","3 ft 6 in","Nigerian Railways","7051-7056","1943","Beyer, Peacock"
"4-6-2+2-6-4","3 ft 6 in","South African Railways","10512-10548","1927","Hanomag"
"4-6-2+2-6-4","3 ft 6 in","South African Railways","21053-21070","1928","Henschel"
"4-6-2+2-6-4","3 ft 6 in","South African Railways","5748-5757","1928","Maffei"
"4-6-2+2-6-4","4 ft 8½ in","C.F.Algeria","2697-2708","1936","Franco-Belge, France"
"4-6-2+2-6-4","4 ft 8½ in","C.F.Algeria","2711-2714","1937","Franco-Belge, France"
"4-6-2+2-6-4","4 ft 8½ in","C.F.Algeria","2725-2730","1939","Franco-Belge, France"
"4-6-2+2-6-4","4 ft 8½ in","C.F.Algeria","2741-2747","1940","Franco-Belge, France"
"4-6-2+2-6-4","4 ft 8½ in","PLM, Algeria","2678","1932","Franco-Belge, France"
"4-6-2+2-6-4","5 ft 6 in","Central of Aragon, Spain","191-196","1931","Euskalduna, Spain"
"4-6-4+4-6-4","3 ft 6 in","Rhodesia Railways","2963-2972","1952","Franco-Belge, France"
"4-6-4+4-6-4","3 ft 6 in","Rhodesia Railways","7260-7279","1947","Beyer, Peacock"
"4-6-4+4-6-4","3 ft 6 in","Rhodesia Railways","7326-7340","1949","Beyer, Peacock"
"4-6-4+4-6-4","3 ft 6 in","Rhodesia Railways","7351-7365","1952","Beyer, Peacock"
"4-6-4+4-6-4","3 ft 6 in","Sudan Railways","6798-6801","1936","Beyer, Peacock"
"4-6-4+4-6-4","3 ft 6 in","Sudan Railways","6870-6875","1937","Beyer, Peacock"
"4-8-0+0-8-4","5 ft 6 in","Bengal Nagpur Railway, India","6583-6598","1929","Beyer, Peacock"
"4-8-0+0-8-4","5 ft 6 in","Bengal Nagpur Railway, India","6705-6714","1931","Beyer, Peacock"
"4-8-2+2-8-4","2 ft 6 in","Sierra Leone Government","7707-7720","1955-56","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Angola: Luanda Railway","7308-7313","1949","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Antofagasta (Chili) & Bolivia Railway","6524-6526","1929","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Antofagasta (Chili) & Bolivia Railway","7420-7425","1950","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Burma Railways","7286-7289","1949","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","CF d'Afrique Occidentale Française","2715-2724","1938","Franco-Belge, France"
"4-8-2+2-8-4","1000 mm","CF d'Afrique Occidentale Française","2731-2740","1939","Franco-Belge, France"
"4-8-2+2-8-4","1000 mm","CF d'Afrique Occidentale Française","2748-2754","1941","Franco-Belge, France"
"4-8-2+2-8-4","1000 mm","Cordoba Central Railway, Argentina","6550-6559","1929","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","East African Railways","2983-2994","1954","Franco-Belge, France"
"4-8-2+2-8-4","1000 mm","East African Railways","7577-7580","1954","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","East African Railways","7632-7658","1955","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","East African Railways","7659-7666","1954","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","East African Railways","7700-7706","1955","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","East African Railways","7721-7725","1954","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Kenya Uganda Railway","24070-24079","1931","NBL"
"4-8-2+2-8-4","1000 mm","Kenya Uganda Railway","6300-6303","1926","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Kenya Uganda Railway","6429-6440","1928","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Kenya Uganda Railway","6516-6523","1928","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Kenya Uganda Railway","6637-6638","1930","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Kenya Uganda Railway","7280-7285","1949","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","Rede Ferrovaria do Noroeste, Brazil","25257-25262","1952","Henschel"
"4-8-2+2-8-4","1000 mm","Tanganyika Railway","6718-6720","1931","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","War Dept., Burma","7140-7159","1945","Beyer, Peacock"
"4-8-2+2-8-4","1000 mm","War Dept., Kenya Uganda Railway","7075-7081","1943","Beyer, Peacock"
"4-8-2+2-8-4","1050 mm","PLM, Algeria","2673-2676","1931","Franco-Belge, France"
"4-8-2+2-8-4","3 ft 6 in","Angola: Benguela Railway (CFB)","6333-6338","1927","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Angola: Benguela Railway (CFB)","6602-6615","1930","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Angola: Benguela Railway (CFB)","7366-7375","1951","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Angola: Benguela Railway (CFB)","7376-7377","1952","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Angola: Benguela Railway (CFB)","7593-7598","1952","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Angola: Benguela Railway (CFB)","7667-7676","1955-56","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Angola: Luanda Railway","2493-2498","1954","Krupp"
"4-8-2+2-8-4","3 ft 6 in","Angola: Moçamedes Railway (CFM )","27000-27005","1953","Henschel"
"4-8-2+2-8-4","3 ft 6 in","Australian Portland Cement","CLTB 33","1945","Australian Standard, Newport"
"4-8-2+2-8-4","3 ft 6 in","C.F. du Bas Congo a Katanga","2097-2108","1953","Du Haine Saint-Pierre"
"4-8-2+2-8-4","3 ft 6 in","C.F.Moçambique","2059-2070","1952","Du Haine Saint-Pierre"
"4-8-2+2-8-4","3 ft 6 in","C.F.Moçambique","28642-28646","1956","Henschel"
"4-8-2+2-8-4","3 ft 6 in","Emu Bay Railway, Tasmania","6580-6582","1929","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Nigerian Railways","6635-6636","1930","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Queensland Government Railways","2905-2924","1951","Franco-Belge, France"
"4-8-2+2-8-4","3 ft 6 in","Queensland Government Railways","7341-7350","1951","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Queensland Government Railways","CLTB 1-5","1943-44","Australian Standard, Newport"
"4-8-2+2-8-4","3 ft 6 in","Queensland Government Railways","CLTB 11-19","1943-44","Australian Standard, Islington"
"4-8-2+2-8-4","3 ft 6 in","Queensland Government Railways","CLTB 21-25","1944","Australian Standard, Clyde"
"4-8-2+2-8-4","3 ft 6 in","Queensland Government Railways","CLTB 51-53","1944","Australian Standard, Clyde"
"4-8-2+2-8-4","3 ft 6 in","Queensland Government Railways","CLTB 9","1944","Australian Standard, Newport"
"4-8-2+2-8-4","3 ft 6 in","Rhodesia Railways","7685-7699","1954-55","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Rhodesia Railways","7780-7785","1957","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","Rhodesia Railways","7786-7825","1957-58","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","27691-27702","1956","NBL"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","27769-27778","1958","NBL"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","27783-27792","1958","NBL"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","28680-28704","1952","Henschel"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","28705-28729","1954","Henschel"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","29600-29629","1954","Henschel"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","6530-6531","1930","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","6639-6644","1930","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","6883-6898","1938","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","7168-7217","1945-47","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","7550-7552","1956","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","7677-7681","1956","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","7750-7764","1956","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South African Railways","7836-7845","1958","Beyer, Peacock"
"4-8-2+2-8-4","3 ft 6 in","South Australian Railways","2973-2982","1953","Franco-Belge, France"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 10","1944","Australian Standard, Newport"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 20","1943-44","Australian Standard, Islington"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 26-30","1943-44","Australian Standard, Midland Junction"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 31-32","1945","Australian Standard, Newport"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 44-45","1944 ca","Australian Standard, Islington"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 46-50","1944 ca","Australian Standard, Midland Junction"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 54-59","1945","Australian Standard, Clyde"
"4-8-2+2-8-4","3 ft 6 in","Western Australian Government Railways","CLTB 63-65","1945","Australian Standard, Clyde"
"4-8-2+2-8-4","3 ft 6 in","Tasmanian Government Railways","CLTB 37-38","1945","Australian Standard, Clyde"
"4-8-2+2-8-4","3 ft 6 in","Tasmanian Government Railways","CLTB 6-8","1944","Australian Standard, Newport"
"4-8-2+2-8-4","3 ft 6 in","Tasmanian Government Railways","CLTB 60-62","1945","Australian Standard, Clyde"
"4-8-2+2-8-4","4 ft 8½ in","Iranian State Railway","6787-6790","1936","Beyer, Peacock"
"4-8-2+2-8-4","5 ft","Soviet Railways","6737","1932","Beyer, Peacock"
"4-8-2+2-8-4","5 ft 6 in","Bengal Nagpur Railway, India","6931-6934","1939","Beyer, Peacock"
"4-8-2+2-8-4","5 ft 6 in","Buenos Aires & Pacific Railway, Argentina","6715","1931","Beyer, Peacock"
"4-8-2+2-8-4","5 ft 6 in","Buenos Aires & Pacific Railway, Argentina","6532-6534","1930","Beyer, Peacock"
"4-8-2+2-8-4","5 ft 6 in","Buenos Aires Great Southern, Argentina","6417-6428","1928","Beyer, Peacock"
"4-8-4+4-8-4","1000 mm","Kenya Uganda Railway","6905-6910","1939","Beyer, Peacock"
"4-8-4+4-8-4","1000 mm","Kenya Uganda Railway","6970-6975","1940","Beyer, Peacock"
"4-8-4+4-8-4","1000 mm","Kenya Uganda Railway","7290-7307","1949","Beyer, Peacock"
"4-8-4+4-8-4","4 ft 8½ in","New South Wales Government Railways","7473-7497","1952","Beyer, Peacock"
"4-8-4+4-8-4","4 ft 8½ in","New South Wales Government Railways","7528-7544","1952","Beyer, Peacock"
"4-8-4+4-8-4","4 ft 8½ in","New South Wales Government Railways","7545-7549","1952","Beyer, Peacock"
