"Chart Year","Artist","Album","Song","Billboard Hot 100","Billboard Hot R&B/Hip Hop",""
"2013","T.I.","Trouble Man","Sorry f Andre 3000 Trouble Man","New Single","",""
"2013","T.I.","Trouble Man","Trap Back Jumpin","New Single","",""
"2013","Future","Forthcoming Album","Shit","New Single","",""
"2013","Earl Sweatshirt","Forthcoming Album","Chum","New Single","",""
"2013","Sevyn Streeter","Forthcoming Album","I Like It","New Single","",""
"2012","Rihanna","Unapologetic","Various Songs","11","14",""
"2012","Future","Pluto","Neva End f/Kelly Rowland","21","",""
"2012","Ne-Yo","Forthcoming Album","Don't Make Em Like You","New Single","",""
"2012","Keyshia Cole","Woman to Woman","Enough of No Love f Lil Wayne","","",""
"2012","Keyshia Cole","Woman to Woman","Trust and Believe","32","",""
"2012","King L \"Louie\"","Forthcoming Album","Val Venus","New Single","",""
"2012","Pusha-T","Forthcoming Album","Exodus 23:1","New Single","",""
"2012","Kelly Rowland","Forthcoming Album","Kisses Down Low","New Single","",""
"2012","Brandy f/ Chris Brown","Forthcoming Album","**Put It Down","New Single","",""
"2012","Chris Brown","Fortune","Don't Judge Me","18","",""
"2012","Chris Brown f/ Big Sean & Wiz Khalifa","Fortune","Till I Die","New Single","12",""
"2012","Future","Pluto","Turn On The Lights","New Single","5",""
"2012","Nas","Forthcoming Album","The Don","New Single","",""
"2012","Cashout","Forthcoming Album","Big Booty Ho","New Single","",""
"2012","Ciara","Forthcoming Album","Got Me Good","New Single","",""
"2012","Tank","This Is How I Feel","Next Breath","New Single","",""
"2012","Chris Brown f/Kevin McCall","Fortune","Strip","42","3",""
"2012","Karmin","Forthcoming Album","Crash Your Party","New Single","",""
"2012","John Legend","Think Like A Man Soundtrack","Tonight (Best You Ever Had)","New Single","12",""
"2012","Diggy Simmons f/ Jeremih","4 Letter Word","Forthcoming Album","New Single","11",""
"2011","Big Sean","Finally Famous","Dance (A$$)","10","3",""
"2011","T.I. f/ B.o.B","We Don't Get Down Like Y'all","Forthcoming Album","New Single","",""
"2011","Lupe Fiasco","The Show Goes On","Lasers","9","",""
"2011","Trey Songz","Passion, Pain & Pleasure","Unusual","68","7",""
"2011","Diggy Simmons","Forthcoming Album","Copy, Paste","New Single","13",""
"2011","Ledisi","Pieces of Me","Pieces of Me","New Single","21",""
"2010","Trey Songz","Passion, Pain & Pleasure","Can't Be Friends","43","1",""
"2011","Trey Songz","Passion, Pain & Pleasure","Love Faces","","3",""
"2011","Far East Movement","Free Wired","Rocketeer","7","",""
"2011","Lloyd","King of Hearts","Lloyd ft. Trey Songz & Young Jeezy","New Single","",""
"2011","Marsha Ambrosius","Late Nights & Early Mornings","Late Nights & Early Mornings","New Single","30",""
"2010","Rihanna","Loud","Skin","","",""
"2010","Katy Perry","Teenage Dream","Circle the Drain","58","",""
"2010","Katy Perry","Teenage Dream","Who Am I Living For","","",""
"2010","Usher","Raymond v. Raymond","Lil Freak","40","8",""
"2011","Dirty Money","Last Train to Paris","Ass to The Floor","New Single","",""
"2008","Mariah Carey","E=MC²","Touch My Body","1","2",""
"2008","Beyoncé","I Am... Sasha Fierce","Single Ladies","1","1",""
"2008","Jamie Foxx","Intuition","Blame It","2","1","3"
"2007","Sean Paul","The Trinity","(When You Gonna) Give It Up To Me","3","5",""
"2010","Justin Bieber","My World 2.0","Baby ft. Ludacris","5","96",""
"2010","Trey Songz","Passion, Pain & Pleasure","Bottoms Up","6","2",""
"2009","Mariah Carey","Memoirs of an Imperfect Angel","Obsessed","7","12",""
"2008","Jesse McCartney","Departure","Leavin'","10","",""
"2009","Rihanna","Rated R","Hard ft. Young Jeezy","11","14",""
"2010","Justin Bieber","My World 2.0","Somebody to Love","15","20",""
"2009","Justin Bieber","My World","One Less Lonely Girl","16","",""
"2009","Fabolous","Loso's Way","Throw It in the Bag ft. The-Dream","17","4",""
"2008","The-Dream","Love Hate","I Luv Your Girl","20","3",""
"2007","Mary J. Blige","Growing Pains","Just Fine","22","3",""
"2009","The-Dream","Love vs. Money","Rockin' That Shit","22","2",""
"2010","Christina Aguilera","Bionic","Not Myself Tonight","23","","3"
"2009","Keyshia Cole","Just Like You","Remember","24","1",""
"2009","Justin Bieber","My World","Favorite Girl","26","",""
"2010","Dirty Money","Last Train to Paris","Hello Good Morning","27","13",""
"2007","The-Dream","Love Hate","Falsetto","30","3",""
"2007","Soulja Boy","Tell Em","Soulja Girl","32","13",""
"2008","Yung Berg","Look What You Made Me","The Business ft. Casha","33","6",""
"2009","Snoop Dogg","Malice n Wonderland","Gangsta Luv ft. The-Dream","35","24",""
"2008","New Kids On The Block","The Block","Summertime","5","96",""
"2010","Cali Swag District","Upcoming Album Release","Teach Me How to Dougie","28","9",""
"2009","Justin Bieber","My World","Love Me","37","",""
"2006","Ashanti","The Declaration","The Way That I Love You","37","2",""
"2007","Keyshia Cole","Just Like You","Shoulda Let You Go","41","6",""
"2009","Trey Songz","Ready","I Invented Sex","42","1",""
"2010","Monica","Still Standing","Everything To Me","44","1",""
"2008","Usher","Here I Stand","Trading Places","45","4",""
"2010","Ciara","Basic Instinct","Ride ft. Ludacris","45","5",""
"2007","Keith Urban","Love, Pain & the Whole Crazy Thing","I Told You So","48","",""
"2009","Jamie Foxx","Intuition","Just Like Me ft. T.I.","49","8",""
"2008","LL Cool J","Exit 13","Baby ft. The-Dream","52","22",""
"2010","Charice","Charice","Pyramid ft. Iyaz","56","",""
"2008","Gym Class Heroes","The Quilt","Cookie Jar ft. The-Dream","59","",""
"2009","Keyshia Cole","A Different Me","You Complete Me","67","",""
"2009","Mary J. Blige","Stronger with Each Tear","The One ft. Drake","63","32",""
"2007","Mary J. Blige","Growing Pains","Work That","65","16",""
"2008","Usher","Here I Stand","Moving Mountains","67","18",""
"2009","Whitney Houston","I Look to You","I Look To You","70","19",""
"2009","Musiq Soulchild","OnMyRadio","IfULeave ft. Mary J. Blige","71","6",""
"2008","Pussycat Dolls","Doll Domination","Hush Hush","73","","29"
"2009","Letoya Luckett","Lady Love","Regret ft. Ludacris","78","8",""
"2009","Justin Bieber","My World","Down To Earth","79","",""
"2010","The-Dream","Love vs. Money","Walkin' on the Moon ft. Kanye West","87","38",""
"2010","The-Dream","Love King","Love King","92","37",""
"2009","Jamie Foxx","Intuition","Digital Girl ft. The-Dream & Kanye West","92","38",""
"2009","Lupe Fiasco","Lasers","Shining Down ft. Matthew Santos","93","",""
"2010","Fantasia","Back to Me","Bittersweet","79","7",""
"2009","Justin Bieber","My World","Bigger","94","",""
"2010","Rihanna","Rated R","Rockstar 101","76","",""
"2010","Ayumi Hamasaki","Love songs","Like a doll","","",""
