| Number                    | South/west end                       | North/east end                     | Formed | Eliminated           |
| Oregon Route 217          | I-5 east of Tigard                   | US 26 at Cedar Hills               | 1935   |                      |
| Oregon Route 218          | US 97 at Shaniko                     | OR 19 in Fossil                    | 1935   |                      |
| Oregon Route 219          | I-5 in Woodburn                      | OR 8 in Hillsboro                  | 1935   |                      |
| Oregon Route 220          | Sumpter                              | OR 7 at Salisbury                  | 1935   | 1980s                |
| Oregon Route 221          | OR 22 in Salem                       | OR 18 northeast of Dayton          | 1935   |                      |
| Oregon Route 222          | OR 99 in Creswell                    | OR 126B in Springfield             | 2002   |                      |
| Oregon Route 222          | OR 99EB in Salem                     | US 20/OR 126 west of Suttle Lake   | 1935   | 1950s                |
| Oregon Route 223          | US 20 near Wren                      | OR 22 west of Rickreall            | 1935   |                      |
| Oregon Route 224          | OR 99E in Milwaukie                  | Near Ripplebrook                   | 1936   |                      |
| Oregon Route 225          | I-5 north of Goshen                  | OR 126B west of Springfield        | 2002   |                      |
| Oregon Route 225          | OR 99 in Sutherlin                   | OR 38 at Elkton                    | 1935   | 1960s                |
| Oregon Route 226          | US 20 at Crabtree Corners            | OR 22 at Mehama                    | 1935   |                      |
| Oregon Route 227          | OR 62 at Trail                       | South of Tiller                    | 1935   | 1986 (restored 2003) |
| Oregon Route 228          | OR 99E in Halsey                     | US 20 in Sweet Home                | 1935   |                      |
| Oregon Route 229          | US 20 north of Toledo                | US 101 at Kernville                | 1935   |                      |
| Oregon Route 230          | OR 62 near Union Creek               | OR 138 near Diamond Lake           | 1935   |                      |
| Oregon Route 231          |                                      |                                    |        |                      |
| Oregon Route 232          | Crater Lake National Park            | US 97                              | 1935   | 1980s                |
| Oregon Route 233          | OR 99W north of Amity                | OR 99W northeast of Dayton         | 1935   |                      |
| Oregon Route 234          | I-5 west of Gold Hill                | OR 62 north of Eagle Point         | 1935   |                      |
| Oregon Route 235          |                                      |                                    |        |                      |
| Oregon Route 236          | OR 62 in Eagle Point                 | US 97 in Klamath Falls             | 1935   | 1940s                |
| Oregon Route 237          | I-84/US 30 at North Powder           | OR 82 in Island City               | 1935   |                      |
| Oregon Route 238          | US 199/OR 99 south of Grants Pass    | OR 99 in Medford                   | 1935   |                      |
| Oregon Route 240          | OR 47 in Yamhill                     | OR 99W in Newberg                  | 1935   |                      |
| Oregon Route 241          | US 101 in Coos Bay                   | East of Nesika County Park         | 2003   |                      |
| Oregon Route 242          | OR 126 south of Belknap Springs      | US 20/OR 126 in Sisters            |        |                      |
| Oregon Route 244          | US 395 west of Ukiah                 | I-84/US 30 at Hilgard              |        |                      |
| Oregon Route 245          | US 26 near Unity                     | OR 7 near Salisbury                |        |                      |
| Oregon Route 250          | US 101 north of Port Orford          | Cape Blanco State Park             | 2003   |                      |
| Oregon Route 251          | Port Orford Heads State Park         | US 101 in Port Orford              | 2003   |                      |
| Oregon Route 255          | US 101 at Brookings                  | US 101 south of Gold Beach         | 2003   |                      |
| Oregon Route 260          | US 199 southwest of Grants Pass      | Grants Pass                        | 2003   |                      |
| Oregon Route 273          | I-5 south of Siskiyou Summit         | OR 66 southeast of Ashland         | 2003   |                      |
| Oregon Route 281          | OR 35 at Mt. Hood                    | US 30/OR 35 in Hood River          | 2002   |                      |
| Oregon Route 282          | OR 281 south of Hood River           | OR 35 south of Hood River          | 2002   |                      |
| Oregon Route 293          | US 97 north of Madras                | OR 218 in Antelope                 | 2002   |                      |
| Oregon Route 331          | I-84/US 30 southeast of Pendleton    | OR 11 northeast of Pendleton       | 2003   |                      |
| Oregon Route 332          | Washington state line                | OR 11 north of Milton-Freewater    | 2003   |                      |
| Oregon Route 334          | OR 37 north of Pendleton             | OR 11 east of Athena               | 2003   |                      |
| Oregon Route 335          | OR 11 northeast of Pendleton         | Helix                              | 2003   |                      |
| Oregon Route 339          | OR 11 in Milton-Freewater            | Towards Walla Walla, WA            | 2003   |                      |
| Oregon Route 350          | OR 82/OR 351 in Joseph               | Imnaha                             | 2003   |                      |
| Oregon Route 351          | South of Wallowa Lake                | OR 82/OR 350 in Joseph             | 2003   |                      |
| Oregon Route 361          | US 97 southeast of Culver            | US 26/US 97 in Madras              | 2002   |                      |
| Oregon Route 370          | US 97 north of Redmond               | OR 126 in Prineville               | 2002   |                      |
| Oregon Route 380          | US 26 in Prineville                  | East of Paulina                    | 2002   |                      |
| Oregon Route 402          | OR 19 at Kimberly                    | US 395 in Long Creek               | 2002   |                      |
| Oregon Route 410          | Sumpter                              | OR 7 southeast of Sumpter          | 2003   |                      |
| Oregon Route 413          | OR 86S/OR 414 in Halfway             | Cornucopia                         | 2003   |                      |
| Oregon Route 414          | OR 86S/OR 413 in Halfway             | OR 86 east of Halfway              | 2003   |                      |
| Oregon Route 422          | South of Klamath Agency              | US 97 southwest of Chiloquin       | 2002   |                      |
| Oregon Route 422S         | OR 422 in Chiloquin                  | Chiloquin                          | 2002   |                      |
| Oregon Route 429          | Near Crescent Lake                   | OR 58 at Crescent Lake Junction    | 2002   |                      |
| Oregon Route 451          | US 20 southwest of Vale              | US 20 in Vale                      | 2003   |                      |
| Oregon Route 452          | OR 201 southwest of Adrian           | SH-18 towards Parma, ID            | 2003   |                      |
| Oregon Route 453          | OR 454 southeast of Adrian           | Idaho state line                   | 2003   |                      |
| Oregon Route 454          | OR 452 southeast of Adrian           | Idaho state line                   | 2003   |                      |
| Oregon Route 501          | Southwest of Alsea                   | OR 34 at Alsea                     | 2002   |                      |
| Oregon Route 528          | OR 126B in Springfield               | OR 126 in Springfield              | 2002   |                      |
| Oregon Route 540          | Cape Arago State Park                | US 101 in North Bend               | 2003   |                      |
| Oregon Route 542          | Powers                               | OR 42 southeast of Myrtle Point    | 2003   |                      |
| Oregon Route 551          | OR 99E southwest of Aurora           | I-5 in Wilsonville                 | 2002   |                      |
| Oregon Route 569          | OR 126 in Eugene                     | I-5 in Springfield                 | 2007   |                      |
