| Name                  | Season(s)           | Position(s)                  | Notes                                                                 |
| Kerry Dineen          | 1978                | Left fielder                 | .250 batting average 1 double 9 plate appearances                     |
| Vance Dinges          | 1945–1946           | Outfielder                   | .291 batting average 2 home runs 46 runs batted in                    |
| Ron Diorio            | 1973–1974           | Pitcher                      | 3.10 earned run average 11 strikeouts 7 walks                         |
| Glenn Dishman         | 1996                | Pitcher                      | 7.71 earned run average 3 strikeouts 2 walks                          |
| Greg Dobbs            | 2007–2010           | Third baseman                | .261 batting average 29 home runs 130 runs batted in                  |
| Robert Dodd           | 1998                | Pitcher                      | 1–0 record 7.20 earned run average 4 strikeouts                       |
| John Dodge            | 1912–1913           | Third baseman                | .126 batting average 1 double 3 runs batted in                        |
| Cozy Dolan            | 1912–1913           | Third baseman                | .267 batting average 6 doubles 15 runs batted in                      |
| Joe Dolan             | 1899–1901           | Second baseman               | .215 batting average 2 home runs 59 runs batted in                    |
| Deacon Donahue        | 1943–1944           | Pitcher                      | 0–2 record 6.75 earned run average 3 strikeouts                       |
| Red Donahue           | 1898–1901           | Pitcher                      | 72–48 record 3.26 earned run average 237 strikeouts                   |
| She Donahue           | 1904                | Shortstop Third baseman      | .215 batting average 4 doubles 14 runs batted in                      |
| Blix Donnelly         | 1946–1950           | Pitcher                      | 16–22 record 3.64 earned run average 161 strikeouts                   |
| Alexander Donoghue    | 1891                | Center fielder Shortstop     | .318 batting average 1 double 2 runs batted in                        |
| Jerry Donovan         | 1906                | Catcher                      | .199 batting average 4 doubles 15 runs batted in                      |
| Red Dooin             | 1902–1914           | Catcher                      | .241 batting average 10 home runs 335 runs batted in                  |
| Mickey Doolan         | 1905–1913           | Shortstop                    | .236 batting average 11 home runs 445 runs batted in                  |
| David Doster          | 1996 1999           | Second baseman               | .233 batting average 4 home runs 18 runs batted in                    |
| Klondike Douglass     | 1898–1904           | First baseman Catcher        | .261 batting average 22 triples 197 runs batted in                    |
| Tommy Dowd            | 1897                | Right fielder                | .292 batting average 14 doubles 43 runs batted in                     |
| Ken Dowell            | 1987                | Shortstop                    | .128 batting average 5 singles 1 run batted in                        |
| Tom Downey            | 1912                | Third baseman                | .292 batting average 1 home runs 23 runs batted in                    |
| Dave Downs            | 1972                | Pitcher                      | 1–1 record 2.74 earned run average 5 strikeouts                       |
| Tom Dowse             | 1892                | Catcher                      | .185 batting average 10 hits 6 runs batted in                         |
| Conny Doyle           | 1883                | Left fielder                 | .221 batting average 3 doubles 3 runs batted in                       |
| Denny Doyle           | 1970–1973           | Second baseman               | .240 batting average 9 home runs 92 runs batted in                    |
| Jack Doyle            | 1904                | First baseman                | .220 batting average 1 home run 22 runs batted in                     |
| Solly Drake           | 1959                | Left fielder                 | .145 batting average 1 double 3 runs batted in                        |
| Karl Drews            | 1951–1954           | Pitcher                      | 25–25 record 3.74 earned run average 187 strikeouts                   |
| Monk Dubiel           | 1948                | Pitcher                      | 8–10 record 3.89 earned run average 42 strikeouts                     |
| Rob Ducey             | 1999–2000 2000–2001 | Left fielder                 | .232 batting average 15 home runs 62 runs batted in                   |
| Brandon Duckworth     | 2001–2003           | Pitcher                      | 15–18 record 4.87 earned run average 275 strikeouts                   |
| Clise Dudley          | 1931–1932           | Pitcher                      | 9–15 record 3.84 earned run average 55 strikeouts                     |
| Hugh Duffy            | 1904–1906           | Center fielder Left fielder  | .287 batting average 3 doubles 8 runs batted in                       |
| Gus Dugas             | 1933                | First baseman                | .169 batting average 3 doubles 9 runs batted in                       |
| Oscar Dugey           | 1915–1917           | Second baseman               | .193 batting average 8 doubles 10 runs batted in                      |
| Bill Duggleby         | 1898 1901–1907      | Pitcher                      | 90–99 record 3.20 earned run average 445 strikeouts 81 hit batsmen*   |
| Mariano Duncan        | 1992–1995           | Second baseman Shortstop     | .274 batting average 30 home runs 194 runs batted in                  |
| Vern Duncan           | 1913                | Right fielder Left fielder   | .417 batting average 1 double 1 run batted in                         |
| Lee Dunham            | 1926                | First baseman                | .250 batting average 1 run batted in 4 plate appearances              |
| Davey Dunkle          | 1897–1898           | Pitcher                      | 6–6 record 5.32 earned run average 30 strikeouts                      |
| Jack Dunn             | 1900–1901           | Pitcher                      | 5–6 record 5.74 earned run average 13 strikeouts                      |
| Chad Durbin           | 2008–2010           | Pitcher                      | 11–7 record 3.62 earned run average 188 strikeouts                    |
| J. D. Durbin          | 2007                | Pitcher                      | 6–5 record 5.15 earned run average 39 strikeouts                      |
| Ryne Duren            | 1963–1965           | Pitcher                      | 6–2 record 3.38 earned run average 95 strikeouts                      |
| George Durning        | 1925                | Right fielder                | .357 batting average 5 hits 1 run batted in                           |
| Lenny Dykstra         | 1989–1996           | Center fielder               | .289 batting average 51 home runs 251 runs batted in                  |
