| Date     | Opponent                | Result      | Goal Scorers (Season Goals)                                                                                                                   | Goalie Saves | Attendance                                         |
| Jan. 19  | OHIO State*             | W, 4-1      | Zaugg (10)-PP, Knight (10), Keseley (7)-PP,                                                                                                   | Vetter, 20   | 514 Duggan (7)                                     |
| Jan. 25  | ST. CLOUD STATE* (9/9)  | W, 4-1      | Sanders (10), Deluce (10), Zaugg (11), Nash (5)                                                                                               | Vetter, 22   | 1,494                                              |
| Jan. 26  | ST. CLOUD STATE* (9/9)  | W, 4-0      | Zaugg (12)-PP, Knight (11), Zaugg (13), Deluce (11)                                                                                           | Vetter, 18   | 5,377                                              |
| Feb. 2   | NORTH DAKOTA*           | W, 6-1      | Sanders (11), Knight (12)-PP, Knight (13)-PP,                                                                                                 | Vetter, 16   | 2,219 Knight (14)-PP-HT, Sanders (12), Keseley (8) |
| Feb. 3   | NORTH DAKOTA*           | W, 5-2      | Duggan (9)-PP, Duggan (10), Windmerier (2)-SH-EN                                                                                              | Vetter, 12   | 1,776 Duggan (11)-HT, Knight (15)                  |
| Feb. 8   | MINNESOTA Duluth* (3/3) | W, 3-2      | Sanders (13), Duggan (12), Hagen (2)                                                                                                          | Vetter, 27   | 904                                                |
| Feb. 9   | MINNESOTA Duluth* (3/3) | L, 3-2      | Duggan (13)-PP, Duggan (14)                                                                                                                   | Vetter, 27   | 891                                                |
| Feb. 15  | BEMIDJI STATE*          | W, 4-0      | Sanders (14), Keseley (9)-PP, Hagen (3), Zaugg (14)                                                                                           | Vetter, 11   | 1,318                                              |
| Feb. 16  | BEMIDJI STATE*          | W, 3-0      | Zaugg (15), Nordby (1), Duggan (15)                                                                                                           | McCready, 12 | 790                                                |
| Feb. 23  | MINNESOTA* (4/4)        | W, 5-1      | Knight (16), Dronen (1), Zaugg (16), Duggan (16)-SH,                                                                                          | Vetter, 32   | 2,823 Duggan (17)                                  |
| Feb. 24  | MINNESOTA* (4/4)        | T, 2-2      | Matthews (4), Knight (17)-GT                                                                                                                  | Vetter, 22   | 2,130                                              |
