Yacht	Nation	Owner	Skipper	Launch year
Quantum Racing	(NSW)	Ray Roberts	Ray Roberts	2007
Quetzalcoatl	(NSW)	Bruce/Hampshire/Lee-Warner/Sweetapple	Antony Sweetapple	2001
Ragamuffin	(NSW)	Syd Fischer	Syd Fischer	2004
Rosebud		Roger Sturgeon	Roger Sturgeon	2007
Rush	(VIC)	Ian and John Paterson	John Paterson	1997
Sailors With disABILITIES	(NSW)	David Pescud	David Pescud/John Hearne	2000
Salona	(NSW)	Phillip King	Phillip King	2006
Scarlet Runner	(VIC)	Robert Date	Robert Date	2001
Secret Men's Business #1	(NSW)	SMB Syndicate	Ross Trembath/R Curtis	1996
Sextant	(NSW)	Denis Doyle	Denis Doyle	1999
She	(NSW)	Peter Rodgers	Peter Rodgers	1981
Sheridan Road Rail (Tartan)	(NSW)	Ian Sanford	Ian Sanford	1984
Shogun	(VIC)	Rob Hanna	Rob Hanna	2007
Skandia	(VIC)	Grant Wharington	Grant Wharington	2003
Spirit of Koomooloo	(QLD)	Mike Freebairn	Mike Freebairn	1968
Splash Gordon	(QLD)	Stephen Ellis	Stephen Ellis	1998
Stormy Petrel	(NSW)	Kevin O'Shea	Kevin O'Shea	1970
Swan Song	(NSW)	Geoffrey Hill	Geoffrey Hill	2000
Swish	(NSW)	Steven Proud	Steven Proud	2001
The Bigger Picture	(NSW)	Mike Roberts/Anthony Hooper	Ian Douglas	2002
The Goat	(NSW)	Foye/Gordon	Bruce Foye	2003
Toyota Aurion	(NSW)	Andrew Short	Andrew Short	1993
True North	(SA)	Andrew Saies	Andrew Saies	2000
Wedgetail	(QLD)	Bill Wild	Bill Wild	2005
Wild Oats XI	(NSW)	Bob Oatley	Mark Richards	2005
Wot Yot	(NSW)	Graeme Wood	Graeme Wood	2000
Wot's Next	(NSW)	Graeme Wood	Bill Sykes	2005
Yendys	(NSW)	Geoff Ross	Geoff Ross	2006
Zen	(NSW)	Gordon Ketelbey	Gordon Ketelbey	2004
Zephyr	(NSW)	James Connell & Alex Brandon	James Connell	1984
