| Typ                   | Construction Time | Cylinders | Capacity | Power                   | Top speed                           |
| 12/30 PS              | 1914              | 4 inline  | 3,115 cc | 25,7 kW (35 PS)         |                                     |
| 9/24 (9/30) PS        | 1921–1924         | 4 inline  | 2,298 cc | 17,6–22 kW (24–30 PS)   | 65 km/h (40 mph)–75 km/h (47 mph)   |
| 12/34 (12/40) PS      | 1921–1924         | 4 inline  | 3,115 cc | 25–29 kW (34–40 PS)     | 85 km/h (53 mph)                    |
| 18/60 PS              | 1921–1924         | 4 inline  | 4,712 cc | 44 kW (60 PS)           | 100 km/h (62 mph)                   |
| 6/22 PS               | 1922–1923         | 4 inline  | 1,550 cc | 16 kW (22 PS)           | 75 km/h (47 mph)                    |
| 10/50 PS              | 1925–1927         | 6 inline  | 2,580 cc | 37 kW (50 PS)           | 90 km/h (56 mph)                    |
| 18/80 PS              | 1925–1927         | 6 inline  | 4,704 cc | 59 kW (80 PS)           | 100 km/h (62 mph)                   |
| 6/25 PS               | 1925–1928         | 4 inline  | 1,550 cc | 18 kW (25 PS)           | 80 km/h (50 mph)                    |
| Standard 6            | 1927–1928         | 6 inline  | 2,540 cc | 33 kW (45 PS)           | 85 km/h (53 mph)–90 km/h (56 mph)   |
| Standard 8            | 1928–1933         | 8 inline  | 3,887 cc | 51–59 kW (70–80 PS)     | 100 km/h (62 mph)–105 km/h (65 mph) |
| Standard 6 A/S        | 1928–1934         | 6 inline  | 2,916 cc | 37 kW (50 PS)           | 85 km/h (53 mph)–90 km/h (56 mph)   |
| Favorit               | 1929–1933         | 4 inline  | 1,943 cc | 25,7 kW (35 PS)         | 80 km/h (50 mph)                    |
| Primus 1,5 A          | 1932–1934         | 4 inline  | 1,504 cc | 23,5–24,2 kW (32–33 PS) | 90 km/h (56 mph)                    |
| Trumpf 1,5 AV         | 1932–1934         | 4 inline  | 1,504 cc | 23,5–24,2 kW (32–33 PS) | 95 km/h (59 mph)                    |
| Favorit 2U            | 1933–1934         | 4 inline  | 1,943 cc | 29 kW (40 PS)           | 90 km/h (56 mph)                    |
| Standard 6 3U         | 1933–1934         | 6 inline  | 2,916 cc | 44 kW (60 PS)           | 100 km/h (62 mph)                   |
| Achtzylinder          | 1933–1934         | 8 inline  | 3,887 cc | 59 kW (80 PS)           | 105 km/h (65 mph)                   |
| Trumpf Sport          | 1933–1935         | 4 inline  | 1,645 cc | 34,5 kW (47 PS)         | 115 km/h (71 mph)                   |
| Primus 1,7 A          | 1933–1936         | 4 inline  | 1,645 cc | 28 kW (38 PS)           | 95 km/h (59 mph)                    |
| Trumpf 1,7 AV         | 1933–1936         | 4 inline  | 1,645 cc | 28 kW (38 PS)           | 100 km/h (62 mph)                   |
| Diplomat              | 1934–1938         | 6 inline  | 2,916 cc | 44–48 kW (60–65 PS)     | 100 km/h (62 mph)–105 km/h (65 mph) |
| Trumpf Junior 1G/E    | 1934–1941         | 4 inline  | 995 cc   | 18,4 kW (25 PS)         | 90 km/h (56 mph)                    |
| Trumpf Junior Sport   | 1935–1937         | 4 inline  | 995 cc   | 20,6 kW (28 PS)         | 110 km/h (68 mph)                   |
| Trumpf 1,7 EV         | 1936–1938         | 4 inline  | 1,645 cc | 28 kW (38 PS)           | 102 km/h (63 mph)                   |
| Primus 1,7 E          | 1937–1938         | 4 inline  | 1,645 cc | 28 kW (38 PS)           | 100 km/h (62 mph)                   |
| Adler 2.5-litre       | 1937–1940         | 6 inline  | 2,494 cc | 42,6 kW (58 PS)         | 125 km/h (78 mph)                   |
| Adler 2.5-litre Sport | 1938–1939         | 6 inline  | 2,494 cc | 59 kW (80 PS)           | 150 km/h (93 mph)                   |
| 2 Liter               | 1938–1940         | 4 inline  | 1,910 cc | 33 kW (45 PS)           | 110 km/h (68 mph)                   |
