| Country                                  | 2014        | 2013        | 2012         | 2010         | 2009         | 2008        | 2007         | 2006         | 2005         | 2004         | 2003        | 2002        |
| Estonia                                  | (011) 9.63  | (011) 9.26  | (003) -9.00  | (009) 2.00   | (006) 0.50   | (004) 2.00  | (003) 1.00   | (006) 2.00   | (011) 1.50   | (011) 2.00   | (012) 2.50  | N/A         |
| Austria                                  | (012) 10.01 | (012) 9.40  | (005) -8.00  | (007) 0.50   | (013) 3.00   | (014) 3.50  | (016) 4.25   | (016) 4.50   | (016) 2.50   | (017) 3.25   | (016) 2.75  | (026) 7.50  |
| Czech Republic                           | (013) 10.07 | (016) 10.17 | (014) -5.00  | (023) 7.50   | (024) 5.00   | (016) 4.00  | (014) 4.00   | (005) 0.75   | (009) 1.00   | (019) 3.50   | (012) 2.50  | (041) 11.25 |
| Germany                                  | (014) 10.23 | (017) 10.24 | (016) -3.00  | (017) 4.25   | (018) 3.50   | (020) 4.50  | (020) 5.75   | (023) 5.50   | (018) 4.00   | (011) 2.00   | (008) 1.33  | (007) 1.50  |
| Switzerland                              | (015) 10.47 | (014) 9.94  | (008) -6.20  | (001) 0.00   | (007) 1.00   | (007) 3.00  | (011) 3.00   | (008) 2.50   | (001) 0.50   | (001) 0.50   | (012) 2.50  | (015) 4.25  |
| Ireland                                  | (016) 10.87 | (015) 10.06 | (015) -4.00  | (009) 2.00   | (001) 0.00   | (004) 2.00  | (008) 2.00   | (001) 0.50   | (001) 0.50   | (001) 0.50   | (017) 2.83  | (006) 1.00  |
| Jamaica                                  | (017) 10.90 | (013) 9.88  | (016) -3.00  | (025) 7.67   | (023) 4.75   | (021) 4.88  | (027) 8.63   | (023) 5.50   | (034) 7.50   | (024) 4.17   | (021) 3.33  | N/A         |
| Canada                                   | (018) 11.00 | (020) 12.70 | (010) -5.67  | (021) 7.00   | (019) 3.70   | (013) 3.33  | (018) 4.88   | (016) 4.50   | (021) 4.50   | (018) 3.33   | (010) 1.83  | (005) 0.75  |
| Poland                                   | (019) 11.03 | (022) 13.11 | (024) -0.67  | (032) 8.88   | (037) 9.50   | (047) 9.00  | (056) 18.50  | (058) 14.00  | (053) 12.50  | (032) 6.83   | (033) 6.17  | (029) 7.75  |
| Slovakia                                 | (020) 11.39 | (023) 13.25 | (025) 0.00   | (035) 11.50  | (044) 11.00  | (007) 3.00  | (003) 1.00   | (008) 2.50   | (008) 0.75   | (001) 0.50   | (012) 2.50  | N/A         |
| Costa Rica                               | (021) 12.23 | (018) 12.08 | (019) -2.25  | (029) 8.08   | (030) 8.00   | (022) 5.10  | (021) 6.50   | (029) 6.67   | (041) 8.50   | (035) 7.63   | (024) 3.83  | (015) 4.25  |
| Namibia                                  | (022) 12.50 | (019) 12.50 | (020) -2.00  | (021) 7.00   | (035) 9.00   | (023) 5.50  | (025) 8.50   | (026) 6.00   | (025) 5.50   | (042) 10.00  | (056) 11.00 | (031) 8.00  |
| Belgium                                  | (023) 12.80 | (021) 12.94 | (020) -2.00  | (014) 4.00   | (011) 2.50   | (007) 3.00  | (005) 1.50   | (014) 4.00   | (018) 4.00   | (022) 4.00   | (007) 1.17  | (012) 3.50  |
| Cape Verde                               | (024) 14.32 | (025) 14.33 | (009) -6.00  | (026) 8.00   | (044) 11.00  | (036) 8.00  | (045) 14.00  | (045) 11.50  | (029) 6.00   | (038) 8.75   | (047) 8.25  | (046) 13.75 |
| Cyprus                                   | (025) 14.45 | (024) 13.83 | (016) -3.00  | (045) 13.40  | (025) 5.50   | (031) 7.50  | (045) 14.00  | (030) 7.50   | (025) 5.50   | (081) 22.00  | (083) 20.83 | N/A         |
| Uruguay                                  | (026) 16.08 | (027) 15.92 | (032) 4.25   | (037) 11.75  | (029) 7.63   | (043) 8.33  | (037) 11.75  | (057) 13.75  | (046) 9.75   | (042) 10.00  | (025) 4.00  | (021) 6.00  |
| Ghana                                    | (027) 16.29 | (030) 17.27 | (041) 11.00  | (026) 8.00   | (027) 6.00   | (031) 7.50  | (029) 9.00   | (034) 8.50   | (066) 15.00  | (057) 13.50  | (048) 8.75  | (067) 23.00 |
| Australia                                | (028) 16.91 | (026) 15.24 | (030) 4.00   | (018) 5.38   | (016) 3.13   | (028) 6.25  | (028) 8.79   | (035) 9.00   | (031) 6.50   | (041) 9.50   | (050) 9.25  | (012) 3.50  |
| Belize                                   | (029) 17.05 | N/A         | N/A          | N/A          | N/A          | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Portugal                                 | (030) 17.73 | (028) 16.75 | (033) 5.33   | (040) 12.36  | (030) 8.00   | (016) 4.00  | (008) 2.00   | (010) 3.00   | (023) 4.83   | (025) 4.50   | (028) 5.17  | (007) 1.50  |
| Suriname                                 | (031) 18.20 | (031) 18.19 | (022) -1.00  | (035) 11.50  | (042) 10.60  | (026) 6.00  | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Lithuania                                | (032) 19.20 | (033) 18.24 | (030) 4.00   | (011) 2.50   | (010) 2.25   | (016) 4.00  | (023) 7.00   | (027) 6.50   | (021) 4.50   | (016) 3.00   | (017) 2.83  | N/A         |
| United Kingdom                           | (033) 19.93 | (029) 16.89 | (028) 2.00   | (019) 6.00   | (020) 4.00   | (023) 5.50  | (024) 8.25   | (027) 6.50   | (024) 5.17   | (028) 6.00   | (027) 4.25  | (021) 6.00  |
| Slovenia                                 | (034) 20.38 | (035) 20.49 | (036) 9.14   | (046) 13.44  | (037) 9.50   | (030) 7.33  | (021) 6.50   | (010) 3.00   | (009) 1.00   | (015) 2.25   | (020) 3.00  | (014) 4.00  |
| Spain                                    | (035) 20.63 | (036) 20.50 | (039) 9.75   | (039) 12.25  | (044) 11.00  | (036) 8.00  | (033) 10.25  | (041) 10.00  | (040) 8.33   | (039) 9.00   | (042) 7.67  | (029) 7.75  |
| Organisation of Eastern Caribbean States | (036) 20.81 | (034) 19.72 | (025) 0.00   | (057) 16.50  | N/A          | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Latvia                                   | (037) 21.10 | (039) 22.89 | (050) 15.00  | (030) 8.50   | (013) 3.00   | (007) 3.00  | (012) 3.50   | (010) 3.00   | (016) 2.50   | (010) 1.00   | (011) 2.25  | N/A         |
| El Salvador                              | (038) 21.57 | (038) 22.86 | (037) 9.30   | (051) 15.83  | (079) 17.25  | (062) 12.80 | (064) 20.20  | (041) 10.00  | (028) 5.75   | (028) 6.00   | (037) 6.83  | (033) 8.75  |
| France                                   | (039) 21.89 | (037) 21.60 | (038) 9.50   | (044) 13.38  | (043) 10.67  | (035) 7.67  | (031) 9.75   | (035) 9.00   | (030) 6.25   | (019) 3.50   | (026) 4.17  | (011) 3.25  |
| Samoa                                    | (040) 22.02 | (048) 23.84 | (054) 17.00  | (111) 33.00  | N/A          | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Botswana                                 | (041) 22.91 | (040) 22.91 | (042) 12.00  | (062) 17.50  | (062) 15.50  | (066) 14.00 | (075) 23.50  | (053) 13.00  | (060) 14.00  | (050) 11.50  | (062) 13.00 | N/A         |
| South Africa                             | (042) 23.19 | (052) 24.56 | (042) 12.00  | (038) 12.00  | (033) 8.50   | (036) 8.00  | (043) 13.00  | (044) 11.25  | (031) 6.50   | (026) 5.00   | (021) 3.33  | (026) 7.50  |
| Trinidad and Tobago                      | (043) 23.28 | (044) 23.12 | (050) 15.00  | (030) 8.50   | (028) 7.00   | (027) 6.13  | (019) 5.00   | (019) 5.00   | (012) 2.00   | (011) 2.00   | (005) 1.00  | N/A         |
| Papua New Guinea                         | (044) 23.46 | (041) 22.97 | (035) 9.00   | (042) 13.33  | (056) 14.70  | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Romania                                  | (045) 23.48 | (042) 23.05 | (047) 14.00  | (052) 16.00  | (050) 12.50  | (047) 9.00  | (042) 12.75  | (058) 14.00  | (070) 16.17  | (070) 17.83  | (059) 11.50 | (045) 13.25 |
| United States                            | (046) 23.49 | (032) 18.22 | (047) 14.00  | (020) 6.75   | (020) 4.00   | (036) 8.00  | (048) 14.50  | (053) 13.00  | (044) 9.50   | (022) 4.00   | (031) 6.00  | (017) 4.75  |
| Haiti                                    | (047) 23.53 | (049) 24.09 | (052) 15.67  | (056) 16.38  | (057) 15.00  | (073) 15.13 | (075) 23.50  | (087) 19.50  | (117) 33.50  | (125) 42.13  | (100) 31.00 | (106) 36.50 |
| Niger                                    | (048) 23.59 | (043) 23.08 | (029) 2.50   | (104) 28.50  | (139) 48.50  | (130) 37.00 | (087) 25.50  | (095) 24.50  | (057) 13.00  | (071) 18.33  | (068) 15.75 | (053) 18.50 |
| Italy                                    | (049) 23.75 | (057) 26.11 | (061) 19.67  | (049) 15.00  | (049) 12.14  | (044) 8.42  | (035) 11.25  | (040) 9.90   | (042) 8.67   | (039) 9.00   | (053) 9.75  | (040) 11.00 |
| Taiwan                                   | (050) 23.82 | (047) 23.82 | (045) 13.00  | (048) 14.50  | (059) 15.08  | (036) 8.00  | (032) 10.00  | (043) 10.50  | (051) 12.25  | (060) 14.25  | (061) 12.00 | (035) 9.00  |
| Malta                                    | (051) 23.84 | (045) 23.30 | (058) 19.50  | (014) 4.00   | (011) 2.50   | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Burkina Faso                             | (052) 24.45 | (046) 23.70 | (068) 23.33  | (049) 15.00  | (057) 15.00  | (063) 13.00 | (068) 21.50  | (070) 16.00  | (078) 19.00  | (064) 16.25  | (076) 18.00 | (085) 27.75 |
| Comoros                                  | (053) 24.52 | (051) 24.52 | (045) 13.00  | (070) 19.00  | (082) 19.00  | (089) 20.00 | (096) 28.00  | (093) 22.50  | (088) 22.00  | (091) 26.50  | (079) 18.50 | (058) 20.50 |
| Serbia                                   | (054) 25.05 | (063) 26.59 | (080) 29.00  | (085) 23.00  | (062) 15.50  | (064) 13.50 | (067) 21.00  | (045) 11.50  | (065) 14.83  | (077) 20.13  | (085) 21.33 | (060) 20.75 |
| Argentina                                | (055) 25.27 | (054) 25.67 | (047) 14.00  | (055) 16.35  | (047) 11.33  | (068) 14.08 | (082) 24.83  | (076) 17.30  | (059) 13.67  | (079) 21.33  | (067) 15.17 | (042) 12.00 |
| Moldova                                  | (056) 25.35 | (055) 26.01 | (053) 16.00  | (075) 19.13  | (114) 33.75  | (098) 21.38 | (081) 24.75  | (085) 19.17  | (074) 17.50  | (078) 20.50  | (094) 27.00 | N/A         |
| South Korea                              | (057) 25.66 | (050) 24.48 | (044) 12.67  | (042) 13.33  | (069) 15.67  | (047) 9.00  | (039) 12.13  | (031) 7.75   | (034) 7.50   | (048) 11.13  | (049) 9.17  | (039) 10.50 |
| Chile                                    | (058) 25.80 | (060) 26.24 | (080) 29.00  | (033) 10.50  | (039) 10.50  | (056) 11.50 | (039) 12.13  | (049) 11.63  | (050) 11.75  | (042) 10.00  | (037) 6.83  | (024) 6.50  |
| Japan                                    | (059) 26.02 | (053) 25.17 | (022) -1.00  | (011) 2.50   | (017) 3.25   | (029) 6.50  | (037) 11.75  | (051) 12.50  | (037) 8.00   | (042) 10.00  | (044) 8.00  | (026) 7.50  |
| Mauritania                               | (060) 26.53 | (067) 26.76 | (067) 22.20  | (095) 25.38  | (100) 28.50  | (105) 23.88 | (050) 15.50  | (077) 17.50  | (127) 40.00  | (138) 51.00  | (121) 36.67 | (115) 41.33 |
| Hong Kong                                | (061) 26.55 | (058) 26.16 | (054) 17.00  | (034) 10.75  | (048) 11.75  | (051) 9.75  | (061) 20.00  | (058) 14.00  | (039) 8.25   | (034) 7.50   | (056) 11.00 | (018) 4.83  |
| Senegal                                  | (062) 26.68 | (059) 26.19 | (075) 26.00  | (093) 25.00  | (089) 22.00  | (086) 19.00 | (083) 25.00  | (077) 17.50  | (078) 19.00  | (080) 21.50  | (066) 14.50 | (047) 14.00 |
| Tonga                                    | (063) 26.70 | (066) 26.70 | (063) 21.00  | (087) 23.75  | N/A          | (082) 18.00 | (119) 38.25  | (053) 13.00  | (063) 14.50  | (119) 38.17  | N/A         | N/A         |
| Hungary                                  | (064) 26.73 | (056) 26.09 | (040) 10.00  | (023) 7.50   | (025) 5.50   | (023) 5.50  | (017) 4.50   | (010) 3.00   | (012) 2.00   | (028) 6.00   | (021) 3.33  | (024) 6.50  |
| Croatia                                  | (065) 26.82 | (064) 26.61 | (068) 23.33  | (062) 17.50  | (078) 17.17  | (045) 8.50  | (041) 12.50  | (053) 13.00  | (056) 12.83  | (054) 11.83  | (069) 16.50 | (033) 8.75  |
| Bosnia and Herzegovina                   | (066) 26.86 | (068) 26.86 | (058) 19.50  | (047) 13.50  | (039) 10.50  | (036) 8.00  | (034) 11.17  | (019) 5.00   | (033) 7.00   | (021) 3.67   | (037) 6.83  | (043) 12.50 |
| Guyana                                   | (067) 27.08 | (069) 27.08 | (058) 19.50  | (059) 16.63  | (039) 10.50  | (088) 19.75 | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Dominican Republic                       | (068) 27.17 | (080) 28.34 | (095) 33.25  | (097) 26.13  | (098) 26.83  | (082) 18.00 | (072) 22.75  | (052) 12.75  | (051) 12.25  | (031) 6.75   | (072) 17.00 | N/A         |
| Tanzania                                 | (069) 27.30 | (070) 27.34 | (034) 6.00   | (041) 13.00  | (062) 15.50  | (070) 15.00 | (055) 18.00  | (088) 19.82  | (074) 17.50  | (061) 14.50  | (069) 16.50 | (062) 21.25 |
| Mauritius                                | (070) 27.69 | (062) 26.47 | (054) 17.00  | (065) 18.00  | (051) 14.00  | (047) 9.00  | (025) 8.50   | (032) 8.00   | (034) 7.50   | (046) 10.50  | (041) 7.25  | (036) 9.50  |
| Nicaragua                                | (071) 27.70 | (078) 28.31 | (072) 24.33  | (083) 22.33  | (076) 16.75  | (059) 12.50 | (047) 14.25  | (069) 15.50  | (068) 15.25  | (052) 11.67  | (034) 6.50  | N/A         |
| Sierra Leone                             | (072) 28.23 | (061) 26.35 | (063) 21.00  | (091) 24.25  | (115) 34.00  | (114) 27.75 | (121) 39.50  | (103) 26.00  | (126) 39.50  | (088) 24.50  | (087) 23.50 | (072) 24.50 |
| Malawi                                   | (073) 28.29 | (075) 28.18 | (146) 68.00  | (079) 21.00  | (062) 15.50  | (070) 15.00 | (092) 26.75  | (101) 25.50  | (089) 22.75  | (101) 31.00  | (084) 21.00 | (084) 27.67 |
| Lesotho                                  | (074) 28.36 | (081) 28.36 | (063) 21.00  | (090) 24.00  | (099) 27.50  | (116) 29.50 | (099) 29.50  | (070) 16.00  | (081) 19.50  | (098) 29.50  | (075) 17.75 | N/A         |
| Benin                                    | (075) 28.83 | (079) 28.33 | (091) 31.00  | (070) 19.00  | (072) 16.00  | (070) 15.00 | (053) 17.00  | (023) 5.50   | (025) 5.50   | (027) 5.50   | (029) 5.25  | (021) 6.00  |
| Togo                                     | (076) 29.00 | (083) 28.45 | (079) 28.50  | (060) 17.00  | (062) 15.50  | (053) 10.00 | (049) 15.17  | (066) 15.00  | (095) 23.75  | (075) 19.50  | (095) 27.50 | (097) 31.50 |
| Timor-Leste                              | (077) 29.04 | (090) 28.72 | (086) 30.00  | (093) 25.00  | (072) 16.00  | (065) 13.75 | (094) 27.00  | (083) 18.50  | (058) 13.50  | (057) 13.50  | (030) 5.50  | N/A         |
| Armenia                                  | (078) 29.07 | (074) 28.04 | (077) 27.00  | (101) 27.50  | (111) 31.13  | (102) 22.75 | (077) 23.63  | (101) 25.50  | (102) 26.00  | (083) 23.50  | (090) 25.17 | N/A         |
| Mozambique                               | (079) 29.26 | (073) 28.01 | (066) 21.50  | (098) 26.50  | (082) 19.00  | (090) 20.50 | (073) 23.00  | (045) 11.50  | (049) 10.50  | (064) 16.25  | (063) 14.00 | (070) 23.50 |
| Kosovo                                   | (080) 29.29 | (085) 28.47 | (086) 30.00  | (092) 24.83  | (075) 16.58  | (058) 12.00 | (060) 19.75  | (070) 16.00  | (100) 25.75  | (077) 20.13  | (085) 21.33 | (060) 20.75 |
| Madagascar                               | (081) 29.38 | (088) 28.62 | (084) 29.50  | (116) 34.88  | (134) 45.83  | (094) 21.00 | (061) 20.00  | (066) 15.00  | (097) 24.50  | (072) 18.50  | (046) 8.17  | (065) 22.75 |
| Republic of the Congo                    | (082) 29.44 | (076) 28.20 | (090) 30.38  | (114) 33.60  | (116) 34.75  | (092) 20.75 | (080) 24.50  | (073) 17.00  | (071) 17.00  | (069) 17.50  | (063) 14.00 | (069) 23.17 |
| Northern Cyprus                          | (083) 29.54 | (094) 29.34 | (102) 37.00  | (061) 17.25  | (051) 14.00  | (053) 10.00 | (058) 19.00  | (062) 14.50  | (053) 12.50  | (081) 22.00  | (083) 20.83 | N/A         |
| Georgia                                  | (084) 29.78 | (100) 30.09 | (104) 38.00  | (099) 27.00  | (081) 18.83  | (120) 31.25 | (066) 20.83  | (089) 21.00  | (099) 25.17  | (094) 27.50  | (073) 17.33 | N/A         |
| Albania                                  | (085) 29.92 | (102) 30.88 | (096) 34.44  | (080) 21.50  | (088) 21.75  | (079) 16.00 | (087) 25.50  | (080) 18.00  | (062) 14.17  | (050) 11.50  | (034) 6.50  | N/A         |
| Guinea-Bissau                            | (086) 30.05 | (092) 28.94 | (075) 26.00  | (067) 18.25  | (092) 23.50  | (081) 16.33 | (107) 33.50  | (062) 14.50  | (071) 17.00  | (083) 23.50  | (118) 35.25 | (094) 30.25 |
| Panama                                   | (087) 30.20 | (111) 32.95 | (113) 45.67  | (081) 21.83  | (055) 14.50  | (057) 11.83 | (054) 17.88  | (039) 9.50   | (066) 15.00  | (061) 14.50  | (053) 9.75  | (049) 15.50 |
| Mongolia                                 | (088) 30.30 | (098) 29.93 | (100) 35.75  | (076) 19.42  | (091) 23.33  | (093) 20.83 | (074) 23.40  | (086) 19.25  | (053) 12.50  | (073) 19.00  | (077) 18.25 | (072) 24.50 |
| Liberia                                  | (089) 30.65 | (097) 29.89 | (110) 40.50  | (084) 22.50  | (062) 15.50  | (051) 9.75  | (085) 25.33  | (084) 19.00  | (083) 20.50  | (123) 40.00  | (132) 40.00 | (109) 37.75 |
| Kenya                                    | (090) 30.70 | (071) 27.80 | (084) 29.50  | (070) 19.00  | (096) 25.00  | (097) 21.25 | (078) 23.75  | (118) 30.25  | (109) 30.00  | (082) 22.25  | (079) 18.50 | (075) 24.75 |
| Kuwait                                   | (091) 30.71 | (077) 28.28 | (078) 28.00  | (087) 23.75  | (060) 15.25  | (061) 12.63 | (063) 20.17  | (073) 17.00  | (085) 21.25  | (103) 31.67  | (102) 31.33 | (078) 25.50 |
| Bhutan                                   | (092) 30.73 | (082) 28.42 | (070) 24.00  | (064) 17.75  | (070) 15.75  | (074) 15.50 | (116) 37.17  | (098) 25.00  | (142) 51.50  | (146) 55.83  | (157) 77.33 | (135) 90.75 |
| Zambia                                   | (093) 30.89 | (072) 27.93 | (086) 30.00  | (082) 22.00  | (097) 26.75  | (074) 15.50 | (068) 21.50  | (093) 22.50  | (090) 23.00  | (100) 29.75  | (086) 23.25 | (081) 26.75 |
| Bolivia                                  | (094) 31.04 | (109) 32.80 | (108) 40.00  | (103) 28.13  | (095) 24.17  | (115) 28.20 | (068) 21.50  | (016) 4.50   | (045) 9.67   | (076) 20.00  | (051) 9.67  | (048) 14.50 |
| Ecuador                                  | (095) 31.16 | (119) 34.69 | (104) 38.00  | (101) 27.50  | (084) 20.00  | (074) 15.50 | (056) 18.50  | (068) 15.25  | (087) 21.75  | (066) 16.50  | (042) 7.67  | (020) 5.50  |
| Israel                                   | (096) 31.19 | (112) 32.97 | (092) 31.25  | (086) 23.25  | (093) 23.75  | (046) 8.83  | (044) 13.25  | (050) 12.00  | (047) 10.00  | (036) 8.00   | (044) 8.00  | (092) 30.00 |
| Kyrgyzstan                               | (097) 31.24 | (106) 32.20 | (108) 40.00  | (159) 63.00  | (125) 40.00  | (111) 27.00 | (110) 33.60  | (123) 34.00  | (111) 32.00  | (107) 35.25  | (104) 32.00 | (098) 31.75 |
| Gabon                                    | (098) 31.32 | (089) 28.69 | (101) 36.50  | (107) 28.75  | (129) 43.50  | (110) 26.75 | (102) 31.50  | (114) 28.50  | (102) 26.00  | (115) 37.50  | (101) 31.25 | (058) 20.50 |
| Greece                                   | (099) 31.33 | (084) 28.46 | (070) 24.00  | (070) 19.00  | (035) 9.00   | (031) 7.50  | (030) 9.25   | (032) 8.00   | (018) 4.00   | (033) 7.00   | (031) 6.00  | (019) 5.00  |
| Bulgaria                                 | (100) 31.42 | (087) 28.58 | (080) 29.00  | (070) 19.00  | (068) 15.61  | (059) 12.50 | (051) 16.25  | (035) 9.00   | (048) 10.25  | (036) 8.00   | (034) 6.50  | (038) 9.75  |
| Ivory Coast                              | (101) 31.63 | (096) 29.77 | (159) 83.50  | (118) 36.00  | (103) 29.00  | (109) 26.50 | (094) 27.00  | (098) 25.00  | (144) 52.25  | (149) 60.38  | (137) 42.17 | (055) 19.00 |
| Guinea                                   | (102) 31.67 | (086) 28.49 | (086) 30.00  | (113) 33.50  | (100) 28.50  | (099) 21.50 | (107) 33.50  | (109) 27.50  | (102) 26.00  | (088) 24.50  | (109) 33.17 | (079) 26.00 |
| Seychelles                               | (103) 31.68 | (093) 29.19 | (073) 25.00  | (065) 18.00  | (072) 16.00  | (074) 15.50 | (104) 33.00  | (095) 24.50  | (071) 17.00  | (083) 23.50  | (093) 26.75 | (060) 20.75 |
| Peru                                     | (104) 31.70 | (105) 31.87 | (115) 51.25  | (109) 30.00  | (085) 20.88  | (108) 26.25 | (117) 37.38  | (112) 28.25  | (116) 33.33  | (123) 40.00  | (055) 10.25 | (036) 9.50  |
| Paraguay                                 | (105) 31.81 | (091) 28.78 | (080) 29.00  | (054) 16.25  | (054) 14.33  | (090) 20.50 | (090) 26.10  | (082) 18.25  | (069) 15.50  | (046) 10.50  | (040) 7.17  | (032) 8.50  |
| Lebanon                                  | (106) 31.89 | (101) 30.15 | (093) 31.50  | (078) 20.50  | (061) 15.42  | (066) 14.00 | (098) 28.75  | (107) 27.00  | (108) 28.25  | (087) 24.38  | (106) 32.50 | (056) 19.67 |
| Fiji                                     | (107) 32.57 | (107) 32.69 | (117) 55.00  | (149) 52.75  | (152) 60.00  | (079) 16.00 | (107) 33.50  | (058) 14.00  | (060) 14.00  | (063) 16.00  | (059) 11.50 | N/A         |
| Maldives                                 | (108) 33.11 | (103) 31.10 | (073) 25.00  | (052) 16.00  | (051) 14.00  | (104) 23.25 | (129) 45.17  | (144) 51.25  | (148) 58.50  | (157) 69.17  | (145) 47.50 | N/A         |
| Central African Republic                 | (109) 33.13 | (065) 26.61 | (062) 20.00  | (069) 18.50  | (080) 17.75  | (085) 18.50 | (071) 22.50  | (062) 14.50  | (082) 19.75  | (104) 32.50  | (107) 32.75 | (063) 21.50 |
| Uganda                                   | (110) 33.29 | (104) 31.69 | (139) 64.00  | (096) 25.50  | (086) 21.50  | (107) 26.00 | (096) 28.00  | (116) 29.83  | (080) 19.25  | (086) 24.00  | (091) 25.75 | (052) 17.00 |
| Brazil                                   | (111) 34.03 | (108) 32.75 | (099) 35.33  | (058) 16.60  | (071) 15.88  | (082) 18.00 | (084) 25.25  | (075) 17.17  | (063) 14.50  | (066) 16.50  | (071) 16.75 | (054) 18.75 |
| Nigeria                                  | (112) 34.24 | (115) 34.11 | (126) 56.40  | (145) 51.50  | (135) 46.00  | (131) 37.75 | (131) 49.83  | (120) 32.23  | (123) 38.75  | (117) 37.75  | (103) 31.50 | (049) 15.50 |
| Qatar                                    | (113) 34.32 | (110) 32.86 | (114) 46.00  | (121) 38.00  | (094) 24.00  | (074) 15.50 | (079) 24.00  | (080) 18.00  | (090) 23.00  | (104) 32.50  | (115) 35.00 | N/A         |
| Montenegro                               | (114) 34.78 | (113) 32.97 | (107) 39.00  | (104) 28.50  | (077) 17.00  | (053) 10.00 | (058) 19.00  | (045) 11.50  | (065) 14.83  | (077) 20.13  | (085) 21.33 | (060) 20.75 |
| Tajikistan                               | (115) 34.86 | (123) 35.71 | (122) 56.00  | (115) 34.50  | (113) 32.00  | (106) 25.50 | (115) 37.00  | (117) 30.00  | (113) 33.00  | (095) 27.75  | (113) 34.50 | (086) 28.25 |
| Venezuela                                | (116) 35.37 | (117) 34.44 | (117) 55.00  | (133) 47.33  | (124) 39.50  | (113) 27.33 | (114) 36.88  | (115) 29.00  | (090) 23.00  | (090) 24.63  | (096) 27.83 | (077) 25.00 |
| Brunei                                   | (117) 35.45 | (122) 35.45 | (125) 56.20  | (142) 51.00  | (155) 63.50  | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | (111) 38.00 |
| United Arab Emirates                     | (118) 36.03 | (114) 33.49 | (112) 45.00  | (087) 23.75  | (086) 21.50  | (069) 14.50 | (065) 20.25  | (077) 17.50  | (100) 25.75  | (137) 50.25  | (122) 37.00 | N/A         |
| South Sudan                              | (119) 36.05 | (124) 36.20 | (111) 41.25  | N/A          | N/A          | N/A         | N/A          | N/A          | N/A          | N/A          | N/A         | N/A         |
| Nepal                                    | (120) 36.16 | (118) 34.61 | (106) 38.75  | (119) 36.38  | (118) 35.63  | (138) 43.25 | (137) 53.75  | (159) 73.50  | (160) 86.75  | (160) 84.00  | (150) 51.50 | (127) 63.00 |
| Algeria                                  | (121) 36.26 | (125) 36.54 | (122) 56.00  | (133) 47.33  | (141) 49.56  | (121) 31.33 | (123) 40.50  | (126) 40.00  | (129) 40.33  | (128) 43.50  | (108) 33.00 | (095) 31.00 |
