"Year","City","State, province, dept., etc.","Country","Notes"
"1542","San Luis de la Paz","Guanajuato","Mexico",""
"1543","Antigua Guatemala","Sacatepéquez","Guatemala",""
"1543","Cobán","Alta Verapaz","Guatemala",""
"1543","Santa Cruz Verapaz","Alta Verapaz","Guatemala",""
"1545","Potosí","Potosí","Bolivia",""
"1546","Neyba","Bahoruco","Dominican Republic",""
"1546","Tepezalá","Aguascalientes","Mexico",""
"1548","Asientos","Aguascalientes","Mexico",""
"1548","La Paz","La Paz","Bolivia",""
"1548","Pánuco","Zacatecas","Mexico",""
"1548","Zacatecas","Zacatecas","Mexico",""
"1549","Salvador","Bahia","Brazil",""
"1550","Concepción","Concepción","Chile",""
"1551","Vitória","Espírito Santo","Brazil",""
"1552","Sonsonate","Sonsonate","El Salvador",""
"1553","Santiago del Estero","Santiago del Estero","Argentina","Oldest continuously inhabited European established settlement in Argentina."
"1553","São Bernardo do Campo","São Paulo","Brazil",""
"1554","Embu","São Paulo","Brazil",""
"1554","São Paulo","São Paulo","Brazil",""
"1555","Saín Alto","Zacatecas","Mexico",""
"1556","Chalchihuites","Zacatecas","Mexico",""
"1557","Santo Amaro","Bahia","Brazil",""
"1558","Mérida","Mérida","Venezuela",""
"1560","Ipojuca","Pernambuco","Brazil",""
"1561","Santa Cruz de la Sierra","Santa Cruz","Bolivia",""
"1561","San Cristobal","Táchira","Venezuela",""
"1562","San Juan","San Juan","Argentina",""
"1562","Río Grande","Zacatecas","Mexico",""
"1562","Susticacán","Zacatecas","Mexico",""
"1563","Cartago","Cartago","Costa Rica","Oldest continuously inhabited European established settlement in Costa Rica."
"1564","São Mateus","Espírito Santo","Brazil",""
"1565","Rio de Janeiro","Rio de Janeiro","Brazil",""
"1565","Saint Augustine","Florida","United States","Oldest continuously inhabited European established settlement in the continental United States. Preceded by Puerto Rican colonies, Pensacola, Florida, which was destroyed in 1559, and Fort Caroline, destroyed in 1565."
"1565","Tucumán","Tucumán","Argentina",""
"1567","Caracas","Capital District","Venezuela",""
"1568","Mazapil","Zacatecas","Mexico",""
"1568","Goiana","Pernambuco","Brazil","Declared vila in 1685; cidade in 1840."
"1568","Valaparaíso","Zacatecas","Mexico",""
"1569","Santa Ana","Santa Ana","El Salvador","Built over Mayan city of Sihuatehuacán."
"1570","Jerez","Zacatecas","Mexico",""
"1570","Sombrerete","Zacatecas","Mexico",""
"1571","Cochabamba","Cochabamba","Bolivia",""
"1572","Huancavelica","Huancavelica","Peru",""
"1573","San German","Puerto Rico","United States","Second oldest European settlement in Puerto Rico"
"1573","Córdoba","Córdoba","Argentina",""
"1573","Santa Fé","Santa Fé","Argentina",""
"1574","Huaraz","Ancash","Peru",""
"1574","Tarija","Tarija Department","Bolivia",""
"1575","Aguascalientes","Aguascalientes","Mexico",""
"1576","León","Guanajuato","Mexico",""
"1577","Juayúa","Sonsonate","El Salvador",""
"1578","Fort-Liberté","Nord-Est","Haiti","Originally called Bayaha by the Spanish. Oldest continuously inhabited European established settlement in Haiti."
"1578","Tegucigalpa","Francisco Morazán","Honduras",""
"1579","Coamo","Puerto Rico","United States","Third oldest European settlement in Puerto Rico. In the same area where the Taínos had had their village of Guayama. Coamo became officially a town in 1616, and given the title of villa by Spanish Royal Decree in 1778."
"1580","Buenos Aires","","Argentina",""
"1580","Santo Domingo Xenacoj","Sacatepéquez","Guatemala",""
"1582","Salta","Salta","Argentina",""
"1585","João Pessoa","Paraíba","Brazil",""
"1587","Concepción del Oro","Zacatecas","Mexico",""
"1588","Corrientes","Corrientes","Argentina",""
"1590","São Cristóvão","Sergipe","Brazil","First capital of Sergipe. Formerly known as Sergipe d'El Rei"
"1591","Jiménez del Teul","Zacatecas","Mexico",""
"1591","Juan Aldama","Zacatecas","Mexico",""
"1591","Paudalho","Pernambuco","Brazil",""
"1593","San Salvador de Jujuy","Jujuy","Argentina",""
"1594","Pinos","Zacatecas","Mexico",""
"1594","San Luis","San Luis","Argentina",""
"1596","Monterrey","Nuevo León","Mexico",""
"1596","Villahermosa","Tabasco","Mexico","Originally called Villa Felipe II."
"1597","Portobelo","Colón","Panama",""
"1598","Parras","Coahuila","Mexico",""
"1599","Natal","Rio Grande do Norte","Brazil",""
"1599","Tadoussac","Quebec","Canada","Oldest continuously inhabited French established settlement in the Americas, oldest European established settlement in Quebec."
"1602","David","Chiriquí Province","Panama",""
"1603","Salamanca","Guanajuato","Mexico",""
"1604","Port Royal","Nova Scotia","Canada","Oldest continuously inhabited European established settlement in Nova Scotia."
"1606","Bayaguana","Monte Plata","Dominican Republic",""
"1606","Ibarra","Imbabura","Ecuador",""
"1606","Oruro","Oruro","Bolivia",""
"1607","Jamestown","Virginia","United States","First permanent English established settlement in the Americas."
"1608","Quebec City","Quebec","Canada",""
"1609","Fortaleza","Ceará","Brazil",""
"1610","Kecoughtan","Virginia","United States",""
"1610","León","León","Nicaragua",""
"1610","Santa Fe","New Mexico","United States","Oldest continuously inhabited state or territorial capital in the continental United States. [8]"
"1610","Harbour Grace","Newfoundland and Labrador","Canada",""
"1611","Marechal Deodoro","Alagoas","Brazil",""
"1612","São Luís","Maranhão","Brazil","Capital of Maranhão."
"1612","St. George's","","Bermuda","Oldest continuously inhabited English established settlement in the Americas."
"1613","Penedo","Alagoas","Brazil",""
"1613","Hopewell","Virginia","United States","Oldest continuously inhabited English settlement in North America. Founded in 1613 as Bermuda City by Thomas Dale."
"1614","Albany, New York","New York","United States","Oldest US settlement north of Virginia and second oldest state or territorial capital in the continental United States"
"1614","Sirinhaém","Pernambuco","Brazil","Declared vila in 1627; cidade in 1892."
"1615","Cabo Frio","Rio de Janeiro","Brazil",""
"1615","Posadas","Misiones","Argentina",""
"1615","Taos","New Mexico","United States",""
"1616","Belém","Pará","Brazil","Capital of Pará."
"1616","Medellín","Antioquia","Colombia","Founded by Francisco de Herrera y Campuzano"
"1616","Arecibo","Puerto Rico","United States",""
"1617","Jersey City, New Jersey","New Jersey","United States","Pavonia, New Netherland"
"1618","Cabo de Santo Agostinho","Pernambuco","Brazil","Declared vila in 1811; cidade in 1877."
"1620","Ojocaliente","Zacatecas","Mexico",""
"1620","Plymouth","Massachusetts","United States",""
"1623","Dover","New Hampshire","United States",""
"1623","Gloucester","Massachusetts","United States",""
"1624","Old Road","Saint Christopher","Saint Kitts and Nevis","Oldest continuously inhabited British established settlement in the Caribbean, First successful 'non-Spanish' established settlement in the Caribbean."
"1624","Villa Soriano","Soriano","Uruguay","Oldest continuously inhabited European established settlement in Uruguay."
"1625","New Amsterdam","New York","United States","Now New York City."
"1626","Salem","Massachusetts","United States",""
"1626","Vitória de Santo Antão","Pernambuco","Brazil","Declared vila in 1811; cidade in 1843."
"1627","Basseterre","Saint Christopher","Saint Kitts and Nevis","Oldest continuously inhabited French established settlement in the Caribbean."
"1628","Bridgetown","Saint Michael","Barbados","Second oldest continuously inhabited English established settlement in the Caribbean."
"1630","Boston","Massachusetts","United States",""
"1630","Paramaribo","Paramaribo","Suriname","Oldest continuously inhabited European established settlement in Suriname."
"1630","Speightstown","Saint Peter","Barbados",""
"1631","Biddeford","Maine","United States",""
"1631","Hidalgo del Parral","Chihuahua","Mexico",""
"1631","Saint John","New Brunswick","Canada",""
"1632","Batopilas","Chihuahua","Mexico",""
"1632","Williamsburg","Virginia","United States",""
"1632","St. John's","Antigua","Antigua and Barbuda",""
"1634","Green Bay","Wisconsin","United States","Oldest continuously inhabited French established settlement in the United States."
"1634","St. Mary's City","Maryland","United States",""
"1634","Trois-Rivières","Quebec","Canada",""
"1634","Willemstad","Curaçao","Netherlands","Oldest continuously inhabited Dutch established settlement in the Caribbean."
"1635","Concord","Massachusetts","United States",""
"1635","Old Saybrook","Connecticut","United States","Original Dutch settlement called Kievits Hoek."
"1636","Springfield","Massachusetts","United States",""
"1636","Providence","Rhode Island","United States",""
"1637","Hartford","Connecticut","United States","[9]"
"1638","Belize City","Belize","Belize","Oldest continuously inhabited European established settlement in Belize. Original Mayan city called Holzuz."
"1638","Fort-de-France","","Martinique","Originally called Fort Saint Louis."
"1638","New Haven","Connecticut","United States","[10]"
"1638","Wilmington","Delaware","United States","Grew from Fort Christina, part of the New Sweden colony. Oldest continuously inhabited Swedish established settlement in the Americas."
"1638","Cambridge","Massachusetts","United States",""
"1639","Rincón de Romos","Aguascalientes","Mexico",""
"1639 (prior to)","St. Marks","Florida","United States","[11]"
"1639","Bridgeport","Connecticut","United States",""
"1639","Newport","Rhode Island","United States",""
"1642","Montreal","Quebec","Canada",""
"1642","Lexington","Massachusetts","United States","[12]"
"1642","Warwick","Rhode Island","United States",""
"1643","Basse-Terre","","Guadeloupe","Territorial capital."
"1643","Dolores Hidalgo","Guanajuato","Mexico",""
"1644","Salvatierra","Guanajuato","Mexico",""
"1646","New London","Connecticut","United States",""
"1648","Alcântara","Maranhão","Brazil",""
"1648","Paranaguá","Paraná","Brazil",""
"1649","Annapolis","Maryland","United States",""
"1650","Castries","Castries","Saint Lucia",""
"1650","Saint George's","Saint George","Grenada",""
"1651","Norwalk","Connecticut","United States",""
"1654","Vieux Fort","Vieux Fort","Saint Lucia",""
"1659","Ciudad Juárez","Chihuahua","Mexico",""
"1659","El Paso","Texas","United States",""
"1660","Charlestown","Nevis","St Kitts & Nevis",""
"1660","Placentia","Newfoundland","Canada","French Capital unil 1713, originally called Plaisance"
"1660","Rye","New York","United States",""
"1664","Albany","New York","United States",""
"1664","Cayenne","","French Guiana","Oldest continuously inhabited European established settlement in French Guiana."
"1665","Port-de-Paix","Nord-Ouest Department","Haiti",""
"1666","Codrington","Barbuda","Antigua and Barbuda",""
"1666","Newark","New Jersey","United States",""
"1667","Paraty","Rio de Janeiro","Brazil",""
"1668","Sault Ste. Marie","Michigan","United States","[13], oldest city in Michigan."
"1670","Boqueirão","Paraíba","Brazil",""
"1670","Cap-Haïtien","Nord","Haiti","Originally called \"Cap-Français\""
"1670","Charleston","South Carolina","United States",""
"1672","Charlotte Amalie, St. Thomas","U.S. Virgin Islands","United States","Oldest permanent European settlement in Saint Thomas island. Oldest continuously inhabited Danish established settlement in the Americas."
"1673","Kingston","Ontario","Canada","Grew from Fort Frontenac."
"1673","San José de Gracia","Aguascalientes","Mexico",""
"1673","Worcester","Massachusetts","United States",""
"1674","Cachoeira","Bahia","Brazil",""
"1674","Waterbury","Connecticut","United States",""
"1680","South Orange","New Jersey","United States","Grew from Newark (later Orange)."
"1680","Colonia del Sacramento","Colonia","Uruguay",""
"1681","Cockburn Town","","Turks and Caicos Islands",""
"1682","Philadelphia","Pennsylvania","United States",""
"1682","Norfolk","Virginia","United States",""
"1682","São Borja","Rio Grande do Sul","Brazil",""
"1683","Dover","Delaware","United States",""
"1685","Escada","Pernambuco","Brazil",""
"1686","Trinidad","Beni Department","Bolivia",""
"1687","New Britain","Connecticut","United States",""
"1687","São Luiz Gonzaga","Rio Grande do Sul","Brazil",""
"1687","São Miguel das Missões","Rio Grande do Sul","Brazil",""
"1687","São Nicolau","Rio Grande do Sul","Brazil",""
"1689","Marigot","","Saint Martin",""
"1690","Port of Spain","Trinidad","Trinidad and Tobago",""
"1690","São Lourenço das Missões","Rio Grande do Sul","Brazil",""
"1692","Villanueva","Zacatecas","Mexico",""
"1693","Bom Jesus da Lapa","Bahia","Brazil",""
"1693","Burlington","New Jersey","United States",""
"1693","Curitiba","Paraná","Brazil",""
"1693","Kingston","St Andrew","Jamaica",""
"1695","Nassau","New Providence","Bahamas",""
"1695","Saint-Marc","Artibonite","Haiti",""
"1696","Assú","Rio Grande do Norte","Brazil","Declared vila in 1766; cidade in 1845."
"1696","Rimouski","Quebec","Canada",""
"1698","Ambato","Tungurahua","Ecuador",""
"1698","Pensacola","Florida","United States",""
"1699","Biloxi","Mississippi","United States",""
"1699","Baton Rouge","Louisiana","United States",""
"1700","Barreiras","Bahia","Brazil",""
"1701","Detroit","Michigan","United States",""
"1701","São João del Rei","Minas Gerais","Brazil",""
"1702","Jesús María","Aguascalientes","Mexico",""
"1702","Mobile","Alabama","United States",""
"1703","Kaskaskia","Illinois","United States",""
"1705","Bath","North Carolina","United States",""
"1706","Albuquerque","New Mexico","United States",""
"1706","Santo Ângelo","Rio Grande do Sul","Brazil",""
"1709","Chihuahua","Chihuahua","Mexico",""
"1710","Chatham","New Jersey","United States","On land purchased in 1680."
"1710","New Bern","North Carolina","United States","Birthplace of Pepsi"
"1711","Beaufort","South Carolina","United States",""
"1711","Ouro Preto","Minas Gerais","Brazil",""
"1714","Natchitoches","Louisiana","United States","Oldest settlement in the Louisiana Purchase"
"1714","Antonina","Paraná","Brazil",""
"1714","Laguna","Santa Catarina","Brazil",""
"1714","Serro","Minas Gerais","Brazil",""
"1715 (prior to)","Kekionga","Indiana","United States","Capital of the Miami tribe."
"1716","Natchez","Mississippi","United States","Dates to the founding of Fort Rosalie by the French.[14]"
"1717","Brejo do Cruz","Paraíba","Brazil",""
"1717","Zacatecas","Zacatecas","Mexico",""
"1717","Westborough","Massachusetts","United States","One Hundredth Town in Massachusetts"
"1718","New Orleans","Louisiana","United States",""
"1718","Rio de Contas","Bahia","Brazil",""
"1718","San Antonio","Texas","United States",""
"1718","Tiradentes","Minas Gerais","Brazil",""
"1719","Trenton","New Jersey","United States",""
"1721","Cortazar","Guanajuato","Mexico",""
"1722","Edenton","North Carolina","United States",""
"1723","Guaynabo","Puerto Rico","United States","Declared pueblo in 1723; municipio in 1768."
"1724","Brattleboro","Vermont","United States","Grew out of Fort Dummer."
"1725","Concord","New Hampshire","United States",""
"1726","Florianópolis","Santa Catarina","Brazil",""
"1726","Montevideo","Montevideo","Uruguay",""
"1727","Cuiabá","Mato Grosso","Brazil",""
"1727","Goiás","Goiás","Brazil",""
"1727","Pirenópolis","Goiás","Brazil",""
"1728","Fredericksburg","Virginia","United States",""
"1728","Inhambupe","Bahia","Brazil",""
"1728","Nuuk","","Greenland","Norse colony was originally called Godthab. Oldest continuously inhabited European established settlement in Greenland."
"1729","Baltimore","Maryland","United States",""
"1730","Roseau","Saint George","Dominica",""
"1732","Fredericton","New Brunswick","Canada","Originally called Ste. Anne's Point."
"1732","Vincennes","Indiana","United States",""
"1733","Morretes","Paraná","Brazil",""
"1733","Pau dos Ferros","Rio Grande do Norte","Brazil",""
"1733","Richmond","Virginia","United States","[15]"
"1733","Savannah","Georgia","United States",""
"1736","Augusta","Georgia","United States",""
"1737","Rio Grande","Rio Grande do Sul","Brazil",""
"1738","Fort Rouge","Manitoba","Canada","Now Winnipeg, Manitoba."
"1738","San José","San José","Costa Rica",""
"1740","Santa Rosalía de Camargo","Chihuahua","Mexico",""
"1740","Portalegre","Rio Grande do Norte","Brazil",""
"1740","San Felipe de Puerto Plata","Puerto Plata","Dominican Republic",""
"1741","Viamão","Rio Grande do Sul","Brazil",""
"1743","Canguaretama","Rio Grande do Norte","Brazil","Declared vila in 1858; cidade in 1885."
"1748","Caicó","Rio Grande do Norte","Brazil","Declared vila in 1788; cidade in 1868."
"1749","Alexandria","Virginia","United States",""
"1749","San Ignacio de Velasco","Santa Cruz Department","Bolivia",""
"1749","Port-au-Prince","Ouest Department","Haiti",""
"1749","Halifax","Nova Scotia","Canada",""
"1749","Windsor","Ontario","Canada","Oldest continually-inhabited settlement in Canada west of Montreal"
"1752","Buíque","Pernambuco","Brazil",""
"1752","Patos","Paraíba","Brazil","Declared vila in 1832; cidade in 1903."
"1752","Tubac","Arizona","United States",""
"1754","Augusta","Maine","United States",""
"1755","Charlotte","North Carolina","United States",""
"1756","Salto","Salto","Uruguay",""
"1756","Santa Bárbara de Samaná","Samaná","Dominican Republic",""
"1756","Yauco","Puerto Rico","United States",""
"1757","Estância","Sergipe","Brazil",""
"1758","Pittsburgh","Pennsylvania","United States",""
"1758","Macapá","Amapá","Brazil",""
"1760","Arês","Rio Grande do Norte","Brazil",""
"1760","Sabana de la Mar","Hato Mayor","Dominican Republic",""
"1761","Sacaba","Cochabamba Department","Bolivia",""
"1762","Kingstown","St Vincent","Saint Vincent & The Grenadines",""
"1762","Parnaíba","Piauí","Brazil",""
"1762","Shepherdstown","West Virginia","United States","Originally known as Mecklenburg."
"1762","Allentown","Pennsylvania","United States","Incorporated as Northamptontown."
"1762","Baía da Traição","Paraíba","Brazil",""
"1763","Burlington","Vermont","United States",""
"1763","Pánfilo Natera","Zacatecas","Mexico",""
"1763","Philipsburg","Sint Maarten","Netherlands",""
"1763","St. Louis","Missouri","United States",""
"1764","Charlottetown","Prince Edward Island","Canada",""
"1764","Pointe-à-Pitre","Grand Terre","Guadeloupe",""
"1765","Port Elizabeth","Grenadines","Saint Vincent & The Grenadines",""
"1765","Portsmouth","Saint John","Dominica",""
"1767","Ceará-Mirim","Rio Grande do Norte","Brazil",""
"1767","Araioses","Maranhão","Brazil",""
"1769","Elizabethton","Tennessee","United States",""
"1769","Falmouth","Trelawny","Jamaica",""
"1769","San Diego","California","United States","Grew from Presidio of San Diego"
"1769","Lapa","Paraná","Brazil",""
"1770","Monterey","California","United States","Grew from Presidio of Monterey. Original capital of California [16]"
"1770","Araxá","Minas Gerais","Brazil",""
"1771","Calvillo","Aguascalientes","Mexico",""
"1772","Porto Alegre","Rio Grande do Sul","Brazil",""
"1775","Tucson","Arizona","United States",""
"1774","Castro","Paraná","Brazil",""
"1775","Lexington","Kentucky","United States",""
"1775","Boonesborough","Kentucky","United States","Grew from Fort Boonesborough, built by pioneer Daniel Boone.
-"
"1775","São Lourenço da Mata","Pernambuco","Brazil","District status in 1775; village status in 1884; municipality status in 1890"
"1776","San Francisco","California","United States",""
"1777","San Jose","California","United States","Originally known as El Pueblo de San José de Guadalupe, the first town in the Spanish colony of Nueva California, which later became Alta California."
"1778","Corumbá","Mato Grosso do Sul","Brazil",""
"1778","Louisville","Kentucky","United States","Grew from Fort Nelson, established by explorer George Rogers Clark."
"1778","San Francisco de Macorís","Duarte","Dominican Republic",""
"1779","Jonesborough","Tennessee","United States","Later organized as the lost State of Franklin with Jonesborough as capital 1784."
"1779","Nashville","Tennessee","United States","Grew from Fort Nashborough"
"1780","Codó","Maranhão","Brazil","Declared vila in 1833; cidade in 1896."
"1780","Las Matas de Farfán","San Juan","Dominican Republic",""
"1781","Montpelier","Vermont","United States",""
"1781","Los Angeles","California","United States",""
"1782","Catu","Bahia","Brazil",""
"1782","Georgetown","Demerara-Mahaica","Guyana","Originally called La Nouvelle Ville."
"1783","Vitória da Conquista","Bahia","Brazil",""
"1784","San Fernando","Trinidad","Trinidad and Tobago",""
"1785","Harrisburg","Pennsylvania","United States",""
"1785","North Battleford","Saskatchewan","Canada","1785 fur trading post. 1877 Battleford is capital of the North West Territories. North Battleford incorporated as a city (population 5000+) 1913."
"1785","Asheville","North Carolina","United States",""
"1785","Gustavia","","Saint Barthélemy",""
"1785","Huntington","West Virginia","United States",""
"1785","Sydney","Nova Scotia","Canada",""
"1786","Columbia","South Carolina","United States",""
"1786","Escada","Pernambuco","Brazil","Declared vila in 1854; cidade in 1873."
"1786","Florissant","Missouri","United States","Originally known as St. Ferdinand."
"1786","Frankfort","Kentucky","United States",""
"1786","Portland","Maine","United States",""
"1787","Boa Ventura","Paraíba","Brazil",""
"1788","Marietta","Ohio","United States",""
"1788","Cincinnati","Ohio","United States",""
"1788","Charleston","West Virginia","United States","Grew from Fort Lee. [17]"
"1788","Mercedes","Soriano","Uruguay",""
"1789","Buffalo","New York","United States",""
"1789","Itambé","Pernambuco","Brazil","Declared vila in 1867; cidade in 1879."
"1790","Hamilton","","Bermuda",""
"1790","Washington","District of Columbia","United States",""
"1791","Jacksonville","Florida","United States","Known as \"Cowford\"."
"1791","Knoxville","Tennessee","United States",""
"1791","Bangor","Maine","United States",""
"1792","Raleigh","North Carolina","United States",""
"1793","Sherbrooke","Quebec","Canada",""
"1793","Toronto","Ontario","Canada",""
"1794","Fort Wayne","Indiana","United States",""
"1795","Edmonton","Alberta","Canada","Grew from Fort Edmonton."
"1795","Erie","Pennsylvania","United States","Grew from the French Fort Presque Isle."
"1795","Maryville","Tennessee","United States","Grew from the American Fort Craig."
"1796","Cleveland","Ohio","United States",""
"1796","Oranjestad","Aruba","Netherlands",""
"1797","Chaguanas","Trinidad","Trinidad and Tobago",""
"1797","Franklinton","Ohio","United States","Eventually absorbed by Columbus, Ohio."
"1799","Araruama","Rio de Janeiro","Brazil",""
"1800","Hull","Quebec","Canada","Formerly known as Wrightville."
"1802","Chapadinha","Maranhão","Brazil",""
"1802","Santa Cruz de Barahona","Barahona","Dominican Republic",""
"1803","Chicago","Illinois","United States","Grew from Fort Dearborn."
"1805","Huntsville","Alabama","United States",""
"1807","Hot Springs","Arkansas","United States",""
"1809","Água Preta","Pernambuco","Brazil","Declared vila in 1846; cidade in 1895."
"1810","Guarapuava","Paraná","Brazil",""
"1810","Manchester","New Hampshire","United States",""
"1810","Pilão Arcado","Bahia","Brazil",""
"1810","San Bernardino","California","United States",""
"1811","Garanhuns","Pernambuco","Brazil",""
"1811","Astoria","Oregon","United States",""
"1812","Columbus","Ohio","United States",""
"1812","Pelotas","Rio Grande do Sul","Brazil","Declared vila in 1832; cidade in 1835."
"1813","Capela","Sergipe","Brazil",""
"1813","Chisec","Alta Verapaz","Guatemala",""
"1815","Areia","Paraíba","Brazil",""
"1815","Hamilton","Ontario","Canada",""
"1816","Alagoinhas","Bahia","Brazil",""
"1816","Chattanooga","Tennessee","United States","Originally named Ross's Landing."
"1816","Saginaw","Michigan","United States",""
"1816","Savaneta","Aruba","Netherlands",""
"1817","Fort Smith","Arkansas","United States",""
"1818","Itaguaí","Rio de Janeiro","Brazil",""
"1819","Montgomery","Alabama","United States","Near the site of the earlier French Fort Toulouse."
"1819","Springfield","Illinois","United States",""
"1819","Managua","Managua","Nicaragua",""
