Map or catalog	Creator	Time created	Contets	links
Han Dynasty Nanyang Stone Engraving\n(河南南阳汉石刻画)\n(行雨图Xing Yu Tu)		c. 1st century	Depicted five stars forming a cross	
Eastern Han Celestial Globe and star maps\n(浑天仪)\n(渾天儀圖注,浑天仪图注)\n(靈憲,灵宪)	Zhang Heng (张衡)	117 AD	-	-
Sky Map\n(浑天图)\nand\nHun Tian Yi Shuo\n(浑天仪说)	Lu Ji (陆绩)	187–219 AD 三国	-	-
Reproduced Hun Tian Yi\n(浑天仪)\nand wrote\nHun Tian Xiang Shuo\n(浑天象说)	Wang Fan 王蕃	227–266 AD 三国	-	-
Whole Sky Star Maps\n(全天星圖Quan Tian Xing Tu)	Chen Zhuo (陳卓)	c. 270 AD 西晉初Xi Jin Chu	A Unified Constellation System. Star maps containing 1464 stars in 284 Constellations, written astrology text	-
Equatorial Armillary Sphere\n(渾儀Hun Xi)	Kong Ting (孔挺)	323 AD 東晉 前趙光初六年	level being used in this kind of device	-
Northern Wei Period Iron Armillary Sphere\n(鐵渾儀)	Hu Lan (斛蘭)	Bei Wei\plevel being used in this kind of device	-	
Southern Dynasties Period Whole Sky Planetarium\n(渾天象Hun Tian Xiang)	Qian Lezhi (錢樂之)	443 AD 南朝劉宋元嘉年間	used red, black and white to differentiate stars from different star maps from Shi Shen, Gan De and Wu Xian 甘, 石, 巫三家星	-
Northern Wei Grave Dome Star Map\n(河南洛陽北魏墓頂星圖)		526 AD 北魏孝昌二年	about 300 stars, including the Big Dipper, some stars are linked by straight lines to form constellation. The Milky Way is also shown.	
Water-powered Planetarium\n(水力渾天儀)	Geng Xun (耿詢)	c. 7th century 隋初Sui Chu	-	-
Lingtai Miyuan\n(靈台秘苑)	Yu Jicai (庾季才) and Zhou Fen (周墳)	604 AD 隋Sui	incorporated star maps from different sources	-
Tang Dynasty Whole Sky Ecliptic Armillary Sphere\n(渾天黃道儀)	Li Chunfeng 李淳風	667 AD 貞觀七年	including Elliptic and Moon orbit, in addition to old equatorial design	-
The Dunhuang star map\n(燉煌)	Dun Huang	705–710 AD	1,585 stars grouped into 257 clusters or "asterisms"	
Turfan Tomb Star Mural\n(新疆吐鲁番阿斯塔那天文壁画)		250–799 AD 唐	28 Constellations, Milkyway and Five Stars	
Picture of Fuxi and Nüwa 新疆阿斯達那唐墓伏羲Fu Xi 女媧NV Wa像Xiang		Tang Dynasty	Picture of Fuxi and Nuwa together with some constellations	Image:Nuva fuxi.gif
Tang Dynasty Armillary Sphere\n(唐代渾儀Tang Dai Hun Xi)\n(黃道遊儀Huang dao you xi)	Yixing Monk 一行和尚 (张遂)Zhang Sui and Liang Lingzan 梁令瓚	683–727 AD	based on Han Dynasty Celestial Globe, recalibrated locations of 150 stars, determined that stars are moving	
Tang Dynasty Indian Horoscope Chart\n(梵天火羅九曜)	Yixing Priest 一行和尚 (张遂)\pZhang Sui\p683–727 AD	simple diagrams of the 28 Constellation		
Kitora Kofun 法隆寺FaLong Si　キトラ古墳 in Japan		c. late 7th century – early 8th century	Detailed whole sky map	
Treatise on Astrology of the Kaiyuan Era\n(開元占経,开元占经Kai Yuan zhang Jing)	Gautama Siddha	713 AD –	Collection of the three old star charts from Shi Shen, Gan De and Wu Xian. One of the most renowned collection recognized academically.	-
Big Dipper\n(山東嘉祥武梁寺石刻北斗星)		–	showing stars in Big Dipper	
Prajvalonisa Vjrabhairava Padvinasa-sri-dharani Scroll found in Japan 熾盛光佛頂大威德銷災吉祥陀羅尼經卷首扉畫		972 AD 北宋開寶五年	Chinese 28 Constellations and Western Zodiac	-
Tangut Khara-Khoto (The Black City) Star Map 西夏黑水城星圖		940 AD	A typical Qian Lezhi Style Star Map	-
Star Chart 五代吳越文穆王前元瓘墓石刻星象圖		941–960 AD	-	
Ancient Star Map 先天图 by 陈抟Chen Tuan		c. 11th Chen Tuan 宋Song	Perhaps based on studying of Puyong Ancient Star Map	Lost
Song Dynasty Bronze Armillary Sphere 北宋至道銅渾儀	Han Xianfu 韓顯符	1006 AD 宋道元年十二月	Similar to the Simplified Armillary by Kong Ting 孔挺, 晁崇 Chao Chong, 斛蘭 Hu Lan	-
Song Dynasty Bronze Armillary Sphere 北宋天文院黄道渾儀	Shu Yijian 舒易簡, Yu Yuan 于渊, Zhou Cong 周琮	宋皇祐年中	Similar to the Armillary by Tang Dynasty Liang Lingzan 梁令瓚 and Yi Xing 一行	-
Song Dynasty Armillary Sphere 北宋簡化渾儀	Shen Kuo 沈括 and Huangfu Yu 皇甫愈	1089 AD 熙寧七年	Simplied version of Tang Dynasty Device, removed the rarely used moon orbit.	-
Five Star Charts (新儀象法要)	Su Song 蘇頌	1094 AD	1464 stars grouped into 283 asterisms	Image:Su Song Star Map 1.JPG\nImage:Su Song Star Map 2.JPG
Song Dynasty Water-powered Planetarium 宋代 水运仪象台	Su Song 蘇頌 and Han Gonglian 韩公廉	c. 11th century	-	
Liao Dynasty Tomb Dome Star Map 遼宣化张世卿墓頂星圖		1116 AD 遼天庆六年	shown both the Chinese 28 Constellation encircled by Babylonian Zodiac	
Star Map in a woman's grave (江西德安 南宋周氏墓星相图)		1127–1279 AD	Milky Way and 57 other stars.	
Hun Tian Yi Tong Xing Xiang Quan Tu, Suzhou Star Chart (蘇州石刻天文圖),淳祐天文図	Huang Shang (黃裳)	created in 1193, etched to stone in 1247 by Wang Zhi Yuan 王致遠	1434 Stars grouped into 280 Asterisms in Northern Sky map	
Yuan Dynasty Simplified Armillary Sphere 元代簡儀	Guo Shou Jing 郭守敬	1276–1279	Further simplied version of Song Dynasty Device	
Japanese Star Chart 格子月進図		1324	Similar to Su Song Star Chart, original burned in air raids during World War II, only pictures left. Reprinted in 1984 by 佐佐木英治	
天象列次分野之図(Cheonsang Yeolcha Bunyajido)		1395	Korean versions of Star Map in Stone. It was made in Chosun Dynasty and the constellation names were written in Chinese letter. The constellations as this was found in Japanese later. Contained 1,464 stars.	
Japanese Star Chart 瀧谷寺 天之図		c. 14th or 15th centuries 室町中期以前	-	
Korean King Sejong's Armillary sphere		1433	-	
Star Chart	Mao Kun 茅坤	c. 1422	Polaris compared with Southern Cross and Alpha Centauri	zh:郑和航海图
Korean Tomb		c. late 14th century	Big Dipper	
Ming Ancient Star Chart 北京隆福寺(古星圖)		c. 1453 明代	1420 Stars, possibly based on old star maps from Tang Dynasty	
Chanshu Star Chart (明常熟石刻天文圖)		1506	Based on Suzhou Star Chart, Northern Sky observed at 36.8 degrees North Latitude, 1466 stars grouped into 284 asterism	-
Ming Dynasty Star Map (渾蓋通憲圖說)	Matteo Ricci 利玛窦Li Ma Dou, recorded by Li Zhizao 李之藻	c. 1550	-	
Tian Wun Tu (天问图)	Xiao Yun Cong 萧云从	c. 1600	Contained mapping of 12 constellations and 12 animals	
Zhou Tian Xuan Ji Tu (周天璇玑图) and He He Si Xiang Tu (和合四象圖) in Xing Ming Gui Zhi (性命圭旨)	by 尹真人高第弟子 published by 余永宁	1615	Drawings of Armillary Sphere and four Chinese Celestial Animals with some notes. Related to Taoism.	
Korean Astronomy Book "Selected and Systematized Astronomy Notes" 天文類抄		1623~1649	Contained some star maps	
Ming Dynasty General Star Map (赤道南北兩總星圖)	Xu Guang ci 徐光啟 and Adam Schall von Bell Tang Ruo Wang湯若望	1634	-	
Ming Dynasty diagrams of Armillary spheres and Celestial Globes	Xu Guang ci 徐光啟	c. 1699	-	
Ming Dynasty Planetarium Machine (渾象 Hui Xiang)		c. 17th century	Ecliptic, Equator, and dividers of 28 constellation	
Copper Plate Star Map stored in Korea		1652 順治九年shun zi jiu nian	-	
Japanese Edo period Star Chart 天象列次之図 based on 天象列次分野之図 from Korean	Harumi Shibukawa 渋川春海Bu Chuan Chun Mei(保井春海Bao Jing Chun Mei)	1670 寛文十年	-	
The Celestial Globe 清康熙 天體儀	Ferdinand Verbiest 南懷仁	1673	1876 stars grouped into 282 asterisms	
Picture depicted Song Dynasty fictional astronomer (呉用 Wu Yong) with a Celestial Globe (天體儀)	Japanese painter	1675	showing top portion of a Celestial Globe	File:Chinese astronomer 1675.jpg
Japanese Edo period Star Chart 天文分野之図	Harumi Shibukawa 渋川春海BuJingChun Mei (保井春海Bao JingChunMei)	1677 延宝五年	-	
Korean star map in stone		1687	-	
Japanese Edo period Star Chart 天文図解	井口常範	1689 元禄2年	-	-
Japanese Edo period Star Chart 古暦便覧備考	苗村丈伯Mao Chun Zhang Bo	1692 元禄5年	-	-
Japanese star chart	Harumi Yasui written in Chinese	1699 AD	A Japanese star chart of 1699 showing lunar stations	
Japanese Edo period Star Chart 天文成象Tian Wen Cheng xiang	(渋川昔尹She Chuan Xi Yin) (保井昔尹Bao Jing Xi Yin)	1699 元禄十二年	including Stars from Wu Shien (44 Constellation, 144 stars) in yellow; Gan De (118 Constellations, 511 stars) in black; Shi Shen (138 Constellations, 810 stars) in red and Harumi Shibukawa (61 Constellations, 308 stars) in blue;	
Japanese Star Chart 改正天文図説		unknown	Included stars from Harumi Shibukawa	
Korean Star Map Stone		c. 17th century	-	
Korean Star Map		c. 17th century	-	
Ceramic Ink Sink Cover		c. 17th century	Showing Big Dipper	
Korean Star Map Cube 方星圖	Italian Missionary Philippus Maria Grimardi 閔明我 (1639~1712)	c. early 18th century	-	
Star Chart preserved in Japan based on a book from China 天経或問	You Zi liu 游子六	1730 AD 江戸時代 享保15年	A Northern Sky Chart in Chinese	
Star Chart 清蒙文石刻(欽天監繪製天文圖) in Mongolia		1727–1732 AD	1550 stars grouped into 270 starisms.	
Korean Star Maps, North and South to the Eclliptic 黃道南北恒星圖		1742	-	
Japanese Edo period Star Chart 天経或問註解図巻　下	入江脩敬Ru Jiang YOu Jing	1750 寛延3年	-	-
Reproduction of an ancient device 璇璣玉衡	Dai Zhen 戴震	1723–1777 AD	based on ancient record and his own interpretation	Could be similar to
Rock Star Chart 清代天文石		c. 18th century	A Star Chart and general Astronomy Text	
Korean Complete Star Map (渾天全圖)		c. 18th century	-	
Qing Dynasty Star Catalog (儀象考成,仪象考成)恒星表 and Star Map 黄道南北両星総図	Yun Lu 允禄 and Ignatius Kogler 戴进贤Dai Jin Xian 戴進賢, a German	Device made in 1744, book completed in 1757 清乾隆年间	300 Constellations and 3083 Stars. Referenced Star Catalogue published by John Flamsteed	
Jingban Tianwen Quantu by Ma Junliang 马俊良		1780–90 AD	mapping nations to the sky	
Japanese Edo period Illustration of a Star Measuring Device 平天儀図解	Yan Qiao Shan Bing Heng 岩橋善兵衛	1802 Xiang He Er Nian 享和二年	-	The device could be similar to
North Sky Map 清嘉庆年间Huang Dao Zhong Xi He Tu(黄道中西合图)	Xu Choujun 徐朝俊	1807 AD	More than 1000 stars and the 28 consellation	
Japanese Edo period Star Chart 天象総星之図	Chao Ye Bei Shui 朝野北水	1814 文化十一年	-	-
Japanese Edo period Star Chart 新制天球星象記	田中政均	1815 文化十二年	-	-
Japanese Edo period Star Chart 天球図	坂部廣胖	1816 文化十三年	-	-
Chinese Star map	John Reeves esq	1819 AD	Printed map showing Chinese names of stars and constellations	
Japanese Edo period Star Chart 昊天図説詳解	佐藤祐之	1824 文政七年	-	-
Japanese Edo period Star Chart 星図歩天歌	小島好謙 and 鈴木世孝	1824 文政七年	-	-
Japanese Edo period Star Chart	鈴木世孝	1824 文政七年	-	-
Japanese Edo period Star Chart 天象管鈔 天体図 (天文星象図解)	長久保赤水	1824 文政七年	-	
Japanese Edo period Star Measuring Device 中星儀	足立信順Zhu Li Xin Shun	1824 文政七年	-	-
Japanese Star Map 天象一覧図 in Kanji	桜田虎門	1824 AD 文政７年	Printed map showing Chinese names of stars and constellations	
Korean Star Map 天象列次分野之図 in Kanji		c. 19th century	Printed map showing Chinese names of stars and constellations	[18]
Korean Star Map		c. 19th century, late Choson Period	-	
Korean Star maps: Star Map South to the Ecliptic 黃道南恒星圖 and Star Map South to the Ecliptic 黃道北恒星圖		c. 19th century	Perhaps influenced by Adam Schall von Bell Tang Ruo wang 湯若望 (1591–1666) and P. Ignatius Koegler 戴進賢 (1680–1748)	
Korean Complete map of the celestial sphere (渾天全圖)		c. 19th century	-	
Korean Book of Stars 經星		c. 19th century	Several star maps	
Japanese Edo period Star Chart 方円星図,方圓星図 and 増補分度星図方図	石坂常堅	1826b文政9年	-	-
Japanese Star Chart	伊能忠誨	c. 19th century	-	-
Japanese Edo period Star Chart 天球図説	古筆源了材	1835 天保6年	-	-
Qing Dynasty Star Catalog (儀象考成續編)星表		1844	Appendix to Yi Xian Kao Cheng, listed 3240 stars (added 163, removed 6)	
Stars map (恒星赤道経緯度図)stored in Japan		1844 道光24年 or 1848	-	-
Japanese Edo period Star Chart 経緯簡儀用法	藤岡有貞	1845 弘化２年	-	-
Japanese Edo period Star Chart 分野星図	高塚福昌, 阿部比輔, 上条景弘	1849 嘉永2年	-	-
Japanese Late Edo period Star Chart 天文図屏風	遠藤盛俊	late Edo Period 江戸時代後期	-	-
Japanese Star Chart 天体図	三浦梅園	-	-	-
Japanese Star Chart 梅園星図	高橋景保	-	-	
Korean Book of New Song of the Sky Pacer 新法步天歌	李俊養	1862	Star maps and a revised version of the Song of Sky Pacer	
Stars South of Equator, Stars North of Equator (赤道南恆星圖,赤道北恆星圖)		1875～1908 清末光緒年間	Similar to Ming Dynasty General Star Map	
Fuxi 64 gua 28 xu wood carving 天水市卦台山伏羲六十四卦二十八宿全图		modern	-	-
Korean Map of Heaven and Earth 天地圖		c. 19th century	28 Constellations and geographic map	
Korean version of 28 Constellation 列宿圖		c. 19th century	28 Constellations, some named differently from their Chinese counterparts	
Korean Star Chart 渾天図	朴?	-	-	-
Star Chart in a Dao Temple 玉皇山道觀星圖		1940 AD	-	-
Simplified Chinese and Western Star Map	Yi Shi Tong 伊世同	Aug. 1963	Star Map showing Chinese Xingquan and Western Constellation boundaries	
Sky Map	Yu Xi Dao Ren 玉溪道人	1987	Star Map with captions	
The Chinese Sky during the Han Constellating Stars and Society	Sun Xiaochun and Jacob Kistemaker	1997 AD	An attempt to recreate night sky seen by Chinese 2000 years ago	
Star map		Recent	An attempt by a Japanese to reconstruct the night sky for a historical event around 235 AD 秋風五丈原	
Star maps		Recent	Chinese 28 Constellation with Chinese and Japanese captions	
SinoSky Beta 2.0		2002	A computer program capable of showing Chinese Xingguans alongside with western constellations, lists about 700 stars with Chinese names.	
AEEA Star maps		Modern	Good reconstruction and explanation of Chinese constellations	
Wikipedia Star maps		Modern	-	zh:華蓋星
28 Constellations, big dipper and 4 symbols Star map		Modern	-	
Collection of printed star maps		Modern	-	
28 Xu Star map and catalog	-	Modern	Stars around ecliptic	
HNSKY Korean/Chinese Supplement	Jeong, Tae-Min(jtm71)/Chuang_Siau_Chin	Modern	Korean supplement is based on CheonSangYeulChaBunYaZiDo (B.C.100 ~ A.D.100)	
Stellarium Chinese and Korean Sky Culture	G.S.K. Lee; Jeong, Tae-Min(jtm71); Yu-Pu Wang (evanzxcv)	Modern	Major Xingguans and Star names	
修真內外火侯全圖 Huo Hou Tu	Xi Chun Sheng Chong Hui\p2005 redrawn, original unknown	illustrations of Milkyway and star maps, Chinese constellations in Taoism view		
Star Map with illustrations for Xingguans	坐井★观星Zuo Jing Guan Xing	Modern	illustrations for cylindrical and circular polar maps	
Sky in Google Earth KML		Modern	Attempts to show Chinese Star Maps on Google Earth	
