"Name","Place","Map ref","Date","Notes","Image"
"John Halle's Hall","The New Canal, Salisbury. SP1 2AD","51°05′13″N 1°47′42″W﻿ / ﻿51.086845°N 1.794902°W","15th century with late 19th century frontage.","Originally residential, now entrance to Odeon cinema.","no image"
"91 Crane Street","Salisbury SP1 2PU.","51°04′03″N 1°47′54″W﻿ / ﻿51.067415°N 1.79822°W","mid 14th century","Residential.
Previously called 'Le Crane' in 1455",""
"The King's Arms","St John's Street, Salisbury. SP1 2SB","51°03′58″N 1°47′24″W﻿ / ﻿51.066134°N 1.79012°W","15th century","Probably residential initially, later and now, an inn.",""
"The Old George Inn","15-17 The High Street, Salisbury. SP1 2NT","51°04′04″N 1°47′51″E﻿ / ﻿51.067839°N 1.797405°E","14th century","This old inn has a number of literary and historical connections, now, with ground floor removed, entrance to shopping mall. No longer an inn.",""
"Church House","99/101 Crane St, Salisbury. SP1 2QE","51°04′03″N 1°47′57″W﻿ / ﻿51.067378°N 1.799258°W","15/18th century","Originally donated by the Audley family as a workhouse, now diocesan administrative offices.",""
"Joiners' Hall","St Ann's Street, Salisbury. SP1 2DX","51°03′58″N 1°47′24″W﻿ / ﻿51.066188°N 1.79012°W","Early 17th century","Initially a guild meeting hall, now residential",""
"Mill House and Old Mill","Town Path, Harnham, Salisbury","51°03′50″N 1°48′30″W﻿ / ﻿51.063839°N 1.808217°W","14/15th century","Mill house, restored early 19th century, now with hotel attached.",""
"School of Arts Annexe","4 New Street, Salisbury. SP1 2PH","51°04′02″N 1°47′40″E﻿ / ﻿51.067093°N 1.794379°E","18th century","Originally part of Salisbury School of Art, now offices.",""
"The Poultry Cross","Silver Street/Minster Street, Salisbury. SP1 2NG","51°04′08″N 1°47′46″E﻿ / ﻿51.068759°N 1.79616°E","14th century","Originally to mark the site of a market. Still used as a market site twice weekly.",""
"Trinity Street Almshouses","Nos. 1-13 Trinity Street Salisbury. SP1 2BD","51°04′01″N 1°47′31″W﻿ / ﻿51.066881°N 1.79185°W","1379","2 storied medieval hospital and accommodation rebuilt in 1702, now accommodation for elderly people.",""
"Crane Bridge","Cranebridge Road, Salisbury. SP1 2QE","51°04′04″N 1°47′50″W﻿ / ﻿51.067721°N 1.797134°W","15th century","4 span bridge over River Avon.",""
"Harnham Bridge or Ayleswade Bridge","St Nicholas Road, Salisbury. SP1 2SN","51°03′38″N 1°47′47″W﻿ / ﻿51.060616°N 1.796501°W","1244","The oldest bridge in Salisbury. Built by Bishop Bingham over the River Avon",""
"Remains of Old Sarum Castle and Cathedral","Castle Road, Salisbury. SP1 3YS","51°05′34″N 1°48′17″W﻿ / ﻿51.092904°N 1.804762°W","12th century","Originally an important town and citadel, now a historical site.",""
