| Name                              | First held | Country        | Earliest attendance figure known | 1998 attendance | 2000 attendance | 2002 Attendance | 2004 attendance | 2006 attendance | 2008 attendance | 2010 attendance | 2012 Attendance |
| Anime Friends                     | 2003       | Brazil         | 25000(2004)                      |                 |                 |                 | 25000           | 50000           | 120000          | n/a             | n/a             |
| Metrocon                          | 2003       | USA            |                                  |                 |                 | 2400            | 4000            | n/a             | 6665            | 8033            |                 |
| Anime Vegas                       | 2004       | USA            | 1019(2004)                       |                 |                 |                 | 1019            | 2774            | 3100            | n/a             | n/a             |
| Anime Nebraskon                   | 2004       | USA            | n/a                              |                 |                 |                 | 300             | n/a             | n/a             | 2000            | n/a             |
| Tsubasacon                        | 2004       | USA            | 407(2004)                        |                 |                 |                 | 407             | 564             | 723             | 1105            | 1320            |
| Kawaii Kon                        | 2005       | Hawaii         | 2610 (2005)                      |                 |                 |                 |                 | 2610            | 3495            | 4877            | 6077            |
| MechaCon                          | 2005       | USA            | 750 (2005)                       |                 |                 |                 |                 | 1100            | 2065            | 3480            | 4780            |
| Naka-Kon                          | 2005       | USA            | 300 (2005)                       |                 |                 |                 |                 | n/a             | 2091            | 3862            | 5000            |
| RealmsCon                         | 2005       | USA            | 1148(2006)                       |                 |                 |                 |                 | 1148            | 1542            | n/a             | n/a             |
| Sac-Anime                         | 2005       | USA            | 2000(2006)                       |                 |                 |                 |                 | 2000            | n/a             | n/a             | 5000            |
| AniZona                           | 2005       | USA            | 850(2005)                        |                 |                 |                 |                 | 1200            | n/a             | n/a             | n/a             |
| Aurora-Con                        | 2006       | USA            | 623(2006)                        |                 |                 |                 |                 | 623             | n/a             | n/a             | n/a             |
| Youmacon                          | 2005       | USA            | 1078(2005)                       |                 |                 |                 |                 | 2125            | 4494            | n/a             | 12156           |
| Anime Punch                       | 2005       | USA            | 200(2005)                        |                 |                 |                 |                 | 977             | 1337            | 1206            | n/a             |
| Animefest.cz                      | 2004       | Czech Republic | 250(2004)                        |                 |                 |                 | 250             | 450             | 1000            | 1300            | n/a             |
| Daigacon                          | 2007       | USA            | 257(2007)                        |                 |                 |                 |                 |                 | n/a             | n/a             | n/a             |
| Matsuricon                        | 2006       | USA            | 25(2006)                         |                 |                 |                 |                 | 25              | 684             | 1403            | n/a             |
| Shinboku-con                      | 2007       | USA            | 193(2007)                        |                 |                 |                 |                 |                 | 467             | 623             | 703             |
| Zenkaikon                         | 2005       | USA            | 450(2006)                        |                 |                 |                 |                 | 450             | 1352            | n/a             | 2,736           |
| ConBravo!                         | 2010       | USA            | 350(2010)                        |                 |                 |                 |                 |                 |                 | 350             | 2119            |
| Oni-Con                           | 2004       | USA            | 3000(2004)                       |                 |                 |                 | 3000            | 6000            | n/a             | n/a             | n/a             |
| Otakuthon                         | 2006       | USA            | 1872(2006)                       |                 |                 |                 |                 | 1872            | 3048            | 7310            | 11000           |
| G-Anime                           | 2009       | USA            | 828(2009)                        |                 |                 |                 |                 |                 |                 | 1029            | 1486            |
| Senshi-Con                        | 2005       | USA            | 300(2005)                        |                 |                 |                 |                 | n/a             | 1200            | 1000            | 1600            |
| Anime Matsuri                     | 2007       | USA            | n/a                              |                 |                 |                 |                 |                 | n/a             | n/a             | 10422           |
| Anime-ZAP!                        | 2010       | USA            | 158(2010)                        |                 |                 |                 |                 |                 |                 | 158             | n/a             |
| Aniwave                           | 2010       | USA            | 400(2010)                        |                 |                 |                 |                 |                 |                 | 400             | n/a             |
| Saboten Con                       | 2008       | USA            | 2730(2011)                       |                 |                 |                 |                 |                 | n/a             | n/a             | 3432            |
