"Year","English title","Japanese","Romanization","Type"
"1996","The Way to Fight","喧嘩の花道 大阪最強伝説","Kenka no hanamichi: Ōsaka saikyō densetsu","Video"
"1996","Fudoh: The New Generation","極道戦国志 不動","Gokudō sengokushi: Fudō","Film"
"1997","(Jingi naki yabō 2)","仁義なき野望2","Jingi naki yabō 2","Video"
"1997","Young Thugs: Innocent Blood","岸和田少年愚連隊 血煙り純情篇","Kishiwada shōnen gurentai: Chikemuri junjō-hen","Film"
"1997","Rainy Dog","極道黒社会 RAINY DOG","Gokudō kuroshakai","Film"
"1997","Full Metal Yakuza","FULL METAL 極道","Full Metal gokudō","Video"
"1998","The Bird People in China","中国の鳥人","Chûgoku no chôjin","Film"
"1998","Andromedia","アンドロメデイア andromedia","Andoromedia","Film"
"1998","Blues Harp","BLUES HARP","n/a","Film"
"1998","Young Thugs: Nostalgia","岸和田少年愚連隊 望郷","Kishiwada shōnen gurentai: Bōkyō","Film"
"1999","Man, A Natural Girl","天然少女萬","Tennen shōjo Man","TV"
"1999","Ley Lines","日本黒社会","Nihon kuroshakai","Film"
"1999","Silver","シルバー SILVER","Silver: shirubā","Video"
"1999","Audition","オーディション","Ōdishon","Film"
"1999","Dead or Alive","DEAD OR ALIVE 犯罪者","Dead or Alive: Hanzaisha","Film"
"1999","Salaryman Kintaro
White Collar Worker Kintaro","サラリーマン金太郎","Sarariiman Kintarō","Film"
"1999","Man, Next Natural Girl: 100 Nights In Yokohama
N-Girls vs Vampire","天然少女萬NEXT 横浜百夜篇","Tennen shōjo Man next: Yokohama hyaku-ya hen","TV"
"2000","The Making of 'Gemini'","(unknown)","Tsukamoto Shin'ya ga Ranpo suru","TV documentary"
"2000","MPD Psycho","多重人格探偵サイコ","Tajū jinkaku tantei saiko: Amamiya Kazuhiko no kikan","TV miniseries"
"2000","The City of Lost Souls
The City of Strangers
The Hazard City","漂流街 THE HAZARD CITY","Hyōryū-gai","Film"
"2000","The Guys from Paradise","天国から来た男たち","Tengoku kara kita otoko-tachi","Film"
"2000","Dead or Alive 2: Birds
Dead or Alive 2: Runaway","DEAD OR ALIVE 2 逃亡者","Dead or Alive 2: Tōbōsha","Film"
"2001","(Kikuchi-jō monogatari: sakimori-tachi no uta)","鞠智城物語 防人たちの唄","Kikuchi-jō monogatari: sakimori-tachi no uta","Film"
"2001","(Zuiketsu gensō: Tonkararin yume densetsu)","隧穴幻想 トンカラリン夢伝説","Zuiketsu gensō: Tonkararin yume densetsu","Film"
"2001","Family","FAMILY","n/a","Film"
"2001","Visitor Q","ビジターQ","Bijitā Q","Video"
"2001","Ichi the Killer","殺し屋1","Koroshiya 1","Film"
"2001","Agitator","荒ぶる魂たち","Araburu tamashii-tachi","Film"
"2001","The Happiness of the Katakuris","カタクリ家の幸福","Katakuri-ke no kōfuku","Film"
"2002","Dead or Alive: Final","DEAD OR ALIVE FINAL","n/a","Film"
"2002","(Onna kunishū ikki)","おんな 国衆一揆","Onna kunishū ikki","(unknown)"
"2002","Sabu","SABU さぶ","Sabu","TV"
"2002","Graveyard of Honor","新・仁義の墓場","Shin jingi no hakaba","Film"
"2002","Shangri-La","金融破滅ニッポン 桃源郷の人々","Kin'yū hametsu Nippon: Tōgenkyō no hito-bito","Film"
"2002","Pandōra","パンドーラ","Pandōra","Music video"
"2002","Deadly Outlaw: Rekka
Violent Fire","実録・安藤昇侠道（アウトロー）伝 烈火","Jitsuroku Andō Noboru kyōdō-den: Rekka","Film"
"2002","Pāto-taimu tantei","パートタイム探偵","Pāto-taimu tantei","TV series"
"2003","The Man in White","許されざる者","Yurusarezaru mono","Film"
"2003","Gozu","極道恐怖大劇場 牛頭 GOZU","Gokudō kyōfu dai-gekijō: Gozu","Film"
"2003","Yakuza Demon","鬼哭 kikoku","Kikoku","Video"
"2003","Kōshōnin","交渉人","Kōshōnin","TV"
"2003","One Missed Call
You've Got a Call","着信アリ","Chakushin Ari","Film"
"2004","Zebraman","ゼブラーマン","Zeburāman","Film"
"2004","Pāto-taimu tantei 2","パートタイム探偵2","Pāto-taimu tantei 2","TV"
"2004","Box segment in Three... Extremes","BOX（『美しい夜、残酷な朝』）","Saam gaang yi","Segment in feature film"
"2004","Izo","IZO","IZO","Film"
"2005","Ultraman Max","ウルトラマンマックス","Urutoraman Makkusu","Episodes 15 and 16 from TV tokusatsu series"
"2005","The Great Yokai War","妖怪大戦争","Yokai Daisenso","Film"
"2006","Big Bang Love, Juvenile A
4.6 Billion Years of Love","46億年の恋","46-okunen no koi","Film"
"2006","Waru","WARU","Waru","Film"
"2006","Imprint episode from Masters of Horror","インプリント ～ぼっけえ、きょうてえ～","Inpurinto ~bokke kyote~","TV episode"
"2006","Waru: kanketsu-hen","","Waru: kanketsu-hen","Video"
"2006","Sun Scarred","太陽の傷","Taiyo no kizu","Film"
"2007","Sukiyaki Western Django","スキヤキ・ウエスタン ジャンゴ","Sukiyaki wesutān jango","Film"
"2007","Crows Zero","クローズZERO","Kurōzu Zero","Film"
"2007","Like a Dragon","龍が如く 劇場版","Ryu ga Gotoku Gekijōban","Film"
"2007","Zatoichi","座頭市","Zatōichi","Stageplay"
"2007","Detective Story","探偵物語","Tantei monogatari","Film"
"2008","God's Puzzle","神様のパズル","Kamisama no pazuru","Film"
"2008","K-tai Investigator 7","ケータイ捜査官7","Keitai Sōsakan 7","TV"
"2009","Yatterman","ヤッターマン","Yattaaman","Film"
"2009","Crows Zero 2","クローズZERO 2","Kurōzu Zero 2","Film"
"2010","Thirteen Assassins","十三人の刺客","Jûsan-nin no shikaku","Film"
"2010","Zebraman 2: Attack on Zebra City","ゼブラーマン -ゼブラシティの逆襲","Zeburāman -Zebura Shiti no Gyakushū","Film"
"2011","Ninja Kids!!!","忍たま乱太郎","Nintama Rantarō","Film"
"2011","Hara-Kiri: Death of a Samurai","一命","Ichimei","Film"
"2012","Ace Attorney","逆転裁判","Gyakuten Saiban","Film"
"2012","For Love's Sake","愛と誠","Ai to makoto","Film"
"2012","Lesson of the Evil","悪の教典","Aku no Kyōten","Film"
"2013","Shield of Straw","藁の楯","Wara no Tate","Film"
"2013","The Mole Song: Undercover Agent Reiji","土竜の唄　潜入捜査官 REIJI","Mogura no uta – sennyu sosakan: Reiji","Film"
