| Model                                    | Fuel Type | mpg (US gallons) | L/100 km | NZ Rating (Stars) |
| Ford Fiesta 5DR 1.6 M                    | petrol    | 35.6             | 6.6      | 4.5               |
| Mitsubishi I-car 660P 5DR A              | petrol    | 39.8             | 5.9      | 4.5               |
| Toyota RAV4 2.2D WAGON 6M L1             | diesel    | 35.6             | 6.6      | 4.5               |
| BMW 118I 5 DOOR M E87                    | petrol    | 35               | 6.7      | 4.5               |
| Jeep Patriot 2.0L CRD HIGH LINE          | diesel    | 35               | 6.7      | 4.5               |
| Renault Clio 1.6 3DR 4SP A P             | petrol    | 35               | 6.7      | 4.5               |
| Alfa Romeo Brera 2.4 JTD 3D 6 SPEED      | diesel    | 34.6             | 6.8      | 4.5               |
| Audi A6 2.7 TDI QUATTRO TIP              | diesel    | 34.6             | 6.8      | 4.5               |
| BMW 535D SEDAN 6A 4D 3.0L                | diesel    | 34.6             | 6.8      | 4.5               |
| Suzuki SX4 GLXF 1.6 5DR                  | petrol    | 34.6             | 6.8      | 4.5               |
| Suzuki SX4 GLXH2 1.6 5DR                 | petrol    | 34.6             | 6.8      | 4.5               |
| Volkswagen Crosstouran 103KW TDI 6DSG    | diesel    | 34.6             | 6.8      | 4.5               |
| Volkswagen Touran 103KW TDI 6DSG         | diesel    | 34.6             | 6.8      | 4.5               |
| Holden Barina 3DR HATCH MANUAL           | petrol    | 34               | 6.9      | 4.5               |
| Holden Barina 5DR HATCH MANUAL           | petrol    | 34               | 6.9      | 4.5               |
