"Outcome","No.","Date","Tournament","Surface","Partner","Opponents in the final","Score in the final"
"Winner","20.","7 March 1982","Los Angeles","Carpet","Kathy Jordan","Barbara Potter
 Sharon Walsh","6–3, 7–5"
"Winner","21.","20 March 1982","Boston","Carpet","Kathy Jordan","Rosemary Casals
 Wendy Turnbull","7–6, 2–6, 6–4"
"Runner-up","23.","28 March 1982","New York City","Carpet","Kathy Jordan","Martina Navratilova
 Pam Shriver","4–6, 3–6"
"Runner-up","24.","18 April 1982","Fort Worth","Clay","Kathy Jordan","Martina Navratilova
 Pam Shriver","5–7, 3–6"
"Runner-up","25.","2 May 1982","Orlando","Clay","Kathy Jordan","Rosemary Casals
 Wendy Turnbull","3–6, 3–6"
"Winner","22.","5 June 1982","French Open","Clay","Martina Navratilova","Rosemary Casals
 Wendy Turnbull","6–3, 6–4"
"Runner-up","26.","20 June 1982","Eastbourne","Grass","Kathy Jordan","Martina Navratilova
 Pam Shriver","3–6, 4–6"
"Runner-up","27.","3 July 1982","Wimbledon","Grass","Kathy Jordan","Martina Navratilova
 Pam Shriver","4–6, 1–6"
"Runner-up","28.","24 October 1982","Filderstadt","Hard (i)","Candy Reynolds","Martina Navratilova
 Pam Shriver","2–6, 3–6"
"Winner","23.","21 November 1982","Brisbane","Grass","Billie Jean King","Claudia Kohde-Kilsch
 Eva Pfaff","6–3, 6–4"
"Runner-up","29.","10 January 1983","Washington, D.C.","Carpet","Kathy Jordan","Martina Navratilova
 Pam Shriver","6–4, 5–7, 3–6"
"Runner-up","30.","20 February 1983","Chicago","Carpet","Kathy Jordan","Martina Navratilova
 Pam Shriver","1–6, 2–6"
"Runner-up","31.","20 March 1983","Boston","Carpet","Kathy Jordan","Jo Durie
 Ann Kiyomura","3–6, 1–6"
"Runner-up","32.","3 April 1983","Tokyo","Carpet","Kathy Jordan","Billie Jean King
 Sharon Walsh","1–6, 1–6"
"Winner","24.","24 April 1983","Orlando","Clay","Billie Jean King","Martina Navratilova
 Pam Shriver","6–3, 1–6, 7–6"
"Runner-up","33.","4 June 1983","French Open","Clay","Kathy Jordan","Rosalyn Fairbank
 Candy Reynolds","7–5, 5–7, 2–6"
"Winner","25.","22 April 1984","Amelia Island","Clay","Kathy Jordan","Anne Hobbs
 Mima Jaušovec","6–4, 3–6, 6–4"
"Runner-up","34.","7 July 1984","Wimbledon","Grass","Kathy Jordan","Martina Navratilova
 Pam Shriver","3–6, 4–6"
"Winner","26.","31 March 1985","Palm Beach Gardens","Clay","Joanne Russell","Laura Arraya
 Gabriela Sabatini","1–6, 6–1, 7–6(4)"
"Runner-up","35.","26 January 1986","Wichita","Carpet","Joanne Russell","Kathy Jordan
 Candy Reynolds","3–6, 7–6(5), 3–6"
"Winner","27.","9 March 1986","Hershey","Carpet","Candy Reynolds","Sandy Collins
 Kim Sands","7–6(8), 6–1"
"Winner","28.","5 October 1986","New Orleans","Carpet","Candy Reynolds","Svetlana Parkhomenko
 Larisa Savchenko","6–3, 3–6, 6–3"
"Runner-up","36.","2 November 1986","Indianapolis","Hard (i)","Candy Reynolds","Zina Garrison
 Lori McNeil","5–4 ret."
"Winner","29.","18 February 1990","Chicago","Carpet","Martina Navratilova","Arantxa Sánchez Vicario
 Nathalie Tauziat","6–7(9), 6–4, 6–3"
"Runner-up","37.","22 July 1990","Newport","Grass","Patty Fendick","Lise Gregory
 Gretchen Magers","6–7(7), 1–6"
"Winner","30.","12 August 1990","Albuquerque","Hard","Meredith McGrath","Mareen Louie-Harper
 Wendy White","7–6(2), 6–4"
"Winner","31.","4 November 1990","Oakland","Carpet","Meredith McGrath","Rosalyn Fairbank
 Robin White","2–6, 6–0, 6–4"
"Winner","32.","24 February 1991","Oklahoma City","Hard (i)","Meredith McGrath","Katrina Adams
 Jill Hetherington","6–2, 6–4"
