	Year	Name	City	Country	Guests of Honor	Size
34th	1976	MidAmeriCon	Kansas City, Missouri	United States	Robert A. Heinlein	3,014
35th	1977	SunCon	Miami Beach, Florida	United States	Jack Williamson (pro)\nRobert A. Madle (fan)	3,240\n(4,200)
36th	1978	IguanaCon II	Phoenix, Arizona	United States	Harlan Ellison (pro)\nBill Bowers (fan)	4,700
37th	1979	Seacon '79	Brighton	UK	Brian Aldiss (UK)\nFritz Leiber (US)\nHarry Bell (fan)	3,114
38th	1980	Noreascon Two	Boston, Massachusetts	United States	Damon Knight (pro)\nKate Wilhelm (pro)\nBruce Pelz (fan)	5,850
39th	1981	Denvention Two	Denver, Colorado	United States	Clifford D. Simak (pro)\nC.L. Moore (pro)\nRusty Hevelin (fan)	3,792
40th	1982	Chicon IV	Chicago, Illinois	United States	A. Bertram Chandler (pro)\nFrank Kelly Freas (pro)\nLee Hoffman (fan)	4,275
41st	1983	ConStellation	Baltimore, Maryland	United States	John Brunner (pro)\nDavid A. Kyle (fan)	6,400
42nd	1984	L.A.con II	Anaheim, California	United States	Gordon R. Dickson (pro)\nDick Eney (fan)	8,365
43rd	1985	Aussiecon Two	Melbourne, Victoria	Australia	Gene Wolfe (pro)\nTed White (fan)	1,599
44th	1986	ConFederation	Atlanta, Georgia	United States	Ray Bradbury (pro)\nTerry Carr (fan)	5,811
45th	1987	Conspiracy '87	Brighton	UK	Doris Lessing (UK)\nAlfred Bester (US)\nBoris and Arkady Strugatsky (USSR)\nJim Burns (artist)\nRay Harryhausen (film)\nJoyce and Ken Slater (fan)\nDavid Langford (special fan)	4,009\n(5,425)
46th	1988	Nolacon II	New Orleans, Louisiana	United States	Donald A. Wollheim (pro)\nRoger Sims (fan)	5,300
47th	1989	Noreascon 3	Boston, Massachusetts	United States	Andre Norton (pro)\nBetty and Ian Ballantine (pro)\nThe Stranger Club (fan)	6,837\n(7,795)
48th	1990	ConFiction	The Hague	Netherlands	Harry Harrison (pro)\nWolfgang Jeschke (pro)\nJoe Haldeman (pro)\nAndrew I. Porter (fan)	3,580
49th	1991	Chicon V	Chicago, Illinois	United States	Hal Clement (pro)\nMartin H. Greenberg (pro)\nRichard Powers (pro)\nJon and Joni Stopa (fan)	5,661
50th	1992	MagiCon	Orlando, Florida	United States	Jack Vance (pro)\nVincent Di Fate (artist)\nWalter A. Willis (fan)	5,319\n(6,368)
51st	1993	ConFrancisco	San Francisco, California	United States	Larry Niven\nAlicia Austin\nTom Digby (fan)\nJan Howard Finder\nMark Twain (Dead GoH)	6,602
52nd	1994	ConAdian	Winnipeg	Canada	Anne McCaffrey (pro)\nGeorge Barr (artist)\nRobert Runte (fan)	3,570\n(7,725)
53rd	1995	Intersection	Glasgow, Scotland	UK	Samuel R. Delany (writer)\nGerry Anderson (media)\nLes Edwards (artist)\nVin¢ Clarke (fan)	4,173\n(6,524)
54th	1996	L.A.con III	Anaheim, California	United States	James White (writer)\nRoger Corman (media)\nElsie Wollheim (special)\nTakumi and Sachiko Shibano (fan)	6,703
55th	1997	LoneStarCon 2	San Antonio, Texas	United States	Algis Budrys (pro)\nMichael Moorcock (pro)\nDon Maitz (artist)\nRoy Tackett (fan)	4,634\n(5,614)
56th	1998	BucConeer	Baltimore, Maryland	United States	C. J. Cherryh\nMilton A. Rothman\nStanley Schmidt\nMichael Whelan\nJ. Michael Straczynski (special)	6,572
57th	1999	Aussiecon Three	Melbourne, Victoria	Australia	Gregory Benford, author\nGeorge Turner, author\nBruce Gillespie, fan	1,626\n(2,872)
58th	2000	Chicon 2000	Chicago, Illinois	United States	Ben Bova (author)\nBob Eggleton (artist)\nJim Baen (editor)\nBob & Anne Passovoy (fan)	5,794\n(6,574)
59th	2001	Millennium Philcon	Philadelphia, Pennsylvania	United States	Greg Bear (author)\nStephen Youll (artist)\nGardner Dozois (editor)\nGeorge H. Scithers (fan)	4,840\n(6,269)
60th	2002	ConJosé	San Jose, California	United States	Vernor Vinge (author)\nDavid Cherry (artist)\nBjo & John Trimble (fan)\nFerdinand Feghoot (imaginary)	5,162\n(5,916)
61st	2003	Torcon 3	Toronto	Canada	George R. R. Martin (author)\nFrank Kelly Freas (artist)\nMike Glyer (fan)\nRobert Bloch (GoHst of Honor)	3,834\n(4,986)
62nd	2004	Noreascon 4	Boston, Massachusetts	United States	Terry Pratchett (pro)\nWilliam Tenn (pro)\nJack Speer (fan)\nPeter Weston (fan)	5,651\n(7,485)
63rd	2005	Interaction	Glasgow, Scotland	UK	Greg Pickersgill\nChristopher Priest\nRobert Sheckley\nLars-Olov Strandberg\nJane Yolen	4,115\n(5,202)
64th	2006	L.A.con IV	Anaheim, California	United States	Connie Willis (Author)\nJames Gurney (Artist)\nHoward DeVore (fan)\nFrankie Thomas (Special)	5,738\n(6,291)
65th	2007	Nippon 2007	Yokohama	Japan	Sakyo Komatsu (author)\nDavid Brin (author)\nTakumi Shibano (fan)\nYoshitaka Amano (artist)\nMichael Whelan (artist)	3,348\n(5,149)
66th	2008	Denvention 3	Denver, Colorado	United States	Lois McMaster Bujold (pro)\nTom Whitmore (fan)\nRick Sternbach (artist)	3,752
67th	2009	Anticipation	Montréal, Québec	Canada	Neil Gaiman (pro)\nElisabeth Vonarburg (pro)\nTaral Wayne (fan)\nDavid Hartwell (editor)\nTom Doherty (publisher)	3,925\n(4,499)
68th	2010	Aussiecon Four	Melbourne, Victoria	Australia	Kim Stanley Robinson (author)\nRobin Johnson (fan)\nShaun Tan (artist)	2,101\n(3,462)
69th	2011	Renovation	Reno, Nevada	United States	Tim Powers\nEllen Asher\nBoris Vallejo\nCharles N. Brown (in memoriam)	4,112\n(5,526)
70th	2012	Chicon 7	Chicago, Illinois	United States	Mike Resnick (author)\nRowena Morrill (artist)\nStory Musgrave (astronaut)\nPeggy Rae Sapienza (fan)\nJane Frank (agent)\nSy Liebergot (special guest)\nJohn Scalzi (toastmaster)	4,743\n(6,197)
71st	2013	LoneStarCon 3	San Antonio, Texas	United States	Ellen Datlow\nJames Gunn\nWillie Siros\nNorman Spinrad\nDarrell K. Sweet (in memoriam)\nPaul Cornell (toastmaster)\nLeslie Fish\nJoe R. Lansdale	4,311\n(6,060)
72nd	2014	Loncon 3	London	UK	Iain M. Banks (in memoriam)\nJohn Clute\nChris Foss\nMalcolm Edwards\nJeanne Gomoll\nRobin Hobb\nBryan Talbot	
73rd	2015	Sasquan	Spokane, Washington	United States	Brad Foster\nDavid Gerrold\nVonda McIntyre\nTom Smith\nLeslie Turek	
