"","Name on the Register","Date listed","Location","City or town","Summary"
"34","Greenfield Village and Henry Ford Museum","October 20, 1969
(#69000071)","Bounded by Michigan Ave. on the N, Village Rd. on the S, Southfield Expwy. on the E, and Oakland Blvd. on the W
42°18′16″N 83°13′30″W﻿ / ﻿42.304444°N 83.225°W","Dearborn","The Henry Ford is the nation's \"largest indoor-outdoor history museum\" complex. Named for its founder, the noted automobile industrialist Henry Ford, and based on his desire to preserve items of historical significance and portray the Industrial Revolution, the property houses a vast array of famous homes, machinery, exhibits, and Americana. It is also known as the Edison Institute or Greenfield Village."
"35","Greenmead Farms","March 24, 1972
(#72000672)","38125 Base Line Rd.
42°26′17″N 83°25′05″W﻿ / ﻿42.438056°N 83.418056°W","Livonia","Greenmead Farms was originally the farm of Joshua Simmons, who moved to the property in 1825. The farm includes the 1829 North Barn (the first barn built in Livonia) and an 1841 Greek Revival farmhouse. Additional structures, including four mid-19th-century farmhouses, have been moved to the property as the surrounding area has been developed."
"36","Grosse Pointe High School","May 20, 1993
(#93000429)","11 Grosse Pointe Blvd.
42°23′27″N 82°54′08″W﻿ / ﻿42.390833°N 82.902222°W","Grosse Pointe Farms","Grosse Pointe South was added to the Register for its significance in architecture, art, and education. The school anchors one of Grosse Pointe's most historically significant neighborhoods, the Beverly Road Historic District. Grosse Pointe Memorial Presbyterian Church, Christ Church Grosse Pointe, and Richard Elementary School are all within two blocks of the school."
"37","Grosse Pointe Memorial Church","December 6, 1993
(#93001351)","16 Lake Shore Dr.
42°23′20″N 82°53′58″W﻿ / ﻿42.388889°N 82.899444°W","Grosse Pointe Farms","In 1865, a group of Grosse Pointe residents founded the nondenominational Grosse Pointe Protestant Evangelical Church. In 1920, the congregation reorganized as a Presbyterian church. Truman Handy Newberry and his brother John donated nearly $300,000 to the congregation for a new church building, as a memorial to their parents John and Helen."
"38","Hamtramck Stadium","July 31, 2012
(#12000458)","3201 Dan St.
42°23′23″N 83°03′03″W﻿ / ﻿42.38982°N 83.050699°W","Hamtramck","Hamtramck Stadium, also known as Roesink Stadium, is one of only 12 remaining Negro league baseball stadiums. It was home to the Detroit Stars of 1930-31, 1933, and 1937. It was also home to the Detroit Wolves who played in 1932."
"39","Highland Heights-Stevens' Subdivision Historic District","February 8, 1988
(#88000050)","Bounded by Woodward Ave., the alley south of E. Buena Vista Ave., Oakland Ave., and the alley south of Massachusetts Ave.
42°23′49″N 83°05′13″W﻿ / ﻿42.396944°N 83.086944°W","Highland Park","The Highland Heights-Stevens' Subdivision Historic District is a residential historic district of primarily single-family homes built in the early 20th-century. The houses are fine representation of the variety of American residential architecture in the years 1900–1930. Styles represented include foursquares, bungalows, and various revival styles."
"40","Highland Park General Hospital","October 31, 1985
(#85003400)","357 Glendale Ave.
42°23′41″N 83°06′19″W﻿ / ﻿42.394722°N 83.105278°W","Highland Park","The Highland Park General Hospital is a significant landmark in the history of Highland Park. The hospital was one of the first two institutions established when Highland Park incorporated as a city in 1916. The primary building faces Glendale, and includes the original hospital building, built in 1918, and the attached nurses' residence, built in 1925."
"41","Highland Park Plant, Ford Motor Company","February 6, 1973
(#73000961)","15050 Woodward Ave.
42°24′37″N 83°05′40″W﻿ / ﻿42.410278°N 83.094444°W","Highland Park","The Highland Park Ford Plant was a production plant for Ford Motor Company The plant was designed by Albert Kahn in 1908 and was opened in 1910. Because of its spacious design, it set the precedent for many factories and production plants built thereafter. In 1913, the Highland Park Ford Plant became the first automobile production facility in the world to implement the assembly line"
"42","Highland Park Presbyterian Church","August 3, 1982
(#82002920)","14 Cortland St.
42°23′48″N 83°05′30″W﻿ / ﻿42.396667°N 83.091667°W","Highland Park","The Highland Park Presbyterian Church was established in 1893 as a mission church of the First Presbyterian Church of Detroit. Three years later a small chapel was built on the site of the present church. However, the congregation grew to over two hundred members, and the present building was constructed from 1910 to 1911. The building is now known as the Park United Presbyterian Church."
"43","Hull's Trace North Huron River Corduroy Segment","December 13, 2010
(#10001022)","36000 W. Jefferson Ave.
42°02′48″N 83°12′43″W﻿ / ﻿42.046667°N 83.211944°W","Brownstown Charter Township","At the beginning of the War of 1812, troops under the command of General William Hull constructed what became known as \"Hull's Trace,\" a 200-mile (320 km) military road running from Urbana, Ohio to Fort Detroit. This corduroy road segment is the only known extant portion of what was the first military road and first federal road in the United States."
"44","Jefferson Avenue – Huron River and Harbin Drive – Silver Creek Canal Bridges","February 10, 2000
(#00000080)","Jefferson Ave. over Huron R.; Harbin Dr. over Silver Creek Canal
42°02′32″N 83°12′52″W﻿ / ﻿42.042222°N 83.214444°W","Brownstown Charter Township","This listing comprises two separate bridges: the Jefferson Avenue Bridge, which carries W. Jefferson Avenue over the Huron River and the smaller Harbin Drive Bridge spanning the Silver Creek Canal. The Jefferson Avenue Bridge connects Wayne County to Berlin Charter Township in Monroe County and is also listed on the NRHP listings in Monroe County article."
"45","William and Margot Kessler House","September 30, 2013
(#13000801)","1013 Cadieux Road
42°23′00″N 82°54′55″W﻿ / ﻿42.383335°N 82.915183°W","Grosse Pointe Park","The William and Margot Kessler House was constructed in 1959 by architect William Kessler for himself, his wife Margot, and his family. The most dramatic features of the house are the saw-tooth roof and the textured brick privacy fence that creates an enclosed garden along the front of the house."
"46","Orrin and Roxanne Fairman Kinyon House","June 9, 2000
(#00000649)","7675 N. Ridge Rd.
42°20′30″N 83°31′43″W﻿ / ﻿42.341667°N 83.528611°W","Canton","This house is a Greek Revival farmhouse, of post and beam construction, sided with wood and sitting on a stone foundation. It was built in 1850 by Orrin Kinyon, the son of one of Canton Township's original settlers."
"47","Charles J. and Ingrid V. (Frendberg) Koebel House","December 8, 2009
(#09001068)","203 Cloverly Road
42°24′17″N 82°53′57″W﻿ / ﻿42.404606°N 82.899186°W","Grosse Pointe Farms","This Modernist house was the first commission for the father-and-son firm of Eliel and Eero Saarinen. The house integrates the exterior architecture, sculpture, interior design, lighting, and furnishings."
"48","Lilley Road – Lower Rouge River Bridge","February 10, 2000
(#00000078)","Lilley Rd. over Lower Rouge R.
42°16′46″N 83°27′24″W﻿ / ﻿42.279444°N 83.456667°W","Canton Township","This bridge was originally built in 1923–1924 for installation where Telegraph Road crossed a branch of the Rouge River just north of Warren Road. However, Telegraph Road was soon widened, and the bridge was removed and in 1933 installed at the Lilley Road crossing of the Lower Rouge River."
"49","Lincoln Park Post Office","February 4, 2004
(#03001551)","1335 Southfield Rd.
42°15′01″N 83°10′44″W﻿ / ﻿42.250278°N 83.178889°W","Lincoln Park","The design of this 1938 building, created by supervising architect of the treasury Louis A. Simon, was used for a number of other Depression-era post offices in the state of Michigan."
"50","George P. MacNichol House","May 24, 1984
(#84001859)","2610 Biddle Ave.
42°12′27″N 83°08′56″W﻿ / ﻿42.2075°N 83.148889°W","Wyandotte","In 1896, Edward Ford (also the builder of the Ford-Bacon House across the street) hired Malcomson & Higginbotham to design this home as wedding gift for his daughter Laura on her marriage to George P. MacNichol. The house is currently used as the Wyandotte Historical Museum."
"51","Marx House","August 13, 1976
(#76001043)","2630 Biddle Ave.
42°12′26″N 83°08′56″W﻿ / ﻿42.207222°N 83.148889°W","Wyandotte","The Marx House was built in approximately 1862 for Warren Isham. In the next 60 years, the house went through six owners, including Charles W. Thomas, Wyandotte's first druggist, and Dr. Theophilus Langlois, a prominent physician who served as Wyandotte's mayor for two terms and contributed to other civic projects in the city. In 1921, the house was purchased by John Marx, the city attorney and scion of a local brewery owner."
"52","Medbury's-Grove Lawn Subdivisions Historic District","February 8, 1988
(#88000049)","Roughly bounded by Hamilton Ave., the alley south of Louise Ave., Woodward Ave., and the alley south of Puritan Ave.
42°24′46″N 83°06′28″W﻿ / ﻿42.412778°N 83.107778°W","Highland Park","Medbury's-Grove Lawn Subdivisions Historic District is a residential historic district, built up primarily in the 1910s and 1920s. It features a variety of architectural styles that were popular at the time. Bungalows and bungalow-style houses with Craftsman or colonial details predominate, and, in fact, the neighborhood is significant for containing Michigan's most outstanding collection of single-family bungalows and bungalow-style homes. However, foursquare, colonial revival, and English cottage homes are also present within the neighborhood."
"53","Mellus Newspapers Building","July 20, 2005
(#05000716)","1661 Fort St.
42°15′06″N 83°10′31″W﻿ / ﻿42.251667°N 83.175278°W","Lincoln Park","In 1941, William S. Mellus constructed this building to house his Lincoln Parker newspaper. The company remained in the building until a 1986 merger with Heritage Newspapers. The building was eventually purchased by the Lincoln Park Downtown Development Authority, and was demolished on May 13, 2010."
"54","Northville Historic District","July 31, 1972
(#72000673)","Bounded roughly by Cady, Rogers, and Randolph Sts.
42°25′54″N 83°29′03″W﻿ / ﻿42.431667°N 83.484167°W","Northville","This district is located in the heart of old Northville, and is primarily residential, although the 73 contributing structures include several commercial buildings and a church. The majority of district consists of Gothic Revival houses constructed between 1860 and 1880."
"55","Norwayne Historic District","July 9, 2013
(#13000479)","Generally bounded by Palmer, Wildwood, Glenwood & Merriman Rds., Wayne County Lower Rouge Pkwy.
42°17′32″N 83°21′55″W﻿ / ﻿42.292228°N 83.365140°W","Westland","The Norwayne subdivision was originally built in 1942 by the National Housing Agency to house workers employed at nearby defense industry plants, including the Willow Run Bomber Plant. The project originally had 1189 residential buildings, a Management Office, a fire station, a church, two elementary schools, and several commercial properties. Streets in the subdivision are primarily curvilinear, following the Federal Housing Administration guidelines published in the late 1930s."
"56","Palmer Park Boulevard Apartments District","January 22, 1992
(#91001983)","1981, 2003 and 2025 W. McNichols Rd.
42°25′02″N 83°07′15″W﻿ / ﻿42.417222°N 83.120833°W","Highland Park","The Palmer Park Boulevard Apartments District is a collection of three apartment building located at 1981, 2003 and 2025 West McNichols Road. These three adjacent buildings were all built in the same time period (the mid-1920s), all were designed by the same architect (Richard H. Marr), and all share a uniform height, setback, and general plan."
"57","Parke Lane Road – Thorofare Canal Bridge","February 4, 2000
(#00000043)","Parke Lane Rd. over Thorofare Ch.
42°10′05″N 83°08′38″W﻿ / ﻿42.168056°N 83.143889°W","Grosse Ile","The Parke Lane Road-Thorofare Canal Bridge is of a rare cantilevered concrete arch design. The traditional arch bridge design requires a complete arch. In contrast, the cantilevered arch design is divided into two structurally independent half-arches which are each cantilevered from one side with a slab suspended between the two cantilevered sections."
"58","John and Eliza Barr Patterson House","June 9, 2000
(#00000647)","6205 N. Ridge Rd.
42°19′34″N 83°31′40″W﻿ / ﻿42.326111°N 83.527778°W","Canton","In 1844, John Patterson married Eliza Barr; the couple purchased another plot of land and built this Greek Revival house. The farm remained in the family until 1999. The grounds still contain rose, daylily, and peony plantings that date from the late 19th and early 20th centuries."
"59","Redford Township District No. 5 School","March 28, 1997
(#97000279)","18499 Beech Daly Rd.
42°25′28″N 83°17′50″W﻿ / ﻿42.424444°N 83.297222°W","Redford","This school was built using stock plans available free of charge from the state superintendent of public instruction, and is a rare surviving unremodeled example of a school featuring every detail of the original plans. It is still used as the John C. Raeside Administration Building of the Redford Union School District."
"60","Pere Gabriel Richard Elementary School","July 22, 1994
(#94000752)","176 McKinley Ave.
42°23′43″N 82°54′18″W﻿ / ﻿42.395278°N 82.905°W","Grosse Pointe Farms","This school, named for Father Gabriel Richard (1767–1832), was designed by Robert O. Derrick in the French Renaissance style. It first opened its doors in September 1930, with a population of 389 students."
"61","Rosedale Gardens Historic District","July 19, 2010
(#10000478)","Arden St. to Hubbard St. between Plymouth Rd. and West Chicago St.
42°21′54″N 83°21′29″W﻿ / ﻿42.365°N 83.358056°W","Livonia","Rosedale Gardens was platted by the Shelden Land Company in the 1920s. The company modeled the development on Rosedale Park in Detroit. The first wood-sided houses were built in 1925. When the Great Depression hit, construction stopped for a time; the developer bricked over existing homes, and continued with brick construction when building resumed later in the 1930s."
"62","STE. CLAIRE (steamer)","November 2, 1979
(#79001177)","Ecorse waterfront
42°15′37″N 83°07′26″W﻿ / ﻿42.260278°N 83.123889°W","Ecorse",""
"63","St. Florian Historic District","September 13, 1984
(#84001865)","Roughly bounded by Joseph Campau Ave., Holbrook Ave., Dequindre, Norwalk, Lumpkin, and Yemans Sts.
42°23′41″N 83°03′42″W﻿ / ﻿42.394722°N 83.061667°W","Hamtramck","In the early part of the 20th century, the Roman Catholic Archdiocese of Detroit recognized the need for a church to serve Polish residents, of Hamtramck, many of whom flocked to the city to work at the Dodge automotive factory. St. Florian parish was established in 1907, and a church was consecrated in 1909. As the parish grew, congregants amassed over $500,000 to build a second, grander church. This one was consecrated on October 21, 1928."
"64","St. James Episcopal Church","November 19, 1971
(#71000434)","25150 E. River Rd.
42°07′29″N 83°08′33″W﻿ / ﻿42.124722°N 83.1425°W","Grosse Ile","St. James Episcopal Church was constructed in 1867. Funds to build the church came primarily from the estate of Lisette Denison Forth, a freed slave who had willed the builk of her savings to the purpose of constructing an Episcopalian house of worship. The red doors of the structure are dedicated to the memory and benevolence of Lisette Denison Forth."
"65","Saint Paul Catholic Church Complex","June 17, 1994
(#94000621)","157 Lake Shore Dr.
42°23′41″N 82°53′37″W﻿ / ﻿42.394722°N 82.893611°W","Grosse Pointe Farms","The St. Paul Roman Catholic parish was the first Cathoic parish in the Grosse Pointes, organized in 1835 but with roots back to the 1790s. The present church building, the third for the parish, was designed by Harry J. Rill and was completed in 1899[2] at a cost of just over $23,000. The church is constructed of brick and stone, and is designed in the French Gothic Revival style, an unusual class of architecture in the Detroit area."
"66","Carl E. and Alice Candler Schmidt House","August 24, 2005
(#05000909)","301 Lake Shore Rd.
42°24′18″N 82°53′18″W﻿ / ﻿42.405°N 82.888333°W","Grosse Pointe Farms","Carl E. Schmidt was a tanner with a succssful Detroit business; he was also a close friend and political advisor to Hazen Pingree, who served as both mayor of Detroit and governor of Michigan. Schmidt and his wife Alice built this Shingle-style house in 1909."
"67","Sheldon Inn","June 2, 2000
(#00000618)","44134 Michigan Ave. (Canton Township)
42°16′31″N 83°28′28″W﻿ / ﻿42.275278°N 83.474444°W","Sheldon","The Sheldon Inn is a two-story Greek Revival apartment building, previously used as a single-family home and a travelers' inn. The Inn was built by Timothy and Rachel Sheldon, one of the very first families to settle in Canton Township, in 1825."
"68","George and Mary Pine Smith House","June 2, 2000
(#00000619)","3704 S. Sheldon Rd. (Canton Township)
42°16′47″N 83°28′37″W﻿ / ﻿42.279722°N 83.476944°W","Sheldon","The land this house sits on was first farmed by William Smith of England, who purchased 80 acres (320,000 m2) of land in 1830. William Smith and his wife Mary Collins Smith raised seven children on this farm, establishing a long line of Smiths farming in Canton Township. William's grandson George Smith Jr. married Mary Pine, and in 1904, George Jr. and Mary Smith spent $2,058.76 to build the house that now sits on the property. Although the present acreage is small, outbuildings on the property give the feel of the old farmstead and the wooded edges isolate the house from the surrounding modern developments."
