| No. | Temple                    | Honzon (main image)      | City/Town/Village | Prefecture           |
| 60  | Yokomine-ji (横峰寺)         | Dainichi Nyorai          | Saijō             | Ehime Prefecture     |
| 61  | Kōon-ji (香園寺)             | Dainichi Nyorai          | Saijō             | Ehime Prefecture     |
| 62  | Hōju-ji (宝寿寺)             | Jūichimen Kannon         | Saijō             | Ehime Prefecture     |
| 63  | Kichijō-ji (吉祥寺)          | Bishamonten              | Saijō             | Ehime Prefecture     |
| 64  | Maegami-ji (前神寺)          | Amida Nyorai             | Saijō             | Ehime Prefecture     |
| 65  | Sankaku-ji (三角寺)          | Jūichimen Kannon         | Shikokuchūō       | Ehime Prefecture     |
| 66  | Unpen-ji (雲辺寺)            | Senjū Kannon             | Miyoshi           | Tokushima Prefecture |
| 67  | Daikō-ji (大興寺)            | Yakushi Nyorai           | Mitoyo            | Kagawa Prefecture    |
| 68  | Jinne-in (神恵院)            | Amida Nyorai             | Kan'onji          | Kagawa Prefecture    |
| 69  | Kannon-ji (観音寺)           | Shō Kannon               | Kan'onji          | Kagawa Prefecture    |
| 70  | Motoyama-ji (本山寺)         | Batō Kannon              | Mitoyo            | Kagawa Prefecture    |
| 71  | Iyadani-ji (弥谷寺)          | Senjū Kannon             | Mitoyo            | Kagawa Prefecture    |
| 72  | Mandara-ji (曼荼羅寺)         | Dainichi Nyorai          | Zentsūji          | Kagawa Prefecture    |
| 73  | Shusshakaji (出釈迦寺)        | Shaka Nyorai             | Zentsūji          | Kagawa Prefecture    |
| 74  | Kōyama-ji (甲山寺)           | Yakushi Nyorai           | Zentsūji          | Kagawa Prefecture    |
| 75  | Zentsū-ji (善通寺)           | Yakushi Nyorai           | Zentsūji          | Kagawa Prefecture    |
| 76  | Konzō-ji (金倉寺)            | Yakushi Nyorai           | Zentsūji          | Kagawa Prefecture    |
| 77  | Dōryū-ji (道隆寺)            | Yakushi Nyorai           | Tadotsu           | Kagawa Prefecture    |
| 78  | Gōshō-ji (郷照寺)            | Amida Nyorai             | Utazu             | Kagawa Prefecture    |
| 79  | Tennō-ji (天皇寺)            | Jūichimen Kannon         | Sakaide           | Kagawa Prefecture    |
| 80  | Sanuki Kokubun-ji (讃岐国分寺) | Jūichimen & Senjū Kannon | Takamatsu         | Kagawa Prefecture    |
| 81  | Shiromine-ji (白峯寺)        | Senjū Kannon             | Sakaide           | Kagawa Prefecture    |
| 82  | Negoro-ji (根香寺)           | Senjū Kannon             | Takamatsu         | Kagawa Prefecture    |
| 83  | Ichinomiya-ji (一宮寺)       | Shō Kannon               | Takamatsu         | Kagawa Prefecture    |
| 84  | Yashima-ji (屋島寺)          | Jūichimen & Senjū Kannon | Takamatsu         | Kagawa Prefecture    |
| 85  | Yakuri-ji (八栗寺)           | Shō Kannon               | Takamatsu         | Kagawa Prefecture    |
| 86  | Shido-ji (志度寺)            | Jūichimen Kannon         | Sanuki            | Kagawa Prefecture    |
| 87  | Nagao-ji (長尾寺)            | Shō Kannon               | Sanuki            | Kagawa Prefecture    |
| 88  | Ōkubo-ji (大窪寺)            | Yakushi Nyorai           | Sanuki            | Kagawa Prefecture    |
