Rank	Bib	Name	Nationality	Start	Penalties (P+P+S+S)	Time	Deficit
24	21	Klemen Bauer	Slovenia	1:16	4 (1+0+3+0)	34:55.4	+2:19.9
25	26	Christian De Lorenzi	Italy	1:30	1 (0+0+0+1)	34:57.5	+2:22.0
26	20	Jean-Guillaume Béatrix	France	1:15	4 (0+1+2+1)	34:58.4	+2:22.9
27	33	Daniel Mesotitsch	Austria	1:39	3 (0+0+2+1)	34:58.7	+2:23.2
28	19	Evgeniy Garanichev	Russia	1:14	5 (2+0+2+1)	35:04.2	+2:28.7
29	30	Matej Kazár	Slovakia	1:36	5 (2+1+1+1)	35:04.9	+2:29.4
30	17	Andriy Deryzemlya	Ukraine	1:13	4 (0+0+2+2)	35:05.3	+2:29.8
31	35	Ondřej Moravec	Czech Republic	1:42	3 (0+1+1+1)	35:05.3	+2:48.2
32	28	Tim Burke	United States	1:36	4 (0+1+2+1)	35:33.8	+2:58.3
33	58	Dominik Windisch	Italy	2:31	2 (0+0+1+1)	35:36.4	+3:00.9
34	54	Carl Johan Bergman	Sweden	2:19	2 (0+0+1+1)	35:37.0	+3:01.5
35	25	Benjamin Weger	Switzerland	1:28	3 (0+1+1+1)	36:13.1	+3:37.6
36	42	Artem Pryma	Ukraine	1:59	3 (1+2+0+0)	36:13.2	+3:37.7
37	50	Pavol Hurajt	Slovakia	2:14	2 (0+1+0+1)	36:18.9	+3:43.4
38	22	Tomas Kaukėnas	Lithuania	1:20	4 (0+0+2+2)	36:33.4	+3:57.9
39	43	Vladimir Iliev	Bulgaria	2:03	5 (1+1+2+1)	36:43.4	+4:07.9
40	40	Edgars Piksons	Latvia	1:55	4 (1+0+2+1)	36:49.8	+4:14.3
41	60	Christian Martinelli	Italy	2:36	2 (1+0+0+1)	36:53.0	+4:17.5
42	27	Jaroslav Soukup	Czech Republic	1:32	6 (2+2+2+0)	36:59.8	+4:24.3
43	53	Leif Nordgren	United States	2:19	6 (2+2+2+0)	37:08.3	+4:32.8
44	56	Hidenori Isa	Japan	2:27	2 (0+0+0+2)	37:13.9	+4:38.4
45	41	Serhiy Semenov	Ukraine	1:55	5 (3+1+1+0)	37:14.0	+4:38.5
46	24	Zdeněk Vítek	Czech Republic	1:25	7 (2+2+1+2)	37:21.0	+4:45.5
47	49	Milanko Petrović	Serbia	2:14	6 (2+2+2+0)	37:26.6	+4:51.1
48	31	Kauri Kõiv	Estonia	1:37	6 (2+1+2+1)	37:29.9	+4:54.4
49	47	Yan Savitskiy	Kazakhstan	2:11	5 (2+2+0+1)	37:51.8	+5:16.3
50	45	Scott Gow	Canada	2:06	5 (0+0+1+4)	37:57.4	+5:21.9
51	48	Claudio Böckli	Switzerland	2:13	3 (2+0+0+1)	38:02.8	+5:27.3
52	44	Russell Currier	United States	2:05	7 (3+1+2+1)	38:06.2	+5:30.7
53	57	Vladimir Chepelin	Belarus	2:28	4 (0+1+2+1)	38:06.5	+5:31.0
54	46	Aliaksandr Babchyn	Belarus	2:06	6 (3+2+1+0)	38:19.8	+5:44.3
55	59	Miroslav Matiaško	Slovakia	2:36	6 (3+0+2+1)	38:54.6	+6:19.1
56	38	Jarkko Kauppinen	Finland	1:46	6 (1+1+3+1)	39:06.6	+6:31.1
57	51	Junji Nagai	Japan	2:17	7 (0+2+3+2)	39:49.9	+7:14.4
	55	Stefan Gavrila	Romania	2:25	10 (4+3+3)	LAP	
	39	Sergei Sednev	Ukraine	1:54		DNS	
	52	Michal Šlesingr	Czech Republic	2:18		DNS	
