Rank	Mountain	Height (m)	Height (ft)	Range	Coordinates	Prominence (m)	Parent mountain	First ascent	Ascents (Failed attempts) bef.2004
12	Broad Peak/K3	8,051	26,414	Baltoro Karakoram	35°48′38″N 76°34′06″E﻿ / ﻿35.81056°N 76.56833°E	1,701	Gasherbrum I	1957	39 (19)
13	Gasherbrum II/K4	8,034	26,362	Baltoro Karakoram	35°45′28″N 76°39′12″E﻿ / ﻿35.75778°N 76.65333°E	1,523	Gasherbrum I	1956	54 (12)
14	Shishapangma	8,027	26,335	Jugal Himalaya	28°21′12″N 85°46′43″E﻿ / ﻿28.35333°N 85.77861°E	2,897	Cho Oyu	1964	43 (19)
15	Gyachung Kang	7,952	26,089	Mahalangur Himalaya	28°05′53″N 86°44′42″E﻿ / ﻿28.09806°N 86.74500°E	700	Cho Oyu	1964	5 (3)
	Gasherbrum III	7,946	26,070	Baltoro Karakoram	35°45′33″N 76°38′30″E﻿ / ﻿35.75917°N 76.64167°E	355	Gasherbrum II	1975	2 (2)
16	Annapurna II	7,937	26,040	Annapurna Himalaya	28°32′05″N 84°07′19″E﻿ / ﻿28.53472°N 84.12194°E	2,437	Annapurna I	1960	6 (19)
17	Gasherbrum IV	7,932	26,024	Baltoro Karakoram	35°45′38″N 76°36′58″E﻿ / ﻿35.76056°N 76.61611°E	715	Gasherbrum III	1958	4 (11)
18	Himalchuli	7,893	25,896	Manaslu Himalaya	28°26′12″N 84°38′23″E﻿ / ﻿28.43667°N 84.63972°E *	1,633	Manaslu	1960	6 (12)
19	Distaghil Sar	7,884	25,866	Hispar Karakoram	36°19′33″N 75°11′16″E﻿ / ﻿36.32583°N 75.18778°E	2,525	K2	1960	3 (5)
20	Ngadi Chuli	7,871	25,823	Manaslu Himalaya	28°30′12″N 84°34′00″E﻿ / ﻿28.50333°N 84.56667°E	1,020	Manaslu	1970	2 (6)
	Nuptse	7,864	25,801	Mahalangur Himalaya	27°58′03″N 86°53′13″E﻿ / ﻿27.96750°N 86.88694°E	319	Lhotse	1961	5 (12)
21	Khunyang Chhish	7,823	25,666	Hispar Karakoram	36°12′19″N 75°12′28″E﻿ / ﻿36.20528°N 75.20778°E *	1,765	Distaghil Sar	1971	2 (6)
22	Masherbrum/K1	7,821	25,659	Masherbrum Karakoram	35°38′28″N 76°18′21″E﻿ / ﻿35.64111°N 76.30583°E	2,457	Gasherbrum I	1960	4 (9)
23	Nanda Devi	7,816	25,643	Garhwal Himalaya	30°22′33″N 79°58′15″E﻿ / ﻿30.37583°N 79.97083°E	3,139	Dhaulagiri	1936	14 (12)
24	Chomo Lonzo	7,804	25,604	Mahalangur Himalaya	27°55′50″N 87°06′28″E﻿ / ﻿27.93056°N 87.10778°E	590	Makalu	1954	3 (1)
25	Batura Sar	7,795	25,574	Batura Karakoram	36°30′37″N 74°31′21″E﻿ / ﻿36.51028°N 74.52250°E	3,118	Distaghil Sar	1976	4 (6)
26	Kanjut Sar	7,790	25,558	Hispar Karakoram	36°12′20″N 75°25′01″E﻿ / ﻿36.20556°N 75.41694°E	1,690	Khunyang Chhish	1959	2 (1)
27	Rakaposhi	7,788	25,551	Rakaposhi-Haramosh Karakoram	36°08′33″N 74°29′22″E﻿ / ﻿36.14250°N 74.48944°E	2,818	Khunyang Chhish	1958	8 (13)
28	Namcha Barwa	7,782	25,531	Assam Himalaya	29°37′52″N 95°03′19″E﻿ / ﻿29.63111°N 95.05528°E	4,106	Kangchenjunga	1992	1 (2)
29	Kamet	7,756	25,446	Garhwal Himalaya	30°55′12″N 79°35′30″E﻿ / ﻿30.92000°N 79.59167°E *	2,825	Nanda Devi	1931	23 (14)
30	Dhaulagiri II	7,751	25,430	Dhaulagiri Himalaya	28°45′46″N 83°23′18″E﻿ / ﻿28.76278°N 83.38833°E	2,396	Dhaulagiri	1971	4 (11)
31	Saltoro Kangri/K10	7,742	25,400	Saltoro Karakoram	35°23′57″N 76°50′53″E﻿ / ﻿35.39917°N 76.84806°E *	2,160	Gasherbrum I	1962	2 (1)
32	Jannu	7,711	25,299	Kangchenjunga Himalaya	27°40′56″N 88°02′40″E﻿ / ﻿27.68222°N 88.04444°E *	1,036	Kangchenjunga	1962	17 (12)
33	Tirich Mir	7,708	25,289	Hindu Kush	36°15′19″N 71°50′30″E﻿ / ﻿36.25528°N 71.84167°E *	3,910	Batura Sar	1950	20 (11)
	Molamenqing	7,703	25,272	Langtang Himalaya	28°21′18″N 85°48′35″E﻿ / ﻿28.35500°N 85.80972°E	430	Shishapangma	1981	1 (0)
34	Gurla Mandhata	7,694	25,243	Nalakankar Himalaya	30°26′19″N 81°17′48″E﻿ / ﻿30.43861°N 81.29667°E	2,788	Dhaulagiri	1985	6 (4)
35	Saser Kangri I/K22	7,672	25,171	Saser Karakoram	34°52′00″N 77°45′09″E﻿ / ﻿34.86667°N 77.75250°E	2,304	Gasherbrum I	1973	6 (4)
36	Chogolisa	7,665	25,148	Masherbrum Karakoram	35°36′47″N 76°34′29″E﻿ / ﻿35.61306°N 76.57472°E	1,624	Masherbrum	1975	4 (2)
	Dhaulagiri IV	7,661	25,135	Dhaulagiri Himalaya	28°44′09″N 83°18′55″E﻿ / ﻿28.73583°N 83.31528°E	469	Dhaulagiri II	1975	2 (10)
37	Kongur Tagh	7,649	25,095	Kongur Shan Kunlun	38°35′36″N 75°18′48″E﻿ / ﻿38.59333°N 75.31333°E	3,585	Distaghil Sar	1981	2 (4)
	Dhaulagiri V	7,618	24,993	Dhaulagiri Himalaya	28°44′02″N 83°21′41″E﻿ / ﻿28.73389°N 83.36139°E *	340	Dhaulagiri IV	1975	2 (3)
38	Shispare	7,611	24,970	Batura Karakoram	36°26′26″N 74°40′51″E﻿ / ﻿36.44056°N 74.68083°E	1,240	Batura Sar	1974	3 (1)
39	Trivor	7,577	24,859	Hispar Karakoram	36°17′15″N 75°05′06″E﻿ / ﻿36.28750°N 75.08500°E *	980	Distaghil Sar	1960	2 (5)
40	Gangkhar Puensum	7,570	24,836	Kula Kangri Himalaya	28°02′50″N 90°27′19″E﻿ / ﻿28.04722°N 90.45528°E *	2,995	Kangchenjunga	unclimbed	0 (3)
41	Gongga Shan/\nMinya Konka	7,556	24,790	Daxue Shan	29°35′43″N 101°52′47″E﻿ / ﻿29.59528°N 101.87972°E	3,642	Mount Everest	1932	6 (7)
42	Annapurna III	7,555	24,787	Annapurna Himalaya	28°35′06″N 83°59′24″E﻿ / ﻿28.58500°N 83.99000°E	703	Annapurna I	1961	10 (17)
43	Muztagh Ata	7,546	24,757	Muztagata Kunlun	38°16′33″N 75°06′58″E﻿ / ﻿38.27583°N 75.11611°E	2,735	Kongur Tagh	1956	Many
44	Skyang Kangri	7,545	24,754	Baltoro Karakoram	35°55′35″N 76°34′03″E﻿ / ﻿35.92639°N 76.56750°E	1,085	K2	1976	1 (2)
45	Changtse	7,543	24,747	Mahalangur Himalaya	28°01′29″N 86°54′51″E﻿ / ﻿28.02472°N 86.91417°E	520	Mount Everest	1982	9 (9)
46	Kula Kangri	7,538	24,731	Kula Kangri Himalaya	28°13′37″N 90°36′59″E﻿ / ﻿28.22694°N 90.61639°E	1,650	Gangkhar Puensum	1986	3 (2)
47	Kongur Tiube	7,530	24,705	Kongur Shan Kunlun	38°36′57″N 75°11′45″E﻿ / ﻿38.61583°N 75.19583°E	840	Kongur Tagh	1956	2 (3)
48	Mamostong Kangri	7,516	24,659	Rimo Karakoram	35°08′31″N 77°34′39″E﻿ / ﻿35.14194°N 77.57750°E	1,803	Gasherbrum I	1984	5 (0)
49	Saser Kangri II E	7,513	24,649	Saser Karakoram	34°48′17″N 77°48′24″E﻿ / ﻿34.80472°N 77.80667°E	1,450	Saser Kangri I	2011	0 (0)
50	Ismoil Somoni Peak	7,495	24,590	Pamir (Akademiya Nauk Range)	38°56′35″N 72°00′57″E﻿ / ﻿38.94306°N 72.01583°E	3,402	Muztagh Ata	1933	
51	Saser Kangri III	7,495	24,590	Saser Karakoram	34°50′44″N 77°47′06″E﻿ / ﻿34.84556°N 77.78500°E	850	Saser Kangri I	1986	1 (0)
52	Noshaq	7,492	24,580	Hindu Kush	36°25′56″N 71°49′43″E﻿ / ﻿36.43222°N 71.82861°E	2,024	Tirich Mir	1960	33 (3)
53	Pumari Chhish	7,492	24,580	Hispar Karakoram	36°12′41″N 75°15′01″E﻿ / ﻿36.21139°N 75.25028°E	890	Khunyang Chhish	1979	1 (2)
54	Pasu Sar	7,476	24,528	Batura Karakoram	36°29′16″N 74°35′16″E﻿ / ﻿36.48778°N 74.58778°E	645	Batura Sar	1994	1 (0)
55	Yukshin Gardan Sar	7,469	24,505	Hispar Karakoram	36°15′04″N 75°22′29″E﻿ / ﻿36.25111°N 75.37472°E	1,313	Pumari Chhish	1984	4 (1)
56	Teram Kangri I	7,462	24,482	Siachen Karakoram	35°34′48″N 77°04′42″E﻿ / ﻿35.58000°N 77.07833°E	1,702	Gasherbrum I	1975	2 (0)
57	Jongsong Peak	7,462	24,482	Kangchenjunga Himalaya	27°52′54″N 88°08′09″E﻿ / ﻿27.88167°N 88.13583°E	1,298	Kangchenjunga	1930	2 (3)
58	Malubiting	7,458	24,469	Rakaposhi-Haramosh Karakoram	36°00′12″N 74°52′31″E﻿ / ﻿36.00333°N 74.87528°E	2,193	Rakaposhi	1971	2 (6)
59	Gangapurna	7,455	24,459	Annapurna Himalaya	28°36′18″N 83°57′49″E﻿ / ﻿28.60500°N 83.96361°E	563	Annapurna III	1965	8 (13)
60	Jengish Chokusu/\nTömür/Pk Pobeda	7,439	24,406	Tian Shan	42°02′05″N 80°07′47″E﻿ / ﻿42.03472°N 80.12972°E	4,148	Ismail Samani Peak	1938	
61	K12	7,428	24,370	Saltoro Karakoram	35°17′45″N 77°01′20″E﻿ / ﻿35.29583°N 77.02222°E	1,978	Saltoro Kangri	1974	4 (2)
62	Yangra/\nGanesh I	7,422	24,350	Ganesh Himalaya	28°23′29″N 85°07′38″E﻿ / ﻿28.39139°N 85.12722°E	2,352	Manaslu	1955	1 (6)
63	Sia Kangri	7,422	24,350	Siachen Karakoram	35°39′48″N 76°45′42″E﻿ / ﻿35.66333°N 76.76167°E	640	Gasherbrum I	1934	6 (0)
64	Momhil Sar	7,414	24,324	Hispar Karakoram	36°19′04″N 75°02′11″E﻿ / ﻿36.31778°N 75.03639°E *	980	Trivor	1964	2 (6)
65	Kabru N	7,412	24,318	Kangchenjunga Himalaya	27°38′02″N 88°07′00″E﻿ / ﻿27.63389°N 88.11667°E	780	Kangchenjunga	1994	1 (2)
66	Skil Brum	7,410	24,311	Baltoro Karakoram	35°51′03″N 76°25′43″E﻿ / ﻿35.85083°N 76.42861°E	1,152	K2	1957	2 (1)
67	Haramosh	7,409	24,308	Rakaposhi Karakoram	35°50′24″N 74°53′51″E﻿ / ﻿35.84000°N 74.89750°E	2,277	Malubiting	1958	4 (3)
68	Istor-o-Nal	7,403	24,288	Hindu Kush	36°22′32″N 71°53′54″E﻿ / ﻿36.37556°N 71.89833°E	1,040	Noshaq	1969	4 (5)
69	Ghent Kangri	7,401	24,281	Saltoro Karakoram	35°31′04″N 76°48′02″E﻿ / ﻿35.51778°N 76.80056°E	1,493	Saltoro Kangri	1961	4 (0)
70	Ultar Sar	7,388	24,239	Batura Karakoram	36°23′27″N 74°43′00″E﻿ / ﻿36.39083°N 74.71667°E	700	Shispare	1996	2 (5)
71	Rimo I	7,385	24,229	Rimo Karakoram	35°21′18″N 77°22′08″E﻿ / ﻿35.35500°N 77.36889°E	1,438	Teram Kangri I	1988	1 (3)
72	Churen Himal	7,385	24,229	Dhaulagiri Himalaya	28°44′05″N 83°13′03″E﻿ / ﻿28.73472°N 83.21750°E	600	Dhaulagiri IV	1970	3 (0)
73	Teram Kangri III	7,382	24,219	Siachen Karakoram	35°35′59″N 77°02′53″E﻿ / ﻿35.59972°N 77.04806°E	520	Teram Kangri I	1979	1 (0)
74	Sherpi Kangri	7,380	24,213	Saltoro Karakoram	35°27′58″N 76°46′53″E﻿ / ﻿35.46611°N 76.78139°E *	1,000	Ghent Kangri	1976	1 (1)
75	Labuche Kang	7,367	24,170	Labuche Himalaya	28°18′15″N 86°21′03″E﻿ / ﻿28.30417°N 86.35083°E	1,957	Cho Oyu	1987	1 (0)
76	Kirat Chuli	7,362	24,153	Kangchenjunga Himalaya	27°47′16″N 88°11′43″E﻿ / ﻿27.78778°N 88.19528°E	1,168	Kangchenjunga	1939	1 (6)
	Abi Gamin	7,355	24,131	Garhwal Himalaya	30°55′57″N 79°36′09″E﻿ / ﻿30.93250°N 79.60250°E	217	Kamet	1950	17 (2)
77	Nangpai Gosum	7,350	24,114	Mahalangur Himalaya	28°04′24″N 86°36′51″E﻿ / ﻿28.07333°N 86.61417°E	500	Cho Oyu	1996	3 (1)
	Gimmigela/\nThe Twins	7,350	24,114	Kangchenjunga Himalaya	27°44′27″N 88°09′31″E﻿ / ﻿27.74083°N 88.15861°E	432	Kangchenjunga	1994	3 (1)
78	Saraghrar	7,349	24,111	Hindu Kush	36°32′51″N 72°06′54″E﻿ / ﻿36.54750°N 72.11500°E	1,979	Noshaq	1959	2 (3)
79	Jomolhari	7,326	24,035	Jomolhari Himalaya	27°49′36″N 89°16′04″E﻿ / ﻿27.82667°N 89.26778°E *	2,077	Gangkhar Puensum	1937	4 (0)
80	Chamlang	7,321	24,019	Mahalangur Himalaya	27°46′30″N 86°58′47″E﻿ / ﻿27.77500°N 86.97972°E	1,240	Lhotse	1961	7 (1)
81	Chongtar	7,315	23,999	Baltoro Karakoram	35°54′55″N 76°25′45″E﻿ / ﻿35.91528°N 76.42917°E	1,300	Skil Brum	1994	1 (1)
82	Baltoro Kangri	7,312	23,990	Masherbrum Karakoram	35°38′21″N 76°40′24″E﻿ / ﻿35.63917°N 76.67333°E	1,200	Chogolisa	1976	1 (0)
83	Siguang Ri	7,309	23,980	Mahalangur Himalaya	28°08′50″N 86°41′06″E﻿ / ﻿28.14722°N 86.68500°E	650	Cho Oyu	1989	2 (1)
84	The Crown/\nHuang Guan	7,295	23,934	Yengisogat Karakoram	36°06′24″N 76°12′21″E﻿ / ﻿36.10667°N 76.20583°E	1,919	Skil Brum (K2)	1993	1 (3)
85	Gyala Peri	7,294	23,930	Assam Himalaya	29°48′52″N 94°58′07″E﻿ / ﻿29.81444°N 94.96861°E	2,942	Mount Everest	1986	1 (0)
86	Porong Ri	7,292	23,924	Langtang Himalaya	28°23′22″N 85°43′12″E﻿ / ﻿28.38944°N 85.72000°E	520	Shisha Pangma	1982	5 (0)
87	Baintha Brakk/\nThe Ogre	7,285	23,901	Panmah Karakoram	35°56′51″N 75°45′12″E﻿ / ﻿35.94750°N 75.75333°E *	1,891	Kanjut Sar	1977	3 (13)
88	Yutmaru Sar	7,283	23,894	Hispar Karakoram	36°13′35″N 75°22′02″E﻿ / ﻿36.22639°N 75.36722°E	620	Yukshin Gardan Sar	1980	1 (1)
89	Baltistan Peak/K6	7,282	23,891	Masherbrum Karakoram	35°25′06″N 76°33′06″E﻿ / ﻿35.41833°N 76.55167°E	1,962	Chogolisa	1970	1 (3)
90	Kangpenqing/\nGang Benchhen	7,281	23,888	Baiku Himalaya	28°33′03″N 85°32′44″E﻿ / ﻿28.55083°N 85.54556°E	1,340	Shisha Pangma	1982	1 (1)
91	Muztagh Tower	7,276	23,871	Baltoro Karakoram	35°49′40″N 76°21′40″E﻿ / ﻿35.82778°N 76.36111°E	1,710	Skil Brum	1956	4 (2)
92	Mana	7,272	23,858	Garhwal Himalaya	30°52′50″N 79°36′55″E﻿ / ﻿30.88056°N 79.61528°E	730	Kamet	1937	7 (3)
	Dhaulagiri VI	7,268	23,845	Dhaulagiri Himalaya	28°42′31″N 83°16′27″E﻿ / ﻿28.70861°N 83.27417°E	485	Dhaulagiri IV	1970	5 (0)
93	Diran	7,266	23,839	Rakaposhi-Haramosh Karakoram	36°07′13″N 74°39′42″E﻿ / ﻿36.12028°N 74.66167°E	1,325	Malubiting	1968	12 (8)
94	Labuche Kang III/East	7,250	23,786	Labuche Himalaya	28°18′05″N 86°23′02″E﻿ / ﻿28.30139°N 86.38389°E	570	Labuche Kang	unclimbed	0 (0)
95	Putha Hiunchuli	7,246	23,773	Dhaulagiri Himalaya	28°44′52″N 83°08′46″E﻿ / ﻿28.74778°N 83.14611°E	1,151	Churen Himal	1954	11 (5)
96	Apsarasas Kangri	7,245	23,770	Siachen Karakoram	35°32′19″N 77°08′55″E﻿ / ﻿35.53861°N 77.14861°E	635	Teram Kangri I	1976	2 (0)
97	Mukut Parbat	7,242	23,760	Garhwal Himalaya	30°56′57″N 79°34′12″E﻿ / ﻿30.94917°N 79.57000°E	840	Kamet	1951	2 (1)
98	Rimo III	7,233	23,730	Rimo Karakoram	35°22′31″N 77°21′42″E﻿ / ﻿35.37528°N 77.36167°E	615	Rimo I	1985	1 (0)
99	Langtang Lirung	7,227	23,711	Langtang Himalaya	28°15′22″N 85°31′01″E﻿ / ﻿28.25611°N 85.51694°E	1,525	Shisha Pangma	1978	14 (13)
100	Karjiang	7,221	23,691	Kula Kangri Himalaya	28°15′27″N 90°38′49″E﻿ / ﻿28.25750°N 90.64694°E	880	Kula Kangri	unclimbed	0 (2)
101	Annapurna Dakshin	7,219	23,684	Annapurna Himalaya	28°31′06″N 83°48′22″E﻿ / ﻿28.51833°N 83.80611°E	775	Annapurna	1964	10 (16)
102	Khartaphu	7,213	23,665	Mahalangur Himalaya	28°03′49″N 86°58′39″E﻿ / ﻿28.06361°N 86.97750°E	712	Mount Everest	1935	1 (0)
103	Tongshanjiabu	7,207	23,645	Lunana Himalaya	28°11′12″N 89°57′27″E﻿ / ﻿28.18667°N 89.95750°E	1,757	Gangkar Puensum	unclimbed	0 (0)
104	Malangutti Sar	7,207	23,645	Hispar Karakoram	36°21′47″N 75°08′57″E﻿ / ﻿36.36306°N 75.14917°E	515	Distaghil Sar	1985	1 (0)
105	Noijin Kangsang/\nNorin Kang	7,206	23,642	Nagarze Himalaya	28°56′48″N 90°10′42″E﻿ / ﻿28.94667°N 90.17833°E	2,160	Tongshanjiabu	1986	4 (1)
106	Langtang Ri	7,205	23,638	Langtang Himalaya	28°22′53″N 85°41′01″E﻿ / ﻿28.38139°N 85.68361°E	650	Porong Ri	1981	4 (0)
107	Kangphu Kang	7,204	23,635	Lunana Himalaya	28°09′20″N 90°03′48″E﻿ / ﻿28.15556°N 90.06333°E	1,200	Tongshanjiabu	2002	1 (0)
108	Singhi Kangri	7,202	23,629	Siachen Karakoram	35°35′59″N 76°59′01″E﻿ / ﻿35.59972°N 76.98361°E	790	Teram Kangri III	1976	2 (0)
109	Lupghar Sar	7,200	23,622	Hispar Karakoram	36°21′01″N 75°02′13″E﻿ / ﻿36.35028°N 75.03694°E *	730	Momhil Sar	1979	1 (0)
