id	utterance	context	targetValue
nt-167	which is the oldest locomotive?	csv/204-csv/816.csv	BL26
nt-168	what year did the album "jezebel" on blockshok records release?	csv/204-csv/928.csv	1995
nt-171	how many games were only won by 20 points or less?	csv/204-csv/157.csv	2
nt-172	what was her peak ranking in the us for the single "it wasn't god who made honky tonk angles"?	csv/204-csv/500.csv	27
nt-174	give the total number of riders listed.	csv/204-csv/162.csv	26
nt-175	which one is the last on the chart	csv/204-csv/679.csv	Sam Snead
nt-176	how long was the marathon for camilla benjaminsson?	csv/204-csv/31.csv	1:20:00
nt-177	which is the most recent source for the name?	csv/202-csv/250.csv	Clavijo
nt-178	which province is the top consumer of wine?	csv/204-csv/533.csv	Yukon
nt-180	how long did ian armstrong serve?	csv/202-csv/76.csv	26 years
nt-181	habte jifar is a marathon runner representing his home country of ____?	csv/203-csv/189.csv	Ethiopia
nt-182	how many games did the senators play in january?	csv/203-csv/517.csv	10
nt-183	what material has the top or best thermal conductivity based on the information in the table?	csv/203-csv/385.csv	Diamond
nt-184	which month had more games played, january or december?	csv/204-csv/967.csv	January
nt-185	how many total towns on the list are in montgomery county?	csv/204-csv/299.csv	3
nt-187	what is the name of the first jockey on this chart?	csv/204-csv/330.csv	Tom Kiley
nt-188	what was the first non volume game released in 2004?	csv/203-csv/583.csv	Gunbird Special Edition / Gunbird 1&2
nt-189	what is the top place listed on the chart?	csv/204-csv/550.csv	Brisbane, Australia
nt-190	who became commissioner after george p. larrick?	csv/203-csv/559.csv	James Lee Goddard, M.D.
nt-191	how many airlines have a steady ranking?	csv/203-csv/515.csv	4
nt-192	how many top scorers do not appear twice?	csv/204-csv/357.csv	4
nt-193	in 2007, what is the largest number of consecutive games won by the nebraska football team?	csv/204-csv/294.csv	2
nt-194	in terms of gross what movie is above toy story 3?	csv/203-csv/174.csv	Pirates of the Caribbean: At World's End
nt-196	in what year did the fiba south america under-17 championship for women first begin?	csv/204-csv/360.csv	1976
nt-197	which movies were number 1 for at least two consecutive weeks?	csv/204-csv/7.csv	Frozen|Cásese Quien Pueda|300: Rise of an Empire
nt-198	where was the only site that both team ever tied the game in?	csv/203-csv/209.csv	Columbia
nt-199	how many players with an assist did not play the position of mf or fw?	csv/204-csv/575.csv	2
nt-200	what is the number of symbol zn?	csv/204-csv/39.csv	30
nt-202	what is the last city/town/village listed in the table?	csv/204-csv/841.csv	Sanuki
nt-203	which candidate got the least votes in the entire districts?	csv/204-csv/226.csv	Nezir Jaupaj (PKSH) (2.63 %)
nt-204	how many teams had at least 15 wins?	csv/203-csv/145.csv	8
nt-207	what was the first computer to use a decimal numeral system?	csv/204-csv/577.csv	Harvard Mark I - IBM ASCC
nt-208	which secretary of state came after jack pkckersgill?	csv/201-csv/27.csv	Roch Pinard
nt-209	which album did she produce before good rain?	csv/204-csv/529.csv	Pixiedust
nt-210	how many athletes are not ranked?	csv/204-csv/713.csv	21
nt-211	how far did they make it in the fa cup after 2009?	csv/204-csv/179.csv	Round of 16
nt-212	how many consecutive songs were by the album leaf?	csv/203-csv/357.csv	6
nt-213	what team scored the least opposition strength?	csv/204-csv/837.csv	Amplistan
nt-214	which party finished last in the election?	csv/202-csv/231.csv	Sweden Democrats
nt-215	in their first 20 games, which team did the tigers play the most?	csv/203-csv/536.csv	CHW
nt-216	which track is at the top of the us chart?	csv/203-csv/830.csv	"You're Gettin' to Me Again"
nt-217	which castle is considered second fortress of anjou, after angers?	csv/204-csv/806.csv	Château de Pouancé
nt-219	what award was won previously just before the medaglia pontificia anno xiii was awarded?	csv/203-csv/769.csv	Indira Gandhi Peace Prize for Disarmament and Development
nt-220	who was the only person that scheider lost against?	csv/200-csv/31.csv	Myron Greenberg
nt-221	which driver and co-driver finished at 3:59 but with 8 points?	csv/203-csv/399.csv	Dani Sordo|Marc Marti
nt-222	what was the name of the ship that was built after the jule in this yard?	csv/204-csv/781.csv	United States lightship LV-72
nt-223	when was the benetton b198 chassis used?	csv/202-csv/294.csv	1998
nt-224	which institution has the most undergraduate enrollment?	csv/203-csv/592.csv	Cornell University
nt-226	what date was the first game played?	csv/203-csv/517.csv	December 21
nt-227	when was the last super chinese game released?	csv/203-csv/55.csv	1999
nt-229	who held the position longer, t.v sivaraopantulu or l. suryalingam?	csv/204-csv/593.csv	T.V. SivaraoPantulu
nt-230	which players came in a place before lukas bauer?	csv/204-csv/81.csv	Iivo Niskanen|Daniel Richardsson|Johan Olsson|Dario Cologna
nt-231	what year did monaco ratify more international human rights treaties than they did in 1979?	csv/203-csv/109.csv	1993
nt-232	how many consecutive games did dejan damjanovic score a goal in during the 2013 season?	csv/204-csv/375.csv	3
nt-233	what is the number of democratic victories?	csv/203-csv/95.csv	20
nt-234	where was the match held immediately before 2014's at guizhou olympic stadium?	csv/204-csv/770.csv	Tianhe Stadium, Guangzhou
nt-235	what is the first club listed in the chart?	csv/204-csv/985.csv	WIT Georgia
nt-236	which jockey is before tm jones	csv/204-csv/561.csv	Willie Robinson
nt-237	how many songs did ishaan dev create for the movies kai thunindavan and thaazhvaarakaatu?	csv/204-csv/546.csv	5
nt-239	what year had a total of 2 titles released?	csv/203-csv/836.csv	2010
nt-240	what is the only building in canada to have more than 60 floors?	csv/203-csv/777.csv	First Canadian Place
nt-241	what year has no place indicated?	csv/203-csv/231.csv	1982/83
nt-242	which locomotive weighs the least?	csv/204-csv/850.csv	Re 4/4
nt-244	how many of the listed senators were at least 90 years old when they died?	csv/204-csv/145.csv	5
nt-245	what role did mischa barton play in the movie "octane"?	csv/200-csv/1.csv	Natasha 'Nat' Wilson
nt-246	what nation leads the medal count?	csv/203-csv/724.csv	Russia
nt-247	how long has neha been acting?	csv/203-csv/157.csv	7 years
nt-249	how many games were attended by at least 60,000 people?	csv/204-csv/443.csv	6
nt-250	what is the number of points scored on 6 february 1922?	csv/204-csv/267.csv	1
nt-251	what is the total number of gold medals awarded?	csv/204-csv/785.csv	33
nt-252	how many tournaments did sergio garcia win on the 2002 pga tour?	csv/203-csv/531.csv	1
nt-253	how many of the contestants were students?	csv/203-csv/446.csv	3
nt-254	we will rock you and we are the champions where played at which venue?	csv/203-csv/855.csv	RTÉ Studios
nt-257	what title appears before "the self-preservation society"?	csv/203-csv/570.csv	Herogasm
nt-259	what was the first song that this producer helped write?	csv/204-csv/927.csv	"Cheat on you"
nt-260	which illustrator was responsible for the last award winner?	csv/203-csv/788.csv	Helen Oxenbury
nt-261	what episode had the most viewers?	csv/204-csv/449.csv	"Episode Ten"
nt-263	what is the average number of points scored by opponents in the five games lost this season?	csv/204-csv/227.csv	29.2
nt-265	what was the finishing place of the team before the 2007-2008?	csv/204-csv/186.csv	3rd
nt-266	which are they only two names that have spain as their country of origin?	csv/203-csv/573.csv	García|Rodríguez
nt-267	total number of players whose home town was in north carolina (nc)	csv/204-csv/526.csv	7
nt-268	what was the first playstation 3 release date?	csv/204-csv/587.csv	28 February 2012
nt-269	which team did the rangers play first in november of 1992 in the uefa champions league?	csv/204-csv/691.csv	Leeds United
nt-270	is the united stated or scotland better?	csv/204-csv/396.csv	United States
nt-271	in what year was the lake compounce carousel moved to its present home?	csv/203-csv/806.csv	1911
nt-274	what is the total number of seasons?	csv/204-csv/532.csv	10
nt-275	what is the most wins?	csv/204-csv/314.csv	14
nt-276	how many films were directed by sridhar after the year 1961?	csv/203-csv/204.csv	48
nt-277	how many matches were held in the netherlands?	csv/204-csv/53.csv	10
nt-278	how many people were born in 1976?	csv/204-csv/935.csv	2
nt-279	what were the total number of license plates that featured the black embossed numbers on it?	csv/203-csv/379.csv	11
nt-280	how many rebounds were there by all miami heat players?	csv/203-csv/532.csv	34
nt-281	how many ships were launched in the year 1944?	csv/203-csv/313.csv	9
nt-282	the drawwith the larges total	csv/203-csv/430.csv	6
nt-283	how long has internacional de madrid cf been playing in the 3ª division?	csv/203-csv/783.csv	3
nt-284	how many total medals has the united states won in women's figure skating?	csv/203-csv/104.csv	16
nt-285	who was the next rider after tetsuya harada?	csv/203-csv/35.csv	Jean-Philippe Ruggia
nt-286	are the most trains operational or do they have another status listed?	csv/203-csv/717.csv	Operational
nt-287	tell me the number of gold medals the dominican republic won.	csv/204-csv/785.csv	1
nt-288	greek revival and peony plantings are most commonly associated with what house in canton?	csv/204-csv/831.csv	John and Eliza Barr Patterson House
nt-290	which hispanic population had the greatest growth from 2000 to 2005?	csv/204-csv/990.csv	White
nt-291	how many number were in service in 1910?	csv/204-csv/882.csv	8
nt-292	what is the total number of gold medals won by jamaica?	csv/204-csv/595.csv	4
nt-293	the green bay packers after miami dolphins chose which player?	csv/203-csv/229.csv	John Mack
nt-294	what is difference in points between c.d. aguila and chalatenango?	csv/203-csv/67.csv	14
nt-295	how many division 1 teams were founded before 1950?	csv/204-csv/959.csv	5
nt-296	what tournament is at the top?	csv/204-csv/202.csv	World Championships
nt-297	jones won best actress in a play in 2005. which other award did she win that year?	csv/203-csv/146.csv	Outstanding Actress in a Play
nt-298	what number countries received gold medals?	csv/204-csv/761.csv	12
nt-299	was the next game after august 31 home or away?	csv/204-csv/495.csv	Away
nt-300	what number of mainlands have populations under 100,000?	csv/203-csv/401.csv	9
nt-301	what is the number of the player from slovakia?	csv/204-csv/140.csv	115
nt-302	how many riders used a motorcycle manufactured by honda?	csv/203-csv/166.csv	6
nt-304	how many towers does château d'angers have?	csv/204-csv/806.csv	17
nt-305	which was the first country to sell weapons to iraq?	csv/203-csv/587.csv	Czechoslovakia
nt-306	did chicago win more or less than cal-berkeley?	csv/204-csv/879.csv	More
nt-308	how many historic sites are listed in coldwater?	csv/204-csv/423.csv	15
nt-309	which event did he place in first?	csv/203-csv/677.csv	European U23 Championships
nt-310	how many players named jeff were drafted?	csv/203-csv/149.csv	2
nt-311	what year was the earliest bull-dog drummond published?	csv/203-csv/394.csv	1920
nt-313	who is the previous qualifier over anna pau?	csv/204-csv/741.csv	Leontia Kallenou
nt-314	what is the number of awards that arisan won in 2004?	csv/203-csv/818.csv	3
nt-315	are there at least 2 nationalities on the chart?	csv/204-csv/482.csv	yes
nt-316	which track has the same producer as the track "say something"?	csv/203-csv/687.csv	"Hot Thing"
nt-317	did february 2012 or july 2006 have more total votes?	csv/203-csv/43.csv	February 2012
nt-319	how many canadians listed were born in scotland?	csv/204-csv/665.csv	3
nt-321	tell me the number of racers from the uk.	csv/204-csv/378.csv	3
nt-322	how many votes did deodar receive?	csv/204-csv/683.csv	76265
nt-324	when was the first year of rugby of the terrapins?	csv/204-csv/442.csv	1968
nt-325	who is the only player who had their number retired by the nhl for all teams?	csv/203-csv/754.csv	Wayne Gretzky
nt-328	how many horses finished the rase?	csv/204-csv/330.csv	8
nt-329	which skiier placed above anna jochemsen, bu below mariya papulova	csv/204-csv/745.csv	Katja Saarinen
nt-331	other than frank gleiber, who else did play-by-play for cbs in 1965?	csv/203-csv/773.csv	Chuck Thompson
nt-333	what country won more gold medals than any other?	csv/204-csv/595.csv	United States
nt-334	did the hydro power increase or decrease from 2010 to 2012?	csv/204-csv/762.csv	increase
nt-335	which teams have more wins that werder bremen?	csv/203-csv/309.csv	Borussia Dortmund|Bayern Munich
nt-336	which site was listed earlier, the state public school or the edwin r. clarke library?	csv/204-csv/423.csv	Edwin R. Clarke Library
nt-338	what was the next number to be retired after february 6, 2000?	csv/203-csv/754.csv	35
nt-340	how many circuits have at least 2,000 screens?	csv/203-csv/752.csv	4
nt-341	how many players play the position of point guard?	csv/203-csv/418.csv	3
nt-342	what is the name of the first presenter on this chart?	csv/203-csv/287.csv	Samantha Smith
nt-343	which competition was in tokyo, japan but came in 2nd position?	csv/203-csv/215.csv	Asian Championships
nt-345	who is ranked previous to don cherry?	csv/204-csv/665.csv	Sir John A. Macdonald
nt-346	how many players hit more than 600 runs in their career?	csv/203-csv/611.csv	8
nt-347	did he win more at the australian open or indian wells?	csv/203-csv/827.csv	Australian Open
nt-348	which team did lau nim yat play for after he was transferred?	csv/204-csv/968.csv	Biu Chun Rangers
nt-349	which mountain peak is no higher than 13,149 ft?	csv/204-csv/25.csv	Mount Ritter
nt-350	how many pylons are in austria?	csv/203-csv/375.csv	3
nt-351	compared to the oval, holm park holds more or less attendees at capacity?	csv/203-csv/420.csv	less
nt-352	what is each interval name with a size (cents) greater than 500?	csv/203-csv/445.csv	perfect fifth|septendecimal tritone|septimal tritone|tridecimal tritone|11th harmonic|(15:11) augmented fourth
nt-353	between bjorn ferry, simon elder and erik lesser - who had the most penalties?	csv/204-csv/664.csv	Erik Lesser
nt-354	was the attendance more or less in the saturday, april 13th game compared to the saturday, may 11th	csv/204-csv/123.csv	Less
nt-355	taylor kelly is shorter than 6' 3", which other player is also shorter than 6' 3"?	csv/204-csv/105.csv	Steven Shepp
nt-356	how many games attendance was under 1000?	csv/204-csv/146.csv	6
nt-359	how many different languages are listed?	csv/204-csv/64.csv	3
nt-360	what was the total number of swiss athletes competing in the cross-country skiing at the 2014 winter olympics men's 15 kilometre classical?	csv/204-csv/81.csv	3
nt-361	what was the outcome after the october 8 game in phoenix?	csv/204-csv/553.csv	Runner-up
nt-362	next to rasgas, what plant has the largest capacity?	csv/204-csv/789.csv	Nigeria LNG
nt-363	which athlete has the most total?	csv/204-csv/296.csv	Silvia Sperber (FRG)
nt-364	which winner won more tournaments, jeff maggert or tiger woods?	csv/204-csv/85.csv	Tiger Woods
nt-365	which elected successor took office the earliest?	csv/203-csv/93.csv	Henry E. Prickett
nt-366	which network aired more shows about characters with hiv than cbs?	csv/203-csv/293.csv	NBC|ABC
nt-367	how many total row entries are there?	csv/203-csv/364.csv	21
nt-368	what was the last year that yelena slesarenko had a 1st place finish at the world indoor championships?	csv/203-csv/300.csv	2006
nt-369	which country has the most teams on the list?	csv/204-csv/864.csv	France
nt-370	in what year did the track, "wide open road" come out?	csv/203-csv/426.csv	1986
nt-371	what is the date of the first episode?	csv/204-csv/494.csv	22 October 1976
nt-373	tell me the number of shows that only have one host per day.	csv/204-csv/839.csv	7
nt-374	how many times does bruce springsteen perform?	csv/204-csv/333.csv	2
nt-375	what is the name of the last album released by natalia lesz?	csv/204-csv/365.csv	That Girl
nt-376	how many races was she above the top 10?	csv/204-csv/450.csv	12
nt-377	how many times did bekele record a 10,000 metre year's best in brussels?	csv/204-csv/576.csv	3
nt-379	which is the last dance on the chart	csv/204-csv/711.csv	Showdance
nt-380	do chipper adams and justin beyendeza have more than 3 wins?	csv/203-csv/667.csv	no
nt-381	who performed the number 1 single of 1995?	csv/203-csv/249.csv	Robson Green & Jerome Flynn
nt-382	which sport had the least silver medalists?	csv/204-csv/103.csv	Boxing
nt-384	what is the first club listed for the 2010-11 season?	csv/204-csv/542.csv	Motherwell
nt-385	was the result of the game on the 2nd the same as the game on the 23rd?	csv/204-csv/941.csv	no
nt-386	which diver is listed before ninel krutova?	csv/203-csv/780.csv	Paula Jean Myers-Pope (USA)
nt-387	what was the first number one song of 2014?	csv/204-csv/333.csv	"Timber"
nt-388	what is the number of u.s. courthouse and post offices now used as free library according to the dates of use in the table?	csv/204-csv/749.csv	1
nt-390	how long did elisabeth irwin live?	csv/203-csv/449.csv	62 years
nt-391	which album was the least acclaimed but did reach the billboard 200?	csv/203-csv/77.csv	i
nt-392	how many draft picks were between frank tripucka and dale armstrong?	csv/203-csv/735.csv	10
nt-393	which month had the most games?	csv/204-csv/557.csv	January
nt-394	how long after 1999 was there a relegated movement?	csv/204-csv/42.csv	7 years
nt-395	what is the pylon with the least height listed here?	csv/203-csv/375.csv	Eibsee Aerial Tramway
nt-396	valencia cc and who else won the most division ii community college?	csv/204-csv/879.csv	Chipola
nt-397	how many provinces have the same number of districts as kabul?	csv/204-csv/704.csv	4
nt-398	which company has the least number of employees?	csv/203-csv/83.csv	Vitol
nt-399	who did the raiders play after unh on 10/9/2009?	csv/204-csv/718.csv	Boston College
nt-400	how many schools have a larger intake than sacred heart?	csv/204-csv/218.csv	5
nt-402	swat force was the only game to be played on what?	csv/203-csv/633.csv	Mobile phones
nt-403	what as the percentage total of ratings for episode 8?	csv/204-csv/768.csv	14.0%
nt-404	is ireland before greece in regards of amount of points?	csv/203-csv/803.csv	yes
nt-405	how many times does m appear under the tyres column?	csv/204-csv/162.csv	7
nt-406	what year is the first "usl second division league" listed?	csv/203-csv/595.csv	2005
nt-407	who is ranked before delhi?	csv/203-csv/860.csv	Mumbai
nt-408	how many total competitors did canada have?	csv/204-csv/29.csv	2
nt-409	the gelo racing team and the ecurie du nord team both used what kind of chassis?	csv/204-csv/864.csv	Porsche 911 Carrera RSR
nt-410	which convention had the top attendance figure in it's first known year?	csv/204-csv/991.csv	Anime Friends
nt-415	what is the different of votes between both in orange county	csv/204-csv/606.csv	15695
nt-416	how much greater is the height of cable over ground measurement for the peak 2 peak gondola when compared with that of the vanoise express?	csv/203-csv/457.csv	56 m
nt-417	what is the number of children sarah churchill had?	csv/204-csv/626.csv	7
nt-418	how many bridges are longer than 200 feet?	csv/204-csv/507.csv	17
