song title#artist#year#genre#single / pack name#release date#family friendly#additional rock band 3 features
gimme three steps#lynyrd skynyrd#1973#southern rock#single#jan.1 , 2008#yes#none
the power of equality#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
if you have to ask#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
breaking the girl#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
funky monks#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
suck my kiss#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
i could have lied#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
mellowship slinky in b major#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
the righteous and the wicked#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
blood sugar sex magik#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
under the bridge#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#pro guitar / bass
naked in the rain#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
apache rose peacock#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
the greeting song#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
my lovely man#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
sir psycho sexy#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
they 're red hot#red hot chili peppers#1991#alternative#blood sugar sex magik#sep.30 , 2008#no#none
all right now#free#1970#classic rock#single#oct.7 , 2008#no#none
stop!#against me!#2007#punk#single#oct.7 , 2008#no#none
bad to the bone#george thorogood & the destroyers#1982#rock#single#oct.7 , 2008#yes#none
cream and bastards rise#harvey danger#2005#alternative#single#oct.7 , 2008#no#none
nearly lost you#screaming trees#1992#grunge#single#oct.7 , 2008#yes#none
push it#static - x#1999#metal#single#oct.7 , 2008#no#none
gone away#the offspring#1997#rock#the offspring 01#oct.7 , 2008#no#none
pretty fly (for a white guy)#the offspring#1998#rock#the offspring 01#oct.7 , 2008#no#none
self esteem#the offspring#1994#rock#the offspring 01#oct.7 , 2008#no#pro guitar / bass
dr. feelgood#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#no#none
slice of your pie#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#no#none
rattlesnake shake#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#no#none
kickstart my heart#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#no#pro guitar / bass
without you#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#yes#none
same ol' situation (s.o.s)#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#no#none
sticky sweet#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#no#none
she goes down#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#no#none
don't go away mad (just go away)#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#yes#none
time for change#mötley crüe#1989#metal#dr. feelgood#oct.14 , 2008#yes#none
breed#nirvana#1991#grunge#nirvana 01#oct.21 , 2008#no#pro guitar / bass
lounge act#nirvana#1991#grunge#nirvana 01#oct.21 , 2008#no#pro guitar / bass
on a plain#nirvana#1991#grunge#nirvana 01#oct.21 , 2008#no#pro guitar / bass
polly#nirvana#1991#grunge#nirvana 01#oct.21 , 2008#no#pro guitar / bass
something in the way#nirvana#1991#grunge#nirvana 01#oct.21 , 2008#yes#pro guitar / bass
stay away#nirvana#1991#grunge#nirvana 01#oct.21 , 2008#no#pro guitar / bass
territorial pissings#nirvana#1991#grunge#nirvana 01#oct.21 , 2008#no#pro guitar / bass
hong kong garden#siouxsie and the banshees#1981#pop - rock#siouxsie and the banshees 01#oct.28 , 2008#yes#none
kiss them for me#siouxsie and the banshees#1991#pop - rock#siouxsie and the banshees 01#oct.28 , 2008#yes#none
the killing jar#siouxsie and the banshees#1988#pop - rock#siouxsie and the banshees 01#oct.28 , 2008#yes#none
dammit#blink - 182#1997#punk#single#oct.28 , 2008#no#pro guitar / bass
well thought out twinkles#silversun pickups#2006#indie rock#single#oct.28 , 2008#yes#none
melatonin#silversun pickups#2006#indie rock#single#oct.28 , 2008#yes#none
pretty in pink#the psychedelic furs#1981#rock#single#oct.28 , 2008#yes#none
dune buggy#the presidents of the united states of america#1995#pop - rock#the presidents of the united states of america 01#nov.4 , 2008#no#none
feather pluck'n#the presidents of the united states of america#1995#pop - rock#the presidents of the united states of america 01#nov.4 , 2008#yes#none
ladybug#the presidents of the united states of america#2008#pop - rock#the presidents of the united states of america 01#nov.4 , 2008#yes#none
use me#hinder#2008#rock#single#nov.4 , 2008#no#none
i don't care#fall out boy#2008#pop - rock#single#nov.4 , 2008#no#none
ashes to fire#ghost hounds#2008#rock#rock band 2 20 - pack#nov.6 , 2008#yes#none
bounce#the cab#2008#pop - rock#rock band 2 20 - pack#nov.6 , 2008#no#none
burn you down#opiate for the masses#2008#rock#rock band 2 20 - pack#nov.6 , 2008#no#none
crazy tuesday#thenewno2#2008#pop - rock#rock band 2 20 - pack#nov.6 , 2008#yes#none
database corrupted#dealership#2004#indie rock#rock band 2 20 - pack#nov.6 , 2008#yes#none
desperate times , desperate measures#underoath#2008#metal#rock band 2 20 - pack#nov.6 , 2008#no#none
get it on#the chevelles#2008#rock#rock band 2 20 - pack#nov.6 , 2008#no#none
give it to me#cocktail slippers#2006#indie rock#rock band 2 20 - pack#nov.6 , 2008#no#none
i wanna be your man#endeverafter#2007#rock#rock band 2 20 - pack#nov.6 , 2008#no#none
i'm gone , i'm going#lesley roy#2008#pop - rock#rock band 2 20 - pack#nov.6 , 2008#yes#none
i.v.#x japan#2008#metal#rock band 2 20 - pack#nov.6 , 2008#no#none
if i ain't got you#the len price 3#2007#rock#rock band 2 20 - pack#nov.6 , 2008#yes#none
like a fool#shaimus#2008#indie rock#rock band 2 20 - pack#nov.6 , 2008#yes#none
magnetic baby#semi precious weapons#2008#glam#rock band 2 20 - pack#nov.6 , 2008#no#none
no regrets#authority zero#2007#punk#rock band 2 20 - pack#nov.6 , 2008#no#none
prequel to the sequel#between the buried and me#2007#prog#rock band 2 20 - pack#nov.6 , 2008#no#none
sons and daughters#the 88#2008#pop - rock#rock band 2 20 - pack#nov.6 , 2008#no#none
the feeling#kutless#2008#rock#rock band 2 20 - pack#nov.6 , 2008#yes#none
the time is wrong#tickle me pink#2008#emo#rock band 2 20 - pack#nov.6 , 2008#yes#none
young#hollywood undead#2008#nu - metal#rock band 2 20 - pack#nov.6 , 2008#no#none
doll#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
monkey wrench#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#no#pro guitar / bass
hey , johnny park!#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
my poor brain#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#no#none
wind up#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
up in arms#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
my hero#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
see you#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
enough space#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
february stars#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
walking after you#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
new way home#foo fighters#1997#alternative#the colour and the shape#nov.11 , 2008#yes#none
california über alles#dead kennedys#1987#punk#dead kennedys 01#nov.18 , 2008#no#none
holiday in cambodia#dead kennedys#1987#punk#dead kennedys 01#nov.18 , 2008#no#none
police truck#dead kennedys#1987#punk#dead kennedys 01#nov.18 , 2008#no#none
mica#mission of burma#1982#punk#mission of burma 01#nov.18 , 2008#yes#none
that 's how i escaped my certain fate#mission of burma#1982#punk#mission of burma 01#nov.18 , 2008#yes#none
that 's when i reach for my revolver#mission of burma#1981#punk#mission of burma 01#nov.18 , 2008#no#none
forever#in this moment#2008#metal#century media girls of metal 01#nov.18 , 2008#yes#none
closer#lacuna coil#2006#metal#century media girls of metal 01#nov.18 , 2008#no#none
swamped#lacuna coil#2002#metal#century media girls of metal 01#nov.18 , 2008#yes#none
gone#crooked x#2008#metal#single#nov.18 , 2008#yes#none
mr. brightside#the killers#2004#alternative#the killers 01#nov.25 , 2008#no#none
spaceman#the killers#2008#alternative#the killers 01#nov.25 , 2008#yes#none
smile like you mean it#the killers#2004#alternative#the killers 01#nov.25 , 2008#yes#none
caprici di diablo#yngwie malmsteen 's rising force#2008#metal#yngwie malmsteen 01#nov.25 , 2008#no#none
damnation game#yngwie malmsteen 's rising force#2008#metal#yngwie malmsteen 01#nov.25 , 2008#no#none
red devil#yngwie malmsteen 's rising force#2008#metal#yngwie malmsteen 01#nov.25 , 2008#no#none
jesus christ pose#soundgarden#1991#grunge#single#nov.25 , 2008#no#none
pretty noose#soundgarden#1996#grunge#single#nov.25 , 2008#no#pro guitar / bass
laid to rest#lamb of god#2004#metal#single#nov.25 , 2008#no#none
are you dead yet?#children of bodom#2005#metal#single#dec.2 , 2008#no#none
tutto è possibile#finley#2006#punk#single#dec.2 , 2008#yes#none
hay poco rock n roll#platero y tú#1994#rock#single#dec.2 , 2008#no#none
tempted#squeeze#1981#rock#single#dec.2 , 2008#yes#none
ready , set , go!#tokio hotel#2007#pop - rock#single#dec.2 , 2008#yes#none
real world#all - american rejects#2008#emo#single#dec.2 , 2008#no#none
headphones on#miranda cosgrove#2008#pop - rock#single#dec.2 , 2008#yes#none
body i occupy#the naked brothers band#2008#pop - rock#single#dec.2 , 2008#yes#none
i don't want to go to school#the naked brothers band#2008#pop - rock#single#dec.2 , 2008#yes#none
just a girl#no doubt#1995#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
it 's my life#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
hey baby#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
bathwater#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
sunday morning#no doubt#1995#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
hella good#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#no#none
underneath it all#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
excuse me mr.#no doubt#1995#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
running#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
spiderwebs#no doubt#1995#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
simple kind of life#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
don't speak#no doubt#1995#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
ex - girlfriend#no doubt#2003#pop - rock#the singles 1992 - 2003#dec.9 , 2008#yes#none
mud on the tires#brad paisley#2003#country#going country 01#dec.16 , 2008#yes#none
hillbilly deluxe#brooks & dunn#2005#country#going country 01#dec.16 , 2008#no#none
free and easy (down the road i go)#dierks bentley#2006#country#going country 01#dec.16 , 2008#yes#none
sin wagon#dixie chicks#1999#country#going country 01#dec.16 , 2008#no#none
gunpowder & lead#miranda lambert#2007#country#going country 01#dec.16 , 2008#no#none
hanukkah blessings#barenaked ladies#2004#rock#rockin' the holidays 2008#dec.23 , 2008#yes#none
christmas is the time to say i love you#billy squier#1994#classic rock#rockin' the holidays 2008#dec.23 , 2008#yes#none
blue christmas#the pretenders#2008#rock#rockin' the holidays 2008#dec.23 , 2008#yes#none
this is a call#foo fighters#1995#alternative#foo fighters 01#dec.23 , 2008#yes#none
times like these#foo fighters#2002#alternative#foo fighters 01#dec.23 , 2008#yes#none
doa#foo fighters#2005#alternative#foo fighters 01#dec.23 , 2008#yes#none
space truckin'#deep purple#1972#classic rock#single#dec.30 , 2008#yes#none
funk 49#james gang#1970#classic rock#single#dec.30 , 2008#yes#pro guitar / bass
hymn 43#jethro tull#1971#prog#single#dec.30 , 2008#no#none
