district name#dist. id#isd#county#authorizing agency#date opened#services
academic and career education academy#56903#midland county esa#midland#midland county esa#05 sep 2006#9 - 12 , alt , speced
arts academy in the woods#50905#macomb isd#macomb#macomb isd#27 aug 2001#9 - 12 , speced
arts and technology academy of pontiac#63915#oakland isd#oakland#bay mills community college#01 sep 2001#kg - part , 1 - 8 , speced
battle creek area learning center#13904#calhoun isd#calhoun#kellogg community college#26 aug 2002#10 - 12 , alt , speced
bay county psa#9902#bay - arenac isd#bay#bay mills community college#01 sep 2001#kg , 1 - 6 , pk , speced
bay - arenac community high school#9901#bay - arenac isd#bay#bay - arenac isd#28 aug 1995#9 - 12 , alt , speced
ben ross public school academy#50910#macomb isd#macomb#bay mills community college#09 sep 2004#kg - part , 1 - 8 , speced
benton harbor charter school#11903#bay - arenac isd#berrien#ferris state university#21 aug 2000#kg - part , 1 - 8 , pk , speced
bingham arts academy#4901#alpena - montmorency - alcona esd#alpena#bay mills community college#07 sep 2004#kg , 1 - 6 , pk , speced
black river public school#70904#ottawa isd#ottawa#grand valley state university#26 aug 1996#kg - part , 1 - 12 , speced
blanche kelso bruce academy#82971#wayne county resa#wayne#wayne resa#01 sep 2001#5 - 12 , alt , speced
blue water learning academy#74906#st. clair county resa#st. clair#st. clair isd#01 sep 2000#7 - 12 , gened , speced
bradford academy#63917#oakland isd#oakland#bay mills community college#28 aug 2003#kg - part , 1 - 10 , speced
bridge academy#82983#wayne county resa#wayne#ferris state university#23 aug 2004#kg , 1 - 8 , pk , speced
burton glen charter academy#25909#eaton isd#genesee#northern michigan university#01 sep 1999#kg , 1 - 8 , speced
business entrepreneurship , science , tech. academy#82980#wayne county resa#wayne#bay mills community college#17 sep 2004#kg - part , 1 - 8 , gened , speced
byron center charter school#41908#kent county isd#kent#grand valley state university#26 aug 1996#kg - part , 1 - 12 , speced
canton charter academy#82968#wayne county resa#wayne#central michigan university#01 sep 2000#kg - part , 1 - 8 , speced
capital area academy#33907#ingham isd#ingham#central michigan university#01 sep 1999#kg , 1 - 8 , gened , pk , speced
casa richard academy#82902#wayne county resa#wayne#wayne resa#30 aug 1995#9 - 12 , speced
casman alternative academy#51903#manistee isd#manistee#manistee isd#02 sep 1997#7 - 12 , alt , speced
center academy#25906#eaton isd#genesee#central michigan university#01 sep 1999#kg - part , 1 - 8 , speced
center for literacy and creativity#82949#wayne county resa#wayne#detroit#03 nov 1998#kg - part , 1 - 8 , speced
central academy#81902#washtenaw isd#washtenaw#central michigan university#26 aug 1996#kg , 1 - 12 , pk , speced
cesar chavez academy#82918#wayne county resa#wayne#saginaw valley state university#03 sep 1996#kg , 1 - 12 , gened , speced
chandler park academy#82923#wayne county resa#wayne#saginaw valley state university#02 jun 1997#kg , kg - part , 1 - 10 , speced
chandler woods charter academy#41920#kent county isd#kent#grand valley state university#01 sep 1999#kg - part , 1 - 8 , speced
charyl stockwell academy#47902#livingston esa#livingston#central michigan university#19 aug 1996#kg - part , 1 - 9 , gened , speced
chatfield school#44901#lapeer isd#lapeer#saginaw valley state university#02 jun 1997#kg - part , 1 - 8 , speced
cherry hill school of performing arts#82960#wayne county resa#wayne#central michigan university#01 sep 1999#kg - part , 1 - 12 , speced
clara b. ford academy (sda)#82996#wayne county resa#wayne#ferris state university#06 sep 2007#5 - 12 , gened , alt , speced , delinq , negl , rcci , juvdtn
cole academy#33901#ingham isd#ingham#central michigan university#28 aug 1995#kg - part , 1 - 5 , speced
colin powell academy#82914#wayne county resa#wayne#central michigan university#27 aug 1996#kg - part , 1 - 8 , gened , speced
commonwealth community devel. academy#82919#wayne county resa#wayne#eastern michigan university#04 sep 1996#kg - part , 1 - 8 , speced
concord academy - petoskey#24901#charlevoix - emmet isd#emmet#lake superior state university#31 mar 1995#kg , kg - part , 1 - 12 , speced
concord academy - boyne#15901#charlevoix - emmet isd#charlevoix#lake superior state university#02 oct 1995#kg - part , 1 - 12 , speced
concord montessori and community school#5901#traverse bay area isd#antrim#lake superior state university#05 aug 1998#kg , 1 - 12 , gened , speced
conner creek academy#50904#macomb isd#macomb#central michigan university#01 sep 1999#kg , 1 - 12 , bsas , gened , schlchoice , speced
conner creek academy east#50902#macomb isd#macomb#ferris state university#01 sep 1999#kg , 1 - 12 , speced
countryside academy#11901#berrien resa#berrien#central michigan university#30 may 1997#kg , 1 - 12 , gened , pk , speced
covenant house life skills center central#82991#wayne county resa#wayne#detroit#10 jan 2006#9 - 12 , alt , speced
covenant house life skills center east#82990#wayne county resa#wayne#detroit#26 sep 2005#9 - 12 , alt , speced
covenant house life skills center west#82989#wayne county resa#wayne#detroit#26 sep 2005#9 - 12 , alt , speced
creative learning academy of science#26901#clare - gladwin isd#gladwin#saginaw valley state university#19 aug 1996#kg - part , 1 - 8 , speced
creative montessori academy#82969#wayne county resa#wayne#wayne resa#29 jan 2001#kg - part , 1 - 8 , pk , speced
creative technologies academy#41918#kent county isd#kent#ferris state university#19 aug 1998#kg , 1 - 12 , speced
crescent academy#63921#oakland isd#oakland#bay mills community college#30 aug 2004#kg - part , 1 - 8 , speced
cross creek charter academy#41916#kent county isd#kent#central michigan university#02 sep 1997#kg - part , 1 - 8 , speced
crossroads charter academy#54901#mecosta - osceola isd#mecosta#grand valley state university#01 aug 1998#kg , 1 - 12 , gened , pk , speced
da vinci institute#38901#jackson isd#jackson#central michigan university#28 aug 1995#kg , 1 - 12 , gened
david ellis academy#82947#wayne county resa#wayne#detroit#03 nov 1998#kg - part , 1 - 8 , speced
david ellis academy west#82994#wayne county resa#wayne#bay mills community college#05 sep 2006#kg - part , 1 - 8 , speced
dearborn academy#82928#wayne county resa#wayne#central michigan university#03 sep 1997#kg - part , 1 - 8 , speced
detroit academy of arts and sciences#82929#wayne county resa#wayne#oakland university#02 sep 1997#kg - part , 1 - 12 , gened , alt , speced
detroit community schools#82925#wayne county resa#wayne#saginaw valley state university#02 jun 1997#kg - part , 1 - 12 , speced
detroit enterprise academy#82979#wayne county resa#wayne#grand valley state university#24 aug 2004#kg , 1 - 8 , speced
detroit merit charter academy#82974#wayne county resa#wayne#grand valley state university#10 oct 2002#kg , 1 - 8 , speced
detroit midtown academy#82964#wayne county resa#wayne#wayne resa#13 jan 2000#7 - 12 , speced
detroit premier academy#82985#wayne county resa#wayne#grand valley state university#31 aug 2005#kg , 1 - 8 , speced
detroit service learning academy#82953#wayne county resa#wayne#lake superior state university#01 sep 1999#kg , 1 - 8 , speced
discovery arts and technology psa#82988#wayne county resa#wayne#bay mills community college#06 sep 2005#kg , 1 - 7 , gened , pk , schlchoice , speced
discovery elementary school#3901#allegan isd#allegan#grand valley state university#03 sep 1996#kg , 1 - 8 , speced
dove academy of detroit#82930#wayne county resa#wayne#oakland university#25 aug 1997#kg - part , 1 - 6 , speced
dr. charles drew academy#82984#wayne county resa#wayne#central michigan university#24 aug 2005#kg - part , 1 - 8 , speced
dream academy#11905#bay - arenac isd#berrien#bay mills community college#08 sep 2008#9 - 12 , speced
eagle crest charter academy#70906#ottawa isd#ottawa#central michigan university#02 sep 1997#kg - part , 1 - 8 , speced
eastern washtenaw multicultural academy#81908#washtenaw isd#washtenaw#bay mills community college#09 sep 2004#kg , 1 - 12 , speced
eaton academy#82915#macomb isd#macomb#central michigan university#05 sep 1996#kg - part , 1 - 7 , 9 - 12 , speced
edison public school academy#82945#wayne county resa#wayne#oakland university#18 sep 1998#kg , 1 - 8 , gened , pk , speced , schlchoice , tuit
edison - oakland public school academy#63910#oakland isd#oakland#eastern michigan university#01 sep 1999#kg - part , 1 - 8 , speced
el - hajj malik el - shabazz academy#33902#ingham isd#ingham#central michigan university#05 sep 1995#kg - part , 1 - 6 , pk , speced
endeavor charter academy#13902#calhoun isd#calhoun#grand valley state university#01 sep 1998#kg - part , 1 - 8 , speced
excel charter academy#41905#kent county isd#kent#grand valley state university#06 sep 1995#kg - part , 1 - 9 , gened , speced
flagship charter academy#82997#wayne county resa#wayne#central michigan university#04 sep 2007#kg , 1 - 6 , speced
fortis academy#81906#washtenaw isd#washtenaw#bay mills community college#25 aug 2004#kg , 1 - 8 , speced
francis reh psa#73909#saginaw isd#saginaw#ferris state university#18 sep 1998#kg , 1 - 8 , gened , speced
frontier international academy#82987#wayne county resa#wayne#bay mills community college#22 aug 2005#6 - 12 , speced
gaudior academy#82911#wayne county resa#wayne#eastern michigan university#04 sep 1996#kg , 1 - 8 , pk , speced
george crockett academy#82937#wayne county resa#wayne#ferris state university#19 aug 1998#kg , 1 - 12 , gened , speced
george washington carver academy#82963#wayne county resa#wayne#highland park#27 sep 1999#kg , 1 - 8 , gened , speced
grand blanc academy#25903#eaton isd#genesee#eastern michigan university#01 sep 1999#kg - part , 1 - 8 , speced
grand rapids child discovery center#41921#kent county isd#kent#grand rapids#22 aug 2000#kg - part , 1 - 5 , gened , speced
grand traverse academy#28902#traverse bay area isd#grand traverse#lake superior state university#01 oct 2000#kg - part , 1 - 12 , speced
grattan academy#41911#ionia isd#ionia#saginaw valley state university#16 sep 1996#kg - part , 1 - 12 , speced
great lakes academy#63907#oakland isd#oakland#eastern michigan university#17 jun 1997#kg - part , 1 - 8 , speced
great oaks academy#63922#macomb isd#macomb#bay mills community college#30 aug 2004#kg , 1 - 8 , speced
hamtramck academy#82977#wayne county resa#wayne#bay mills community college#08 sep 2003#kg , kg - part , 1 - 8 , speced
hanley international academy#82986#wayne county resa#wayne#grand valley state university#06 sep 2005#kg - part , 1 - 8 , speced
health careers academy of st. clair county#74904#st. clair county resa#st. clair#st. clair isd#01 sep 1999#11 - 12 , speced
heart academy#82927#wayne county resa#wayne#saginaw valley state university#02 sep 1997#9 - 12 , gened , speced
henry ford academy#82926#wayne county resa#wayne#wayne resa#26 aug 1997#9 - 12 , speced
hillsdale preparatory school#30901#hillsdale isd#hillsdale#hillsdale isd#25 aug 1997#kg , 1 - 8 , gened , speced
holly academy#63911#oakland isd#oakland#central michigan university#01 sep 1999#kg - part , 1 - 8 , speced
honey creek community school#81901#washtenaw isd#washtenaw#washtenaw isd#05 sep 1995#kg , 1 - 8 , speced
hope academy#82942#wayne county resa#wayne#eastern michigan university#24 aug 1998#kg - part , 1 - 6 , speced
hope of detroit academy#82957#wayne county resa#wayne#ferris state university#01 sep 1999#kg , 1 - 12 , speced
hospitality academy of st. clair county#74905#st. clair county resa#st. clair#st. clair isd#01 sep 2000#11 - 12 , speced
huron academy#50903#macomb isd#macomb#ferris state university#01 sep 1999#kg - part , 1 - 6 , speced
industrial technology academy#74902#st. clair county resa#st. clair#st. clair isd#04 dec 1996#11 - 12 , speced
information technology academy of st. clair#74907#st. clair county resa#st. clair#st. clair isd#01 sep 2000#11 - 12 , speced
international academy of flint#25905#eaton isd#genesee#central michigan university#01 sep 1999#kg , kg - part , 1 - 12 , gened , speced
international academy of saginaw#73912#saginaw isd#saginaw#bay mills community college#04 sep 2007#kg , 1 - 4 , speced
island city academy#23901#eaton isd#eaton#central michigan university#03 sep 1996#kg - part , 1 - 8 , speced
jackson arts and technology psa#38903#jackson isd#jackson#bay mills community college#02 sep 2003#kg , 1 - 6 , speced
joseph k. lumsden bahweting anishnabe academy#17901#eastern upper peninsula isd#chippewa#northern michigan university#28 sep 1995#kg - part , 1 - 8 , speced
joy preparatory academy#82958#wayne county resa#wayne#ferris state university#01 sep 1999#kg , 1 - 8 , gened , schlchoice , speced
kensington woods high school#47901#livingston esa#livingston#central michigan university#05 sep 1995#9 - 12 , gened
keystone academy#82976#wayne county resa#wayne#bay mills community college#19 aug 2003#kg - part , 1 - 8 , speced
knapp charter academy#41914#kent county isd#kent#grand valley state university#02 sep 1997#kg - part , 1 - 8 , speced
landmark academy#74903#st. clair county resa#st. clair#saginaw valley state university#01 sep 1999#kg , 1 - 10 , gened , speced
laurus academy#63918#oakland isd#oakland#bay mills community college#23 aug 2004#kg , 1 - 8 , speced
life skills center of metropolitan detroit#82978#wayne county resa#wayne#central michigan university#01 jul 2004#9 - 12 , alt , speced
life skills center of pontiac#63920#oakland isd#oakland#bay mills community college#13 sep 2004#9 - 12 , alt , speced
lighthouse academy#41922#kent county isd#kent#ferris state university#02 sep 2008#7 - 11 , gened , speced
linden charter academy#25907#eaton isd#genesee#central michigan university#01 sep 1999#kg , 1 - 8 , speced
macomb academy#50901#macomb isd#macomb#central michigan university#18 sep 1995#12 , speced
madison academy#25911#eaton isd#genesee#bay mills community college#07 sep 2004#kg - part , 1 - 9 , speced
marshall academy#13903#calhoun isd#calhoun#ferris state university#01 sep 2000#kg , 1 - 11 , speced
martin luther king , jr. education center academy#82910#wayne county resa#wayne#detroit#01 oct 1995#kg , kg - part , 1 - 8 , speced
marvin l. winans academy of performing arts#82924#wayne county resa#wayne#saginaw valley state university#02 jun 1997#kg - part , 1 - 12 , speced
merritt academy#50906#macomb isd#macomb#saginaw valley state university#27 aug 2002#kg - part , 1 - 11 , speced
metro charter academy#82967#wayne county resa#wayne#grand valley state university#01 sep 2000#kg , 1 - 8 , speced
michigan health academy#82917#wayne county resa#wayne#saginaw valley state university#03 sep 1996#9 - 12 , gened , speced
michigan technical academy#82907#wayne county resa#wayne#central michigan university#11 sep 1995#kg , 1 - 12 , gened , speced , tuit
mid - michigan leadership academy#33904#ingham isd#ingham#central michigan university#03 sep 1996#kg , 1 - 8 , pk , speced , tuit
midland academy of advanced and creative studies#56902#midland county esa#midland#central michigan university#22 jan 1997#kg - part , 1 - 12 , speced
mildred c. wells preparatory academy#11904#bay - arenac isd#berrien#bay mills community college#06 sep 2005#kg - part , 1 - 6 , speced
morey charter school#37902#gratiot - isabella resd#isabella#central michigan university#25 aug 1997#kg - part , 1 - 12 , pk , speced
mt. clemens montessori academy#50908#macomb isd#macomb#bay mills community college#25 aug 2003#kg , 1 - 5 , speced
nah tah wahsh public school academy#55901#delta - schoolcraft isd#menominee#northern michigan university#28 apr 1995#kg , 1 - 12 , speced
nataki talibah schoolhouse of detroit#82905#wayne county resa#wayne#central michigan university#05 sep 1995#kg - part , 1 - 8 , speced
new bedford academy#58901#monroe isd#monroe#ferris state university#19 aug 1998#kg , 1 - 8 , speced
new beginnings academy#82962#washtenaw isd#washtenaw#central michigan university#27 sep 1999#kg - part , 1 - 5 , pk , speced
new branches school#41901#kent county isd#kent#central michigan university#29 aug 1995#kg - part , 1 - 6 , speced
new city academy#33908#ingham isd#ingham#ferris state university#01 sep 1999#kg - part , 1 - 8 , speced
north saginaw charter academy#73910#saginaw isd#saginaw#central michigan university#01 sep 1999#kg , 1 - 8 , speced
north star academy#52901#marquette - alger resa#marquette#northern michigan university#02 sep 1997#6 - 12 , speced
northpointe academy#82992#wayne county resa#wayne#highland park#06 sep 2005#kg , 1 - 8 , gened , speced
northridge academy#25904#eaton isd#genesee#ferris state university#01 sep 1999#kg , 1 - 8 , speced
northwest academy#15902#charlevoix - emmet isd#charlevoix#saginaw valley state university#03 sep 1996#kg - part , 1 - 12 , speced
nsoroma institute#82922#wayne county resa#wayne#oakland university#13 feb 1997#kg , 1 - 8 , gened , speced
oakland academy#39903#kalamazoo resa#kalamazoo#grand valley state university#01 aug 1998#kg - part , 1 - 6 , speced
oakland international academy#63912#wayne county resa#wayne#saginaw valley state university#01 sep 1999#kg , 1 - 12 , speced
ojibwe charter school#17902#eastern upper peninsula isd#chippewa#bay mills community college#10 sep 2003#kg - part , 1 - 12 , speced
old redford academy#82956#wayne county resa#wayne#central michigan university#01 sep 1999#kg , 1 - 12 , gened , pk , speced
outlook academy#3902#allegan isd#allegan#allegan area esa#21 aug 2002#5 - 10 , speced
pansophia academy#12901#branch isd#branch#central michigan university#05 sep 1995#kg , 1 - 12 , speced
paragon charter academy#38902#jackson isd#jackson#grand valley state university#01 sep 1998#kg , kg - part , 1 - 8 , speced
paramount charter academy#39905#kalamazoo resa#kalamazoo#bay mills community college#01 sep 1998#kg , kg - part , 1 - 8 , speced
pierre toussaint academy#82939#wayne county resa#wayne#ferris state university#19 aug 1998#kg , 1 - 8 , gened , speced
plymouth educational center#82904#wayne county resa#wayne#central michigan university#05 sep 1995#kg - part , 1 - 9 , speced
pontiac academy for excellence#63906#oakland isd#oakland#saginaw valley state university#30 jan 1997#kg , 1 - 12 , speced
presque isle academy ii#71902#charlevoix - emmet isd#presque isle#c.o.p. esd#21 jan 2002#9 - 12 , alt
prevail academy#50909#macomb isd#macomb#bay mills community college#23 aug 2004#kg , 1 - 8 , speced
public safety academy of st. clair#74909#st. clair county resa#st. clair#st. clair isd#23 aug 2003#11 - 12 , speced
reach charter academy#50912#macomb isd#macomb#grand valley state university#02 sep 2008#kg , 1 - 5 , specedctpr
renaissance public school academy#37901#gratiot - isabella resd#isabella#central michigan university#12 aug 1996#kg , 1 - 8 , gened , pk , speced
richfield public school academy#25910#eaton isd#genesee#bay mills community college#25 aug 2003#kg - part , 1 - 8 , pk , speced
ridge park charter academy#41919#kent county isd#kent#lake superior state university#18 sep 1998#kg , 1 - 8 , speced
riverside academy#82975#wayne county resa#wayne#central michigan university#01 aug 2003#kg , 1 - 12 , pk , speced
ross hill academy#82948#wayne county resa#wayne#detroit#03 nov 1998#kg , 1 - 12 , speced
saginaw county transition academy#73905#saginaw isd#saginaw#saginaw isd#05 oct 1995#7 - 12 , speced
saginaw learn to earn academy#73911#saginaw isd#saginaw#saginaw isd#01 jul 2005#10 - 12 , alt , speced
saginaw preparatory academy#73908#saginaw isd#saginaw#saginaw valley state university#15 sep 1997#kg , 1 - 8 , pk , speced
saint clair co. academy of style#74910#st. clair county resa#st. clair#st. clair isd#25 aug 2003#11 - 12 , speced
saint clair county intervention academy#74911#st. clair county resa#st. clair#st. clair isd#01 sep 2004#6 - 12 , alt , speced
saint clair county learning academy#74901#st. clair county resa#st. clair#st. clair isd#13 nov 1995#6 - 12 , alt , speced
south arbor charter academy#81905#washtenaw isd#washtenaw#central michigan university#01 sep 1999#kg - part , 1 - 8 , speced
star international academy#82941#wayne county resa#wayne#oakland university#24 aug 1998#kg , 1 - 12 , pk , speced , bsas
summit academy#82916#wayne county resa#wayne#central michigan university#28 aug 1996#kg , 1 - 8 , gened , speced
summit academy north#82938#wayne county resa#wayne#central michigan university#19 aug 1998#kg , 1 - 12 , gened , speced
sunrise education center#35901#iosco isd#iosco#saginaw valley state university#03 sep 1996#kg , 1 - 8 , pk , speced
taylor exemplar academy#82995#wayne county resa#wayne#bay mills community college#05 sep 2006#kg - part , 1 - 7 , speced
thomas - gist academy#82908#wayne county resa#wayne#central michigan university#05 sep 1995#kg , 1 - 8 , speced
three oaks public school academy#61904#muskegon area isd#muskegon#bay mills community college#03 sep 2003#kg , 1 - 8 , gened , speced
threshold academy#59901#ionia isd#ionia#central michigan university#27 aug 1997#kg - part , 1 - 6 , speced
timberland academy#61902#muskegon area isd#muskegon#grand valley state university#02 sep 1998#kg , 1 - 8 , speced
timbuktu academy of science and technology#82933#wayne county resa#wayne#detroit#08 sep 1997#kg - part , 1 - 8 , speced
traverse city college preparatory academy#28903#traverse bay area isd#grand traverse#bay mills community college#04 sep 2007#9 - 12 , speced
trillium academy#82973#wayne county resa#wayne#central michigan university#11 sep 2002#kg - part , 1 - 12 , speced
triumph academy#58902#monroe isd#monroe#bay mills community college#25 aug 2004#kg - part , 1 - 8 , speced
universal academy#82950#wayne county resa#wayne#oakland university#03 nov 1998#kg , 1 - 12 , gened , speced , bsas
universal learning academy#82982#wayne county resa#wayne#bay mills community college#01 sep 2004#kg , 1 - 5 , gened , pk , speced , bsas
university preparatory academy#82702#wayne county resa#wayne#grand valley state university#01 jul 2008#kg - part , 1 - 12 , gened , speced
university preparatory science and math (psad)#82701#wayne county resa#wayne#grand valley state university#02 sep 2008#6 - 7 , gened
vanderbilt charter academy#70905#ottawa isd#ottawa#grand valley state university#02 dec 1996#kg , 1 - 8 , speced
vanguard charter academy#41910#kent county isd#kent#grand valley state university#03 dec 1996#kg - part , 1 - 8 , speced
victory academy charter school#81907#washtenaw isd#washtenaw#bay mills community college#05 sep 2006#kg , 1 - 5 , speced
vista charter academy#41909#kent county isd#kent#bay mills community college#03 sep 1996#kg , 1 - 8 , speced
vista meadows academy#82716#wayne county resa#wayne#bay mills community college#02 sep 2008#9 - 12 , gened , speced
voyageur academy#82940#wayne county resa#wayne#ferris state university#19 aug 1998#kg , 1 - 12 , gened , speced
walden green montessori#70901#ottawa isd#ottawa#central michigan university#03 apr 1995#kg , 1 - 8 , gened , speced
walker charter academy#41915#kent county isd#kent#grand valley state university#02 sep 1997#kg - part , 1 - 8 , speced
walton charter academy#63913#oakland isd#oakland#northern michigan university#01 sep 1999#kg , kg - part , 1 - 8 , speced
warrendale charter academy#82970#wayne county resa#wayne#grand valley state university#01 sep 2001#kg , 1 - 8 , speced
washtenaw technical middle college#81903#washtenaw isd#washtenaw#washtenaw community college#02 sep 1997#10 - 12 , gened , speced , midearcoll
wavecrest career academy#70907#ottawa isd#ottawa#ottawa isd#05 sep 2006#9 - 12 , alt , speced
waypoint academy#61903#muskegon area isd#muskegon#grand valley state university#01 sep 2001#5 - 12 , speced
west mi academy of arts and academics#70902#ottawa isd#ottawa#grand valley state university#19 aug 1996#kg - part , 1 - 8 , speced
west mi academy of environmental science#41904#kent county isd#kent#central michigan university#28 aug 1995#kg , 1 - 12 , speced
west village academy#82959#wayne county resa#wayne#central michigan university#01 sep 1999#kg - part , 1 - 8 , speced
weston preparatory academy#82943#wayne county resa#wayne#oakland university#01 sep 1998#kg - part , 1 - 7 , 9 - 12 , speced
white pine academy#33906#ingham isd#ingham#saginaw valley state university#01 sep 1999#kg , 1 - 8 , gened , speced
will carleton charter school academy#30902#hillsdale isd#hillsdale#hillsdale isd#01 aug 1998#kg - part , 1 - 12 , speced
william c. abney academy#41917#kent county isd#kent#grand valley state university#01 aug 1998#kg - part , 1 - 5 , speced
windemere park charter academy#33909#ingham isd#ingham#grand valley state university#01 sep 1999#kg - part , 1 - 8 , speced
windover high school#56901#midland county esa#midland#midland county esa#30 aug 1995#9 - 12 , alt , speced
woodland park academy#25902#eaton isd#genesee#central michigan university#06 jan 1996#kg - part , 1 - 8 , speced
woodland school#28901#traverse bay area isd#grand traverse#saginaw valley state university#03 sep 1996#kg , 1 - 8 , gened , speced
woodmont academy#63919#oakland isd#oakland#bay mills community college#08 sep 2004#kg - part , 1 - 7 , speced
woodward academy#82913#wayne county resa#wayne#central michigan university#03 sep 1996#kg , 1 - 8 , gened , pk , speced , ostime
