cdp name#county#pop. (2010)#land ( sq mi )#water (sq mi)#coordinates#fips code#ansi code
accord#ulster#562#3.400#0.043#41.801649 , - 74.230348#3600155#02389116
calverton#suffolk#6510#28.027#0.501#40.922929 , - 72.768549#3611781#02389270
campbell#steuben#713#1.761#0.000#42.235043 , - 77.193694#3611935#02631225
carle place#nassau#4981#0.935#0.000#40.750026 , - 73.612123#3612419#02389277
carmel hamlet#putnam#6817#8.335#2.055#41.420695 , - 73.687422#3612532#02389278
caroga lake#fulton#518#2.500#0.873#43.133971 , - 74.481652#3612584#02631638
center moriches#suffolk#7580#5.217#0.415#40.802046 , - 72.795166#3613420#02389295
centereach#suffolk#31578#8.714#0.000#40.869533 , - 73.080780#3613376#02389296
centerport#suffolk#5508#2.104#0.190#40.900759 , - 73.372447#3613442#02389297
central bridge#schoharie#593#1.843#0.014#42.706904 , - 74.347695#3613530#02628041
central islip#suffolk#34450#7.111#0.000#40.783767 , - 73.194479#3613552#02389298
chadwicks#oneida#1506#1.327#0.000#43.029195 , - 75.270992#3613662#02584246
chappaqua#westchester#1436#0.450#0.000#41.160201 , - 73.767093#3613805#02389303
chautauqua#chautauqua#191#0.427#0.000#42.210063 , - 79.469011#3614058#02631226
chazy#clinton#565#1.696#0.018#44.890851 , - 73.429200#3614102#02631627
cheektowaga#erie#75178#25.343#0.057#42.909003 , - 78.750765#3615000#02389308
chenango bridge#broome#2883#2.448#0.144#42.171427 , - 75.857719#3615121#02628042
chestertown#warren#677#3.843#0.013#43.643112 , - 73.783522#3615363#02628043
clarence#erie#2646#2.845#0.065#42.975730 , - 78.595325#3615814#02631227
clarence center#erie#2257#2.258#0.000#43.008425 , - 78.630815#3615836#02389322
clark mills#oneida#1905#1.492#0.019#43.090139 , - 75.376258#3615902#02389324
clarkson#monroe#4358#9.111#0.000#43.239813 , - 77.916205#3615946#02631645
claverack - red mills#columbia#913#2.978#0.018#42.229483 , - 73.720980#3616050#02389326
clintondale#ulster#1452#5.572#0.039#41.692580 , - 74.048291#3616452#02389333
cold spring harbor#suffolk#5070#3.665#0.169#40.856500 , - 73.452894#3616958#02389342
colton#st. lawrence#345#1.688#0.073#44.565081 , - 74.946568#3617398#02627943
commack#suffolk#36124#11.969#0.000#40.844220 , - 73.283382#3617530#02389350
conesus hamlet#livingston#308#1.059#0.000#42.726333 , - 77.669676#3617620#02584247
conesus lake#livingston#2584#4.361#5.050#42.802635 , - 77.700951#3617622#02584248
congers#rockland#8363#3.068#0.744#41.149595 , - 73.944776#3617739#02389353
constantia#oswego#1182#3.009#0.007#43.258167 , - 76.009605#3617893#02389355
coopers plains#steuben#598#0.824#0.000#42.179348 , - 77.137527#3618036#02631228
copake lake#columbia#823#9.509#0.805#42.140365 , - 73.596698#3618124#02389356
copiague#suffolk#22993#3.218#0.028#40.671987 , - 73.393860#3618146#02389357
coram#suffolk#39113#13.824#0.000#40.881238 , - 73.005883#3618157#02389359
cortland west#cortland#1356#5.166#0.000#42.594187 , - 76.225853#3618443#02389362
country knolls#saratoga#2224#1.582#0.001#42.910887 , - 73.806990#3618542#02389363
cragsmoor#ulster#449#4.351#0.000#41.665464 , - 74.391234#3618762#02389367
cranberry lake#st. lawrence#200#19.437#0.276#44.180885 , - 74.868280#3618817#02627944
crompond#westchester#2292#2.420#0.020#41.295265 , - 73.839963#3619092#02389376
crown heights#dutchess#2840#0.844#0.000#41.641652 , - 73.928664#3619229#02389378
crugers#westchester#1534#0.661#0.574#41.231337 , - 73.925810#3619290#02389382
crystal beach#ontario#644#0.682#0.203#42.809769 , - 77.258293#3619308#02631229
cumberland head#clinton#1627#3.591#0.000#44.716979 , - 73.396949#3619408#02389385
cumminsville#livingston#183#0.131#0.000#42.570539 , - 77.718936#3619411#02584249
cutchogue#suffolk#3349#9.723#0.427#41.021223 , - 72.486958#3619466#02389387
cuylerville#livingston#297#0.421#0.000#42.777692 , - 77.873758#3619510#02584250
dalton#livingston#362#0.755#0.000#42.542227 , - 77.951938#3619587#02584251
davenport center#delaware#349#3.102#0.040#42.446299 , - 74.900839#3619774#02628044
dekalb junction#st. lawrence#519#3.883#0.062#44.511735 , - 75.294703#3620049#02627945
deer park#suffolk#27745#6.168#0.004#40.761441 , - 73.321736#3619972#02389400
depauville#jefferson#577#9.822#0.000#44.142448 , - 76.045152#3620302#02389403
dix hills#suffolk#26892#15.946#0.000#40.803547 , - 73.337053#3620687#02389409
dover plains#dutchess#1323#0.677#0.015#41.739272 , - 73.573014#3620841#02389415
downsville#delaware#617#3.953#0.079#42.081425 , - 74.996796#3620852#02628045
duane lake#schenectady#323#2.401#0.194#42.752239 , - 74.107327#3620989#02389418
duanesburg#schenectady#391#2.449#0.096#42.763301 , - 74.133336#3620995#02389419
durhamville#oneida#584#1.372#0.000#43.122562 , - 75.665000#3621226#02631640
east atlantic beach#nassau#2049#0.315#0.368#40.585582 , - 73.712204#3621578#02389426
east avon#livingston#608#1.310#0.000#42.912795 , - 77.707324#3621600#02584252
east farmingdale#suffolk#6484#5.715#0.020#40.730277 , - 73.415045#3621985#02389429
east garden city#nassau#6208#2.996#0.008#40.731764 , - 73.597564#3622065#02389431
east glenville#schenectady#6616#7.165#0.287#42.862249 , - 73.919639#3622084#02389432
east greenbush#rensselaer#4487#2.664#0.006#42.592596 , - 73.702358#3622106#02389433
east hampton north#suffolk#4142#5.639#0.000#40.972518 , - 72.188770#3622200#02389434
east islip#suffolk#14475#3.950#0.109#40.727670 , - 73.186648#3622315#02389436
east ithaca#tompkins#2231#1.733#0.050#42.426032 , - 76.464673#3622326#02389437
east kingston#ulster#276#0.674#0.022#41.950860 , - 73.974595#3622370#02389438
east marion#suffolk#926#2.238#0.128#41.131013 , - 72.345158#3622447#02389439
east massapequa#nassau#19069#3.440#0.113#40.676488 , - 73.435962#3622480#02389440
east meadow#nassau#38132#6.304#0.024#40.720115 , - 73.558861#3622502#02389441
east moriches#suffolk#5249#5.477#0.149#40.809637 , - 72.759740#3622546#02389442
east northport#suffolk#20217#5.161#0.000#40.879153 , - 73.323248#3622612#02389444
east norwich#nassau#2709#1.047#0.000#40.849552 , - 73.528864#3622623#02389445
east patchogue#suffolk#22469#8.346#0.131#40.770031 , - 72.981772#3622733#02389446
east quogue#suffolk#4757#8.874#2.685#40.849267 , - 72.578898#3622832#02389447
east randolph#cattaraugus#620#1.088#0.001#42.168059 , - 78.957205#3622843#02391653
east shoreham#suffolk#6666#5.367#0.000#40.946028 , - 72.881168#3622980#02389450
eastchester#westchester#19554#3.294#0.088#40.958347 , - 73.807489#3621809#02389453
eastport#suffolk#1831#5.258#0.130#40.841007 , - 72.725654#3622810#02389455
eatons neck#suffolk#1406#1.005#0.000#40.933076 , - 73.394795#3623316#02389456
eden#erie#3516#5.594#0.000#42.652344 , - 78.901302#3623404#02389025
edmeston#otsego#657#4.345#0.000#42.698855 , - 75.252297#3623602#02628046
eggertsville#erie#15019#2.851#0.001#42.966475 , - 78.807187#3623701#02584253
elizabethtown#essex#754#3.307#0.004#44.226239 , - 73.588901#3623822#02628047
elma center#erie#2571#6.253#0.000#42.828306 , - 78.634286#3624141#02389037
elmont#nassau#33198#3.369#0.012#40.699176 , - 73.706166#3624273#02389038
elwood#suffolk#11177#4.782#0.000#40.846198 , - 73.338875#3624405#02389039
endwell#broome#11446#3.744#0.032#42.122864 , - 76.023572#3624526#02389044
erin#chemung#483#0.747#0.010#42.184078 , - 76.671706#3624625#02632285
fairmount#onondaga#10224#3.334#0.000#43.041397 , - 76.248556#3625043#02389065
fairview#dutchess#5515#3.477#0.076#41.732111 , - 73.912391#3625109#02389069
fairview#westchester#3099#0.428#0.003#41.044190 , - 73.795952#3625120#02389070
farmingville#suffolk#15481#4.124#0.000#40.838863 , - 73.040156#3625417#02389076
felts mills#jefferson#372#0.329#0.000#44.019950 , - 75.759439#3625571#02584254
fillmore#allegany#603#0.816#0.000#42.466951 , - 78.110703#3625747#02389084
fire island#suffolk#292#9.226#29.044#40.638314 , - 73.202923#3625839#02389085
firthcliffe#orange#4949#2.965#0.035#41.442048 , - 74.033072#3625857#02389086
fishers island#suffolk#236#4.076#0.147#41.273576 , - 71.968993#3625923#02389087
fishers landing#jefferson#89#0.222#0.002#44.275363 , - 76.002914#3625934#02584255
flanders#suffolk#4472#11.461#0.174#40.885786 , - 72.607613#3626121#02389089
forest home#tompkins#572#0.251#0.023#42.453137 , - 76.471611#3626561#02389097
fort covington hamlet#franklin#1308#19.322#0.010#44.971778 , - 74.507574#3626752#02584256
fort drum#jefferson#12955#14.329#0.093#44.044709 , - 75.787763#3626759#02389105
fort montgomery#orange#1571#1.484#0.031#41.342865 , - 73.987180#3626902#02389110
fort salonga#suffolk#10008#9.829#0.111#40.903614 , - 73.302468#3626946#02389112
fowlerville#livingston#227#0.901#0.000#42.893958 , - 77.848057#3627133#02584257
franklin square#nassau#29320#2.878#0.000#40.700181 , - 73.677487#3627309#02389810
freedom plains#dutchess#421#1.290#0.044#41.667737 , - 73.797994#3627452#02584258
frewsburg#chautauqua#1906#3.373#0.015#42.056091 , - 79.132942#3627672#02389815
friendship#allegany#1218#2.889#0.000#42.205552 , - 78.141811#3627694#02389819
galeville#onondaga#4617#1.152#0.006#43.087373 , - 76.180784#3628035#02389823
gang mills#steuben#4185#4.378#0.023#42.160378 , - 77.127624#3628145#02389824
garden city park#nassau#7806#0.984#0.007#40.742930 , - 73.663307#3628189#02389826
garden city south#nassau#4024#0.404#0.000#40.712115 , - 73.660449#3628200#02389827
gardiner#ulster#950#3.863#0.000#41.679517 , - 74.147896#3628244#02389829
gardnertown#orange#4373#4.826#0.017#41.539574 , - 74.057223#3628310#02389830
gasport#niagara#1248#2.869#0.051#43.195577 , - 78.576765#3628431#02389832
gates#monroe#4910#1.979#0.012#43.153353 , - 77.704508#3628453#02584259
germantown#columbia#845#2.679#0.016#42.135925 , - 73.888007#3628761#02389837
ghent#columbia#564#1.538#0.011#42.325750 , - 73.617773#3628860#02389838
gilgo#suffolk#131#4.996#6.707#40.636151 , - 73.383775#3628990#02584260
glasco#ulster#2099#1.762#0.683#42.045805 , - 73.950167#3629014#02389844
glen aubrey#broome#485#0.986#0.000#42.262282 , - 76.000292#3629058#02631230
glen head#nassau#4697#1.639#0.000#40.844923 , - 73.618024#3629245#02389848
glens falls north#warren#8443#8.232#0.088#43.332545 , - 73.679729#3629338#02389853
glenwood landing#nassau#3779#0.972#0.000#40.829445 , - 73.637727#3629421#02389855
golden 's bridge#westchester#1630#2.430#0.133#41.284449 , - 73.672112#3629476#02389861
gordon heights#westchester#4042#1.705#0.014#40.863167 , - 72.962088#3629509#02389862
gorham#ontario#617#1.897#0.000#42.799644 , - 77.134654#3629520#02628049
grandyle village#erie#4629#1.883#0.000#42.986853 , - 78.954015#3629894#02584261
great bend#jefferson#843#5.788#0.056#44.016829 , - 75.700166#3630136#02389866
great neck gardens#nassau#1186#0.171#0.000#40.796971 , - 73.722697#3630202#02389869
great river#suffolk#1489#4.597#0.595#40.715479 , - 73.161955#3630235#02389870
greece#monroe#14519#4.375#0.000#43.209518 , - 77.702648#3630279#02389873
greenlawn#suffolk#13742#3.722#0.003#40.864095 , - 73.363427#3630543#02389876
greenport west#suffolk#2124#3.209#0.125#41.090906 , - 72.387821#3630581#02389877
greenvale#nassau#1094#0.252#0.000#40.811948 , - 73.626387#3630598#02389879
greenville#greene#688#3.432#0.020#42.413789 , - 74.020324#3630609#02389881
greenville#westchester#7116#2.562#0.035#40.998643 , - 73.818977#3630642#02389882
greigsville#livingston#209#0.710#0.000#42.830719 , - 77.901429#3630807#02584262
groveland station#livingston#281#0.586#0.000#42.663379 , - 77.766670#3631022#02584263
guilford#chenango#362#1.336#0.118#42.407337 , - 75.485417#3631137#02628163
hadley#saratoga#1009#1.117#0.199#43.295589 , - 73.829936#3631258#02584264
hailesboro#st. lawrence#624#4.727#0.080#44.311552 , - 75.433089#3631346#02627946
halesite#suffolk#2498#0.889#0.092#40.887100 , - 73.414695#3631445#02389889
hall#ontario#216#1.023#0.000#42.796506 , - 77.067963#3631533#02628166
hamlin#monroe#5521#7.710#0.000#43.302326 , - 77.921794#3631786#02631636
hampton bays#suffolk#13603#12.954#5.174#40.870270 , - 72.521704#3631896#02389893
hampton manor#rensselaer#2417#0.624#0.023#42.622735 , - 73.723911#3631918#02389896
hannawa falls#st. lawrence#1042#5.110#0.302#44.602870 , - 74.973995#3632006#02627974
harbor hills#nassau#575#0.118#0.059#40.788588 , - 73.749019#3632094#02389898
harbor isle#nassau#1301#0.173#0.055#40.602508 , - 73.664720#3632105#02389899
harris hill#erie#5508#4.041#0.000#42.972968 , - 78.679273#3632391#02389903
hartsdale#westchester#5293#0.895#0.000#41.015364 , - 73.803497#3632523#02389907
hartwick#otsego#629#3.457#0.000#42.658609 , - 75.061109#3632578#02628169
hauppauge#suffolk#20882#10.713#0.148#40.822162 , - 73.210496#3632732#02389910
haviland#dutchess#3634#3.863#0.035#41.768879 , - 73.899959#3632776#02389911
hawthorne#westchester#4586#1.093#0.000#41.103428 , - 73.796963#3632842#02389912
hemlock#livingston#557#1.863#0.000#42.793788 , - 77.607439#3633128#02584265
henderson#jefferson#224#0.506#0.000#43.847966 , - 76.185233#3634044#02584266
heritage hills#westchester#3975#1.864#0.039#41.338920 , - 73.697898#3634118#02389917
herricks#nassau#4295#0.573#0.000#40.756676 , - 73.663516#3634198#02389919
hewlett#nassau#6819#0.881#0.018#40.641996 , - 73.694393#3634286#02389921
hicksville#nassau#41547#6.791#0.015#40.764136 , - 73.524806#3634374#02389922
high falls#ulster#627#1.196#0.000#41.827547 , - 74.118478#3634451#02389923
highland#ulster#5647#4.686#0.390#41.717305 , - 73.964713#3634484#02389925
hillcrest#rockland#7558#1.297#0.000#41.129833 , - 74.035025#3634693#02389930
hillside lake#dutchess#1084#0.523#0.040#41.615764 , - 73.796970#3634803#02389935
hillside#ulster#877#0.825#0.003#41.919050 , - 74.033686#3634786#02389934
holbrook#suffolk#27195#7.183#0.000#40.794332 , - 73.070696#3635056#02389939
holland#erie#1206#4.004#0.000#42.637477 , - 78.551775#3635111#02389944
holtsville#suffolk#19714#7.113#0.000#40.812334 , - 73.044676#3635254#02389946
honeoye#ontario#579#0.921#0.000#42.790135 , - 77.514793#3635353#02631231
hopewell junction#dutchess#376#0.474#0.001#41.579422 , - 73.803919#3635573#02389950
horseheads north#chemung#2843#2.211#0.029#42.196640 , - 76.804664#3635710#02389953
hortonville#sullivan#218#0.756#0.000#41.766137 , - 75.022039#3635738#02584267
houghton#allegany#1693#2.479#0.010#42.428256 , - 78.172561#3635771#02389955
hunt#livingston#78#0.119#0.000#42.547566 , - 77.991204#3636156#02584268
huntington#suffolk#18046#7.594#0.140#40.878126 , - 73.407666#3636233#02389959
huntington station#suffolk#33029#5.474#0.004#40.844488 , - 73.404812#3637044#02389961
hurley#ulster#3458#5.486#0.032#41.910209 , - 74.062247#3637132#02389963
hyde park#dutchess#1908#1.206#0.001#41.782602 , - 73.934474#3637198#02584269
inwood#nassau#9792#1.581#0.483#40.621609 , - 73.749483#3637583#02389968
irondequoit#monroe#51692#15.001#1.833#43.209811 , - 77.572056#3637737#02389971
islip#suffolk#18689#4.800#0.119#40.735467 , - 73.216395#3637869#02389974
islip terrace#suffolk#5389#1.347#0.000#40.750597 , - 73.187174#3638022#02389975
jamesport#suffolk#1710#4.496#0.027#40.961451 , - 72.583379#3638253#02389977
jamestown west#chautauqua#2408#2.517#0.000#42.088508 , - 79.281097#3638275#02389978
jefferson heights#greene#1094#1.476#0.021#42.235642 , - 73.882099#3638451#02389982
jefferson valley - yorktown#westchester#14142#6.926#0.096#41.319935 , - 73.801118#3638500#02389983
jericho#nassau#13567#3.943#0.016#40.786045 , - 73.541253#3638539#02389984
katonah#westchester#1679#0.725#0.079#41.255069 , - 73.685185#3638946#02585492
kennedy#chautauqua#465#2.035#0.000#42.158895 , - 79.098270#3639243#02628170
kerhonkson#ulster#1684#5.277#0.018#41.779391 , - 74.295611#3639397#02389999
keuka park#yates#1137#0.678#0.559#42.612792 , - 77.091664#3639463#02631232
kings park#suffolk#17282#6.199#0.391#40.886865 , - 73.245725#3639672#02390002
kysorville#livingston#110#0.827#0.000#42.652783 , - 77.794911#3640175#02584270
la fargeville#jefferson#608#3.318#0.055#44.195094 , - 75.963717#3640233#02390010
lake carmel#putnam#8282#5.161#0.333#41.461177 , - 73.667877#3640398#02390014
lake erie beach#erie#3872#3.820#0.000#42.624184 , - 79.078573#3640486#02390015
lake katrine#ulster#2397#2.254#0.040#41.985218 , - 73.989759#3640585#02390017
lake luzerne#warren#1227#2.508#0.369#43.324809 , - 73.837711#3640648#02584271
lake mohegan#westchester#6010#2.876#0.199#41.311743 , - 73.847463#3640689#02390021
lake ronkonkoma#suffolk#20155#4.940#0.003#40.830438 , - 73.111750#3640838#02390024
lakeland#onondaga#2786#1.483#0.000#43.090869 , - 76.242610#3640607#02390028
lakeview#nassau#5615#1.000#0.195#40.677732 , - 73.649718#3641003#02390030
lakeville#livingston#756#0.667#0.000#42.836761 , - 77.703154#3641036#02584272
laurel#suffolk#1394#3.000#0.074#40.971576 , - 72.555967#3641465#02390036
leeds#greene#377#0.529#0.009#42.249947 , - 73.892927#3641784#02390049
levittown#nassau#51881#6.811#0.025#40.723990 , - 73.512709#3642081#02390060
lido beach#nassau#2897#1.739#2.487#40.589098 , - 73.604318#3642279#02390063
lime lake#cattaraugus#867#2.378#0.266#42.433004 , - 78.484671#3642345#02584273
limestone#cattaraugus#389#1.623#0.010#42.017267 , - 78.631327#3642378#02390942
lincoln park#ulster#2366#1.434#0.030#41.958041 , - 74.004812#3642488#02390068
lincolndale#westchester#1521#0.958#0.041#41.333476 , - 73.724776#3642455#02390069
linwood#livingston#74#0.929#0.000#42.896705 , - 77.947602#3642609#02584274
livingston manor#sullivan#1221#3.081#0.012#41.887164 , - 74.823643#3642928#02390083
livonia center#livingston#421#0.817#0.000#42.821060 , - 77.642011#3642972#02584275
locust valley#nassau#3406#0.914#0.023#40.878116 , - 73.588830#3643192#02390086
long lake#hamilton#547#11.721#2.209#43.956930 , - 74.446518#3643401#02628176
lorenz park#columbia#2053#1.784#0.163#42.269481 , - 73.776192#3643511#02390092
lorraine#jefferson#174#0.483#0.000#43.765557 , - 75.952276#3643533#02584276
lyncourt#onondaga#4250#1.243#0.000#43.082032 , - 76.126268#3643885#02390100
lyon mountain#clinton#423#10.147#0.000#44.724970 , - 73.882357#3643951#02390104
machias#cattaraugus#471#0.865#0.167#42.413621 , - 78.487052#3644226#02584277
madrid#st. lawrence#757#3.727#0.133#44.747381 , - 75.129351#3644479#02627948
mahopac#putnam#8369#5.279#1.171#41.367091 , - 73.741535#3644534#02390109
malden - on - hudson#ulster#405#0.501#0.000#42.093226 , - 73.936475#3644677#02390111
malverne park oaks#nassau#505#0.130#0.000#40.681654 , - 73.664414#3644792#02390113
manhasset hills#nassau#3592#0.591#0.000#40.759137 , - 73.680870#3644908#02390116
manhasset#nassau#8080#2.382#0.034#40.784977 , - 73.694880#3644897#02390115
manorville#suffolk#14314#25.469#0.042#40.862155 , - 72.787337#3645139#02390117
mariaville lake#schenectady#722#5.623#0.380#42.824870 , - 74.130220#3645573#02390121
marion#wayne#1511#3.053#0.006#43.141993 , - 77.194037#3645634#02631642
marlboro#ulster#3669#4.456#0.636#41.603811 , - 73.977152#3645700#02390122
massapequa#nassau#21685#3.558#0.436#40.668302 , - 73.471515#3645986#02390130
mastic#suffolk#15481#3.897#0.085#40.810407 , - 72.847582#3646074#02390132
mattituck#suffolk#4219#8.996#0.364#41.000401 , - 72.541176#3646140#02390134
mattydale#onondaga#6446#1.920#0.000#43.099176 , - 76.138830#3646151#02390135
mechanicstown#orange#6858#3.345#0.056#41.450288 , - 74.389639#3646349#02389465
medford#suffolk#24142#10.797#0.000#40.821991 , - 72.985948#3646404#02389468
melrose park#cayuga#2294#3.732#0.584#42.905646 , - 76.514049#3646503#02389470
melville#suffolk#18985#12.086#0.000#40.783021 , - 73.405619#3646514#02389471
merrick#nassau#22097#4.019#1.133#40.651637 , - 73.551927#3646668#02389474
merritt park#dutchess#1256#0.444#0.000#41.538472 , - 73.872420#3646750#02584278
middle island#suffolk#10483#8.239#0.059#40.885746 , - 72.945485#3646976#02389478
miller place#suffolk#12339#6.552#0.000#40.937308 , - 72.986342#3647306#02389485
milton#saratoga#3087#1.487#0.005#43.037343 , - 73.853896#3647548#02389487
milton#ulster#1403#2.962#0.049#41.656220 , - 73.969625#3647554#02389488
minetto#oswego#1069#3.323#0.263#43.402400 , - 76.482159#3647680#02389490
mineville#essex#1269#3.702#0.006#44.092956 , - 73.521546#3647702#02585493
monsey#rockland#18412#2.273#0.014#41.109477 , - 74.076972#3648010#02389494
montauk#suffolk#3326#17.479#2.252#41.047252 , - 71.945292#3648054#02389495
montrose#westchester#2731#1.614#0.052#41.244828 , - 73.938334#3648208#02585494
mooers#clinton#442#1.193#0.038#44.963630 , - 73.595463#3648241#02389503
moriches#suffolk#2838#2.050#0.227#40.805396 , - 72.826868#3648450#02389506
morrisonville#clinton#1545#2.611#0.090#44.690235 , - 73.551625#3648538#02389507
mount ivy#rockland#6878#1.467#0.000#41.192664 , - 74.029583#3648879#02389513
mount sinai#suffolk#12118#5.999#0.419#40.943264 , - 73.021937#3649066#02389517
mountain lodge park#orange#1588#1.185#0.000#41.386326 , - 74.138791#3648750#02631233
munsons corners#cortland#2728#2.219#0.010#42.573807 , - 76.202102#3649242#02389523
myers corner#dutchess#6790#5.017#0.039#41.598119 , - 73.873148#3649363#02389524
nanuet#rockland#17882#5.433#0.005#41.095556 , - 74.015396#3649407#02389526
napanoch#ulster#1174#1.220#0.025#41.754001 , - 74.371700#3649418#02389527
napeague#suffolk#200#3.678#0.080#40.994468 , - 72.074704#3649424#02389528
narrowsburg#sullivan#431#1.366#0.134#41.596136 , - 75.055120#3649473#02389529
natural bridge#jefferson#365#1.389#0.000#44.071678 , - 75.499799#3649605#02389530
nedrow#onondaga#2244#0.959#0.000#42.978021 , - 76.141706#3649726#02389533
nesconset#suffolk#13387#3.821#0.003#40.846855 , - 73.152008#3649825#02389535
new cassel#nassau#14059#1.479#0.000#40.760049 , - 73.564891#3650067#02389538
new city#rockland#33559#15.582#0.793#41.153076 , - 73.990253#3650100#02389540
new suffolk#suffolk#349#0.556#0.054#40.996754 , - 72.477472#3650727#02389544
new windsor#orange#8922#3.762#0.042#41.469830 , - 74.031832#3650837#02389545
newfane#niagara#3822#5.303#0.000#43.285683 , - 78.693945#3650221#02389548
newfield hamlet#tompkins#759#1.257#0.001#42.357511 , - 76.593810#3650257#02389549
niskayuna#schenectady#4859#1.008#0.000#42.816948 , - 73.897735#3651275#02389554
niverville#columbia#1662#2.874#0.545#42.449226 , - 73.648775#3651297#02389555
norfolk#st. lawrence#1327#2.702#0.112#44.788637 , - 74.988027#3651319#02389558
north amityville#suffolk#17862#2.354#0.000#40.700427 , - 73.411780#3651396#02389559
