location (state , city)#usn 2013#bw 2013#forbes 2011#ec 2013#ft 2011#ae 2011#cnn 2011#bi 2013#arwu 2012
pennsylvania , pittsburgh#61#1000#51#98#1000#1000#1000#1000#51
indiana , bloomington#22#15#27#39#73#54#1000#37#24
illinois , evanston#4#5#5#18#21#11#14#11#11
north carolina , chapel hill#20#17#11#47#62#40#30#26#29
washington , d.c#1000#1000#68#1000#1000#1000#1000#1000#1000
indiana , west lafayette#44#41#40#85#74#1000#1000#18#51
california , santa clara#75#1000#1000#1000#1000#1000#1000#1000#1000
colorado , boulder#79#1000#1000#1000#1000#1000#1000#1000#51
new york , new york city#97#1000#1000#1000#1000#1000#1000#1000#1000
utah , provo#30#32#15#1000#91#1000#1000#23#51
california , los angeles#26#28#39#22#64#57#1000#33#34
new york , syracuse#79#1000#1000#1000#1000#1000#1000#1000#101
virginia , williamsburg#70#1000#41#1000#86#1000#1000#1000#151
texas , college station#35#26#24#1000#44#1000#45#1000#45
massachusetts , waltham#84#1000#1000#1000#1000#1000#1000#1000#1000
texas , austin#17#19#17#31#49#28#29#24#20
washington , d.c#25#30#35#44#38#25#32#14#51
indiana , south bend#27#20#31#40#80#52#31#17#101
california , irvine#49#43#69#1000#53#50#47#1000#76
massachusetts , cambridge#4#9#12#11#9#6#5#7#3
south carolina , columbia#73#62#70#99#80#1000#48#1000#42
texas , richardson#37#1000#1000#1000#1000#1000#1000#1000#43
texas , fort worth#79#46#1000#1000#1000#1000#1000#1000#76
massachusetts , boston#61#51#65#1000#1000#1000#1000#1000#151
missouri , st. louis#21#31#47#48#54#1000#1000#38#32
tennessee , nashville#30#25#33#34#51#41#39#21#41
virginia , blacksburg#75#1000#1000#1000#1000#1000#1000#1000#151
california , claremont#101#1000#1000#1000#1000#1000#1000#1000#1000
maryland , college park#37#24#38#52#40#42#1000#1000#23
michigan , ann arbor#14#8#10#30#24#30#28#27#14
new jersey , new brunswick and newark#61#61#1000#1000#1000#1000#1000#1000#51
new york , ithaca#16#7#9#25#30#39#1000#6#25
arkansas , fayetteville#66#1000#1000#1000#1000#1000#1000#1000#76
new york , rochester#37#50#32#1000#52#37#1000#1000#39
pennsylvania , university park#49#38#26#50#59#1000#1000#1000#33
california , stanford#1#4#1#8#4#8#2#3#6
new york , new york city#10#16#18#12#15#12#13#20#9
pennsylvania , pittsburgh#19#11#23#16#41#29#24#15#12
georgia , athens#52#52#42#90#93#1000#1000#1000#76
washington , d.c#56#54#1000#68#1000#1000#1000#22#101
pennsylvania , philadelphia#3#3#4#15#1#3#4#12#8
arizona , glendale#88#45#54#87#68#56#1000#41#1000
iowa , iowa city#44#53#21#59#64#1000#1000#1000#101
missouri , columbia#52#1000#63#1000#1000#1000#1000#1000#101
new hampshire , hanover#9#12#6#2#18#17#11#13#38
california , davis#40#1000#72#61#83#1000#1000#1000#101
california , los angeles#14#18#13#27#31#22#23#28#16
illinois , champaign#47#40#56#1000#46#1000#1000#32#44
new york , buffalo#75#57#48#1000#1000#1000#1000#1000#151
connecticut , hartford#58#1000#37#1000#1000#1000#1000#1000#101
florida , coral gables#88#1000#59#1000#1000#1000#1000#1000#51
tennessee , knoxville#67#60#1000#1000#1000#1000#1000#1000#151
arizona , tempe#30#1000#66#1000#64#1000#1000#1000#18
florida , gainesville#36#48#67#97#94#1000#1000#1000#51
ohio , cleveland#52#1000#49#1000#1000#1000#1000#1000#101
wisconsin , madison#34#34#29#45#63#1000#1000#1000#31
connecticut , new haven#13#21#11#26#15#14#16#2#10
new york , new york city#75#1000#50#1000#1000#1000#1000#1000#76
