rank#heat#lane#name#nationality
1#21#5#jason lezak#usa
88#11#6#wing cheung victor wong#macau
89#12#6#sergey tsoy#uzbekistan
90#18#8#suriya suksuphak#thailand
91#12#1#giancarlo zolezzi seoane#chile
92#13#7#rony bakale#congo
93#10#4#andy wibowo#indonesia
94#9#4#christopher duenas#guam
95#11#5#jose enmanuel lobo martinez#paraguay
96#1#6#itai chammah#israel
97#9#3#srdjan vujasin#bosnia and herzegovina
98#10#6#brian howard ho#indonesia
99#10#3#kieran locke#virgin islands
100#10#7#anas hamadeh#jordan
101#8#7#kristian olsen#faroe islands
102#9#2#rodion davelaar#netherlands antilles
103#9#6#marcelo alba#bolivia
104#10#8#carles ridaura carbonell#andorra
105#9#5#marc pascal pierre dansou#benin
106#8#8#daniel lee#sri lanka
107#11#1#obaid al jasmi#united arab emirates
108#8#6#khaly ciss#senegal
109#9#1#harutyun harutyunyan#armenia
110#8#5#gael adam#mauritius
111#11#2#goksu bicer#turkey
112#6#5#pál joensen#faroe islands
113#10#5#oscar jahnsen#peru
114#10#2#goran stamenov#macedonia
115#9#7#heshan unamboowe#sri lanka
116#7#4#yellow yeiyah#nigeria
116#7#1#alois patrice kouadjo dansou#benin
118#8#1#luke hall#swaziland
119#8#3#leonel ds santos matonse#mozambique
120#7#7#loai tashkandi#saudi arabia
121#8#2#miguel navarro#bolivia
122#6#1#julio cesar rivera coello#honduras
123#7#5#juan francisco lagos diaz#honduras
124#7#3#heimanu sichan#tahiti
125#5#7#andrey molchanov#turkmenistan
126#6#7#chakyl camal#mozambique
127#4#4#rainui terupaia#tahiti
128#9#8#nuno rola#angola
129#7#6#otiko kpliboh#nigeria
130#1#2#eric chang#malaysia
131#5#1#yannick roberts#guyana
131#6#6#adil baig#pakistan
133#5#3#zane jordan#zambia
134#6#4#tamir andrei#mongolia
135#4#5#carlos shimizu#guam
136#6#3#omar núñez#nicaragua
137#3#3#joshua marfleet#samoa
138#10#1#rashid iunusov#kyrgyzstan
139#6#2#richard randrianandraina#madagascar
140#5#6#wui chon cheong#macau
141#4#2#oliver quick#gibraltar
142#4#6#jean−luc augier#saint lucia
143#7#8#genaro mathias prono britez#paraguay
144#5#8#kyaw zin#myanmar
145#4#3#eli ebenezerq wong#northern mariana islands
145#6#8#eros qama#albania
147#5#2#malbor oshafi#albania
148#3#6#hamza abdo#palestine
149#4#7#fadi awesat#palestine
150#7#2#aleksey klimenko#kyrgyzstan
151#3#4#sergey krovyakov#turkmenistan
152#3#5#batchuluun mendbayar#mongolia
153#4#8#niall roberts#guyana
154#3#2#michael taylor#marshall islands
155#2#4#justin decoster#marshall islands
156#3#8#isao misech#palau
157#2#5#rahim karmali#uganda
158#3#1#mohamed sharif#maldives
159#2#6#cooper theodore graf#northern mariana islands
160#2#3#ibrahim areesh#maldives
161#5#4#khalid rushaka#tanzania
162#2#2#ching maou wei#american samoa
163#5#5#jamal talib#tanzania
164#3#7#abdulsalam al gadabi#yemen
165#1#8#herve nkurrnziza#burundi
166#1#1#attoumani mohamed#comoros
167#2#1#vincent leatualevao#american samoa
168#1#4#boipelo makhothi#lesotho
169#1#7#thabiso baholo#lesotho
999#1#5#bernard blewudzi#ghana
999#2#7#alisher chingizov#tajikistan
999#2#8#ibraihm assah#ghana
999#4#1#essossimana awizoba#togo
999#8#4#joao aguiar#angola
999#13#3#rafed - zyad almasri#syria
999#17#3#aristeidis grigoriadis#greece
