ship#year#dates#line#from#distance#days , hours , minutes#speed
alaska#1883#29 april - 6 may#guion#queenstown#nautical miles (km)#6 d , 23 h , 48 m#-
oregon#1884#13 - 19 april#guion#queenstown#nautical miles (km)#6 d , 10 h , 10 m#-
etruria#1885#16 - 22 august#cunard#queenstown#nautical miles (km)#6 d , 5 h , 31 m#-
umbria#1887#29 may - 4 june#cunard#queenstown#nautical miles (km)#6 d , 4 h , 12 m#-
etruria#1888#27 may - 2 june#cunard#queenstown#nautical miles (km)#6 d , 1 h , 55 m#-
city of paris#1889#2 may - 8 may#inman#queenstown#nautical miles (km)#5 d , 23 h , 7 m#-
city of paris#1889#22 - 28 august#inman#queenstown#nautical miles (km)#5 d , 19 h , 18 m#-
majestic#1891#30 july - 5 august#w.star#queenstown#nautical miles (km)#5 d , 18 h , 8 m#-
teutonic#1891#13 - 19 august#w.star#queenstown#nautical miles (km)#5 d , 16 h , 31 m#-
city of paris#1892#20 - 27 july#inman#queenstown#nautical miles (km)#5 d , 15 h , 58 m#-
city of paris#1892#13 - 18 october#inman#queenstown#nautical miles (km)#5 d , 14 h , 24 m#-
campania#1893#18 - 23 june#cunard#queenstown#nautical miles (km)#5 d , 15 h , 37 m#-
campania#1894#12 - 17 august#cunard#queenstown#nautical miles (km)#5 d , 9 h , 29 m#-
lucania#1894#26 - 31 august#cunard#queenstown#nautical miles (km)#5 d , 8 h , 38 m#-
lucania#1894#23 - 28 september#cunard#queenstown#nautical miles (km)#5 d , 7 h , 48 m#-
lucania#1894#21 - 26 october#cunard#queenstown#nautical miles (km)#5 d , 7 h , 23 m#-
kaiser wilhelm der grosse#1898#30 march - 3 april#ndl#the needles#nautical miles (km)#5 d , 20 h , 0 m#-
deutschland#1900#6 - 12 july#hapag#eddystone#nautical miles (km)#5 d , 15 h , 46 m#-
deutschland#1900#26 august - 1 september#hapag#cherbourg#nautical miles (km)#5 d , 12 h , 29 m#-
deutschland#1901#26 july - 1 august#hapag#cherbourg#nautical miles (km)#5 d , 16 h , 12 m#-
kronprinz wilhelm#1902#10 - 16 september#ndl#cherbourg#nautical miles (km)#5 d , 11 h , 57 m#-
deutschland#1903#2 - 8 september#hapag#cherbourg#nautical miles (km)#5 d , 11 h , 54 m#-
lusitania#1907#6 - 10 october#cunard#queenstown#nautical miles (km)#4 d , 19 h , 52 m#-
lusitania#1908#17 may - 21 may#cunard#queenstown#nautical miles (km)#4 d , 20 h , 22 m#-
lusitania#1908#5 - 10 july#cunard#queenstown#nautical miles (km)#4 d , 19 h , 36 m#-
lusitania#1909#8 - 12 august#cunard#queenstown#nautical miles (km)#4 d , 16 h , 40 m#-
mauretania#1909#26 - 30 september#cunard#queenstown#nautical miles (km)#4 d , 10 h , 51 m#-
bremen#1929#17 - 22 july#ndl#cherbourg#nautical miles (km)#4 d , 17 h , 42 m#-
europa#1930#20 - 25 march#ndl#cherbourg#nautical miles (km)#4 d , 17 h , 6 m#-
bremen#1933#27 june - 2 july#ndl#cherbourg#nautical miles (km)#4 d , 16 h , 48 m#-
rex#1933#11 - 16 august#italian#gibraltar#nautical miles (km)#4 d , 13 h , 58 m#-
normandie#1935#30 may - 3 june#cgt#bishop rock#nautical miles (km)#4 d , 3 h , 2 m#-
queen mary#1936#20 - 24 august#c - ws#bishop rock#nautical miles (km)#4 d , 0 h , 27 m#-
normandie#1937#29 july - 2 august#cgt#bishop rock#nautical miles (km)#3 d , 23 h , 2 m#-
queen mary#1938#4 - 8 august#c - ws#bishop rock#nautical miles (km)#3 d , 21 h , 48 m#-
united states#1952#11 - 15 july#usl#bishop rock#nautical miles (km)#3 d , 12 h , 12 m#-
