coach#first yr#last yr#w - l%#g >.500#yr plyf#g plyf#w plyf#l plyf
steve mariucci#1997#2005#.518#5#4#7#3#4
billy marshall#1920#1921#.273#- 5#0#0#0#0
mike martz#2000#2005#.624#21#4#7#3#4
ned mathews#1946#1946#.500#0#0#0#0#0
john mazur#1970#1972#.300#- 12#0#0#0#0
don mccafferty#1970#1973#.622#11#2#5#4#1
mike mccarthy#2006#2012#.660#36#5#8#5#3
mike mccormack +#1973#1982#.363#- 22#0#0#0#0
pete mcculley#1978#1978#.111#- 7#0#0#0#0
josh mcdaniels#2009#2010#.393#0#0#0#0#0
cap mcewan#1933#1934#.450#- 2#0#0#0#0
alfred mcgall#1930#1930#.000#- 3#0#0#0#0
dave mcginnis#2000#2003#.298#- 23#0#0#0#0
wally mcilwain#1926#1926#.000#- 2#0#0#0#0
john mckay#1976#1984#.333#- 44#3#4#1#3
edward mckeever#1948#1948#.071#- 12#0#0#0#0
ray mclean#1953#1958#.077#- 11#0#0#0#0
bo mcmillin#1948#1951#.368#- 10#0#0#0#0
johnny blood mcnally +#1937#1939#.240#- 13#0#0#0#0
bill mcpeak#1961#1965#.313#- 25#0#0#0#0
john mcvay#1976#1978#.378#- 9#0#0#0#0
jack meagher#1946#1946#.167#- 4#0#0#0#0
harry mehre#1923#1923#.286#- 3#0#0#0#0
ken meyer#1977#1977#.357#- 4#0#0#0#0
ron meyer#1982#1991#.519#4#2#2#0#2
walt michaels#1977#1982#.453#- 8#2#4#2#2
john michelosen#1948#1951#.435#- 6#0#0#0#0
red miller#1977#1980#.645#18#3#5#2#3
wayne millner +#1951#1951#.200#- 6#0#0#0#0
dick modzelewski#1977#1977#.000#- 1#0#0#0#0
gary moeller#2000#2000#.571#1#0#0#0#0
keith molesworth#1953#1953#.250#- 6#0#0#0#0
jim mora#1986#2001#.541#19#6#6#0#6
jim mora jr#2004#2009#.470#- 2#1#2#1#1
charley moran#1927#1927#.286#- 3#0#0#0#0
marty mornhinweg#2001#2002#.156#- 22#0#0#0#0
raheem morris#2009#2012#.354#- 14#0#0#0#0
mike mularkey#2004#2012#.333#- 16#0#0#0#0
brick muller#1926#1926#.667#3#0#0#0#0
johnny murphy#1924#1924#.000#- 4#0#0#0#0
greasy neale#1941#1950#.594#20#3#4#3#1
al nesser#1926#1926#.000#- 1#0#0#0#0
ted nesser#1920#1921#.176#- 11#0#0#0#0
ernie nevers +#1927#1939#.308#- 15#0#0#0#0
frank nied#1926#1926#.250#- 2#0#0#0#0
mike nixon#1959#1965#.167#- 24#0#0#0#0
dick nolan#1968#1980#.457#- 13#3#5#2#3
mike nolan#2005#2008#.327#- 19#0#0#0#0
chuck noll +#1969#1991#.566#45#12#24#16#8
john north#1973#1975#.324#- 12#0#0#0#0
fred o'connor#1978#1978#.143#- 5#0#0#0#0
steve owen +#1931#1953#.602#51#10#10#2#8
mike palm#1933#1933#.500#0#0#0#0#0
chris palmer#1999#2000#.156#- 22#0#0#0#0
bill parcells#1983#2006#.570#42#10#19#11#8
jack pardee#1975#1994#.530#10#5#6#1#5
buddy parker#1949#1964#.581#29#3#4#3#1
jack patera#1976#1982#.372#- 24#0#0#0#0
sean payton#2006#2011#.646#28#4#8#5#3
pat peppler#1976#1976#.333#- 3#0#0#0#0
ray perkins#1979#1990#.359#- 33#1#2#1#1
bill peterson#1972#1973#.053#- 17#0#0#0#0
richie petitbon#1993#1993#.250#- 8#0#0#0#0
bobby petrino#2007#2007#.231#- 7#0#0#0#0
jimmy phelan#1948#1952#.316#- 14#0#0#0#0
bum phillips#1975#1985#.516#5#3#7#4#3
wade phillips#1985#2010#.581#23#5#6#1#5
al pierotti#1920#1920#.500#0#0#0#0#0
fritz pollard +#1921#1925#.667#4#0#0#0#0
hampton pool#1946#1954#.578#7#1#1#0#1
earl potteiger#1924#1928#.556#3#0#0#0#0
ray prochaska#1961#1961#1.000#2#0#0#0#0
tommy prothro#1971#1978#.407#- 16#0#0#0#0
john ralston#1972#1976#.507#1#0#0#0#0
buster ramsey#1960#1961#.407#- 5#0#0#0#0
dick rauch#1925#1929#.579#9#0#0#0#0
john rauch#1966#1970#.588#12#2#4#2#2
dan reeves#1981#2003#.535#25#9#20#11#9
andy reid#1999#2012#.585#37#9#19#10#9
ray rhodes#1995#1999#.468#- 5#2#3#1#2
homer rice#1978#1979#.296#- 11#0#0#0#0
ray richards#1955#1957#.400#- 7#0#0#0#0
mike riley#1999#2001#.292#- 20#0#0#0#0
jim ringo +#1976#1977#.130#- 17#0#0#0#0
harry robb#1925#1926#.278#- 8#0#0#0#0
j.d. roberts#1970#1972#.219#- 18#0#0#0#0
ed robinson#1931#1931#.500#0#0#0#0#0
john robinson#1983#1991#.524#7#6#10#4#6
terry robiskie#2000#2004#.222#- 5#0#0#0#0
charley rogers#1927#1927#.500#0#0#0#0#0
darryl rogers#1985#1988#.310#- 22#0#0#0#0
gene ronzani#1950#1953#.311#- 17#0#0#0#0
tam rose#1921#1921#.000#- 1#0#0#0#0
bobby ross#1992#2000#.540#11#5#8#3#5
babe ruetz#1922#1924#.560#3#0#0#0#0
clive rush#1969#1970#.238#- 11#0#0#0#0
rod rust#1990#1990#.063#- 14#0#0#0#0
sam rutigliano#1978#1984#.485#- 3#2#2#0#2
buddy ryan#1986#1995#.500#0#3#3#0#3
rex ryan#2009#2012#.531#2#1#3#2#1
lou rymkus#1960#1961#.611#4#1#1#1#0
lou saban#1960#1976#.490#- 4#4#4#2#2
nick saban#2005#2006#.469#- 2#0#0#0#0
lenny sachs#1926#1926#.000#- 4#0#0#0#0
andy salata#1930#1930#.000#- 3#0#0#0#0
john sandusky#1972#1972#.444#- 1#0#0#0#0
al saunders#1986#1988#.436#- 5#0#0#0#0
dewey scanlon#1924#1929#.531#2#0#0#0#0
paul schissler#1933#1936#.326#- 15#0#0#0#0
joe schmidt +#1967#1972#.558#9#1#1#0#1
howard schnellenberger#1973#1974#.235#- 9#0#0#0#0
marty schottenheimer#1984#2006#.613#74#13#18#5#13
jim schwartz#2009#2012#.344#- 20#1#1#0#1
ralph scott#1927#1927#.467#- 1#0#0#0#0
tom scott#1946#1946#.143#- 5#0#0#0#0
george seifert#1989#2001#.648#52#7#15#10#5
mike shanahan#1988#2012#.572#42#8#13#8#5
clark shaughnessy#1948#1949#.667#7#1#1#0#1
buck shaw#1946#1960#.621#35#2#3#2#1
art shell +#1989#2006#.519#4#3#5#2#3
allie sherman#1961#1968#.528#6#3#3#0#3
mike sherman#2000#2005#.594#18#4#6#2#4
ted shipkey#1947#1947#.667#1#0#0#0#0
ken shipp#1975#1975#.200#- 3#0#0#0#0
jim shofner#1990#1990#.143#- 5#0#0#0#0
david shula#1992#1996#.268#- 33#0#0#0#0
don shula +#1963#1995#.678#172#19#36#19#17
herb sies#1923#1923#.400#- 1#0#0#0#0
mike singletary#2008#2010#.462#- 4#0#0#0#0
nick skorich#1961#1974#.484#- 3#2#2#0#2
clipper smith#1947#1948#.304#- 9#0#0#0#0
jerry smith#1971#1971#.400#- 1#0#0#0#0
lovie smith#2004#2012#.563#18#3#6#3#3
mike smith#2008#2012#.700#32#4#3#0#3
bob snyder#1947#1947#.500#0#0#0#0#0
steve spagnuolo#2009#2011#.208#- 28#0#0#0#0
tony sparano#2008#2011#.475#- 3#1#1#0#1
mac speedie#1964#1966#.240#- 13#0#0#0#0
steve spurrier#2002#2003#.375#- 8#0#0#0#0
gene stallings#1986#1989#.404#- 11#0#0#0#0
dick stanfel#1980#1980#.250#- 2#0#0#0#0
bart starr#1975#1983#.406#- 24#1#2#1#1
les steckel#1984#1984#.188#- 10#0#0#0#0
kay stephenson#1983#1985#.278#- 16#0#0#0#0
joey sternaman#1923#1923#.571#1#0#0#0#0
mal stevens#1946#1946#.333#- 2#0#0#0#0
pete stinchcomb#1923#1923#.429#- 1#0#0#0#0
carl storck#1922#1926#.235#- 18#0#0#0#0
red strader#1948#1955#.446#- 6#1#1#0#1
hank stram#1960#1977#.575#34#5#8#5#3
chuck studley#1983#1983#.200#- 6#0#0#0#0
joe stydahar#1950#1954#.417#- 8#2#3#2#1
jock sutherland#1940#1947#.636#12#1#1#0#1
harland svare#1962#1973#.304#- 27#0#0#0#0
barry switzer#1994#1997#.625#16#3#7#5#2
nelson talbot#1920#1921#.600#3#0#0#0#0
hugh taylor#1965#1965#.286#- 6#0#0#0#0
gus tebell#1923#1923#1.000#2#0#0#0#0
emmitt thomas#2007#2007#.333#- 1#0#0#0#0
joe thomas#1974#1974#.182#- 7#0#0#0#0
jim thorpe#1920#1923#.359#- 11#0#0#0#0
mike tice#2001#2005#.492#- 1#1#2#1#1
elgie tobin#1920#1921#.842#13#0#0#0#0
vince tobin#1996#2000#.394#- 15#1#2#1#1
dick todd#1951#1951#.556#1#0#0#0#0
russell tollefson#1922#1922#.250#- 2#0#0#0#0
mike tomlin#2007#2012#.656#30#4#8#5#3
jim trimble#1952#1955#.556#5#0#0#0#0
bulldog turner#1962#1962#.357#- 4#0#0#0#0
norv turner#1994#2012#.483#- 8#4#8#4#4
rube ursella#1920#1925#.600#4#0#0#0#0
norm van brocklin#1961#1974#.398#- 34#0#0#0#0
rick venturi#1991#1996#.105#- 15#0#0#0#0
dick vermeil#1976#2005#.524#11#6#11#6#5
joe vitt#2005#2012#.429#- 3#0#0#0#0
carl voyles#1948#1948#.143#- 10#0#0#0#0
charlie waller#1969#1970#.563#2#0#0#0#0
ron waller#1973#1973#.167#- 4#0#0#0#0
adam walsh#1945#1946#.750#10#1#1#1#0
bill walsh#1979#1988#.609#33#7#14#10#4
chile walsh#1934#1934#.333#- 1#0#0#0#0
joe walton#1983#1989#.482#- 4#2#3#1#2
dave wannstedt#1993#2004#.485#- 5#3#5#2#3
bob waterfield#1960#1962#.273#- 15#0#0#0#0
red weaver#1924#1925#.235#- 9#0#0#0#0
alex webster#1969#1973#.420#- 11#0#0#0#0
ed weir#1927#1928#.682#8#0#0#0#0
john whelchel#1949#1949#.500#0#0#0#0#0
ken whisenhunt#2007#2012#.469#- 6#2#6#4#2
mike white#1995#1996#.469#- 2#0#0#0#0
paul wiggin#1975#1977#.314#- 13#0#0#0#0
hubert wiggs#1922#1922#.250#- 2#0#0#0#0
willie wilkin#1946#1946#.500#0#0#0#0#0
bud wilkinson#1978#1979#.310#- 11#0#0#0#0
gregg williams#2001#2003#.354#- 14#0#0#0#0
jerry williams#1969#1971#.241#- 15#0#0#0#0
richard williamson#1990#1991#.211#- 11#0#0#0#0
ray willsey#1961#1961#1.000#2#0#0#0#0
george wilson#1957#1969#.447#- 16#1#2#2#0
larry wilson#1979#1979#.667#1#0#0#0#0
charley winner#1966#1975#.500#0#0#0#0#0
hoge workman#1931#1931#.200#- 6#0#0#0#0
lud wray#1932#1935#.342#- 12#0#0#0#0
sam wyche#1984#1995#.440#- 23#2#5#3#2
doug wycoff#1929#1930#.471#- 1#0#0#0#0
doc young#1925#1926#.125#- 6#0#0#0#0
swede youngstrom#1927#1927#.500#0#0#0#0#0
jim zorn#2008#2009#.375#- 8#0#0#0#0
jim harbaugh#2011#2012#.766#17#2#5#3#2
