rank#name#country#maglia rosa#giro wins#points#young rider
1#eddy merckx#belgium#77#5#2#0
2#alfredo binda#italy#65#5#0#0
3#francesco moser#italy#50#1#4#0
4#giuseppe saronni#italy#48#2#4#0
150 =#wilfried reybrouck#belgium#2#0#0#0
150 =#paolo rosola#italy#2#0#0#0
150 =#stefan schumacher#germany#2#0#0#0
150 =#patrick sercu#belgium#2#0#0#0
150 =#rik van linden#belgium#2#0#0#0
150 =#guillaume van tongerloo#belgium#2#0#0#0
150 =#mario vicini#italy#2#0#0#0
182 =#giorgio albani#italy#1#0#0#0
182 =#pierino albini#italy#1#0#0#0
182 =#ernesto azzini#italy#1#0#0#0
182 =#pierino baffi#italy#1#0#0#0
182 =#michele bartoli#italy#1#0#0#0
182 =#dario beni#italy#1#0#0#0
182 =#quirico bernacchi#italy#1#0#0#0
182 =#olimpio bizzi#italy#1#0#0#0
182 =#davide boifava#italy#1#0#0#0
182 =#patrick bonnet#france#1#0#0#0
182 =#gabriele bosisio#italy#1#0#0#0
182 =#salvador botella#spain#1#0#0#0
182 =#eric boyer#france#1#0#0#0
182 =#gregor braun#germany#1#0#0#0
182 =#dino bruni#italy#1#0#0#0
182 =#philippe casado#france#1#0#0#0
182 =#carlo chiappano#italy#1#0#0#0
182 =#marco cimatti#italy#1#0#0#0
182 =#oreste conte#italy#1#0#0#0
182 =#angelo conterno#italy#1#0#0#0
182 =#armand de las cuevas#france#1#0#0#0
182 =#raffaele di paco#italy#1#0#0#0
182 =#juan carlos domínguez#spain#1#0#0#0
182 =#wim van est#netherlands#1#0#0#0
182 =#walter fantini#italy#1#0#0#0
182 =#luciano galbo#italy#1#0#0#0
182 =#luigi giacobbe#italy#1#0#0#0
182 =#charly grosskost#france#1#0#0#0
182 =#josé enrique gutiérrez#spain#1#0#0#0
182 =#pascal hervé#france#1#0#0#0
182 =#jan hruška#czech republic#1#0#0#0
182 =#beñat intxausti#spain#1#0#0#0
182 =#brett lancaster#australia#1#0#0#0
182 =#pietro linari#italy#1#0#0#0
182 =#dino liviero#italy#1#0#0#0
182 =#thomas lövkvist#sweden#1#0#0#0
182 =#adriano malori#italy#1#0#0#0
182 =#alfredo martini#italy#1#0#0#0
182 =#robbie mcewen#australia#1#0#0#0
182 =#vincenzo meco#italy#1#0#0#0
182 =#guido messina#italy#1#0#0#0
182 =#antonio negrini#italy#1#0#0#0
182 =#abraham olano#spain#1#0#0#0
182 =#giuseppe olivieri#italy#1#0#0#0
182 =#lucien petit - breton#france#1#0#0#0
182 =#tommy prim#sweden#1#0#0#1
182 =#salvatore puccio#italy#1#0#0#0
182 =#ivan quaranta#italy#1#0#0#0
182 =#antonin rolland#france#1#0#0#0
182 =#laurent roux#france#1#0#0#0
182 =#sergio santimaria#italy#1#0#0#0
182 =#roger swerts#belgium#1#0#0#0
182 =#vito taccone#italy#1#0#0#0
182 =#dietrich thurau#germany#1#0#0#0
182 =#nello troggi#italy#1#0#0#0
182 =#rik van looy#belgium#1#0#0#0
182 =#christian vande velde#united states#1#0#0#0
182 =#willy vannitsen#belgium#1#0#0#0
182 =#romeo venturelli#italy#1#0#0#0
182 =#adriano vignoli#italy#1#0#0#0
182 =#gerrit voorting#netherlands#1#0#0#0
182 =#bradley wiggins#united kingdom#1#0#0#0
182 =#giorgio zancanaro#italy#1#0#0#0
182 =#stefano zanini#italy#1#0#0#0
182 =#vincenzo zucconelli#italy#1#0#0#0
