year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1963#juozas kriščiūnas#regina šemetaitė#juozas kriščiūnas povilas tamošauskas#jolanta kazarinaitė aurelija kostiuškaitė#juozas kriščiūnas jolanta kazarinaitė
1989#ovidijus cesonis#aušrinė gabrenaitė#egidijus jankauskus ovidius česonis#aušrinė gebranaitė rasa mikšytė#egidijus jankauskas aušrinė gabrenaitė
1990#aivaras kvedarauskas#rasa mikšytė#algirdas kepežinskas ovidius česonis#jūratė markaitytė danguolė blevaitienė#aivaras kvedarauskas rasa mikšytė
1991#egidius jankauskas#rasa mikšytė#egidijus jankauskus ovidius česonis#rasa mikšytė solveiga stasaitytė#algirdas kepežinskas rasa mikšytė
1992#egidius jankauskas#rasa mikšytė#aivaras kvedarauskas vygandas virzintas#rasa mikšytė solveiga stasaitytė#algirdas kepežinskas rasa mikšytė
1993#edigius jankauskas#solveiga stasaitytė#edigius jankauskas aivaras kvedarauskas#rasa mikšytė solveiga stasaitytė#edigius jankauskas solveiga stasaitytė
1994#aivaras kvedarauskas#aina kravtienė#aivaras kvedarauskas ovidijus zukauskas#indre ivanauskaitė rasa mikšytė#aivaras kvedarauskas indze ivanauskaitė
1995#aivaras kvedarauskas#rasa mikšytė#algirdas kepežinskas aivaras kvedarauskas#indre ivanauskaitė rasa mikšytė#aivaras kvedarauskas rasa mikšytė
1996#aivaras kvedarauskas#rasa myksite#aivaras kvedarauskas donatas vievesis#indre ivanauskaitė rasa mikšytė#aivaras kvedarauskas rasa mikšytė
1997#aivaras kvedarauskas#rasa myksite#aivaras kvedarauskas gediminas andrikonis#neringa karosaitė aina kravtienė#aivaras kvedarauskas rasa mikšytė
1998#aivaras kvedarauskas#neringa karosaitė#aivaras kvedarauskas dainius mikalauskas#rasa mikšytė jūratė prevelienė#aivaras kvedarauskas jūratė prevelienė
1999#aivaras kvedarauskas#erika milikauskaitė#aivaras kvedarauskas dainius mikalauskas#rasa mikšytė jūratė prevelienė#aivaras kvedarauskas rasa mikšytė
2000#aivaras kvedarauskas#erika milikauskaitė#aivaras kvedarauskas donatas vievesis#kristina dovidaitytė neringa karosaitė#aivaras kvedarauskas jūratė prevelienė
2001#aivaras kvedarauskas#neringa karosaitė#aivaras kvedarauskas juozas spelveris#kristina dovidaitytė neringa karosaitė#aivaras kvedarauskas ligita zakauskaitė
2002#aivaras kvedarauskas#erika milikauskaitė#aivaras kvedarauskas kęstutis navickas#kristina dovidaitytė neringa karosaitė#aivaras kvedarauskas jūratė prevelienė
2003#aivaras kvedarauskas#ugnė urbonaitė#aivaras kvedarauskas dainius mikalauskas#ugnė urbonaitė kristina dovidaitytė#aivaras kvedarauskas ugnė urbonaitė
2004#kęstutis navickas#ugnė urbonaitė#kęstutis navickas klaudijus kasinskis#ugnė urbonaitė akvilė stapušaitytė#kęstutis navickas ugnė urbonaitė
2005#kęstutis navickas#ugnė urbonaitė#kęstutis navickas klaudijus kasinskis#ugnė urbonaitė akvilė stapušaitytė#donatas narvilas kristina dovidaitytė
2006#šarūnas bilius#akvilė stapušaitytė#deividas butkus klaudijus kašinskis#akvilė stapušaitytė ligita žukauskaitė#donatas narvilas kristina dovidaitytė
2007#kęstutis navickas#akvilė stapušaitytė#kęstutis navickas klaudijus kašinskis#gerda voitechovskaja kristina dovidaitytė#kęstutis navickas indrė starevičiūtė
2008#kęstutis navickas#akvilė stapušaitytė#paulius geležiūnas ramūnas stapušaitis#gerda voitechovskaja kristina dovidaitytė#kęstutis navickas akvilė stapušaitytė
2009#kęstutis navickas#akvilė stapušaitytė#kęstutis navickas klaudijus kašinskis#akvilė stapušaitytė ligita žukauskaitė#kęstutis navickas akvilė stapušaitytė
2010#kęstutis navickas#akvilė stapušaitytė#kęstutis navickas klaudijus kašinskis#gerda voitechovskaja kristina dovidaitytė#donatas narvilas kristina dovydaitytė
