township#county#pop. (2010)#land ( sqmi )#water (sqmi)#latitude#longitude#geo id#ansi code
mabel#griggs#52#35.989#0.111#47.379473#- 98.447327#3803948820#1036638
mentor#divide#19#42.684#0.560#48.945233#- 102.994591#3802352260#1759394
menz#sioux#28#46.702#0.036#45.998945#- 101.928370#3808552300#1759638
mercer#mclean#35#35.104#0.748#47.458475#- 100.769480#3805552380#2397840
merkel#kidder#27#65.636#5.954#47.254294#- 99.825642#3804352420#1759474
merrill#hettinger#10#32.029#0.264#46.241618#- 102.175185#3804152540#1037210
meyer#pierce#92#34.055#2.762#48.320560#- 99.913725#3806952580#1759557
michigan#grand forks#139#36.053#0.016#47.723975#- 97.183640#3803552620#1036586
michigan#nelson#58#57.458#2.259#48.029866#- 98.099890#3806352640#1036577
midland#pembina#71#69.852#0.028#48.637163#- 97.331762#3806752780#1036712
midway#stutsman#579#26.745#1.863#46.936959#- 98.768206#3809352820#1036470
mikkelson#lamoure#37#35.608#0.080#46.591342#- 98.842417#3804552860#1036916
milnor#sargent#97#32.636#1.570#46.240661#- 97.438372#3808152980#1036801
minco#benson#19#28.550#0.455#47.869343#- 98.597524#3800553060#1759251
mineral springs#slope#23#35.889#0.027#46.315275#- 103.228572#3808753100#1759643
minnehaha#bowman#24#32.898#3.116#45.979537#- 103.288825#3801153140#1037228
minnesota#burke#21#52.472#0.978#48.857937#- 102.184938#3801353180#1759326
minnewaukan#ramsey#199#34.557#1.486#48.151622#- 98.757486#3807153260#1759580
minnie#grant#63#34.697#0.000#46.415033#- 101.860174#3803753300#1037084
minnie lake#barnes#50#36.130#0.010#47.114505#- 97.761401#3800353340#1036424
minto#cavalier#24#34.916#0.918#48.840919#- 98.649878#3801953500#1759371
mission#benson#1087#39.956#4.807#47.985178#- 98.834887#3800553580#1759252
missouri#burleigh#168#23.634#5.726#46.687767#- 100.639813#3801553620#1759341
missouri ridge#williams#496#35.891#0.047#48.241524#- 103.668026#3810553660#1759730
model#mountrail#61#36.389#0.126#47.990152#- 102.055055#3806153700#1037120
monroe#towner#29#35.978#0.028#48.755027#- 99.447307#3809553900#1759656
mont#williams#45#35.905#0.022#48.254477#- 103.805015#3810553940#1759731
montpelier#stutsman#70#35.820#0.000#46.674156#- 98.628860#3809354020#1036443
montrose#cavalier#42#35.262#0.051#48.579718#- 97.987110#3801954060#1759372
moon lake#stutsman#65#34.345#0.693#46.848858#- 98.998545#3809354100#1036460
moord#slope#18#35.276#0.041#46.493336#- 103.109796#3808754140#1037172
moore#ransom#93#35.711#0.000#46.586806#- 97.720905#3807354180#1036882
mooreton#richland#117#35.136#0.056#46.240774#- 96.823456#3807754260#1036829
moraine#grand forks#66#35.872#0.035#47.891762#- 97.827283#3803554300#1036614
moran#richland#70#32.824#2.721#46.052654#- 97.064833#3807754340#1036822
morgan#traill#91#35.936#0.000#47.628581#- 97.282464#3809754380#1036706
morris#ramsey#53#32.975#3.047#48.234316#- 98.763196#3807154420#1759581
morton#burleigh#42#35.965#0.011#46.670371#- 100.385483#3801554460#1759342
moscow#cavalier#17#34.993#1.008#48.761779#- 98.666598#3801954500#1759373
mott#hettinger#60#35.202#0.068#46.421707#- 102.370568#3804154660#2397841
mound#slope#7#35.794#0.065#46.415294#- 103.734627#3808754700#1037167
mount carmel#cavalier#41#44.352#0.681#48.942356#- 98.419924#3801954820#1759374
mount rose#bottineau#59#36.008#0.000#48.676125#- 101.255384#3800954900#1759284
mount view#towner#54#35.281#0.559#48.845538#- 99.456956#3809554940#1759657
mountrail#mountrail#28#35.841#0.041#47.898432#- 101.925721#3806154860#1033976
mouse river#mchenry#15#31.270#4.696#48.597085#- 100.581768#3804954980#1759502
munster#eddy#56#35.908#0.165#47.711572#- 99.221379#3802755100#1759409
muskego#renville#38#31.536#4.529#48.509808#- 101.505933#3807555180#1759614
