year#movie (in kannada )#director#cast#music director
1970#aanireekshita#b.nagesh babu#kalpana , k.s.aswath , b.v. radha#vijaya bhaskar
1970#seetha#vadiraj#gangadhar , ramesh#vijaya bhaskar
1970#sri krishnadevaraya#b.r.panthulu#rajkumar , jayanti , bharati#t.g.lingappa
1970#sukha samsaara#vijaya satyam#srinath , udayakumar , rajashree#m.ranga rao
1970#takka bitre#a.m.samiulla#srinath , uday kumar , aarati#vijaya bhaskar
1970#vaagdaana#shankar v#sudarshan , kalpana , dwarakish#velur krishna
1971#amarabharati#b.krishna#kalyan kumar , chandrakala , b.v.radha#m.purnachandra
1971#anugraha#h.l.n.simha#srinath , ashwath , aarati#rajan - nagendra
1971#baala bandana#paeketi shivaram#rajkumar , jayanti , sampath#g.k.venkatesh
1971#bhale adrushtavo adrushta#k.s.l.swamy#gangadhar , kalpana , srinath#vijaya bhaskar
1971#bhale bhaskar#r.ramamurthy#gangadhar , anita , rajesh#satyam
1971#bhethala gudda#b.a.arasu#rajesh , udayachandrika , dwarakish#vijaya bhaskar
1971#hennu , honnu mannu#basavaraj kestur#rajesh , udayachandrika , b.r.jayaram#upendra kumar
1971#hu - bisilu#t.v.singh#ramesh , jayanti , rajaashankar#t.g.lingappa
1971#iadu beralu#s.r.raajan#s.r.raajan , renuka , indrani#r.ratna
1971#jatakaratna gundaajoisa#b.padmanabhan#h.r.hanumantha rao , ramadevi , narasimharaju#s.p.kodandapani
1971#kaasidre kailasa#k.janakiram#rajkumar , uday kumar , pandaribai#satyam
1971#kalyani#geetapriya#jayanti , gangadhar , ranga#vijaya bhaskar
1971#kasturi niwasa#b.dorairaj#rajkumar , jayanti , aarati#g.k.venkatesh
1971#kulagourava#paeketi shivaram#rajkumar , jayanti , bharati#t.g.lingappa
1971#malati madhava#b.r.panthulu#b.r.panthulu , gangadhar , jayanti#t.g.lingappa
1971#mukthi#n.lakshminarayana#kalpana , rajashekar , ashwath#vijaya bhaskar
1971#naguva hoovu#r.n.k.prasad#sudarshan , b.v.radha , ranga#g.k.venkatesh
1971#namma samsaara#siddalingaiah#rajesh , poornima , ashwath#r.ratna
1971#namma baduku#m.n.aaradya#rajkumar , balakrishna , bharati#m. ranga rao
1971#nyayave devaru#siddalingaiah#rajkumar , b. sarojadevi , aarati#rajan - nagendra
1971#onde kula onde daiva#d.shankar#rajesh , srinath , kalpana#rajan - nagendra
1971#paapa punya#m.v. krishnaswamy#kalyan kumar , ashwath , b. sarojadevi#padmacharan
1971#poornima#r. dayananda#b. sarojadevi , uday kumar , rajesh#r.ratna
1971#pratidwani#b. dorairaj#rajkumar , aarati , rajesh#g.k. venkatesh
1971#saakshatkara#s.r. puttanna kanagaal#rajkumar , jamuna , vajramuni#m. ranga rao
1971#sedina kidi#b.krishan#kalyan kumar , rajaashankar , jayanti#m.purnachandra
1971#samshaya phala#a.m. samiulla#uday kumar , jayanti , srinath#saleel chowdhary
1971#shara panjara#s.r. puttanna kanagaal#kalpana , gangadhar , loknath#vijaya bhaskar
1971#signalman sidappa#tekkatte#uday kumar , leelavati , balakrishna#vijaya bhaskar
1971#sotu geddavalu#s.k.a. chari#kalpana , gangadhar , balakrishna#m. ranga rao
1971#sri krishna rukmini satyabhama#k.s.l. swamy#rajkumar , b. sarojadevi , aarati#r.sudarshanam
1971#taaye devaru#siddalingaiah#rajkumar , bharati , ashwath#g.k. venkatesh
1971#tande makkalu#srikanth#jayanti , b. sarojadevi , srinath#g.k. venkatesh
