number#chapter#installation date#location#status
1#alpha#october 5 , 1904#new york , new york#active
316#omega theta#january 27 , 2007#college park , maryland#active
317#omega eta#april 15 , 2007#greenville , south carolina#closed
318#omega zeta#november 3 , 2007#vestal , new york#active
319#omega epsilon#april 19 , 2008#malibu , california#active
320#omega delta#january 24 , 2009#durham , new hampshire#active
321#omega gamma#january 31 , 2009#vancouver , british columbia#active
322#omega beta#february 21 , 2009#bellingham , washington#active
323#omega alpha#march 14 , 2009#newark , delaware#active
324#psi chi#april 19 , 2009#jacksonville , alabama#active
325#psi phi#april 25 , 2009#reno , nevada#active
326#psi upsilon#may 10 , 2009#merced , california#active
327#psi tau#november 7 , 2009#washington , d.c#active
328#psi sigma#february 20 , 2010#greensboro , nc#active
329#psi rho#march 27 , 2010#storrs , ct#active
330#psi pi#april 10 , 2010#stony brook , ny#active
331#psi omicron#may 1 , 2010#geneseo , ny#active
332#psi xi#may 2 , 2010#allendale , mi#active
333#psi nu#march 11 , 2011#new york , ny#active
334#psi mu#april 9 , 2011#rochester , ny#active
335#psi lambda#may 7 , 2011#waltham , ma#active
336#psi kappa#may 14 , 2011#san francisco , ca#active
337#psi iota#december 3 , 2011#west long branch , nj#active
338#psi theta#february 11 , 2012#ashland , or#active
339#psi eta#april 7 , 2012#philadelphia , pa#active
340#psi zeta#april 21 , 2012#conway , sc#active
341#psi epsilon#april 21 , 2012#los angeles , ca#active
342#psi delta#april 29 , 2012#winchester , va#active
343#psi gamma#april 29 , 2012#institute , wv#active
344#psi beta#april 6 , 2013#jacksonville , fl#active
345#psi alpha#march 23 , 2013#big rapids , michigan#active
346#chi phi#may 18 , 2013#hong kong , china#active
347#colony#n / a#hanover , nh#colony
348#colony#n / a#santa cruz , ca#colony
349#colony#n / a#burlington , vt#colony
350#colony#n / a#maryville , mo#colony
351#colony#n / a#cambridge , ma#colony
352#colony#n / a#seaside , ca#colony
353#colony#n / a#boston , ma#colony
