song title#artist#decade#genre#single / pack name#release date#family friendly#additional rock band 3 features
claudette#roy orbison#1980s#pop - rock#roy orbison 01#jan.6 , 2009#yes#none
chinese democracy#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
better#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#yes#none
street of dreams#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
if the world#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#yes#none
there was a time#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
catcher in the rye#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
scraped#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#yes#none
riad n' the bedouins#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#yes#none
sorry#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
i.r.s.#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
madagascar#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
this i love#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
prostitute#guns n' roses#2000s#rock#chinese democracy#apr.14 , 2009#no#none
riding the storm out#reo speedwagon#1980s#rock#reo speedwagon / styx tour '09#apr.21 , 2009#no#none
roll with the changes#reo speedwagon#1980s#rock#reo speedwagon / styx tour '09#apr.21 , 2009#yes#none
take it on the run#reo speedwagon#1980s#rock#reo speedwagon / styx tour '09#apr.21 , 2009#no#none
blue collar man (long nights)#styx#2000s#classic rock#reo speedwagon / styx tour '09#apr.21 , 2009#yes#none
renegade#styx#2000s#classic rock#reo speedwagon / styx tour '09#apr.21 , 2009#yes#none
too much time on my hands#styx#2000s#classic rock#reo speedwagon / styx tour '09#apr.21 , 2009#no#none
can't stop rockin'#styx / reo speedwagon#2000s#rock#reo speedwagon / styx tour '09#apr.21 , 2009#yes#none
alone in my head#hautewerk#2000s#indie rock#hautewerk 01#apr.21 , 2009#yes#none
i know where you came from#hautewerk#2000s#indie rock#hautewerk 01#apr.21 , 2009#yes#none
stop start again#hautewerk#2000s#indie rock#hautewerk 01#apr.21 , 2009#yes#none
up the beach#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#yes#none
ocean size#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#yes#none
had a dad#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#no#none
ted , just admit it#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#no#none
standing in the shower... thinking#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#no#none
summertime rolls#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#no#none
idiots rule#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#no#none
jane says#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#no#pro guitar / bass
thank you boys#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#yes#none
pig 's in zen#jane 's addiction#1980s#alternative#nothing 's shocking#apr.28 , 2009#no#none
take me out#franz ferdinand#2000s#alternative#franz ferdinand 01#may 5 , 2009#yes#none
lucid dreams#franz ferdinand#2000s#alternative#franz ferdinand 01#may 5 , 2009#yes#none
do you want to#franz ferdinand#2000s#alternative#franz ferdinand 01#may 5 , 2009#yes#none
smooth criminal#alien ant farm#2000s#rock#single#may 5 , 2009#no#none
blue sky#the allman brothers band#1970s#southern rock#single#may 5 , 2009#yes#none
midnight rider#the allman brothers band#1970s#southern rock#single#may 5 , 2009#yes#none
drain the blood#the distillers#2000s#punk#single#may 5 , 2009#no#none
naked eye#luscious jackson#1990s#alternative#single#may 5 , 2009#no#none
idealistic types#prong#2000s#metal#single#may 5 , 2009#no#none
the banishment#prong#2000s#metal#single#may 5 , 2009#no#none
bad luck#social distortion#1990s#punk#social distortion 01#may 12 , 2009#no#none
ring of fire#social distortion#1990s#punk#social distortion 01#may 12 , 2009#yes#none
story of my life#social distortion#1990s#punk#social distortion 01#may 12 , 2009#yes#none
stricken#disturbed#2000s#nu - metal#single#may 12 , 2009#no#none
stupify#disturbed#2000s#nu - metal#single#may 12 , 2009#no#none
black friday#steely dan#1970s#classic rock#single#may 12 , 2009#yes#none
my old school#steely dan#1970s#classic rock#single#may 12 , 2009#no#none
radio radio#elvis costello#1970s#rock#single#may 12 , 2009#yes#none
school 's out (live)#alice cooper#1990s#rock#alice cooper 01#may 19 , 2009#yes#none
i'm eighteen (live)#alice cooper#1990s#rock#alice cooper 01#may 19 , 2009#yes#none
billion dollar babies (live)#alice cooper#1990s#rock#alice cooper 01#may 19 , 2009#no#none
poison#alice cooper#1980s#rock#alice cooper 01#may 19 , 2009#no#none
under my wheels (live)#alice cooper#1990s#rock#alice cooper 01#may 19 , 2009#yes#none
vengeance is mine#alice cooper#2000s#rock#alice cooper 01#may 19 , 2009#no#none
liar (it takes one to know one)#taking back sunday#2000s#emo#taking back sunday 01#may 19 , 2009#yes#none
makedamnsure#taking back sunday#2000s#emo#taking back sunday 01#may 19 , 2009#no#none
what 's it feel like to be a ghost?#taking back sunday#2000s#emo#taking back sunday 01#may 19 , 2009#no#none
kids don't follow#the replacements#1980s#punk#single#may 19 , 2009#no#none
cuz u r next#ministry#2000s#metal#ministry 01#may 26 , 2009#no#none
lieslieslies#ministry#2000s#metal#ministry 01#may 26 , 2009#no#none
the great satan#ministry#2000s#metal#ministry 01#may 26 , 2009#no#none
she 's not there#the zombies#1960s#pop - rock#single#may 26 , 2009#yes#none
tell her no#the zombies#1960s#pop - rock#single#may 26 , 2009#yes#none
linger#the cranberries#1990s#alternative#single#may 26 , 2009#yes#none
shimmer & shine#ben harper and relentless7#2000s#alternative#bonnaroo 01#june 2 , 2009#yes#none
a favor house atlantic#coheed and cambria#2000s#prog#bonnaroo 01#june 2 , 2009#yes#none
the running free#coheed and cambria#2000s#prog#bonnaroo 01#june 2 , 2009#no#none
wilson (live)#phish#1990s#rock#bonnaroo 01#june 2 , 2009#yes#none
steady at the wheel#shooter jennings#2000s#country#bonnaroo 01#june 2 , 2009#yes#none
wolf like me#tv on the radio#2000s#indie rock#bonnaroo 01#june 2 , 2009#no#none
aces high (live)#iron maiden#2000s#metal#iron maiden 01#june 9 , 2009#yes#none
2 minutes to midnight#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#no#none
the trooper#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#no#none
wasted years#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#yes#none
the number of the beast (original version)#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#no#none
run to the hills (original version)#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#no#none
can i play with madness#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#no#none
the clairvoyant#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#no#none
powerslave#iron maiden#1980s#metal#iron maiden 01#june 9 , 2009#no#none
fear of the dark (live)#iron maiden#2000s#metal#iron maiden 01#june 9 , 2009#yes#none
hallowed be thy name (live)#iron maiden#2000s#metal#iron maiden 01#june 9 , 2009#no#none
iron maiden (live)#iron maiden#2000s#metal#iron maiden 01#june 9 , 2009#no#none
bring me to life#evanescence#2000s#nu - metal#evanescence 01#june 16 , 2009#yes#none
call me when you 're sober#evanescence#2000s#nu - metal#evanescence 01#june 16 , 2009#no#none
weight of the world#evanescence#2000s#nu - metal#evanescence 01#june 16 , 2009#no#none
back from the dead#spinal tap#2000s#rock#spinal tap 01#june 16 , 2009#no#none
rock 'n' roll nightmare#spinal tap#2000s#rock#spinal tap 01#june 16 , 2009#no#none
saucy jack#spinal tap#2000s#rock#spinal tap 01#june 16 , 2009#no#none
warmer than hell#spinal tap#2000s#rock#spinal tap 01#june 16 , 2009#no#none
the downfall of us all#day to remember a day to remember#2000s#punk#warped tour 2009 01#june 23 , 2009#yes#none
21st century (digital boy)#bad religion#1990s#punk#warped tour 2009 01#june 23 , 2009#no#none
the flood#escape the fate#2000s#emo#warped tour 2009 01#june 23 , 2009#yes#none
reinventing your exit#underoath#2000s#emo#warped tour 2009 01#june 23 , 2009#yes#none
little of your time#maroon 5#2000s#pop - rock#maroon 5 01#june 23 , 2009#no#none
makes me wonder#maroon 5#2000s#pop - rock#maroon 5 01#june 23 , 2009#no#none
wake up call#maroon 5#2000s#pop - rock#maroon 5 01#june 23 , 2009#no#none
brother#pearl jam#2000s#grunge#ten bonus pack#june 23 , 2009#no#backing vocals
alive ( live : drop in the park )#pearl jam#2000s#grunge#ten bonus pack#june 23 , 2009#no#none
blue morning , blue day#foreigner#1970s#classic rock#foreigner 01#june 30 , 2009#yes#none
feels like the first time#foreigner#1970s#classic rock#foreigner 01#june 30 , 2009#no#none
headknocker#foreigner#1970s#classic rock#foreigner 01#june 30 , 2009#yes#none
weapon of choice#black rebel motorcycle club#2000s#alternative#single#june 30 , 2009#no#none
sweet talk#dear and the headlights#2000s#indie rock#warped tour 2009 02#june 30 , 2009#yes#none
hey john , what 's your name again?#the devil wears prada#2000s#metal#warped tour 2009 02#june 30 , 2009#no#none
image of the invisible#thrice#2000s#rock#warped tour 2009 02#june 30 , 2009#yes#none
21 guns#green day#2000s#rock#green day 01#july 7 , 2009#no#backing vocals
east jesus nowhere#green day#2000s#rock#green day 01#july 7 , 2009#no#backing vocals
know your enemy#green day#2000s#rock#green day 01#july 7 , 2009#no#backing vocals
conquer all#behemoth#2000s#metal#mayhem tour 2009#july 7 , 2009#no#none
what a horrible night to have a curse#the black dahlia murder#2000s#metal#mayhem tour 2009#july 7 , 2009#no#none
hammer smashed face#cannibal corpse#1990s#metal#mayhem tour 2009#july 7 , 2009#no#none
empire of the gun#god forbid#2000s#metal#mayhem tour 2009#july 7 , 2009#no#none
embedded#job for a cowboy#2000s#metal#mayhem tour 2009#july 7 , 2009#no#none
disposable teens#marilyn manson#2000s#glam#mayhem tour 2009#july 7 , 2009#no#none
black magic#slayer#1980s#metal#mayhem tour 2009#july 7 , 2009#no#none
this is exile#whitechapel#2000s#metal#mayhem tour 2009#july 7 , 2009#no#none
all going out together#big dipper#2000s#indie rock#big dipper 01#july 14 , 2009#yes#none
she 's fetching#big dipper#2000s#indie rock#big dipper 01#july 14 , 2009#yes#none
younger bums#big dipper#2000s#indie rock#big dipper 01#july 14 , 2009#no#none
dissident aggressor (live)#judas priest#2000s#metal#judas priest 01#july 14 , 2009#no#none
eat me alive (live)#judas priest#2000s#metal#judas priest 01#july 14 , 2009#no#none
prophecy (live)#judas priest#2000s#metal#judas priest 01#july 14 , 2009#no#none
hang you from the heavens#the dead weather#2000s#alternative#the dead weather 01#july 14 , 2009#no#none
no hassle night#the dead weather#2000s#alternative#the dead weather 01#july 14 , 2009#yes#none
treat me like your mother#the dead weather#2000s#alternative#the dead weather 01#july 14 , 2009#yes#none
crawl#kings of leon#2000s#rock#kings of leon 01#july 21 , 2009#no#none
molly 's chambers#kings of leon#2000s#rock#kings of leon 01#july 21 , 2009#no#none
sex on fire#kings of leon#2000s#rock#kings of leon 01#july 21 , 2009#no#none
last one to die#rancid#2000s#punk#rancid 01#july 21 , 2009#no#none
ruby soho#rancid#1990s#punk#rancid 01#july 21 , 2009#yes#none
time bomb#rancid#1990s#punk#rancid 01#july 21 , 2009#no#none
prayer of the refugee#rise against#2000s#punk#rise against 01#july 21 , 2009#yes#none
re - education (through labor)#rise against#2000s#punk#rise against 01#july 21 , 2009#yes#none
savior#rise against#2000s#punk#rise against 01#july 21 , 2009#yes#none
sweetness & light#lush#1990s#alternative#single#july 21 , 2009#yes#none
down#blink - 182#2000s#punk#blink - 182 01#july 28 , 2009#yes#none
feeling this#blink - 182#2000s#punk#blink - 182 01#july 28 , 2009#no#none
the rock show#blink - 182#2000s#punk#blink - 182 01#july 28 , 2009#no#none
100000 years (live)#kiss#1970s#classic rock#kiss 01#july 28 , 2009#no#none
deuce (live)#kiss#1970s#classic rock#kiss 01#july 28 , 2009#no#none
parasite (live)#kiss#1970s#classic rock#kiss 01#july 28 , 2009#yes#none
my name is jonas#weezer#1990s#alternative#weezer 02#july 28 , 2009#yes#none
pork and beans#weezer#2000s#alternative#weezer 02#july 28 , 2009#yes#none
undone - the sweater song#weezer#1990s#alternative#weezer 02#july 28 , 2009#no#none
out here all night#damone#2000s#rock#single#july 28 , 2009#yes#none
(funky) sex farm#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
(listen to the) flower people (reggae stylee)#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#yes#none
america#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
big bottom#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
cups and cakes#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
gimme some money#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
heavy duty#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#yes#none
hell hole#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
rock 'n' roll creation#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#yes#none
stonehenge#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
tonight i'm gonna rock you tonight#spinal tap#2000s#metal#spinal tap 's tap ten#aug.4 , 2009#no#none
clint eastwood#gorillaz#2000s#alternative#gorillaz 01#aug.11 , 2009#no#none
feel good inc.#gorillaz#2000s#alternative#gorillaz 01#aug.11 , 2009#no#none
re - hash#gorillaz#2000s#alternative#gorillaz 01#aug.11 , 2009#no#none
piece of my heart#janis joplin#1970s#classic rock#single#aug.11 , 2009#yes#none
chest fever (live)#the band#1970s#classic rock#single#aug.11 , 2009#no#none
white rabbit#jefferson airplane#1960s#classic rock#single#aug.11 , 2009#no#none
magic bus ( live at leeds )#the who#1970s#classic rock#single#aug.11 , 2009#no#none
no rain#blind melon#1990s#alternative#single#aug.18 , 2009#no#none
there 's no other way#blur#1990s#alternative#single#aug.18 , 2009#no#none
i'm shipping up to boston#dropkick murphys#2000s#punk#single#aug.18 , 2009#no#none
inside out#eve 6#1990s#alternative#single#aug.18 , 2009#no#pro guitar / bass
i predict a riot#kaiser chiefs#2000s#indie rock#single#aug.18 , 2009#no#none
all my life#foo fighters#2000s#alternative#foo fighters 02#aug.18 , 2009#no#none
i'll stick around#foo fighters#1990s#alternative#foo fighters 02#aug.18 , 2009#no#none
lonely as you#foo fighters#2000s#alternative#foo fighters 02#aug.18 , 2009#no#none
mony mony#billy idol#1980s#rock#single#aug.25 , 2009#no#none
rebel yell#billy idol#1980s#rock#single#aug.25 , 2009#no#none
don't stop#fleetwood mac#1970s#classic rock#single#aug.25 , 2009#yes#none
world turning#fleetwood mac#1970s#classic rock#single#aug.25 , 2009#yes#none
she 's a genius#jet#2000s#alternative#single#aug.25 , 2009#no#none
i won't back down#tom petty#1980s#classic rock#single#aug.25 , 2009#yes#none
runnin' down a dream#tom petty#1980s#classic rock#single#aug.25 , 2009#yes#none
bat country#avenged sevenfold#2000s#metal#single#sep.1 , 2009#no#none
town called malice#the jam#1980s#new wave#single#sep.1 , 2009#no#none
going underground#the jam#2000s#new wave#single#sep.1 , 2009#yes#none
supersonic (live)#oasis#2000s#rock#single#sep.1 , 2009#no#none
guerrilla radio#rage against the machine#1990s#alternative#single#sep.1 , 2009#no#none
and she was#talking heads#1980s#new wave#talking heads 01#sep.1 , 2009#yes#none
crosseyed and painless#talking heads#1980s#new wave#talking heads 01#sep.1 , 2009#yes#none
girlfriend is better#talking heads#1980s#new wave#talking heads 01#sep.1 , 2009#yes#none
once in a lifetime#talking heads#1980s#new wave#talking heads 01#sep.1 , 2009#no#none
take me to the river#talking heads#1970s#new wave#talking heads 01#sep.1 , 2009#no#none
less talk more rokk#freezepop#2000s#pop - rock#freezepop 01#sep.8 , 2009#no#none
get ready 2 rokk#freezepop#2000s#pop - rock#freezepop 01#sep.8 , 2009#yes#none
science genius girl#freezepop#2000s#pop - rock#freezepop 01#sep.8 , 2009#yes#none
re : your brains#jonathan coulton#2000s#pop - rock#the pax 2009 collection#sep.8 , 2009#no#none
origin of species#mc frontalot#2000s#other#the pax 2009 collection#sep.8 , 2009#no#none
opening band#paul and storm#2000s#pop - rock#the pax 2009 collection#sep.8 , 2009#no#none
kryptonite#3 doors down#2000s#rock#single#sep.8 , 2009#yes#none
miss murder#afi#2000s#alternative#single#sep.8 , 2009#no#none
gasoline#audioslave#2000s#rock#single#sep.8 , 2009#no#none
abc#jackson 5#1970s#pop - rock#single#sep.8 , 2009#yes#none
666#anvil#2000s#metal#anvil 01#sep.15 , 2009#no#none
metal on metal#anvil#2000s#metal#anvil 01#sep.15 , 2009#no#none
this is thirteen#anvil#2000s#metal#anvil 01#sep.15 , 2009#no#none
pick me up#dinosaur jr#2000s#alternative#single#sep.15 , 2009#yes#none
the wagon#dinosaur jr#1990s#alternative#single#sep.15 , 2009#yes#none
hand me down world#the guess who#1970s#classic rock#single#sep.15 , 2009#yes#none
no time#the guess who#1970s#classic rock#single#sep.15 , 2009#yes#none
rock your socks#tenacious d#2000s#rock#single#sep.15 , 2009#no#none
tribute#tenacious d#2000s#rock#single#sep.15 , 2009#no#none
gonna see my friend#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#backing vocals
got some#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#backing vocals
the fixer#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#yes#backing vocals
johnny guitar#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#backing vocals
just breathe#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#backing vocals
amongst the waves#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#none
unthought known#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#yes#backing vocals
supersonic#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#backing vocals
speed of sound#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#yes#backing vocals
force of nature#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#none
the end#pearl jam#2000s#grunge#backspacer#sep.20 , 2009#no#none
a looking in view#alice in chains#2000s#grunge#alice in chains 01#sep.29 , 2009#no#none
check my brain#alice in chains#2000s#grunge#alice in chains 01#sep.29 , 2009#yes#none
no excuses#alice in chains#1990s#grunge#alice in chains 01#sep.29 , 2009#yes#none
rooster#alice in chains#1990s#grunge#alice in chains 01#sep.29 , 2009#no#pro guitar / bass
would?#alice in chains#1990s#grunge#alice in chains 01#sep.29 , 2009#no#none
i will not bow#breaking benjamin#2000s#nu - metal#breaking benjamin 01#sep.29 , 2009#no#none
so cold#breaking benjamin#2000s#nu - metal#breaking benjamin 01#sep.29 , 2009#no#none
the diary of jane#breaking benjamin#2000s#nu - metal#breaking benjamin 01#sep.29 , 2009#yes#none
u suck#just kait#2000s#rock#single#sep.29 , 2009#no#none
hey dude#kula shaker#1990s#alternative#single#sep.29 , 2009#no#none
knight on the town#kula shaker#1990s#alternative#single#sep.29 , 2009#yes#none
many shades of black#the raconteurs#2000s#rock#the raconteurs 01#oct.6 , 2009#yes#none
salute your solution#the raconteurs#2000s#rock#the raconteurs 01#oct.6 , 2009#yes#none
steady , as she goes#the raconteurs#2000s#rock#the raconteurs 01#oct.6 , 2009#yes#none
dance epidemic#electric six#2000s#rock#electric six 01#oct.6 , 2009#no#none
gay bar#electric six#2000s#rock#electric six 01#oct.6 , 2009#no#none
i don't like you#electric six#2000s#rock#electric six 01#oct.6 , 2009#yes#none
head over feet#alanis morissette#1990s#pop - rock#single#oct.6 , 2009#yes#none
ironic#alanis morissette#1990s#pop - rock#single#oct.6 , 2009#yes#none
