res#record#opponent#method#event#round#time#location
win#29 - 21 - 1#igor sliusarchuk#submission (rear - naked choke)#global fight club - gfc challenge#1#3:03#krasnodar , krasnodar krai , russia
loss#22 - 11 - 1#ryan mcgivern#decision (unanimous)#ifl : vegas#5#4:00#las vegas , nevada , united states
win#22 - 10 - 1#benji radach#ko (punch)#ifl : world grand prix finals#2#1:58#uncasville , connecticut , united states
win#21 - 10 - 1#brian foster#submission (armbar)#ifl : world grand prix semifinals#1#3:59#chicago , illinois , united states
win#20 - 10 - 1#kazuhiro hamanaka#ko (head kick)#ifl : everett#1#2:07#everett , washington , united states
loss#19 - 10 - 1#jamal patterson#submission (guillotine choke)#ifl : connecticut#1#0:37#uncasville , connecticut , united states
win#19 - 9 - 1#brent beauparlant#submission (kimura)#ifl : atlanta#2#0:28#atlanta , georgia , united states
loss#18 - 9 - 1#ryan mcgivern#decision (unanimous)#ifl : championship final#3#4:00#uncasville , connecticut , united states
win#18 - 8 - 1#mike pyle#submission (rear - naked choke)#ifl : world championship semifinals#2#1:02#portland , oregon , united states
win#17 - 8 - 1#bristol marunde#decision (unanimous)#ifl : portland#3#4:00#portland , oregon , united states
loss#16 - 8 - 1#jamal patterson#submission (rear - naked choke)#ifl : legends championship 2006#1#2:57#atlantic city , new jersey , united states
loss#16 - 7 - 1#roan carneiro#decision (split)#wcfc : no guts no glory#3#5:00#manchester , england
win#16 - 6 - 1#petras markevičius#submission (rear naked choke)#wcfc : no guts no glory#1#4:59#manchester , england
loss#15 - 6 - 1#brian ebersole#decision (unanimous)#strikeforce : shamrock vs. gracie#3#5:00#san jose , california , united states
win#15 - 5 - 1#rob wince#submission (armbar)#acf : genesis#1#1:46#denver , colorado , united states
win#14 - 5 - 1#john cronk#submission (rear naked choke)#sf 13: rocky mountain sportfight#2#3:28#denver , colorado , united states
win#13 - 5 - 1#vernon white#submission (rear - naked choke)#sf 12: breakout#2#2:38#portland , oregon , united states
win#12 - 5 - 1#krzysztof soszynski#submission (rear - naked choke)#freedom fight : canada vs usa#2#0:52#hull , quebec , canada
loss#11 - 5 - 1#travis wiuff#decision (unanimous)#extreme challenge 62#3#5:00#medina , minnesota , united states
win#11 - 4 - 1#brian wieber#submission (rear - naked choke)#xfc : dome of destruction 2#1#2:37#tacoma , washington , united states
loss#10 - 4 - 1#trevor prangley#decision (unanimous)#sf 9: respect#3#5:00#gresham , oregon , united states
win#10 - 3 - 1#chris kiever#submission (triangle choke)#kickdown classic 16#2#0:40#denver , colorado , united states
loss#9 - 3 - 1#jason lambert#submission (punches)#wec 12: halloween fury 3#2#3:28#lemoore , california , united states
win#9 - 2 - 1#jason macdonald#submission (armbar)#extreme fighting challenge 3#1#n / a#prince george , british columbia , canada
win#8 - 2 - 1#billy miles#submission (rear - naked choke)#sf 6: battleground in reno#2#0:59#reno , nevada , united states
win#7 - 2 - 1#antony rea#submission (rear - naked choke)#apex : genesis#2#1:13#montreal , quebec , canada
win#6 - 2 - 1#paul purcell#submission (rear - naked choke)#sf 5: stadium#1#n / a#gresham , oregon , united states
win#5 - 2 - 1#mikko rupponen#submission (triangle choke)#pfa : pride and fury#3#0:50#worley , idaho , united states
win#4 - 2 - 1#chris kiever#submission (triangle choke)#cage fighting championship 1#1#1:47#salt lake city , utah , united states
loss#3 - 2 - 1#glover teixeira#decision (unanimous)#sf 3: dome#3#5:00#gresham , oregon , united states
win#3 - 1 - 1#horace spencer#submission (rear - naked choke)#sf 2: on the move#1#4:45#portland , oregon , united states
win#2 - 1 - 1#josh burkman#submission (triangle choke)#sf 1: revolution#2#2:11#portland , oregon , united states
loss#1 - 1 - 1#rich guerin#submission (armbar)#desertbrawl 9#1#1:54#bend , oregon , united states
draw#1 - 0 - 1#shane davis#draw#ultimate ring challenge 6#3#3:00#longview , washington , united states
win#1 - 0#cory devela#submission (rear - naked choke)#ppka : ultimate fight night 2#2#1:24#pasco , washington , united states
