player#games#goals#first games#last games
mike havenaar#9#3#2011.09.02#2012.10.12
shunsuke nakamura#98#24#2000.02.13#2010.06.19
kisho yano#19#2#2007.03.24#2010.06.14
yuhei tokunaga#7#0#2009.10.08#2010.04.07
koji yamase#13#5#2006.08.09#2010.04.07
hisato sato#31#4#2006.02.10#2010.02.14
sota hirayama#4#3#2010.01.06#2010.02.11
mitsuo ogasawara#55#7#2002.03.21#2010.02.11
kensuke nagai#1#0#2010.01.06#2010.01.06
kazuma watanabe#1#0#2010.01.06#2010.01.06
takuji yonemoto#1#0#2010.01.06#2010.01.06
kazuya yamamura#1#0#2010.01.06#2010.01.06
kosuke ota#1#0#2010.01.06#2010.01.06
naoya kikuchi#1#0#2010.01.06#2010.01.06
shuichi gonda#1#0#2010.01.06#2010.01.06
naoki yamada#2#0#2009.05.27#2010.01.06
ryota tsuzuki#6#0#2001.06.04#2009.09.09
satoshi yamaguchi#2#0#2009.05.27#2009.05.31
tatsuya tanaka#16#3#2005.07.31#2009.03.28
kazumichi takagi#5#0#2008.08.20#2009.02.04
seiichiro maki#38#8#2005.07.31#2009.02.04
shuhei terada#6#0#2008.05.27#2009.01.28
takeshi aoki#2#0#2008.08.20#2009.01.20
yoshikatsu kawaguchi#116#0#1997.02.13#2008.11.19
masashi oguro#22#5#2005.01.29#2008.08.20
shinji ono#56#6#1998.04.01#2008.08.20
keita suzuki#28#0#2006.08.09#2008.05.27
naohiro takahara#57#23#2000.02.13#2008.05.27
satoru yamagishi#11#0#2006.10.04#2008.03.26
yuzo tashiro#3#0#2008.02.17#2008.02.23
ryuji bando#7#2#2006.10.04#2008.02.23
akira kaji#64#2#2003.10.08#2008.02.23
naotake hanyu#17#0#2006.08.16#2008.02.20
daiki takamatsu#2#0#2006.11.15#2007.08.22
koki mizuno#4#0#2007.03.24#2007.07.16
koji nakata#57#2#2000.02.05#2007.06.05
keisuke tsuboi#40#0#2003.06.11#2007.06.01
kazuki ganaha#6#3#2006.08.09#2006.11.15
alessandro santos#82#7#2002.03.21#2006.11.15
takahiro futagawa#1#0#2006.10.04#2006.10.04
tsukasa umesaki#1#0#2006.09.06#2006.09.06
yuto sato#1#0#2006.08.16#2006.08.16
daisuke sakata#1#0#2006.08.09#2006.08.09
naoshi nakamura#1#0#2006.08.09#2006.08.09
daigo kobayashi#1#0#2006.08.09#2006.08.09
hayuma tanaka#1#0#2006.08.09#2006.08.09
hidetoshi nakata#77#11#1997.05.21#2006.06.22
tsuneyasu miyamoto#71#3#2000.06.18#2006.06.18
takashi fukunishi#64#7#1999.06.29#2006.06.18
atsushi yanagisawa#58#17#1998.02.15#2006.06.18
teruyuki moniwa#9#1#2003.10.08#2006.06.12
tatsuhiko kubo#32#11#1998.10.28#2006.05.13
shinji murai#5#0#2005.08.03#2006.05.09
makoto tanaka#32#0#2004.04.25#2006.05.09
masashi motoyama#28#0#2000.06.18#2006.02.18
yoshinobu minowa#1#0#2005.10.12#2005.10.12
takayuki suzuki#55#11#2001.04.25#2005.10.12
yoichi doi#4#0#2004.02.07#2005.10.08
takayuki chano#7#0#2004.04.25#2005.08.07
atsuhiro miura#25#1#1999.06.06#2005.05.22
naoki matsuda#40#1#2000.02.05#2005.01.29
toshiya fujita#24#3#1995.02.15#2005.01.29
takuya yamada#4#0#2003.12.07#2004.08.18
norihiro nishi#5#0#2004.04.25#2004.08.03
nobuhisa yamada#15#1#2002.11.20#2004.02.18
teruaki kurobe#4#0#2003.03.28#2004.02.07
daisuke oku#26#2#1998.10.28#2004.02.07
hitoshi sogahata#4#0#2001.11.07#2003.09.10
yuichiro nagai#4#1#2003.04.16#2003.06.22
ryuzo morioka#38#0#1999.03.31#2003.06.08
toshihiro hattori#44#2#1996.09.11#2003.06.08
yutaka akita#44#4#1995.10.24#2003.06.08
akira narahashi#38#0#1994.09.27#2003.06.08
masashi nakayama#53#21#1990.07.31#2003.06.08
yoshiteru yamashita#3#0#2001.06.04#2003.04.16
eisuke nakanishi#14#0#1997.09.07#2002.11.20
kazuyuki toda#20#1#2001.05.31#2002.06.18
tomokazu myojin#26#3#2000.02.13#2002.06.18
daisuke ichikawa#10#0#1998.04.01#2002.06.18
akinori nishizawa#29#10#1997.05.21#2002.06.18
hiroaki morishima#64#12#1995.05.21#2002.06.18
yasuhiro hato#15#0#2001.04.25#2002.05.02
teruyoshi ito#27#0#1997.06.08#2001.11.07
nozomi hiroyama#2#0#2001.10.04#2001.10.07
chikara fujimoto#2#0#2001.07.01#2001.10.04
kenichi uemura#4#0#2001.04.25#2001.06.07
hiroshi nanami#67#9#1995.08.06#2001.04.25
shigeyoshi mochizuki#15#1#1997.06.15#2001.03.24
shoji jo#35#7#1995.09.20#2001.03.24
tomoyuki sakai#1#0#2000.12.20#2000.12.20
hideaki kitajima#3#1#2000.10.17#2000.12.20
keiji kaimoto#1#0#2000.10.20#2000.10.20
daijiro takakuwa#1#0#2000.10.20#2000.10.20
go oiwa#3#0#2000.02.05#2000.06.11
yoshiharu ueno#1#0#2000.06.06#2000.06.06
kazuyoshi miura#89#55#1990.09.26#2000.06.06
hiromi kojima#1#0#2000.04.26#2000.04.26
takashi hirano#15#4#1997.06.08#2000.02.20
masaaki sawanobori#16#3#1993.04.08#2000.02.20
atsushi yoneyama#1#0#2000.02.16#2000.02.16
tomoyuki hirase#2#0#2000.02.05#2000.02.13
wagner lopes#20#5#1997.09.28#1999.09.08
naoki soma#58#4#1995.05.28#1999.09.08
masayuki okano#25#2#1995.09.20#1999.07.05
masami ihara#122#5#1988.01.27#1999.07.05
kota yoshihara#1#0#1999.07.02#1999.07.02
masahiro ando#1#0#1999.07.02#1999.07.02
toshihide saito#17#0#1996.08.25#1999.07.02
kazuaki tasaka#7#0#1995.05.28#1999.06.29
tsuyoshi kitazawa#58#3#1991.06.02#1999.06.06
takashi shimoda#1#0#1999.03.31#1999.03.31
norio omura#30#4#1995.05.21#1998.06.26
motohiro yamaguchi#58#4#1995.01.06#1998.06.26
tadatoshi masuda#1#0#1998.02.15#1998.02.15
tadashi nakamura#16#0#1995.02.15#1998.02.15
takuya takagi#44#27#1992.05.31#1997.11.08
yasuto honda#29#1#1995.10.24#1997.10.26
takeshi watanabe#1#0#1997.08.13#1997.08.13
ryuji michiki#4#0#1996.10.13#1997.08.13
hideto suzuki#1#0#1997.06.28#1997.06.28
yasuyuki moriyama#1#0#1997.06.15#1997.06.15
hiroshige yanagimoto#30#0#1995.01.08#1997.03.27
masakiyo maezono#19#4#1994.05.22#1997.03.15
hisashi kurosaki#24#4#1989.05.05#1997.02.13
kenichi shimokawa#9#0#1995.06.10#1997.02.09
naoki sakai#1#0#1996.10.13#1996.10.13
kazuya maekawa#17#0#1992.06.07#1996.10.13
yoshiyuki hasegawa#6#0#1995.02.15#1996.05.29
masaki tsuchihashi#1#0#1996.05.26#1996.05.26
nobuyuki kojima#4#0#1995.06.06#1996.02.19
hajime moriyasu#35#1#1992.05.31#1996.02.19
masaharu suzuki#2#0#1995.10.24#1996.02.14
kentaro sawada#4#0#1995.09.20#1996.02.14
shinkichi kikuchi#7#0#1994.09.27#1995.10.28
masahiro fukuda#45#9#1990.07.27#1995.10.28
tetsuji hashiratani#72#6#1988.01.27#1995.10.28
kentaro hayashi#2#0#1995.08.06#1995.08.09
ruy ramos#32#1#1990.09.26#1995.08.09
koji noguchi#1#0#1995.08.06#1995.08.06
katsuo kanda#1#0#1995.05.28#1995.05.28
kenta hasegawa#27#4#1989.01.20#1995.02.26
shigetatsu matsunaga#40#0#1988.10.26#1995.02.26
satoshi tsunami#78#2#1980.12.22#1995.02.21
hiromitsu isogai#2#0#1995.01.06#1995.01.08
toshihiro yamaguchi#4#0#1994.07.08#1995.01.08
yoshihiro natsuka#11#1#1994.05.22#1995.01.08
takumi horiike#58#2#1986.08.01#1995.01.08
yoshiro moriyama#7#0#1994.07.08#1994.10.11
masahiro endo#8#0#1994.05.29#1994.10.11
teruo iwamoto#9#2#1994.05.22#1994.10.11
takafumi ogura#5#1#1994.05.22#1994.10.09
nobuhiro takeda#18#1#1987.04.08#1994.10.03
naoto otake#1#0#1994.09.27#1994.09.27
takahiro yamada#1#0#1994.09.27#1994.09.27
kenji honnami#3#0#1994.05.29#1994.07.14
tetsuya asano#8#1#1991.06.02#1994.07.14
koji kondo#2#0#1994.05.22#1994.05.29
yoshiaki sato#1#0#1994.05.22#1994.05.22
mitsunori yoshida#35#2#1988.06.02#1993.10.28
toshinobu katsuya#27#0#1985.09.22#1993.10.28
yasutoshi miura#3#0#1993.10.04#1993.10.18
hiroshi hirakawa#13#0#1985.03.21#1992.06.07
yasuharu sorimachi#4#0#1990.07.27#1991.07.27
akihiro nagashima#4#0#1990.07.27#1991.07.27
yuji sakakura#6#0#1990.07.27#1991.07.27
masanao sasaki#20#0#1988.06.02#1991.06.02
shinichi morishita#28#0#1985.06.04#1991.06.02
shiro kikuhara#5#0#1990.07.29#1990.10.01
katsuyoshi shinto#15#1#1987.05.27#1990.10.01
toru sano#9#0#1988.01.27#1990.09.28
katsumi oenoki#5#0#1989.05.05#1990.07.29
shinichiro tani#1#0#1990.07.27#1990.07.27
atsushi natori#6#0#1988.10.26#1989.07.23
satoru mochizuki#7#0#1988.01.27#1989.07.23
yoshiyuki matsuyama#10#4#1987.04.08#1989.07.23
takashi mizunuma#32#7#1984.04.18#1989.07.23
tomoyuki kajino#9#1#1988.06.02#1989.06.25
osamu maeda#14#6#1988.01.27#1989.06.18
masaaki mori#8#0#1988.06.02#1989.06.04
tomoyasu asaoka#8#0#1987.04.12#1989.05.05
katsuhiro kusaki#2#0#1988.01.27#1988.10.26
hiromi hara#75#37#1978.11.19#1988.10.26
kiyotaka matsui#15#0#1984.05.31#1988.06.02
yuji sugano#1#0#1988.02.02#1988.02.02
satoshi tezuka#25#2#1980.06.11#1988.02.02
nobuyo fujishiro#2#0#1988.01.27#1988.01.30
akihiro nishimura#49#2#1980.06.18#1988.01.30
kuniharu nakamoto#5#0#1987.09.02#1987.10.26
hisashi kato#61#6#1978.11.23#1987.10.26
yasuhiko okudera#32#9#1972.07.12#1987.10.26
yasuharu kurata#6#0#1986.09.20#1987.09.26
toshio matsuura#22#6#1981.06.02#1987.09.26
kazuo echigo#6#1#1986.07.25#1987.09.18
hisashi kaneko#7#1#1986.07.25#1987.09.18
satoshi miyauchi#20#0#1984.09.30#1987.09.18
yasutaro matsuki#11#0#1984.04.15#1986.09.28
koichi hashiratani#29#3#1981.02.08#1986.09.28
kazushi kimura#54#26#1979.05.31#1986.09.28
yoshinori ishigami#12#0#1984.09.30#1986.09.24
osamu taninaka#3#0#1984.09.30#1986.08.01
george yonashiro#2#0#1985.10.26#1985.11.03
tetsuya totsuka#18#3#1980.12.22#1985.11.03
takeshi koshida#19#0#1980.12.22#1985.11.03
yutaka ikeuchi#8#0#1983.02.12#1985.08.11
takeshi okada#24#1#1980.06.09#1985.08.11
shinobu ikeda#1#0#1985.06.04#1985.06.04
shinji tanaka#17#0#1980.03.30#1985.06.04
kazuaki nagasawa#9#0#1978.07.13#1985.06.04
masaru uchiyama#1#0#1985.05.26#1985.05.26
atsushi uchiyama#2#0#1984.09.30#1985.02.23
koji tanaka#20#3#1982.07.15#1984.05.31
nobutoshi kaneda#58#6#1977.06.15#1984.05.31
kazumi tsubota#7#0#1981.03.08#1984.04.26
kazuo saito#32#0#1976.01.28#1984.04.26
hideki maeda#65#11#1975.08.04#1984.04.26
hiroyuki usui#38#15#1974.02.12#1984.04.26
mitsuhisa taguchi#59#0#1975.09.08#1984.04.21
masafumi yokoyama#31#10#1979.08.23#1984.04.18
tetsuo sugamata#23#0#1978.07.23#1984.04.15
yahiro kazama#19#0#1980.12.22#1983.09.25
kazuo ozaki#17#3#1981.02.08#1983.03.06
hiroshi yoshida#9#1#1981.02.08#1983.02.25
toru yoshikawa#1#0#1983.02.12#1983.02.12
mitsugu nomura#12#0#1981.06.02#1982.07.18
ryoichi kawakatsu#13#0#1981.02.08#1982.07.18
masaaki kato#3#1#1981.08.30#1981.09.08
toshihiko okimune#2#0#1981.08.30#1981.09.03
naoji ito#1#0#1981.06.19#1981.06.19
shigemitsu sudo#13#0#1979.08.23#1981.03.08
haruhisa hasegawa#15#4#1978.11.19#1981.03.08
yoshio kato#8#0#1980.06.09#1981.02.24
tsutomu sonobe#7#0#1978.05.23#1981.02.24
satoshi yamaguchi#1#0#1981.02.19#1981.02.19
masakuni yamamoto#4#0#1980.12.26#1981.02.19
yasuhito suzuki#4#0#1980.12.22#1980.12.30
hiroyuki sakashita#1#0#1980.12.28#1980.12.28
takayoshi yamano#2#0#1980.06.11#1980.06.18
hiroshi soejima#3#0#1980.06.09#1980.06.18
kozo tashima#7#1#1979.06.27#1980.06.18
ikuo takahara#4#2#1980.03.22#1980.04.02
yuji kishioku#10#2#1979.05.31#1980.04.02
yukitaka omi#6#0#1978.05.23#1980.04.02
eijun kiyokumo#42#0#1974.09.28#1980.04.02
hiroshi ochiai#63#9#1974.09.07#1980.04.02
keizo imai#29#0#1974.09.03#1980.04.02
yoshikazu nagai#69#9#1971.08.13#1980.03.30
tatsuhiko seta#25#0#1973.05.22#1980.03.22
mitsuo kato#1#0#1979.08.23#1979.08.23
michio yasuda#1#0#1979.08.23#1979.08.23
nobuo fujishima#65#7#1971.09.29#1979.08.23
shigeharu ueki#1#0#1979.07.13#1979.07.13
katsuyuki kawachi#3#0#1979.06.16#1979.07.13
yoshiichi watanabe#6#1#1979.06.16#1979.07.13
shigemi ishii#15#0#1974.02.12#1979.07.11
kazuyoshi nakamura#5#1#1979.03.04#1979.07.01
mitsuo watanabe#28#4#1974.02.12#1979.07.01
mitsunori fujiguchi#26#2#1972.07.12#1978.12.15
atsuyoshi furuta#32#0#1971.08.13#1978.12.15
ichiro hosotani#4#1#1978.07.13#1978.07.26
hisao sekiguchi#3#1#1978.05.23#1978.07.26
akira nishino#12#1#1977.03.06#1978.07.26
toyohito mochizuki#2#0#1978.07.21#1978.07.23
choei sato#1#0#1978.07.21#1978.07.21
mitsuru komaeda#2#2#1976.08.10#1977.06.15
masaki yokotani#20#0#1974.07.23#1977.06.15
kozo arai#47#4#1970.12.10#1977.06.15
kunishige kamamoto#76#75#1964.03.03#1977.06.15
nobuo kawakami#41#0#1970.07.31#1977.03.06
kuniya daini#44#0#1972.07.12#1976.12.04
hiroji imamura#4#0#1976.08.08#1976.08.22
daishiro yoshimura#46#7#1970.08.02#1976.08.22
toshio takabayashi#12#2#1974.02.12#1976.08.20
akira matsunaga#10#2#1973.05.22#1976.04.11
takaji mori#56#2#1966.12.16#1976.03.31
aritatsu ogi#62#11#1963.08.08#1976.03.17
michio ashikaga#7#0#1971.09.23#1975.09.08
kazumi takada#16#0#1970.12.12#1975.09.08
koji funamoto#19#0#1967.09.27#1975.09.08
shusaku hirasawa#11#1#1972.08.04#1974.09.28
kenzo yokoyama#49#0#1964.10.16#1974.09.28
kazuhisa kono#1#0#1974.02.20#1974.02.20
noritaka hidaka#4#0#1972.09.14#1973.06.23
minoru kobata#13#0#1970.07.31#1973.06.23
yoshitada yamaguchi#49#0#1964.10.16#1973.06.23
seiichi sakiya#3#0#1971.09.27#1972.08.06
george kobayashi#3#0#1972.07.16#1972.07.22
kiyoshi tomizawa#9#2#1965.03.14#1971.10.02
hiroshi katayama#38#0#1961.08.02#1971.10.02
teruki miyamoto#58#19#1961.06.11#1971.10.02
ryuichi sugiyama#56#15#1961.05.28#1971.10.02
masakatsu miyamoto#44#1#1958.12.25#1971.10.02
tadahiko ueda#13#7#1970.08.02#1971.09.23
yoshio kikugawa#16#0#1969.10.12#1971.08.13
takeshi ono#3#0#1965.03.25#1971.08.13
teruo nimura#5#0#1970.12.10#1970.12.19
eizo yuguchi#5#1#1969.10.18#1970.12.18
takeo kimura#14#4#1966.12.17#1970.12.18
masafumi hara#5#0#1970.07.31#1970.12.17
yusuke omi#5#1#1970.08.04#1970.12.16
norio yoshimizu#4#1#1970.07.31#1970.08.16
yasuyuki kuwahara#12#5#1966.12.14#1970.07.31
tsuyoshi kunieda#2#0#1969.10.16#1969.10.18
masashi watanabe#39#12#1958.12.25#1969.10.18
mitsuo kamata#44#2#1958.12.25#1969.10.18
junji kawano#2#0#1968.03.31#1969.10.16
ikuo matsumoto#11#1#1966.12.10#1969.10.16
tadao onishi#1#0#1969.10.10#1969.10.10
shigeo yaegashi#45#11#1956.06.03#1968.10.14
ryozo suzuki#24#0#1961.08.15#1968.04.04
hisao kami#15#0#1964.10.16#1968.03.31
masahiro hamazaki#2#0#1966.12.16#1966.12.19
kazuo imanishi#3#0#1966.12.10#1966.12.18
shozo tsugitani#12#4#1961.08.15#1965.03.27
masanobu izumi#1#0#1965.03.25#1965.03.25
katsuyoshi kuwahara#2#0#1965.03.22#1965.03.25
saburo kawabuchi#26#8#1958.12.25#1965.03.22
nobuyuki oishi#1#0#1964.03.03#1964.03.03
takao nishiyama#1#0#1964.03.03#1964.03.03
tsukasa hosaka#19#0#1960.11.06#1964.03.03
michihiro ozawa#36#0#1956.06.03#1964.03.03
yasuo takamori#30#0#1955.01.02#1963.08.15
yoshinobu ishii#1#0#1962.09.21#1962.09.21
takayuki kuwata#5#2#1961.05.28#1962.09.21
takehiko kawanishi#8#0#1959.12.20#1962.09.21
yoshio furukawa#19#0#1956.06.03#1962.09.21
masao uchino#18#3#1955.01.02#1962.09.12
ryuzo hiraki#30#1#1954.03.14#1962.09.12
ken naganuma#4#1#1954.03.07#1961.11.28
hiroshi saeki#4#0#1958.12.25#1961.08.15
koji sasaki#14#1#1958.12.25#1961.08.10
kenji tochio#2#0#1961.05.28#1961.06.11
tatsuya shiji#1#1#1961.05.28#1961.05.28
hiroshi ninomiya#12#9#1958.12.25#1961.05.28
akira kitaguchi#10#1#1958.05.26#1959.12.13
masanori tokita#12#2#1951.03.07#1959.09.05
seishiro shimatani#1#0#1959.01.11#1959.01.11
hiroaki sato#15#0#1955.01.02#1959.01.11
gyoji matsumoto#1#0#1958.12.28#1958.12.28
yoshinori shigematsu#1#0#1958.05.28#1958.05.28
waichiro omura#5#0#1956.06.03#1958.05.28
isao iwabuchi#8#2#1955.01.05#1958.05.28
takashi takabayashi#9#2#1954.03.14#1958.05.28
kenzo ohashi#1#0#1958.05.26#1958.05.26
tadao kobayashi#3#0#1956.06.03#1956.11.27
toshio iwatani#8#4#1951.03.07#1956.06.10
yukio shimomura#1#0#1955.10.09#1955.10.09
takashi tokuhiro#1#0#1955.10.09#1955.10.09
reizo fukuhara#2#0#1955.01.05#1955.10.09
hisataka okamoto#5#0#1955.01.02#1955.10.09
tomohiko ikoma#5#0#1955.01.02#1955.10.09
nobuo matsunaga#4#0#1954.03.14#1955.10.09
arawa kimura#6#1#1954.03.07#1955.10.09
shunichiro okano#2#0#1955.01.02#1955.01.11
yasukazu tanaka#4#0#1955.01.02#1955.01.11
kakuichi mimura#4#0#1955.01.02#1955.01.11
yozo aoki#1#0#1955.01.05#1955.01.05
hidemaro watanabe#2#0#1954.03.14#1954.05.03
masao ono#3#0#1954.03.14#1954.05.03
koji miyata#6#0#1951.03.07#1954.05.03
yoshio okada#7#0#1951.03.07#1954.05.03
takashi kano#7#2#1951.03.07#1954.05.03
hirokazu ninomiya#6#1#1940.06.16#1954.05.03
taizo kawamoto#9#4#1934.05.13#1954.05.03
hiroto muraoka#2#0#1954.03.07#1954.05.01
taro kagawa#5#0#1951.03.07#1954.05.01
takeshi inoue#1#0#1954.03.07#1954.03.07
osamu yamaji#1#0#1954.03.07#1954.03.07
shigeo sugimoto#3#0#1951.03.07#1954.03.07
seki matsunaga#1#0#1951.03.09#1951.03.09
ken noritake#1#0#1951.03.09#1951.03.09
nobuyuki kato#1#0#1951.03.09#1951.03.09
ko arima#3#0#1951.03.07#1951.03.09
megumu tamura#3#0#1951.03.07#1951.03.09
yukio tsuda#4#0#1940.06.16#1951.03.09
kim sung - gan#1#0#1940.06.16#1940.06.16
kazu naoki#1#0#1940.06.16#1940.06.16
saburo shinosaki#1#0#1940.06.16#1940.06.16
takashi kasahara#1#0#1940.06.16#1940.06.16
lee yoo - hyung#1#0#1940.06.16#1940.06.16
kunitaka sueoka#1#0#1940.06.16#1940.06.16
kim yong - sik#3#0#1936.08.04#1940.06.16
tokutaro ukon#5#1#1934.05.15#1940.06.16
shogo kamo#2#0#1936.08.04#1936.08.07
takeshi kamo#2#0#1936.08.04#1936.08.07
koichi oita#2#0#1936.08.04#1936.08.07
rihei sano#2#0#1936.08.04#1936.08.07
akira matsunaga#2#1#1936.08.04#1936.08.07
yasuo suzuki#2#0#1934.05.15#1936.08.07
motoo tatsuhara#4#0#1934.05.13#1936.08.07
teizo takeuchi#4#0#1930.05.25#1936.08.07
tadao horie#3#0#1934.05.15#1936.08.04
takeshi natori#1#1#1934.05.20#1934.05.20
shunichi kumai#2#0#1934.05.13#1934.05.20
teiichi matsumaru#3#0#1934.05.13#1934.05.20
takashi kawanishi#3#0#1934.05.13#1934.05.20
hideo sakai#3#0#1934.05.13#1934.05.20
shiro misaki#3#0#1934.05.13#1934.05.20
ichiji otani#3#1#1934.05.13#1934.05.20
akira nozawa#3#3#1934.05.13#1934.05.20
yukio goto#4#0#1930.05.25#1934.05.20
teruo abe#2#0#1934.05.13#1934.05.15
hiroshi kanazawa#2#0#1934.05.13#1934.05.15
shoichi nishimura#2#1#1934.05.13#1934.05.15
masao nozawa#2#0#1930.05.25#1930.05.29
saizo saito#2#0#1930.05.25#1930.05.29
tokizo ichihashi#2#1#1930.05.25#1930.05.29
tadao takayama#2#1#1930.05.25#1930.05.29
hideo shinojima#2#1#1930.05.25#1930.05.29
shiro teshima#2#2#1930.05.25#1930.05.29
takeo wakabayashi#2#4#1930.05.25#1930.05.29
yasuo haruyama#4#0#1927.08.27#1930.05.29
nagayasu honda#4#0#1927.08.27#1930.05.29
shigemaru takenokoshi#5#1#1925.05.20#1930.05.29
tameo ide#1#0#1930.05.25#1930.05.25
michiyo taki#1#0#1927.08.29#1927.08.29
shigeru takahashi#2#0#1927.08.27#1927.08.29
tamotsu asakura#2#0#1927.08.27#1927.08.29
haruo arima#2#0#1927.08.27#1927.08.29
ko takamoro#2#0#1927.08.27#1927.08.29
daigoro kondo#2#0#1927.08.27#1927.08.29
junji nishikawa#2#0#1927.08.27#1927.08.29
misao tamai#2#1#1927.08.27#1927.08.29
shigeyoshi suzuki#2#1#1927.08.27#1927.08.29
shojiro sugimura#1#0#1927.08.27#1927.08.27
kinjiro shimizu#1#0#1925.05.20#1925.05.20
kiyonosuke marutani#1#0#1925.05.20#1925.05.20
sakae takahashi#1#0#1925.05.20#1925.05.20
masuzo madono#2#0#1925.05.17#1925.05.20
masao takada#2#0#1925.05.17#1925.05.20
sachi kagawa#2#0#1925.05.17#1925.05.20
jiro miyake#2#0#1925.05.17#1925.05.20
hifuyo uchida#2#0#1925.05.17#1925.05.20
uichiro hatta#2#0#1925.05.17#1925.05.20
toshio miyaji#2#0#1925.05.17#1925.05.20
yoshimatsu oyama#2#0#1925.05.17#1925.05.20
yanosuke watanabe#2#0#1925.05.17#1925.05.20
kiyoo kanda#4#0#1923.05.23#1925.05.20
shiro azumi#3#0#1923.05.23#1925.05.17
shumpei inoue#1#0#1923.05.24#1923.05.24
kikuzo kisaka#2#0#1923.05.23#1923.05.24
setsu sawagata#2#0#1923.05.23#1923.05.24
toshio hirabayashi#2#0#1923.05.23#1923.05.24
shizuo miyama#2#0#1923.05.23#1923.05.24
usaburo hidaka#2#0#1923.05.23#1923.05.24
fukusaburo harada#2#0#1923.05.23#1923.05.24
ryuzo shimizu#2#1#1923.05.23#1923.05.24
naoemon shimizu#2#1#1923.05.23#1923.05.24
yoshio fujiwara#1#0#1923.05.23#1923.05.23
