name#nationality#position#years#appearances#goals
billy thirlaway#england#wg#1927 - 1929#115#22
rod thomas#wales#fb#1977 - 1981#107#0
steve thompson#scotland#fw#2006 - 2008#106#18
peter thorne#england#fw#2001 - 2005#143#51
mike tiddy#england#of#1950 - 1955#150#20
david tong#england#mf#1982 - 1985#137#4
john toshack#wales#fw#1965 - 1970#193#87
nigel vaughan#wales#mf#1983 - 1987#169#44
graham vearncombe#wales#gk#1952 - 1963#216#0
harry wake#wales#wh / if#1923 - 1931#166#10
brian walsh#england#wg#1955 - 1961#224#35
rhys weston#wales#fb#2000 - 2006#213#2
paul wheeler#wales#mf / fw#1985 - 1989#118#14
peter whittingham#england#mf#2007 -#311#77
gareth williams#england#mf#1961 - 1967#190#15
glyn williams#wales#fb#1946 - 1952#150#1
roley williams#wales#if#1949 - 1956#139#19
bob wilson#england#gk#1964 - 1970#140#0
paul wimbleton#england#mf#1986 - 1989#145#23
bobby woodruff#england#mf / fw#1969 - 1974#177#26
scott young#wales#cd#1993 - 2004#333#26
