no#season#start date (1 st night)#end date (last night)#location#no of proms
1#1895#saturday 10 august#saturday 5 october#queen 's hall , london#49
45#1939#saturday 12 august#saturday 1 september #queen 's hall , london#17.5 
46#1940#saturday 10 august#saturday 7 september #queen 's hall , london#25 
47#1941#saturday 12 july#saturday 23 august#royal albert hall , london#37
48#1942#saturday 27 june#saturday 22 august#royal albert hall , london#49
49#1943#saturday 19 june#saturday 21 august#royal albert hall , london#55
50#1944#saturday 10 june#thursday 29 june #royal albert hall , london#17 
51#1945#saturday 21 july#saturday 15 september#royal albert hall , london#49
52#1946#saturday 27 july#saturday 21 september#royal albert hall , london#49
52a#winter 1947#monday 6 january#saturday 18 january#royal albert hall , london#12
53#summer 1947#saturday 19 july#saturday 13 september#royal albert hall , london#49
53a#winter 1948#monday 5 january#saturday 17 january#royal albert hall , london#12
54#summer 1948#saturday 24 july#saturday 18 september#royal albert hall , london#49
54a#winter 1949#monday 10 january#saturday 22 january#royal albert hall , london#12
55#summer 1949#saturday 23 july#saturday september#royal albert hall , london#49
55a#winter 1950#monday 9 january#saturday 21 january#royal albert hall , london#12
56#summer 1950#saturday 22 july#saturday 16 september#royal albert hall , london#49
56a#winter 1951#monday 8 january#saturday 20 january#royal albert hall , london#12
57#summer 1951#saturday 28 july#saturday 22 september#royal albert hall , london#49
58#winter 1952#monday 7 january#saturday 19 january#royal albert hall , london#12
58a#1952#saturday 26 july#saturday 20 september#royal albert hall , london#49
59#1953#saturday 25 july#saturday 19 september#royal albert hall , london#49
60#1954#saturday 24 july#saturday 18 september#royal albert hall , london#49
61#1955#saturday 23 july#saturday 17 september#royal albert hall , london#49
62#1956#saturday 21 july#saturday 15 september#royal albert hall , london#49
63#1957#saturday 20 july#saturday 14 september#royal albert hall , london#49
64#1958#saturday 26 july#saturday 20 september#royal albert hall , london#49
65#1959#saturday 25 july#saturday 19 september#royal albert hall , london#49
66#1960#saturday 23 july#saturday 17 september#royal albert hall , london#49
67#1961#saturday 22 july#saturday 16 september#royal albert hall , london#49
68#1962#saturday 21 july#saturday 15 september#royal albert hall , london#49
69#1963#saturday 20 july#saturday 14 september#royal albert hall , london#49
70#1964#saturday 25 july#saturday 19 september#royal albert hall , london#49
71#1965#saturday 17 july#saturday 11 september#royal albert hall , london#49
72#1966#saturday 23 july#saturday 17 september#royal albert hall , london#50
73#1967#saturday 22 july#saturday 16 september#royal albert hall , london#51
74#1968#friday 19 july#saturday 14 september#royal albert hall , london#52
75#1969#friday 18 july#saturday 13 september#royal albert hall , london#52
76#1970#friday 17 july#saturday 12 september#royal albert hall , london#53
77#1971#friday 23 july#saturday 18 september#royal albert hall , london#54
78#1972#friday 21 july#saturday 16 september#royal albert hall , london#57
78a#winter 1972 / 73#friday 29 december#friday 5 january#royal albert hall , london#8
79#1973#friday 20 july#saturday 15 september#royal albert hall , london#55
80#1974#friday 19 july#saturday 14 september#royal albert hall , london#55
81#1975#friday 25 july#saturday 20 september#royal albert hall , london#57
82#1976#friday 16 july#saturday 11 september#royal albert hall , london#56
83#1977#friday 22 july#saturday 17 september#royal albert hall , london#55
84#1978#friday 21 july#saturday 16 september#royal albert hall , london#55
85#1979#friday 20 july#saturday 15 september#royal albert hall , london#54
86#1980#friday 18 july#saturday 13 september#royal albert hall , london#57
87#1981#friday 17 july#saturday 12 september#royal albert hall , london#56
88#1982#friday 16 july#saturday 11 september#royal albert hall , london#57
89#1983#friday 22 july#saturday 17 september#royal albert hall , london#57
90#1984#friday 20 july#saturday 15 september#royal albert hall , london#59
91#1985#friday 19 july#saturday 14 september#royal albert hall , london#60
92#1986#friday 18 july#saturday 13 september#royal albert hall , london#60
93#1987#friday 17 july#saturday 12 september#royal albert hall , london#66
94#1988#friday 22 july#saturday 17 september#royal albert hall , london#69
95#1989#friday 21 july#saturday 16 september#royal albert hall , london#68
96#1990#friday 20 july#saturday 15 september#royal albert hall , london#66
97#1991#friday 19 july#saturday 14 september#royal albert hall , london#67
98#1992#friday 17 july#saturday 12 september#royal albert hall , london#66
99#1993#friday 16 july#saturday 11 september#royal albert hall , london#67
100#1994#friday 15 july#saturday 10 september#royal albert hall , london#68
101#1995#friday 21 july#saturday 16 september#royal albert hall , london#70
102#1996#friday 19 july#saturday 14 september#royal albert hall , london#72
103#1997#friday 18 july#saturday 13 september#royal albert hall , london#73
104#1998#friday 17 july#saturday 12 september#royal albert hall , london#73
105#1999#friday 16 july#saturday 11 september#royal albert hall , london#72
106#2000#friday 14 july#saturday 9 september#royal albert hall , london#72
107#2001#friday 20 july#saturday 15 september#royal albert hall , london#73
108#2002#friday 19 july#saturday 14 september#royal albert hall , london#73
109#2003#friday 18 july#saturday 13 september#royal albert hall , london#73
110#2004#friday 16 july#saturday 11 september#royal albert hall , london#74
111#2005#friday 15 july#saturday 10 september#royal albert hall , london#74
112#2006#friday 14 july#saturday 9 september#royal albert hall , london#73
113#2007#friday 13 july#saturday 8 september#royal albert hall , london#72
114#2008#friday 18 july#saturday 13 september#royal albert hall , london#76
115#2009#friday 17 july#saturday 12 september#royal albert hall , london#76
116#2010#friday 16 july#saturday 11 september#royal albert hall , london#76
117#2011#friday 15 july#saturday 10 september#royal albert hall , london#74
118#2012#friday 13 july#saturday 8 september#royal albert hall , london#76
