draft#round#pick#player#nationality
1980#1#13#denis cyr#canada
1991#5#107#jerome butler#united states
1991#6#129#bobby marshall#canada
1991#7#140#matt hoffman#united states
1991#7#151#kelly harper#canada
1991#8#173#david st. pierre#canada
1991#9#195#david struch#canada
1991#10#217#sergei zolotov#russia
1991#11#239#marko jantunen#finland
1991#12#261#andrei trefilov#russia
1991#s#25#dean larson#canada
1992#1#6#cory stillman#canada
1992#2#30#chris o 'sullivan#united states
1992#3#54#mathias johansson#sweden
1992#4#78#robert svehla#slovakia
1992#5#102#sami helenius#finland
1992#6#126#ravil yakubov#russia
1992#6#129#joel bouchard#canada
1992#7#150#pavel rajnoha#czech republic
1992#8#174#ryan mulhern#united states
1992#9#198#brandon carper#united states
1992#10#222#jonas hoglund#sweden
1992#11#246#andrei potaichuk#russia
1992#s#6#jamie o'brien#united states
1993#1#18#jesper mattsson#sweden
1993#2#44#jamie allison#canada
1993#3#70#dan tompkins#united states
1993#4#95#jason smith#canada
1993#4#96#marty murray#canada
1993#5#121#darryl lafrance#canada
1993#5#122#john emmons#united states
1993#6#148#andreas karlsson#sweden
1993#8#200#derek sylvester#united states
1993#10#252#german titov#russia
1993#11#278#burke murphy#canada
1994#1#19#chris dingman#canada
1994#2#45#dmitri ryabkin#russia
1994#3#77#chris clark#united states
1994#4#91#ryan duthie#canada
1994#4#97#johan finnstrom#sweden
1994#5#107#nils ekman#sweden
1994#5#123#frank appel#germany
1994#6#149#patrik haltia#sweden
1994#7#175#ladislav kohn#czech republic
1994#8#201#keith mccambridge#canada
1994#9#227#jorgen jonsson#sweden
1994#10#253#mike peluso#united states
1994#11#279#pavel torgayev#russia
1995#1#20#denis gauthier#canada
1995#2#46#pavel smirnov#russia
1995#3#72#rocky thompson#canada
1995#4#98#jan labraaten#sweden
1995#6#150#clarke wilm#canada
1995#7#176#ryan gillis#canada
1995#9#233#steve shirreffs#united states
1996#1#13#derek morris#canada
1996#2#39#travis brigley#canada
1996#2#40#steve begin#canada
1996#3#73#dmitri vlasenkov#russia
1996#4#89#toni lydman#finland
1996#4#94#christian lefebvre#canada
1996#5#122#josef straka#czech republic
1996#8#202#ryan wade#canada
1996#9#228#ronald petrovicky#slovakia
1997#1#6#daniel tkaczuk#canada
1997#2#32#evan lindsay#canada
1997#2#42#john tripp#canada
1997#2#51#dmitry kokorev#russia
1997#3#60#derek schultz#canada
1997#3#70#erik andersson#sweden
1997#4#92#chris st. croix#united states
1997#4#100#ryan ready#canada
1997#5#113#martin moise#canada
1997#6#140#ilja demidov#russia
1997#7#167#jeremy rondeau#canada
1997#9#223#dustin paul#canada
1998#1#6#rico fata#canada
1998#2#33#blair betts#canada
1998#3#62#paul manning#canada
1998#4#102#shaun sutter#canada
1998#4#108#dany sabourin#canada
1998#5#120#brent gauvreau#canada
1998#7#192#radek duda#czech republic
1998#8#206#jonas frogren#sweden
1998#9#234#kevin mitchell#united states
1999#1#11#oleg saprykin#russia
1999#2#38#dan cavanaugh#united states
1999#3#77#craig anderson#united states
1999#4#106#rail rozakov #russia
1999#5#135#matt doman#united states
1999#6#153#jesse cook#united states
1999#6#166#cory pecker#canada
1999#6#170#matt underhill#canada
1999#7#190#blair stayzer#canada
1999#9#252#dmitri kirilenko#canada
2000#1#9#brent krahn#canada
2000#2#40#kurtis foster#canada
2000#2#46#jarret stoll#canada
2000#4#116#levente szuper#hungary
2000#5#141#wade davis#canada
2000#5#155#travis moen#canada
2000#6#176#jukka hentunen#finland
2000#8#239#david hajek#czech republic
2000#9#270#micki dupont#canada
2001#1#14#chuck kobasew#canada
2001#2#41#andrei taratukhin#russia
2001#2#56#andrei medvedev#russia
2001#4#108#tomi maki#finland
2001#4#124#egor shastin#russia
2001#5#145#james hakewill#united states
2001#5#164#yuri trubachev#russia
2001#7#207#garrett bembridge#canada
2001#7#220#david moss#united states
2001#8#233#joe campbell#united states
2001#8#251#ville hamalainen#finland
2002#1#10#eric nystrom#united states
2002#2#39#brian mcconnell#united states
2002#3#90#matthew lombardi#canada
2002#4#112#yuri artemenkov#russia
2002#5#141#jiri cetkovsky#czech republic
2002#5#142#emanuel peter#switzerland
2002#5#146#victor bobrov#russia
2002#5#159#kristofer persson#sweden
2002#6#176#curtis mcelhinney#canada
2002#7#202#david van der gulik#canada
2002#7#207#pierre johnsson#sweden
2002#8#238#jyri marttinen#finland
2003#1#9#dion phaneuf#canada
2003#2#39#tim ramholt#switzerland
2003#3#97#ryan donally#canada
2003#4#112#jamie tardif#canada
2003#5#143#greg moore#united states
2003#6#173#tyler johnson#canada
2003#7#206#thomas bellemare#canada
2003#8#240#cam cunning#canada
2003#9#270#kevin harvey #canada
2004#1#24#kris chucko#canada
2004#3#70#brandon prust#canada
2004#3#98#dustin boyd#canada
2004#4#118#aki seitsonen#finland
2004#4#121#kris hogg#canada
2004#6#173#adam pardy#canada
2004#6#182#fred wikner#sweden
2004#7#200#matthew schneider#canada
2004#7#213#james spratt#united states
2004#9#279#adam cracknell#canada
2005#1#26#matt pelech#canada
2005#3#69#gord baldwin#canada
2005#3#74#dan ryder#canada
2005#4#111#j. d. watt#canada
2005#5#128#kevin lalande#canada
2005#5#158#matt keetley#canada
2005#6#179#brett sutter#canada
2005#7#221#myles rumsey#canada
2006#1#26#leland irving#canada
2006#3#87#john armstrong#canada
2006#3#89#aaron marvin#united states
2006#4#118#hugo carpentier#canada
2006#5#149#juuso puustinen#finland
2006#6#179#jordan fulton#united states
2006#7#187#devin didiomete#canada
2006#7#209#per johnsson#sweden
2007#1#24#mikael backlund#sweden
2007#3#70#john negrin#canada
2007#4#116#keith aulie#canada
2007#5#143#mickey renaud#canada
2007#7#186#c. j. severyn#united states
2008#1#25#greg nemisz#canada
2008#2#48#mitch wahl#united states
2008#3#78#lance bouma#canada
2008#4#108#nick larson#united states
2008#4#114#t. j. brodie#canada
2008#6#168#ryley grantham#canada
2008#7#198#alexander deilert#sweden
2009#1#23#tim erixon#sweden
2009#3#74#ryan howse#canada
2009#4#111#henrik bjorklund#sweden
2009#5#141#spencer bennett#canada
2009#6#171#joni ortio#finland
2009#7#201#gaelan patterson#canada
2010#3#64#max reinhart#canada
2010#3#73#joey leach#canada
2010#4#103#john ramage#united states
2010#4#108#bill arnold#united states
2010#5#133#michael ferland#canada
2010#7#193#patrick holland#canada
2011#1#13#sven bã¤rtschi#switzerland
2011#2#45#markus granlund#finland
2011#2#57#tyler wotherspoon#canada
2011#4#104#john gaudreau#united states
2011#6#164#laurent brossoit#canada
2012#1#21#mark jankowski#canada
2012#2#42#patrick sieloff#united states
2012#3#75#jon gillies#united states
2012#4#105#brett kulak#canada
2012#5#124#ryan culkin#canada
2012#6#165#coda gordon#canada
2012#7#186#matthew deblouw#united states
2013#1#6#sean monahan#canada
2013#1#22#emile poirier#canada
2013#1#28#morgan klimchuk#canada
2013#3#67#keegan kanzig#canada
2013#5#135#eric roy#canada
2013#6#157#tim harrison#united states
2013#7#187#rushan rafikov#russia
2013#7#198#john gilmour#canada
