season#competition#round#opposition#score
1955–58#inter - cities fairs cup#group b#birmingham city#0–0 (h) , 1–2 (a)
2009–10#champions league#first knockout round#chelsea#2–1 (h) , 1–0 (a)
2009–10#champions league#quarter - finals#cska moscow#1–0 (h) , 1–0 (a)
2009–10#champions league#semifinals#barcelona#3–1 (h) , 0–1 (a)
2009–10#champions league#final#bayern munich#2–0
2010–11#super cup#final#atlético madrid#0–2
2010–11#champions league#group a#twente#2–2 (a) , 1–0 (h)
2010–11#champions league#group a#werder bremen#4–0 (h) , 0–3 (a)
2010–11#champions league#group a#tottenham hotspur#4–3 (h) , 1–3 (a)
2010–11#champions league#first knockout round#bayern munich#0–1 (h) , 3–2 (a)
2010–11#champions league#quarter - finals#schalke 04#2–5 (h) , 1–2 (a)
2011–12#champions league#group b#trabzonspor#0–1 (h) , 1–1 (a)
2011–12#champions league#group b#cska moscow#3–2 (a) , 1–2 (h)
2011–12#champions league#group b#lille#1–0 (a) , 2–1 (h)
2011–12#champions league#first knockout round#marseille#0–1 (a) , 2–1 (h)
2012–13#europa league#third qualifying round#hajduk split#3–0 (a) , 0–2 (h)
2012–13#europa league#play - off round#vaslui#2–0 (a) , 2–2 (h)
2012–13#europa league#group h#rubin kazan#2–2 (h) , 0–3 (a)
2012–13#europa league#group h#neftchi baku#3–1 (a) , 2–2 (h)
2012–13#europa league#group h#partizan#1–0 (h) , 3–1 (a)
2012–13#europa league#round of 32#cfr cluj#2–0 (h) , 3–0 (a)
2012–13#europa league#round of 16#tottenham hotspur#0–3 (a) , 4–1 (h)
