township#county#pop. (2010)#land ( sqmi )#water (sqmi)#latitude#longitude#geo id#ansi code
haag#logan#25#35.960#0.000#46.326595#- 99.100267#3804734060#1037182
hawksnest#wells#21#35.923#0.156#47.374286#- 99.320442#3810336380#1037186
hay#cavalier#35#35.859#0.105#48.760758#- 98.145712#3801936420#1759364
hay creek#burleigh#4057#27.405#0.742#46.870395#- 100.798273#3801536460#1037123
hayland#divide#21#35.074#0.875#48.689023#- 103.077445#3802336500#1037010
haynes#kidder#18#34.345#1.498#47.025004#- 99.924975#3804336580#1759473
hazel#williams#21#35.164#0.402#48.590857#- 103.222091#3810536620#1037012
hazel grove#burleigh#15#34.127#0.823#47.296127#- 100.175186#3801536660#1037156
hebron#williams#34#50.418#0.007#48.248263#- 103.960094#3810536900#1759728
hegton#grand forks#204#36.190#0.345#47.983184#- 97.560168#3803536940#1036610
heimdal#wells#56#35.588#0.392#47.795167#- 99.600398#3810337060#1759704
helena#griggs#50#35.982#0.096#47.375527#- 98.320293#3803937100#1036636
helendale#richland#104#35.012#0.000#46.579655#- 97.208619#3807737140#1036857
hemen#barnes#27#35.161#0.928#46.847020#- 98.258532#3800337180#1036415
henderson#cavalier#40#27.921#1.234#48.682551#- 98.780080#3801937220#1759365
hendrickson#mchenry#55#36.070#0.077#48.159002#- 100.829689#3804937260#1759493
henrietta#lamoure#84#36.014#0.030#46.417388#- 98.466085#3804537300#1036900
henry#golden valley#23#72.402#0.056#47.233788#- 103.989164#3803337340#1759435
herberg#traill#65#33.721#0.036#47.360274#- 96.910231#3809737460#1036678
herman#sargent#56#35.899#0.043#46.157251#- 97.323288#3808137500#1036798
hesper#benson#56#35.386#0.700#47.978832#- 99.614941#3800537660#1759242
hettinger#adams#195#34.887#0.213#45.986149#- 102.682527#3800137740#1037221
hidden#stutsman#50#35.303#0.719#47.034318#- 98.918706#3809337820#1036487
hiddenwood#ward#24#35.366#0.548#47.898476#- 101.796935#3810137860#1036952
highland#cass#94#35.742#0.192#46.678720#- 97.480169#3801737900#1036356
highland#hettinger#15#34.372#0.023#46.579904#- 102.229950#3804137940#1759455
highland#sheridan#19#35.275#0.756#47.731604#- 100.509717#3808337980#1759631
highland center#ramsey#43#35.799#0.212#48.505054#- 98.372819#3807138020#1759577
hill#cass#53#35.859#0.000#46.847245#- 97.618836#3801738060#1036371
hillsboro#traill#132#34.812#0.000#47.366262#- 97.026520#3809738140#1036680
hillsdale#eddy#41#34.816#1.598#47.797238#- 98.856842#3802738180#1759407
hillsdale#wells#107#35.706#0.169#47.811232#- 99.994593#3810338220#1759705
hilton#ward#53#35.876#0.347#47.985824#- 101.433080#3810138260#1036993
hobart#barnes#111#34.380#1.678#46.936461#- 98.117259#3800338300#1036420
hoffman#bottineau#17#35.721#0.127#48.845094#- 101.417256#3800938380#1759279
homen#bottineau#118#38.705#5.814#48.943035#- 100.271717#3800938540#1759280
homer#stutsman#289#34.066#0.007#46.841175#- 98.618355#3809338620#1036454
homestead#richland#90#36.067#0.000#46.325787#- 97.092439#3807738660#1036843
hope#cavalier#24#29.623#0.124#48.930492#- 98.156792#3801938820#1759366
hope#ramsey#7#34.209#1.730#48.140636#- 98.476234#3807138840#1759584
horseshoe valley#mclean#27#35.285#0.762#47.735178#- 100.883978#3805538940#1759535
howe#grant#12#31.634#0.021#46.088063#- 101.798896#3803739060#1759439
howell#towner#28#35.673#0.320#48.764896#- 99.335346#3809539100#1759654
howes#cass#78#35.700#0.121#46.854076#- 97.482350#3801739140#1036369
howie#mountrail#48#26.888#8.886#47.898456#- 102.432869#3806139180#1037115
hudson#dickey#88#33.941#0.327#46.073544#- 98.194385#3802139220#1036753
hughes#slope#6#35.105#0.226#46.327515#- 103.876868#3808739300#1037165
hugo#steele#43#35.863#0.000#47.368795#- 97.665625#3809139340#1036660
hume#slope#25#35.479#0.000#46.410227#- 103.113363#3808739420#1759642
hunter#cass#64#34.317#0.065#47.202720#- 97.266496#3801739500#1036396
hurley#renville#40#35.637#0.033#48.844208#- 101.549308#3807539620#1759610
