year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1960#pál rázsó#endrene komjatszegi#no competition#no competition#no competition
1961#györgy rázsó#no competition#no competition#no competition#no competition
1962#pál rázsó#no competition#no competition#no competition#no competition
1963#józsef szepesi#éva szűcs#pál rázsó györgy rázsó#lídia horváth istvánné marincsák#pál rázsó vera juhász
1979#imre bereknyei#zsuzsa gláser#imre bereknyei ferenc rolek#éva varga éva pozsik#ferenc rolek éva varga
1980#istván englert#ildikó vígh#istván englert józsef papp#zsuzsa gláser andrea legerszki#ferenc rolek ildikó vígh
1981#györgy vörös#ildikó vígh#györgy vörös ferenc rolek#ildikó vígh zsuzsa diószegi#györgy vörös zsuzsa diószegi
1982#györgy vörös#éva varga (cserni)#györgy vörös ferenc rolek#ildikó vígh zsuzsa diószegi#györgy vörös zsuzsa diószegi
1983#györgy vörös#erzsebet nemeth#györgy vörös gábor petrovits#ildikó vígh judit fejes#györgy vörös ildikó vígh
1984#györgy vörös#ildikó vígh#györgy vörös gábor petrovits#éva varga marta petrovits#györgy vörös ildikó vígh
1985#gábor petrovits#ildikó vígh#györgy vörös gábor petrovits#ildikó vígh judit fejes#györgy vörös ildikó vígh
1986#györgy vörös#ildikó vígh#csaba kiss istvan englert#marta dovalovszki éva varga#attila nagy márta dovalovszki
1987#tamás gebhard#márta dovalovszki#györgy vörös gábor petrovits#márta dovalovszki éva varga#györgy vörös judit fejes
1988#gábor petrovits#andrea harsági#gábor petrovits attila nagy#márta dovalovszki éva varga#attila nagy márta dovalovszki
1989#gábor petrovits#csilla fórián#tamás gebhard attila nagy#ildiko vigh judit fejes#csaba kiss csilla fórián
1990#attila nagy#andrea harsági#sandor klein csaba beleczki#csilla fórián andrea dakó#attila nagy csilla fórián
1991#attila nagy#andrea harsági#tamás gebhard attila nagy#ildiko vigh andrea dakó#györgy vörös andrea dakó
1992#tamás gebhard#andrea dakó#richard banhidi attila nagy#csilla fórián kinga karácsony#györgy vörös andrea dakó
1993#richard bánhidi#andrea harsági#richard bánhidi attila nagy#csilla fórián kinga karácsony#richard bánhidi csilla fórián
1994#gyula szalai#andrea harsági#gyula szalai györgy vörös#andrea harsági andrea dakó#györgy vörös andrea ódor
1995#richard bánhidi#andrea harsági#zsolt kocsis ákos károlyi#csilla fórián kinga karacsony#gyula szalai andrea ódor
1996#richard bánhidi#adrienn kocsis#richard bánhidi attila nagy#adrienn kocsis andrea dakó#gyula szalai csilla fórián
1997#richard bánhidi#csilla fórián#richard bánhidi attila nagy#adrienn kocsis csilla fórián#gyula szalai csilla fórián
1998#gyula szalai#melinda keszthelyi#gyula szalai zsolt kocsis#andrea dakó melinda keszthelyi#richard bánhidi csilla fórián
1999#attila kovács#andrea ódor#ákos károlyi richard bánhidi#andrea dakó melinda keszthelyi#ákos károlyi csilla fórián
2000#kristóf horváth#krisztina ádám#balázs szabó csaba retkes#csilla forian kinga karacsony#richard bánhidi andrea dakó
2001#levente csiszér#krisztina ádám#zsolt kocsis ákos károlyi#krisztina ádám csilla fórián#ákos károlyi csilla fórián
2002#levente csiszér#krisztina ádám#levente csiszér teofil tóth#krisztina ádám sarolta varga#richard bánhidi csilla fórián
2003#levente csiszér#krisztina ádám#levente csiszér ákos károlyi#csilla fórián kinga karácsony#levente csiszér csilla fórián
2004#kristóf horváth#krisztina ádám#henrik tóth attila kaposi#zsófia kovács zsuzsa kovács#levente csiszér csilla fórián
2005#levente csiszér#sarolta varga#levente csiszér richárd bánhidi#csilla fórián zsuzsa czifra#levente csiszér zsuzsa kovács
2006#attila kaposi#csilla gondáné fórián#andrás sinka csaba szikra#csilla gondáné fórián zsuzsa czifra#csaba retkes gabriella papp
2007#henrik tóth#krisztina ádám#kristóf horváth csaba retkes#sarolta varga orsolya varga#csaba szikra krisztina ádám
2008#henrik tóth#sarolta varga#dávid sárosi andrás németh#melinda keszthelyi krisztina ádám#kristóf horváth melinda keszthelyi
2009#henrik tóth#orsolya varga#kristóf horváth henrik tóth#melinda keszthelyi krisztina ádám#csaba szikra krisztina ádám
2010#henrik tóth#orsolya varga#kristóf horváth henrik tóth#melinda keszthelyi krisztina ádám#henrik tóth zsuzsa kovács
