year#men 's singles#women 's singles#men 's doubles#women 's doubles#mixed doubles
1956#jose da silva#lezita chaves#jose da silva anibal rebelo#no competition#jose da silva guida de freitas
1957#jose da silva#lezita chaves#alberte fernandes ramiro correia#alzira de sousa josefina praca dos santos#alberto fernandes lezita chaves
1958#joaquim pereira#lezita chaves#ramiro cirreia vitor pinto aves#no competition#orlando coelmo lezita chaves
1959#ramiro correia#lezita chaves#ramiro correia jorge gomez#no competition#ramiro correia isabel cabral
1960#ramiro correia#isabel cabral#ramiro correia jorge gomez#no competition#orlando correia lezita chaves
1961#no competition#no competition#ramiro correia jorge gomez#no competition#no competition
1962#no competition#no competition#ramiro correia alegre santos#no competition#jorge gomez isabel cabral
1963#alegre santos#isabel cabral#rui damasio mario mateus#emilia carneiro maria jose guimaraes#jose azevedo isabel rocha
1964#alegre santos#isabel rocha#fernando pinto vitor pinto alves#no competition#alegre santos isabel rocha
1986#jorge santos#margarida cruz#paulo raimundo jose brandao#paula sousa margarida cruz#jose nascimento paula sousa
1987#manuel machado#margarida cruz#duarte anjo jose brandao#ana monteiro catarina batista#jose nascimento catarina batista
1988#jorge azevedo#margarida cruz#jorge azevedo diamantino pereira#filipa nesbitt paula queluz#luis nesbitt filipa nesbitt
1989#jorge santos#j. gomes#jose nascimento jose sim - sim#jose gomes zamy gomes#jose nascimento dina rodrigues
1990#ricardo fernandes#alice oliveira#ricardo fernandes marco vasconcelos#maria gomes zamy gomes#jose sim maria gomes
1991#ricardo fernandes#alice oliveira#jorge cacao fernando silva#maria gomes zamy gomes#fernando silva sonia lopes
1992#fernando silva#helena berimbau#jorge cacao fernando silva#maria gomes zamy gomes#fernando silva sonia lopes
1993#ricardo fernandes#helena berimbau#fernando silva ricardo fernandes#maria gomes zamy gomes#fernando silva sonia lopes
1994#ricardo fernandes#ana ferreira#fernando silva ricardo fernandes#dina rodrigues helena berimbau#fernando silva sonia lopes
1995#ricardo fernandes#helena berimbau#fernando silva ricardo fernandes#ana lopes sonia lopes#fernando silva sonia lopes
1996#fernando silva#helena berimbau#hugo rodrigues marco vasconcelos#filipa lamy helena bartolomeu#hugo rodrigues ana ferreira
1997#fernando silva#filipa lamy#fernando silva hugo rodrigues#filipa lamy helena bartolomeu#hugo rodrigues ana ferreira
1998#fernando silva#filipa lamy#fernando silva hugo rodrigues#filipa lamy helena bartolomeu#hugo rodrigues ana ferreira
1999#fernando silva#francis pereira#fernando silva hugo rodrigues#filipa lamy telma santos#hugo rodrigues ana ferreira
2000#marco vasconcelos#filipa lamy#hugo rodrigues marco vasconcelos#ana ferreira helena berimbau#hugo rodrigues marco vasconcelos
2001#marco vasconcelos#telma santos#hugo rodrigues marco vasconcelos#filipa lamy telma santos#hugo rodrigues helena berimbau
2002#marco vasconcelos#telma santos#hugo rodrigues marco vasconcelos#filipa lamy telma santos#fernando silva filipa lamy
2003#marco vasconcelos#telma santos#fernando silva ricardo fernandes#telma santos vânia leça#fernando silva vânia leça
2004#marco vasconcelos#filipa lamy#hugo rodrigues marco vasconcelos#telma santos vânia leça#alexandre paixão filipa lamy
2005#marco vasconcelos#telma santos#hugo rodrigues marco vasconcelos#filipa lamy tânia faria#alexandre paixão filipa lamy
2006#alexandre paixão#telma santos#alexandre paixão marco vasconcelos#telma santos vânia leça#alexandre paixão filipa lamy
2007#alexandre paixão#telma santos#fernando silva hugo rodrigues#telma santos vânia leça#hugo rodrigues vânia leça
2008#fernando silva#telma santos#fernando silva hugo rodrigues#cláudia figueira dalila belém#hugo rodrigues telma santos
2009#pedro martins#telma santos#alexandre paixão gil martins#filipa lamy vânia leça#hugo rodrigues telma santos
2010#nuno santos#telma santos#alexandre paixão gil martins#ana moura ana reis#hugo rodrigues telma santos
