year#song title#artist#master recording ?#release date#single / pack
2007# carcinogen crush #afi#yes#2007 - 10 - 31 oct. 31 , 2007#companion pack
1990# for the love of god #steve vai#yes#2008 - 07 - 24 july 24 , 2008#guitar virtuoso track pack
2006#soothsayer#buckethead#yes#2008 - 07 - 24 july 24 , 2008#guitar virtuoso track pack
2006# operation ground and pound #dragonforce#yes#2008 - 08 - 21 aug. 21 , 2008#dragonforce track pack
2006#revolution deathsquad#dragonforce#yes#2008 - 08 - 21 aug. 21 , 2008#dragonforce track pack
2008# heroes of our time #dragonforce#yes#2008 - 08 - 21 aug. 21 , 2008#dragonforce track pack
2008#that was just your life#metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008# end of the line the end of the line#metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008# broken , beat & scarred #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008# day that never comes the day that never comes #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008# all nightmare long #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008# cyanide #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008# unforgiven iii the unforgiven iii #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008# judas kiss the judas kiss #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008#suicide & redemption j.h. #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
2008#suicide & redemption k.h. #metallica#yes#2008 - 09 - 12 sept. 12 , 2008#death magnetic
