res#record#opponent#method#event#round#time#location
loss#68–18 (1)#mike kyle#ko (punch)#cfa 11: kyle vs. wiuff 2#1#0:21#coral gables , florida , united states
win#47–11#sean salmon#submission (guillotine choke)#ifo : wiuff vs. salmon#1#3:37#las vegas , nevada , united states
win#46–11#ralph kelly#submission (punches)#cccf : red river riot 2#3#0:45#thackerville , oklahoma , united states
loss#45–11#jared hamman#ko (punches)#ifc : global domination 2#2#n / a#marksville , louisiana , united states
win#45–10#josh bennett#ko (punches)#ifc : global domination 2#1#n / a#marksville , louisiana , united states
win#44–10#arthur cesar#submission#ifc : caged combat#2#3:09#corpus christi , texas , united states
loss#43–10#james lee#submission (guillotine choke)#pride 33#1#0:39#las vegas , nevada , united states
win#43–9#jason guida#decision (unanimous)#xtreme fighting organization 14#3#5:00#mokena , illinois , united states
win#42–9#wojtek kaszowski#decision (unanimous)#ifl : gracie vs. miletich#3#4:00#moline , illinois , united states
loss#41–9#devin cole#decision (unanimous)#ifl : championship 2006#3#4:00#atlantic city , new jersey , united states
loss#41–8#alex schoenauer#submission (heel hook)#ifl : legends championship 2006#2#3:23#atlantic city , new jersey , united states
loss#41–7#marvin eastman#decision (majority)#ef 1: supremacy#4#5:00#british columbia , canada
win#41–6#fabiano capoani#ko (punches)#battle at the boardwalk (day 1)#3#4:54#atlantic city , new jersey , united states
win#40–6#ron fields#submission (elbows)#coliseum 2#2#2:50#rochester , minnesota , united states
win#39–6#jimmy westfall#submission (armbar)#extreme challenge 65#1#2:56#medina , minnesota , united states
loss#38–6#jason lambert#ko (punches)#ffc 15: fiesta las vegas#1#3:19#las vegas , nevada , united states
win#38–5#william hill#tko (doctor stoppage)#ifc : rock n' rumble#1#5:00#reno , nevada , united states
win#37–5#matt horwich#decision (unanimous)#extreme challenge 62#3#5:00#medina , minnesota , united states
win#36–5#ramazan akhadullaev#decision (unanimous)#euphoria : usa vs. russia#3#5:00#atlantic city , new jersey , united states
loss#35–5#renato sobral#submission (armbar)#ufc 52#2#0:24#las vegas , nevada , united states
win#35–4#antoine jaoude#decision (unanimous)#euphoria : usa vs world#3#5:00#atlantic city , new jersey , united states
win#34–4#ibragim magomedov#decision (unanimous)#euphoria : road to the titles#3#5:00#atlantic city , new jersey , united states
win#33–4#josh hendricks#submission (punches)#extreme challenge 59#1#4:22#medina , minnesota , united states
win#32–4#ruben villareal#submission (keylock)#xkk : eastc side rumble#2#n / a#st. paul , minnesota , united states
win#31–4#john dixon#tko (cut)#extreme challenge 58#1#2:33#medina , minnesota , united states
win#30–4#leopoldo montenegro#ko (slam and punches)#jungle fight 2#1#4:33#manaus , brazil
win#29–4#demian decorah#tko (punches)#extreme challenge 56#1#2:20#medina , minnesota , united states
win#28–4#roman zentsov#tko (cut)#euphoria : russia vs usa#2#2:46#atlantic city , new jersey , united states
win#27–4#carlos barreto#decision (unanimous)#heat fc 2: evolution#3#5:00#natal , brazil
win#26–4#nate sauer#ko (slam)#red wing rumble#1#n / a#minnesota , united states
win#25–4#travis fulton#decision (split)#iowa challenge 11#3#3:00#iowa , united states
win#24–4#mark tullius#decision (unanimous)#cfm : octogono extremo#3#4:00#monterrey , mexico
win#23–4#royce louck#tko (punches)#ifa : summer bash#2#1:49#minnesota , united states
win#22–4#greg wikan#decision (unanimous)#rof 9: eruption#3#5:00#baraboo , wisconsin , united states
win#21–4#tony mendoza#submission (forearm choke)#victory fighting 5#2#1:00#council bluffs , iowa , united states
win#20–4#dr williams#submission (punches)#ifa : explosion#3#0:43#minnesota , united states
win#19–4#chad rafdel#submission (punches)#ifa : clash of the champions#2#0:27#owatonna , minnesota , united states
win#18–4#royce louck#submission (punches)#bar room brawl 10#1#1:11#united states
win#17–4#dr williams#tko (punches)#bar room brawl 5#1#3:48#united states
loss#16–4#kauai kupihea#ko (punch)#rumble on the rock 2#1#4:21#hilo , hawaii , united states
win#16–3#andy montana#decision (unanimous)#ritc 45: finally#3#3:00#phoenix , arizona , united states
win#15–3#royce louck#submission (punches)#bar room brawl 1#1#1:49#united states
win#14–3#buddy lewis#submission (punches)#tennessee shooto : conquest#2#2:55#clarksville , tennessee , united states
win#13–3#brian shepard#submission (punches)#icc 1: retribution#1#4:00#minneapolis , minnesota , united states
loss#12–3#vladimir matyushenko#submission (punches)#ufc 40#1#4:10#las vegas , nevada , united states
win#12–2#jason godsey#decision#uw : godsey vs wiuff#4#5:00#minneapolis , minnesota , united states
win#11–2#johnathan ivey#decision#uw : minnesota#3#5:00#minneapolis , minnesota , united states
win#10–2#travis fulton#decision (unanimous)#iowa challenge 5#3#5:00#iowa , united states
win#9–2#kevin jordan#decision (unanimous)#ultimate wrestling#3#5:00#minneapolis , minnesota , united states
win#8–2#tom mccloud#tko (punches)#victory fighting championships 1#1#0:35#iowa , united states
loss#7–2#wesley correira#tko (knees)#sb 24: return of the heavyweights 2#3#1:40#honolulu , hawaii , united states
win#7–1#chad rafdel#submission (keylock)#uw : st. cloud 2#1#1:40#st. cloud , minnesota , united states
win#6–1#josh mueller#submission (punches)#uw : st. cloud 2#1#0:32#st. cloud , minnesota , united states
win#5–1#chad rafdel#submission (keylock)#uw : rumble at the jungle#1#1:00#minnesota , united states
win#4–1#chad brady#tko (punches)#uw : rumble at the jungle#1#0:22#minnesota , united states
loss#3–1#mike radnov#tko (cut)#extreme challenge 46#1#5:00#clive , iowa , united states
win#3–0#keith jardine#ko (punch)#extreme challenge 46#1#0:06#clive , iowa , united states
win#2–0#lenn walker#submission (punches)#uw : new blood#1#1:15#minnesota , united states
win#1–0#jeff greer#submission (punches)#uw : rumble in ramsey 1#1#n / a#ramsey , minnesota , united states
