date#three#four#five#seven
7 june 1660#vacant#vacant#vacant#vacant
8 june 1660#vacant#vacant#vacant#vacant
11 june 1660#edward bowman#francis bowman#nathaniel darrell#vacant
20 june 1715#james ede#charles bressey#henry gardie#thomas hutton
9 november 1719#james ede#charles bodens#henry gardie#thomas hutton
21 march 1720#james ede#charles bodens#henry gardie#thomas hutton
18 april 1721#james ede#charles bodens#henry gardie#thomas hutton
31 july 1722#james ede#charles bodens#henry gardie#thomas hutton
7 august 1722#robert tripp#charles bodens#henry gardie#thomas hutton
17 may 1727#robert tripp#charles bodens#james eckersall#vacant 21 september 1725
9 october 1727#robert tripp#charles bodens#james eckersall#sir everard buckworth , 3rd baronet
4 march 1731#robert tripp#charles bodens#james eckersall#sir everard buckworth , 3rd baronet
1 october 1731#robert tripp#charles bodens#james eckersall#sir everard buckworth , 3rd baronet
24 january 1736#robert tripp#charles bodens#james eckersall#sir everard buckworth , 3rd baronet
4 december 1736#robert tripp#charles bodens#james eckersall#sir everard buckworth , 3rd baronet
31 october 1738#robert tripp#george bodens#james eckersall#sir everard buckworth , 3rd baronet
23 january 1741#robert tripp#george bodens#james eckersall#sir everard buckworth , 3rd baronet
14 january 1742#robert tripp#george bodens#james eckersall#joseph hudson
6 february 1746#robert tripp#george bodens#james eckersall#joseph hudson
22 july 1747#robert tripp#george bodens#james eckersall#joseph hudson
4 february 1754#robert tripp#george bodens#matthias cocksedge#joseph hudson
21 february 1754#robert tripp#george bodens#leathes johnston#joseph hudson
7 february 1757#robert tripp#george bodens#leathes johnston#joseph hudson
7 may 1757#robert tripp#george bodens#leathes johnston#robert jackson
13 may 1758#william wilkinson#george bodens#leathes johnston#robert jackson
9 july 1759#william wilkinson#george bodens#leathes johnston#robert griffin
9 may 1760#william wilkinson#george bodens#leathes johnston#robert griffin
7 november 1761#thomas cox#george bodens#leathes johnston#robert griffin
24 november 1764#frederick chapman#george bodens#leathes johnston#robert griffin
5 february 1765#frederick chapman#george bodens#leathes johnston#edward mainwaring
15 june 1765#frederick chapman#george bodens#william plaxon#edward mainwaring
21 may 1767#frederick chapman#george bodens#william plaxon#edward mainwaring
8 february 1770#frederick chapman#george bodens#william plaxon#edward mainwaring
22 january 1771#frederick chapman#george bodens#william plaxon#edward mainwaring
23 july 1774#frederick chapman#george bodens#william plaxon#edward mainwaring
5 september 1776#frederick chapman#george bodens#william plaxon#edward mainwaring
8 february 1779#frederick chapman#george bodens#william plaxon#edward mainwaring
7 june 1779#frederick chapman#edmund armstrong#william plaxon#edward mainwaring
20 april 1782#frederick chapman#edmund armstrong#william plaxon#edward mainwaring
17 october 1782#frederick chapman#edmund armstrong#charles moore#edward mainwaring
5 december 1782#frederick chapman#edmund armstrong#charles moore#edward mainwaring
4 april 1783#frederick chapman#edmund armstrong#charles moore#james meller
1788#frederick chapman#edmund armstrong#robert browne#james meller
5 february 1794#frederick chapman#robert chester#robert browne#james meller
6 february 1797#frederick chapman#thomas osmer#robert browne#james meller
29 july 1798#frederick chapman#thomas osmer#robert browne#william lewis
6 march 1801#frederick chapman#thomas osmer#robert browne#william lewis
27 july 1802#frederick chapman#james singer burton#robert browne#william lewis
22 march 1805#frederick chapman#james singer burton#robert browne#william lewis
20 march 1806#frederick chapman#james singer burton#robert browne#william lewis
20 august 1808#edward ash#james singer burton#robert browne#william lewis
2 february 1815#edward ash#james singer burton#robert browne#william lewis
6 january 1819#edward ash#samuel randall#robert browne#william lewis
4 march 1820#edward ash#samuel randall#robert browne#william lewis
11 march 1829#edward ash#samuel randall#robert browne#william lewis
30 march 1829#sir john strachan , 10th baronet#samuel randall#robert browne#william lewis
23 march 1831#sir john strachan , 10th baronet#samuel randall#robert browne#william lewis
23 april 1833#sir john strachan , 10th baronet#samuel randall#robert browne#william lewis
20 may 1833#sir john strachan , 10th baronet#samuel randall#robert browne#william lewis
4 april 1836#sir john strachan , 10th baronet#samuel randall#john lyster#william lewis
21 october 1836#sir john strachan , 10th baronet#samuel randall#hon. william fitzgerald - de ros#william lewis
10 january 1837#sir john strachan , 10th baronet#samuel randall#hon. william fitzgerald - de ros#william lewis
11 june 1838#sir john strachan , 10th baronet#samuel randall#hon. william fitzgerald - de ros#alfred montgomery
7 june 1839#sir john strachan , 10th baronet#samuel randall#edward hobhouse#alfred montgomery
27 december 1844#sir john strachan , 10th baronet#samuel randall#edward hobhouse#alfred montgomery
1 march 1852#sir john strachan , 10th baronet#samuel randall#edward hobhouse#alfred montgomery
13 july 1852#sir john strachan , 10th baronet#henry sykes stephens#edward hobhouse#alfred montgomery
24 february 1854#robert tench bedford#henry sykes stephens#edward hobhouse#alfred montgomery
22 may 1854#robert tench bedford#henry sykes stephens#george howard vyse#alfred montgomery
26 june 1862#robert tench bedford#henry sykes stephens#george howard vyse#alfred montgomery
27 october 1862#robert tench bedford#henry sykes stephens#george howard vyse#alfred montgomery
9 march 1868#francis knollys#henry sykes stephens#george howard vyse#alfred montgomery
1 march 1873#francis knollys#henry sykes stephens#george howard vyse#alfred montgomery
2 february 1874#francis knollys#henry sykes stephens#george howard vyse#alfred montgomery
29 august 1878#francis knollys#arthur john loftus#george howard vyse#alfred montgomery
28 april 1883#francis knollys#hon. henry julian stonor#george howard vyse#alfred montgomery
21 january 1884#francis knollys#hon. henry julian stonor#george howard vyse#alfred montgomery
4 june 1890#francis knollys#hon. henry julian stonor#charles james innes ker#alfred montgomery
1 may 1892#francis knollys#hon. henry julian stonor#charles james innes ker#alfred montgomery
18 may 1895#francis knollys#hon. henry julian stonor#charles james innes ker#alfred montgomery
15 april 1896#francis knollys#hon. henry julian stonor#charles james innes ker#hon. arthur hay
27 november 1899#wyndham frederick tufnell#hon. henry julian stonor#charles james innes ker#hon. arthur hay
