res#record#opponent#method#event#round#location
win#42 - 27 - 10#yukinari tamura#decision (majority)#pancrase - progress tour 1#2#tokyo , japan
win#19 - 13 - 5#kousei kubota#decision (majority)#pancrase - trans 4#1#tokyo , japan
win#18 - 13 - 5#chris lytle#decision (unanimous)#pancrase - trans 1#1#tokyo , japan
loss#17 - 13 - 5#eugene jackson#ko (punch)#ufc 23#3#tokyo , japan
win#17 - 12 - 5#leon dijk#tko#pancrase - breakthrough 7#1#tokyo , japan
loss#16 - 12 - 5#kiuma kunioku#decision (lost points)#pancrase - breakthrough 5#1#nagoya , japan
win#16 - 11 - 5#yuhi sano#tko (strikes)#pancrase - breakthrough 3#1#tokyo , japan
draw#15 - 11 - 5#jeremy horn#draw#pancrase - advance 12#1#tokyo , japan
win#15 - 11 - 4#jason delucia#decision (lost points)#pancrase - advance 10#1#tokyo , japan
win#14 - 11 - 4#satoshi hasegawa#decision (majority)#pancrase - 1998 neo - blood tournament second round#1#japan
loss#13 - 11 - 4#osami shibuya#decision (unanimous)#pancrase - 1998 neo - blood tournament opening round#1#tokyo , japan
draw#13 - 10 - 4#ryushi yanagisawa#draw#pancrase - advance 8#2#kobe , japan
win#13 - 10 - 3#takafumi ito#tko#pancrase - advance 6#2#tokyo , japan
loss#12 - 10 - 3#yuki kondo#decision (majority)#pancrase - advance 5#1#yokohama , japan
win#12 - 9 - 3#minoru suzuki#decision (majority)#pancrase - advance 3#1#kobe , japan
draw#11 - 9 - 3#ryushi yanagisawa#draw#pancrase - advance 2#1#yokohama , japan
loss#11 - 9 - 2#osami shibuya#submission (toe hold)#pancrase - advance 1#1#tokyo , japan
loss#11 - 8 - 2#bas rutten#submission (rear naked choke)#pancrase : alive 11#1#yokohama , japan
win#11 - 7 - 2#takafumi ito#decision (unanimous)#pancrase : alive 10#2#kobe , japan
draw#10 - 7 - 2#tra telligman#draw#pancrase : alive 9#2#tokyo , japan
win#10 - 7 - 1#minoru suzuki#decision (lost points)#pancrase : 1997 anniversary show#1#tokyo , japan
win#9 - 7 - 1#osami shibuya#decision (1 - 0)#pancrase : alive 8#2#osaka , japan
win#8 - 7 - 1#satoshi hasegawa#tko (knees)#pancrase : 1997 neo - blood tournament , round 2#1#tokyo , japan
win#7 - 7 - 1#kousei kubota#decision (lost points)#pancrase : 1997 neo - blood tournament , round 2#1#tokyo , japan
win#6 - 7 - 1#les johnston#submission (guillotine choke)#pancrase : 1997 neo - blood tournament , round 1#1#tokyo , japan
loss#5 - 7 - 1#guy mezger#decision (lost points)#pancrase : alive 7#1#japan
draw#5 - 6 - 1#kiuma kunioku#draw#pancrase : alive 5#1#kobe , japan
win#5 - 6#taka michinoku#submission (keylock)#pancrase : alive 4#1#tokyo , japan
loss#4 - 6#ryushi yanagisawa#decision (lost points)#pancrase : alive 3#1#nagoya , japan
win#4 - 5#takafumi ito#decision (lost points)#pancrase : alive 2#1#tokyo , japan
win#3 - 5#brian gassaway#decision (lost points)#pancrase : alive 1#1#tokyo , japan
win#2 - 5#wes gassaway#decision (unanimous)#pancrase - truth 10#1#japan
loss#1 - 5#yoshiki takahashi#submission#pancrase - truth 9#1#kobe , japan
loss#1 - 4#kiuma kunioku#submission#pancrase - truth 8#1#tokyo , japan
loss#1 - 3#katsuomi inagaki#decision (majority)#pancrase - 1996 anniversary show#1#tokyo , japan
loss#1 - 2#osami shibuya#submission#pancrase - 1996 neo - blood tournament , round 2#1#tokyo , japan
loss#1 - 1#yuki kondo#tko#pancrase - 1996 neo - blood tournament , round 2#1#tokyo , japan
win#1 - 0#satoshi hasegawa#decision (split)#pancrase - 1996 neo - blood tournament , round 1#1#tokyo , japan
