player#nation#tebe career#league matches#league goals#cup matches#cup goals
christian fährmann #germany#2003#13#3#0#0
tim felsenberg #germany#2000–2002#15#1#2#0
gino ferrin #west germany#1969–1975#6#0#1#0
michael fiedler #west germany#1985–1986#28#4#1#0
konstantin filatow #germany#2010–2011#29#0#0#0
kerem - mahir filiz #turkey#2011#5#0#0#0
marco fink #germany#2011–2012#8#1#0#0
julian finke #germany#2011#1#0#0#0
egon flad #germany#1993–1994#23#1#2#0
eleftherios fotiadis #greece#1985–1986#25#5#1#0
jacek frąckiewicz #poland#1996–1997#31#5#1#0
mike frank #germany#2000–2001#9#0#0#0
peter fraßmann #west germany#1980–1986#79#12#2#0
geir frigård #norway#1998–1999#14#5#0#0
michael fuß #germany#2000–2001 , 2004–2009#163#87#4#1
stanko galić #croatia#2006–2008#30#4#0#0
holger gehrke #germany#1994#8#0#0#0
peter geyer #west germany#1974–1975#33#6#4#3
heikko glöde #west germany#1980–1981#21#3#0#0
lukas goerigk #germany#2011–2012#3#0#0#0
bjarne goldbæk #denmark#1993–1994#24#5#3#0
rudi gores #west germany#1985–1986#18#2#0#0
roman görtz #germany#1999–2000#3#0#0#0
daniel gottlieb #germany#2004–2006 , 2007–2008#47#0#1#0
brent goulet #united states#1992–1994#43#21#2#1
manuel greil #germany#2006–2008#35#1#0#0
alexander greinert #germany#2011–present#58#8#0#0
dirk greiser #west germany#1981–1986#23#0#0#0
benjamin griesert #germany#2005–2007 , 2008–2010#80#18#4#0
volkmar groß #west germany#1976–1977#17#1#0#0
thomas grunenberg #west germany#1979–1981#54#12#2#0
cüneyt gündoğdu #turkey#2011#8#2#0#0
serdar güneş #turkey#2010 , 2011–2012#26#2#0#0
tolgay güneş #turkey#2001#8#0#0#0
tim gutberlet #germany#1995–1996#21#2#1#0
gyula hajszán #hungary#1993#3#0#1#0
matthias hamann #germany#1998–2000#57#2#5#0
frank hammerschlag #west germany#1985–1986#22#4#0#0
timo hampf #germany#2003–2010#114#0#2#0
frank hanisch #west germany#1979–1981#45#1#1#0
klaus - peter hanisch #west germany#1976–1980#52#0#6#1
dirk hannemann #germany#1996–1997#14#1#1#0
allan hansen #denmark#1977–1979#54#12#5#0
martin hauswald #germany#2000–2001#18#2#0#0
tim hebsacker #germany#2011#11#0#0#0
herbert heidenreich #west germany#1977–1978#23#4#0#0
thomas heinicke #germany#2001#2#0#0#0
manfred hellmann #germany#1990–1991#29#16#0#0
benjamin hendschke #germany#2003–2004 , 2011–present#88#27#0#0
jens henschel #germany#1993#12#0#0#0
michael hertwig #west germany#1985–1986#25#0#0#0
dirk heun #west germany#1975–1977#25#1#3#0
antoine hey #germany#1993–1994#27#7#3#0
andreas hilfiker #switzerland#1999–2000#32#0#2#0
gerald hillringhaus #germany#1993–1995#48#0#5#0
andreas hinze #west germany#1980–1981#13#0#1#0
dieter hochheimer #west germany#1976–1979#109#12#9#2
stephan hoffmann #west germany#1973–1976#18#0#3#0
christian hübner #west germany#1985#2#0#0#0
david hussain #germany#2003–2004#24#1#0#0
sebastian ilic #germany#2008#13#2#1#0
chikelue iloenyosi #nigeria#2000#1#1#0#0
harun isa #albania#1995–1999#103#30#4#1
marcel isakowitz #germany#2000–2001#2#0#0#0
okan işık #turkey#2011–present#71#17#0#0
younes itri #morocco#2013–present#14#0#0#0
goya jaekel #germany#2000#12#2#0#0
kim jae - sung #south korea#2010–2011#16#4#0#0
miroslav jagatić #croatia#2003#10#1#0#0
ditmar jakobs #west germany#1974–1977#101#16#10#1
alexander jakowitz #germany#2008–2010#41#0#2#0
morten jechow #germany#2009–2010#17#0#0#0
elvis jelmazi #bosnia and herzegovina#2000#10#1#0#0
mike jesse #germany#2000–2001#22#5#1#0
thomas joos #germany#2000–2001#4#0#0#0
ranisav jovanović #serbia and montenegro#2001–2002#32#13#0#0
markus jurzik #germany#2012–present#20#0#0#0
robert jüttner #west germany#1985#10#0#1#0
lee ju - wan #south korea#2010#1#0#0#0
kakhaber kacharava #georgia#1995–1996#19#7#0#0
sascha kadow #germany#2006–2008#31#8#1#0
fuat kalkan #turkey#2007–2010 , 2010–2011#84#3#1#0
burak kalyoncu #turkey#2008–2009#11#0#0#0
olaf kapagiannidis #germany#1993–2000#63#2#7#0
kadir kaplı #turkey#2010#6#0#0#0
cihan karadağ #turkey#2007#3#0#0#0
firat karaduman #turkey#2008–2009#24#7#1#0
momir karadžić #yugoslavia#1979–1981#53#4#1#0
heinz - josef kehr #west germany#1977–1978#32#18#2#0
andreas keim #germany#1993–1994#28#2#4#1
enrico kern #germany#1998–2000#11#0#1#0
florian kersten #germany#2004#2#0#0#0
moritz kessler #germany#2004 , 2008#17#0#0#0
mike keyser #germany#2007–2008#9#0#0#0
sergei kiriakov #russia#1999–2000#28#3#2#0
tom kirstein #germany#2010–2012 , 2013–present#73#17#0#0
harry kleinfeld #west germany#1981#4#0#0#0
andrzej kobylański #poland#1993–1994#10#0#2#0
harun koca #turkey#2011–present#34#2#0#0
celaleddin koçak #turkey#1997–1999#51#1#4#0
sebastian kolch #germany#2003#2#0#0#0
christian kollmorgen #germany#2005–2006#24#1#2#0
sercan konal #germany#2007#6#0#0#0
sascha köttig #germany#2004–2006#53#2#1#0
kreso kovacec #germany#1997–1999#37#19#4#5
ivan kozák #slovakia#1999–2001#67#0#3#0
davor kraljević #croatia#2000–2001#9#0#0#0
frank kramer #west germany#1980#5#0#0#0
hans - georg kraus #west germany#1974–1978#80#1#5#1
willi kronhardt #germany#2000–2001#19#1#1#0
emmanuel krontiris #germany#2000#6#1#1#0
manfred krüger #west germany#1978–1980#10#0#0#0
gino krumnow #germany#2012#28#2#0#0
thomas kruschke #germany#2011#8#1#0#0
davor krznarić #croatia#1994 , 2002#1#1#1#0
danny kukulies #germany#2008#13#4#0#0
michael kullat #germany#2003#21#1#0#0
fabian künnemann #germany#2012#2#0#0#0
tobias kurbjuweit #germany#2007#13#2#0#0
michael laletin #germany#2009–2010#32#0#0#0
christian landu - tubi #democratic republic of the congo#2009#16#2#1#0
martin lange #germany#2009–2010#17#1#0#0
mirko langen #germany#2009–2010#13#0#0#0
saša lazarevski #republic of macedonia#2000–2001#4#0#0#0
nico lazaridis #west germany#1979–1980#3#0#0#0
uwe lehmann #germany#2000#1#0#0#0
norbert lemcke #germany#2005–2007#37#9#0#0
tim lensinger #germany#2009–2010#13#0#0#0
jörn lenz #germany#1992–1997#135#10#3#0
stanislav levý #czech republic#1993–1994#20#3#1#0
robert lorenz #germany#2012#1#0#0#0
mike lünsmann #germany#1998–2000#34#6#0#0
jérôme maaß #germany#2008#6#0#0#0
maher magri #tunisia#2010–2011#9#0#0#0
stefan malchow #germany#2000–2001#9#0#1#0
edmund malura #west germany#1980–1981#38#6#1#0
osama mansour #tunisia#2005–2006#27#0#1#0
jens manteufel #germany#2001–2005#48#8#0#0
damir maričić #yugoslavia#1985–1986#26#5#1#0
goran markov #republic of macedonia#1997–1998#12#1#0#0
jens melzig #germany#1997–2000#68#7#3#0
cemil mengi #turkey#2010#8#2#0#0
burak menteş #turkey#2011#6#0#0#0
sven meyer #germany#2002–2004#64#6#0#0
toni mičevski #republic of macedonia#1998–1999#19#4#1#0
mario miethig #west germany#1985–1986#7#0#0#0
frank mischke #west germany#1981#15#0#0#0
željko mišić #yugoslavia#1986#6#0#0#0
amir mohra #germany#2007–2008#24#1#0#0
ali moustapha #niger#2004#8#0#0#0
robert mrohs #germany#2003–2004#22#0#0#0
wolfgang mulack #west germany#1973–1975#22#0#2#0
anton müller #germany#2002–2003#24#0#0#0
christian müller #west germany#1980–1981#5#0#0#0
felix müller #germany#2001#1#0#0#0
dirk muschiol #germany#1993–1994#27#2#4#0
jan mutschler #germany#2000#1#0#0#0
faruk namdar #turkey#1997–1999#37#11#2#0
luc ndjock #cameroon#2003–2004#9#1#0#0
zhaneto ndoja #albania#2007#1#0#0#0
papi ndombele #republic of the congo#2011–2012#13#1#0#0
ralf nettelbeck #west germany#1980#1#0#0#0
martin neubert #germany#2008–2010#60#2#2#0
momar njie #gambia#2000–2001#7#0#0#0
yann nkanga #france#2011#10#0#0#0
nils noltemeier #germany#2000#4#0#0#0
werner novak #west germany#1974–1976#10#0#1#0
michael nwankwo #nigeria#2006#6#0#1#0
gökhan okatan #turkey#2013–present#2#0#0#0
emmanuel okuma #nigeria#2011–2012#15#0#0#0
abderrahim ouakili #morocco#1999–2000#25#7#2#0
ali emrah özdemir #turkey#2005#13#0#0#0
timur özgöz #germany#2009–2010#27#6#1#0
peter pagel #west germany#1975#1#0#0#0
kostas pantios #greece#2004–2005#26#7#0#0
sven patzler #germany#2003#13#0#0#0
paulo césar pérez #argentina#2006#14#0#1#0
peter peschel #germany#2004–2005#16#7#0#0
karl - heinz peter #west germany#1985#12#0#1#0
yasen petrov #bulgaria#2001#10#0#0#0
daniel petrowsky #germany#2004–2008#96#1#1#0
martin pieckenhagen #germany#1993–1994#8#0#0#0
sebastian preuß #germany#2010#1#0#0#0
dennis rahden #germany#2011–2012#29#0#0#0
dejan raičković #serbia and montenegro#1997–2000 , 2004–2005#77#4#4#0
uwe rapolder #west germany#1985–1986#21#2#1#0
dirk rehbein #germany#1997#5#0#0#0
armin reichel #west germany#1985–1986#36#0#1#0
wilhelm reisinger #west germany#1985–1987#21#6#0#0
rené renno #germany#2000–2001#32#0#1#0
sascha rentmeister #germany#2012–present#17#0#0#0
christian ritter #germany#2005#5#0#0#0
uwe rösler #germany#1999–2000#28#6#2#3
bodo rudwaleit #germany#1991–1993#64#0#0#0
michael rührmund #west germany#1977#1#0#0#0
jürgen rumor #west germany#1974–1975#16#6#2#0
steven russow #germany#2011#7#0#0#0
mikhail rusyayev #russia#1992–1996#98#45#4#2
bayram sabani #bosnia and herzegovina#2000–2001#14#0#0#0
christian sackewitz #west germany#1975–1976#25#0#4#3
artim šakiri #republic of macedonia#2000#14#0#0#0
burak salantur #turkey#2011#6#0#0#0
murat salar #turkey#2004–2005#26#2#0#0
hans - jürgen salewski #west germany#1980–1981#51#1#0#0
hassan salhab #lebanon#2012–present#28#17#0#0
arne sandstø #norway#1993–1994#7#0#2#0
simon saro #angola#2010#3#0#0#0
ernst savkovic #west germany#1976–1978#42#0#4#0
halil savran #germany#2006–2008#54#41#1#0
tekin sazlog #turkey#1993–1994#10#0#1#0
dietmar schacht #west germany#1985–1986#22#0#0#0
jürgen schäfer #west germany#1980–1981#9#1#0#0
christian schalle #germany#2006–2007#29#1#1#0
joseph scheimann #germany#2007 , 2010#3#0#0#0
daniel scheinhardt #germany#2003–2005#53#1#0#0
gerald scheunemann #west germany#1985–1986#31#0#1#0
wolfgang schilling #west germany#1978–1981#105#19#5#0
lothar schlapp #west germany#1985–1986#25#0#1#0
peter schmidt #west germany#1980#2#0#0#0
stephan schmidt #germany#2005–2007#38#4#2#0
norbert schmitz #west germany#1978–1980#50#6#3#1
reinhard schmitz #west germany#1976–1979#95#4#8#4
lothar schneider #west germany#1976–1978#68#9#6#0
robert scholl #germany#2006–2008 , 2013–present#51#4#1#0
michael schröder #germany#1993–1994#21#2#4#1
sascha schrödter #germany#2008#13#3#0#0
peter schultz #west germany#1980#3#0#0#0
jürgen schulz #west germany#1973–1981#244#16#18#2
friedhelm schütte #west germany#1980–1981#41#1#1#0
gerd schwidrowski #west germany#1970–1976#11#1#1#0
mario seelisch #germany#2009 , 2011–2012#10#0#0#0
marco sejna #germany#1995–1997#61#0#0#0
astrit selanci #germany#2005–2006#14#1#0#0
gökhan şenol #turkey#2001#8#0#0#0
marek seruga #poland#2003–2005#37#7#0#0
norbert siegmann #west germany#1974–1976#65#4#7#0
helgi sigurðsson #iceland#1996–1997#14#6#0#0
stefan simm #germany#2000#15#1#1#0
hans sprenger #west germany#1973–1979#145#8#11#0
klaus - günter stade #west germany#1976–1977#3#0#0#0
goran stankovski #republic of macedonia#1998–1999#3#0#1#0
marc stein #germany#2004#2#0#0#0
bernd steinhage #south africa#2007#3#0#0#0
michael steinhauf #germany#2000–2001 , 2007#18#1#1#0
toni sterjovski #australia#2000–2001#10#0#0#0
bernd stieler #west germany#1985–1986#4#0#0#0
marc stillenmunkes #germany#2008–2010#50#0#2#0
bartosz stoiński #poland#2012#1#0#0#0
norbert stolzenburg #west germany#1973–1976 , 1978–1981#210#122#13#1
winfried stradt #west germany#1976–1978#56#21#3#1
christian streit #germany#2008–2009#26#3#1#0
karlheinz subklewe #west germany#1973–1977#81#10#6#1
jan suchopárek #czech republic#1999–2000#23#1#2#0
wolfgang sühnholz #west germany#1974#8#1#2#0
tomasz suwary #poland#2001#7#1#0#0
zbigniew szewczyk #poland#1997–2000#59#1#4#0
beyazıt taflan #turkey#2010–2011 , 2011–2012#40#11#0#0
ifet taljević #germany#2000–2001#19#2#0#0
ömer tetik #turkey#2011–present#43#0#0#0
klaus theiss #germany#1993#3#0#0#0
abdoul thiam #germany#2006–2008#24#2#0#0
joachim thiel #west germany#1973–1975#22#0#3#0
fabien thokomeni #cameroon#2012–present#29#0#0#0
ryan thomson #scotland#2006#17#1#0#0
christian tiffert #germany#2000#8#2#0#0
onay tokgöz #turkey#2010–2011#26#2#0#0
doğukan topuz #turkey#2012#6#1#0#0
murat tosun #germany#2005#10#2#0#0
ümit tosun #germany#2005#11#0#0#0
lassane touré #france#2010–2011#24#1#0#0
mateusz trachimowicz #poland#2011#10#1#0#0
marko tredup #germany#1996–2000#74#4#4#0
rené tretschok #germany#1993–1994#26#1#3#0
ertan turan #turkey#2008–2010#47#3#2#0
mustafa turgut #germany#2004#11#3#0#0
ibrahim türkkan #turkey#2004–2005 , 2010#28#7#0#0
serkan türkoğlu #turkey#2010#6#0#0#0
marcel uhlig #germany#2011–2012#8#0#0#0
bruno ullbricht #germany#2005–2007#8#0#0#0
rené unglaube #germany#1992–1994#20#4#0#0
onur uslucan #turkey#2011#3#0#0#0
saša vidić #bosnia and herzegovina#2001#2#0#0#0
andré vilk #germany#2003#2#0#0#0
peter vogel #west germany#1978–1981#67#7#4#0
thomas vogel #germany#1993–1994#18#3#4#2
andreas vogler #west germany#1986–1987#30#24#1#0
dennis vogler #germany#2009 , 2012–present#22#5#0#0
thomas vogt #west germany#1980#1#0#0#0
dimitrios voutsis #greece#2011#11#0#0#0
nenad vučković #croatia#2005–2006#32#15#1#0
ivica vukadin #croatia#2012–present#32#0#0#0
marco walker #switzerland#1998–2000#55#5#5#1
jan walle #germany#2000–2004#40#5#0#0
philipp wanski #germany#2007–2009#51#4#1#0
jan wehrmann #germany#1993–1994#32#0#5#0
mark weidemann #germany#2004#4#2#0#0
jonas weidner #germany#2004 , 2005–2007#36#0#1#0
niclas weiland #germany#1998–2001#53#0#1#0
gerhard welz #west germany#1977–1979#72#0#6#0
benny wendt #sweden#1976–1977#30#20#3#2
martin wiesner #west germany#1985–1986#37#2#1#0
mike wiesner #germany#2012#9#1#0#0
benjamin wilcke #germany#2009#2#0#0#0
manfred wittke #west germany#1974–1975#7#0#2#0
fabian wohlgemuth #germany#2000–2001#20#0#0#0
maximilian wolchow #germany#2002 , 2004–2005 , 2010#42#2#2#0
fabian wöpke #germany#2009#1#0#0#0
viktor yanushevsky #belarus#1991–1992#11#1#0#0
samet yazıcı #turkey#2007#2#0#0#0
fatih yiğituşağı #turkey#2009–2010#23#5#1#0
semih yıldırım #turkey#2012#1#0#0#0
cemal yıldız #turkey#2003–2004#17#0#0#0
kadir yılmaz #turkey#2003–2007#67#8#0#0
murat yılmaz #turkey#2007#6#1#0#0
efkan yüksel #turkey#2012#1#0#0#0
manuel zemlin #germany#2011#28#3#0#0
grégory zidjou #germany#2010–2011#6#0#0#0
jochem ziegert #west germany#1978–1980#86#8#5#1
igor žiković #croatia#2001#7#0#0#0
michael zimmer #west germany#1975–1978#47#2#5#0
niklas zimmermann #germany#2012–present#44#3#0#0
