rank#heat & lane#name#nationality#time
1#h14 - l5#kosuke kitajima#japan#00: 59.96
2#h15 - l5#alexander dale oen#norway#1:00.34
3#h16 - l4#brendan hansen#usa#1:00.59
106#h03 - l3#sadeq damrah#palestine#1:16.60
107#h03 - l1#hassan ashraf#maldives#1:17.26
108#h03 - l8#michael taylor#marshall islands#1:17.79
109#h03 - l5#monder al - jabali#libya#1:20.40
110#h02 - l6#rahim karmali#uganda#1:21.27
111#h01 - l5#jackson niyomugabo#rwanda#1:25.87
112#h02 - l8#anthony kpetnky#ghana#1:29.60
113#h01 - l3#seele benjamin ntai#lesotho#1:31.58
114#h01 - l4#boipelo makhothi#lesotho#1:32.63
115#h02 - l1#vincent leatualevao#american samoa#1:32.86
116#h02 - l5#robert scanlan#american samoa#1:34.98
117#h02 - l4#abubakarr jalloh#sierra leone#1:44.93
999#h02 - l2#m. alhousseini alhassan#niger#dns
999#h02 - l7#julio yao bessan#benin#dns
999#h03 - l7#thi hue pham#vietnam#dns
999#h04 - l3#joão aguiar#angola#dns
999#h06 - l3#shajahan ali rony#bangladesh#dns
999#h13 - l3#vanja rogulj#croatia#dns
