year#meeting#venue#result#event#extra
1998#championnats nationaux#reduit , mauritius#1st#long jump#7.53
2004#meeting internazionale sestriere#sestriere , france#5th#long jump#7.95
2004#meeting international resisprint#la chaux - de - fonds , switzerland#2nd#long jump#7.82
2005#meeting national de mondeville#mondeville , france#3rd#long jump#7.40
2005#governor cup#samara , russia#5th#long jump#7.74
2005#championnat ile de france indoor#eaubonne , france#1st#long jump#7.58
2005#meeting national de reims#reims , france#1st#long jump#7.47
2005#interclubs interregionale#versailles , france#1st#long jump#7.66
2005#interclubs interregionale#versailles , france#1st#100m#10.70
2005#interclubs poule interregionale classement#versailles , france#1st#100m#10.86
2005#interclubs poule interregionale classement#versailles , france#1st#long jump#7.75
2005#championnats de l'essonne cjes#montgeron , france#1st#long jump#7.84
2005#meeting acrobalenoatleticaeuropa#celle ligure , italy#1st#long jump#7.83
2005#meeting national d1 de strasbourg#strasbourg , france#1st#long jump#8.00
2005#meeting internazionale sestriere#sestriere , italy#1st#long jump qualification#7.99
2005#meeting internazionale sestriere#sestriere , italy#1st#long jump final#8.28
2005#ouagadougou aac meeting#ouagadougou , burkina faso#1st#long jump#7.99
2005#ouagadougou aac meeting#ouagadougou , burkina faso#2nd#100m#10.74
2005#bamako aac permit meeting#bamako , mali#2nd#long jump#7.85
2005#dakar aac permit meeting#dakar , senegal#2nd#long jump#8.08
2005#championnats de france elite#angers , france#2nd#long jump#8.25
2005#meeting national à thème de pierre bénite#pierre bénite , france#2nd#long jump#8.12
2005#meeting vardinoyiannia eap permit#rethymno , greece#3rd#long jump#8.00
2005#championnats de france elite en salle#lievin , france#3rd#long jump qualification#7.60
2005#championnats de france elite en salle#lievin , france#5th#long jump final#7.53
2005#meeting national d2 de nantes#nantes , france#4th#long jump#7.35
2005#mauritius international meeting#reduit , mauritius#4th#long jump#7.76
2005#2nd meeting of dakar league#dakar , senegal#3rd#150m#16.00
2005#francophone games#niamey , niger#3rd#long jump#7.76
2006#match reunion - maurice seniors d'athletisme#st denis. reunion#1st#long jump#7.28
2006#match reunion - maurice seniors d'athletisme#st denis. reunion#1st#triple jump#15.29
2006#african athletics championships#bambous , mauritius#5th#long jump#7.74
2007#pahang open track & field meeting#temerloh , malaysia#1st#long jump#7.76
2007#mauritius international meeting#reduit , mauritius#1st#long jump#7.79
2007#meeting de paris jean bouin#paris , france#2nd#long jump#7.81
2007#jeux des iles de l'ocean indien#antananarivo , madagascar#2nd#long jump final#7.85
2007#jeux des iles de l'ocean indien#antannarivo , madagascar#1st#4x100m final#39.51
2007#all africa games#algiers , algeria#4th#long jump qualification#7.86
2007#all africa games#algiers , algeria#2nd#long jump final#8.03
2007#algiers international meeting#algiers , algeria#2nd#long jump#8.10
2007#iaaf world athletics championships#osaka , japan#8th#long jump qualification#7.93
2008#iaaf world indoor championships#valencia , spain#19th#long jump qualification#7.36
2008#mauritius international meeting#reduit , mauritius#1st#long jump#7.71
