name#nationality#position#aberdeen career#total appearances#total goals
hugh mclaren #scotland scotland#df#1928–1932#113#5
alex mcleish #scotland scotland#df#1976–1994#693#30
chic mclelland #scotland scotland#df#1972–1979#213#5
john mcmaster #scotland scotland#mf#1972–1986#315#12
tommy mcmillan #scotland scotland#df#1965–1972#248#2
kevin mcnaughton #scotland scotland#df#1998–2006#202#3
billy middleton #scotland scotland#1920–1923#126#8#—
joe miller #scotland scotland#fw#1984–1987 1993–1998#265#47
johnny miller #scotland scotland#fw#1921–1927#124#61
lee miller #scotland scotland#fw#2006–2010#144#33
willie miller #scotland scotland#df#1972–1990#797#32
willie mills #scotland scotland#fw#1932–1938#211#114
vic milne #scotland scotland#df#1920–1923#123#7
jimmy mitchell #scotland scotland#df#1952–1958#184#0
george mulhall #scotland scotland#fw#1953–1962#150#42
george murray #scotland scotland#df#1967–1973#127#4
steve murray #scotland scotland#mf#1970–1973#140#25
charlie nicholas #scotland scotland#fw#1987–1990#104#36
barry nicholson #scotland scotland#mf#2005–2008#125#21
john ogston #scotland scotland#gk#1957–1965#230#0
charles o'hagan #ireland ireland#fw#1906–1910#112#24
mixu paatelainen #finland finland#fw#1992–1994#93#28
tommy pearson #scotland scotland#mf#1948–1953#114#16
jens petersen #denmark denmark#df#1965–1970#203#11
david preece #england england#gk#1999–2005#106#0
andy rankine #scotland scotland#1920–1925#158#38#—
davie robb #scotland scotland#fw#1965–1978#345#99
arthur robertson #scotland scotland#1913–1923#105#6#—
david robertson #scotland scotland#df#1985–1991#177#3
doug rougvie #scotland scotland#df#1975–1984#278#21
david rowson #scotland scotland#mf#1994–2001#156#11
ian scanlon #scotland scotland#mf#1978–1981#133#20
scott severin #scotland scotland#mf#2004–2009#195#12
duncan shearer #scotland scotland#fw#1992–1997#193#79
ally shewan #scotland scotland#df#1960–1969#300#9
neil simpson #scotland scotland#mf#1978–1989#310#31
dave smith #scotland scotland#mf#1961–1966#166#13
gary smith #scotland scotland#df#1991–1996 1997–1999#249#2
jamie smith #scotland scotland#mf#2005–2009#102#18
jim smith #scotland scotland#mf#1965–1969#140#37
jimmy smith #scotland scotland#mf#1920–1931#335#64
jimmy soye #scotland scotland#fw#1909–1915#200#25
joe smith #scotland scotland#mf#1972–1979#191#11
steve smith #scotland scotland#gk#1930–1937#259#0
theo snelders #netherlands netherlands#gk#1988–1996#290#0
billy stark #scotland scotland#mf#1983–1987#148#59
arild stavrum #norway norway#fw#1999–2001#67#29
gordon strachan #scotland scotland#mf#1977–1984#292#90
tom strang #scotland scotland#df#1903–1907#104#3
bill strauss #south africa south africa#mf#1936–1945#101#56
dom sullivan #scotland scotland#mf#1976–1979#136#14
george taylor #scotland scotland#mf#1937–1948#110#9
ian taylor #scotland scotland#fw#1966–1974#154#28
douglas thomson #scotland scotland#1920–1923#107#33#—
eddie thomson #scotland scotland#df#1973–1976#122#2
george thomson #scotland scotland#mf#1932–1939#246#20
paddy travers #scotland scotland#fw#1910–1911 1912–1914#104#24
scott vernon #england england#fw#2010–present#124#35
joseph walker #scotland scotland#1911–1917#137#25#—
andy watson #scotland scotland#mf#1977–1983#136#17
peter weir #scotland scotland#mf#1981–1987#238#38
derek whyte #scotland scotland#df#1997–2002#154#0
jim whyte #scotland scotland#1960–1970#152#8#—
stan williams #south africa south africa#fw#1938–1949#127#51
billy williamson #scotland scotland#mf#1969–1976#125#23
alex willoughby #scotland scotland#mf#1969–1974#150#15
george wilson #scotland scotland#df#1907–1914#193#14
jimmy wilson #scotland scotland#fw#1965–1967#110#35
ernie winchester #scotland scotland#fw#1959–1967#169#91
robbie winters #scotland scotland#fw#1998–2002#152#45
bob wishart #scotland scotland#fw#1952–1961#234#62
alex wright #scotland scotland#mf#1913–1922#142#11
stephen wright #scotland scotland#df#1987–1995#181#2
willie wylie #scotland scotland#1914–1920#122#12#—
jock wyllie #scotland scotland#df#1910–1920#182#28
benny yorston #scotland scotland#fw#1927–1932#156#125
harry yorston #scotland scotland#fw#1946–1957#278#141
alec young #scotland scotland#df#1950–1958#220#1
darren young #scotland scotland#mf#1995–2003#159#6
derek young #scotland scotland#mf#1996–2003 2007–2011#237#22
willie young #scotland scotland#df#1969–1976#188#14
