outcome#date#tournament#surface#partner#score in the final
winner#18 january 1998#hobart#hard#paola suárez#7–6 (6) , 6–3
winner#24 september 2006#beijing#hard#paola suárez#6–2 , 6–4
winner#1 october 2006#seoul#hard#paola suárez#6–2 , 6–3
runner - up#13 january 2007#hobart#hard#anabel medina garrigues#6–4 , 7–5
runner - up#9 april 2007#amelia island#clay#anabel medina garrigues#6–3 , 7–6 (4)
runner - up#18 june 2007#‘s - hertogenbosch#grass#anabel medina garrigues#7–5 , 6–2
winner#5 august 2007#stockholm#hard#anabel medina garrigues#6–1 , 5–7 , 
winner#11 january 2008#hobart#hard#anabel medina garrigues#6–2 , 6–4
winner#6 june 2008#french open#clay#anabel medina garrigues#2–6 , 7–5 , 6–4
runner - up#15 june 2008#birmingham#grass#séverine brémond#6–2 , 6–1
winner#27 july 2008#portorož#hard#anabel medina garrigues#6–4 , 6–1
runner - up#17 august 2008#olympic games#hard#anabel medina garrigues#6–2 , 6–0
runner - up#6 april 2009#marbella#clay#anabel medina garrigues#6–3 , 6–3
winner#5 june 2009#french open#clay#anabel medina garrigues#6–1 , 6–1
winner#22 may 2010#warsaw#clay#meghann shaughnessy#6–3 , 6–4
