township#county#pop. (2010)#land ( sqmi )#water (sqmi)#latitude#longitude#geo id#ansi code
la moure#pembina#108#35.907#0.063#48.854886#- 97.894673#3806744580#1036734
ladd#bowman#15#36.028#0.007#45.981625#- 103.442141#3801143700#1037223
liberty#ransom#118#34.344#0.005#46.579923#- 97.610651#3807346380#1036881
liberty grove#richland#114#35.837#0.019#46.145505#- 97.063343#3807746420#1036834
lightning creek#adams#14#36.060#0.000#45.988569#- 102.933144#3800146500#1034174
lillehoff#ramsey#25#33.680#1.409#48.245066#- 98.357284#3807146620#1759579
lincoln#pembina#41#46.288#0.328#48.675414#- 97.198304#3806746660#1036711
lincoln dale#sheridan#27#34.988#0.250#47.630821#- 100.351011#3808346700#1759633
lincoln valley#divide#22#35.304#0.706#48.843764#- 103.662734#3802346740#1036930
lind#grand forks#62#36.107#0.046#47.715442#- 97.688858#3803546820#1036590
lindaas#traill#114#34.888#0.000#47.542410#- 97.281677#3809746860#1036705
lindahl#williams#45#35.641#0.233#48.481159#- 102.962421#3810546900#1037035
linden#cavalier#25#42.624#1.816#48.945472#- 98.666560#3801946940#1759368
linton#ward#31#34.475#1.533#48.071039#- 101.745067#3810147020#1036957
lippert#stutsman#96#35.745#0.415#46.856767#- 98.872523#3809347060#1036458
litchville#lamoure#49#35.999#0.066#46.594131#- 98.086321#3804547180#1036910
little deep#mchenry#51#36.292#0.018#48.509431#- 100.852635#3804947260#1759500
loam#cavalier#41#34.337#0.088#48.854393#- 98.155189#3801947380#1759369
lockwood#renville#24#35.600#0.319#48.596951#- 101.507167#3807547420#1759612
lodema#pembina#69#36.190#0.000#48.673884#- 97.600731#3806747460#1036716
logan#burleigh#36#35.823#0.208#46.771665#- 100.399162#3801547500#1759338
logan center#grand forks#44#36.081#0.021#47.809903#- 97.812781#3803547580#1036599
lohnes#benson#36#19.957#1.753#47.956329#- 98.705852#3800547620#1759249
lone tree#golden valley#126#105.069#0.130#46.713111#- 103.951491#3803347700#1037205
long creek#divide#37#42.592#0.903#48.944096#- 103.126212#3802347780#1759393
long lake#burleigh#103#32.246#3.787#46.671655#- 100.275198#3801547860#1037067
longfellow#mclean#38#36.091#0.054#47.451742#- 101.254669#3805547820#1759537
longview#foster#47#35.364#0.753#47.365433#- 99.207755#3803147900#1037138
loquemont#mclean#62#35.901#0.041#47.710140#- 102.075634#3805547940#1759538
lordsburg#bottineau#19#35.341#0.825#48.769624#- 100.228663#3800948060#1759283
loretta#grand forks#50#36.138#0.000#47.715705#- 97.817996#3803548100#1036591
lorraine#dickey#35#35.611#0.028#45.986327#- 98.824337#3802148140#1036749
lostwood#mountrail#40#34.276#1.569#48.503029#- 102.419021#3806148220#1037117
lovell#dickey#42#43.572#0.484#45.979477#- 98.080806#3802148260#1036742
lowery#stutsman#33#34.212#1.111#47.285621#- 99.424886#3809348300#1037187
lowland#mountrail#52#34.469#1.610#48.506983#- 102.025237#3806148340#1036980
lucy#burke#27#34.394#1.692#48.690915#- 102.549425#3801348420#1759325
lund#ward#50#34.796#1.204#48.059167#- 101.846052#3810148500#1036940
lynn#wells#21#34.710#1.455#47.370988#- 99.979621#3810348660#1037155
