date#result#score#venue#competition
09 - jan - 00#l#1–2#oakland , united states#friendly
20 - jun - 07#w#2–0#amman , jordan#2007 waff championship
22 - jun - 07#w#1–0#amman , jordan#2007 waff championship
24 - jun - 07#w#2–1#amman , jordan#2007 waff championship
02 - jul - 07#w#8–1#tehran , iran#friendly
11 - jul - 07#w#2–1#kuala lumpur , malaysia#2007 asian cup
15 - jul - 07#d#2–2#kuala lumpur , malaysia#2007 asian cup
18 - jul - 07#w#2–0#kuala lumpur , malaysia#2007 asian cup
22 - jul - 07#d#0–0#kuala lumpur , malaysia#2007 asian cup
10 - jan - 08#d#0–0#doha , qatar#friendly
30 - jan - 08#d#0–0#tehran , iran#friendly
06 - feb - 08#d#0–0#tehran , iran#2010 world cup qualifier
21 - mar - 08#l#0–1#riffa , bahrain#friendly
26 - mar - 08#d#2–2#tehran , iran#2010 world cup qualifier
25 - may - 08#w#3–2#tehran , iran#friendly
02 - jun - 08#d#0–0#tehran , iran#2010 world cup qualifier
07 - jun - 08#w#1–0#al - ain , united arab emirates#2010 world cup qualifier
14 - jun - 08#w#2–0#damascus , syria#2010 world cup qualifier
22 - jun - 08#w#2–0#tehran , iran#2010 world cup qualifier
07 - aug - 08#w#3–0#tehran , iran#2008 waff championship
11 - aug - 08#w#6–1#tehran , iran#2008 waff championship
13 - aug - 08#w#2–0#tehran , iran#2008 waff championship
15 - aug - 08#w#2–1#tehran , iran#2008 waff championship
27 - aug - 08#w#1–0#tehran , iran#friendly
06 - sep - 08#d#1–1#riyadh , saudi arabia#2010 world cup qualifier
15 - oct - 08#w#2–1#tehran , iran#2010 world cup qualifier
09 - nov - 08#w#1–0#doha , qatar#friendly
19 - nov - 08#d#1–1#abu dhabi , united arab emirates#2010 world cup qualifier
16 - dec - 08#l#0–1#muscat , oman#2008 oman cup
18 - dec - 08#w#2–0#muscat , oman#2008 oman cup
09 - jan - 09#w#3–1#tehran , iran#friendly
14 - jan - 09#w#6–0#tehran , iran#2011 asian cup qualifier
28 - jan - 09#d#0–0#bangkok , thailand#2011 asian cup qualifier
11 - feb - 09#d#1–1#tehran , iran#2010 world cup qualifier
14 - mar - 09#w#1–0#tehran , iran#friendly
23 - mar - 09#w#1–0#kuwait city , kuwait#friendly
28 - mar - 09#l#1–2#tehran , iran#2010 world cup qualifier
01 - apr - 09#d#1–1#tehran , iran#friendly
01 - jun - 09#l#0–1#qinhuangdao , china#friendly
06 - jun - 09#d#0–0#pyongyang , north korea#2010 world cup qualifier
10 - jun - 09#w#1–0#tehran , iran#2010 world cup qualifier
17 - jun - 09#d#1–1#seoul , south korea#2010 world cup qualifier
05 - jul - 09#d#1–1#gaborone , botswana#friendly
12 - aug - 09#w#3–2#sarajevo , bosnia and herzegovina#friendly
31 - aug - 09#l#2–4#riffa , bahrain#friendly
05 - sep - 09#d#0–0#tashkent , uzbekistan#friendly
10 - nov - 09#w#1–0#tehran , iran#friendly
14 - nov - 09#w#1–0#tehran , iran#2011 asian cup qualifier
18 - nov - 09#d#1–1#tehran , iran#friendly
22 - nov - 09#l#0–1#amman , jordan#2011 asian cup qualifier
28 - dec - 09#l#2–3#doha , qatar#2010 qatar friendship cup
30 - dec - 09#l#1–2#doha , qatar#2010 qatar friendship cup
