year#round#pick#overall#position#nfl team
1977#2#11#39#t#green bay packers
1977#4#25#109#t#new england patriots
1977#5#20#132#lb#pittsburgh steelers
1977#10#14#265#lb#san diego chargers
1978#1#15#15#k#st. louis cardinals
1978#6#6#144#g#green bay packers
1979#1#4#4#dt#chicago bears
1979#3#4#60#rb#tampa bay buccaneers
1979#4#9#91#db#cincinnati bengals
1979#4#12#94#rb#philadelphia eagles
1979#12#2#305#rb#kansas city chiefs
1980#5#10#120#c#detroit lions
1980#11#14#291#lb#oakland raiders
1980#11#17#294#rb#cleveland browns
1980#12#27#332#qb#los angeles rams
1981#5#23#134#p#cleveland browns
1981#6#24#162#wr#san diego chargers
1981#8#22#215#db#new orleans saints
1981#9#17#238#db#detroit lions
1981#10#11#259#db#baltimore colts
1982#12#16#322#lb#washington redskins
1983#1#5#5#lb#san diego chargers
1983#1#20#20#rb#san diego chargers
1983#2#10#38#c#new orleans saints
1983#4#11#95#db#san diego chargers
1983#7#20#188#rb#green bay packers
1984#1#15#15#de#new york jets
1984#9#11#235#wr#minnesota vikings
1984 s#3#23#79#t#pittsburgh steelers
1985#12#4#312#t#indianapolis colts
1986#2#26#53#db#new york giants
1986#5#3#113#lb#washington redskins
1986#5#16#126#wr#seattle seahawks
1986#5#17#127#lb#cleveland browns
1986#5#26#136#db#miami dolphins
1987#5#27#139#p#cincinnati bengals
1987#12#10#317#te#pittsburgh steelers
1989#1#19#19#de#new orleans saints
1989#1#20#20#db#denver broncos
1989#2#27#55#g#cincinnati bengals
1989#4#5#89#lb#cincinnati bengals
1989#7#22#189#db#chicago bears
1989#9#11#234#k#phoenix cardinals
1989#9#20#243#lb#chicago bears
1990#5#19#128#rb#pittsburgh steelers
1990#8#7#200#rb#chicago bears
1990#8#23#216#g#los angeles rams
1990#12#6#310#db#chicago bears
1991#4#6#89#wr#denver broncos
1993#4#11#95#de#san diego chargers
1994#1#26#26#dt#houston oilers
1994#2#14#43#g#san diego chargers
1996#3#11#72#lb#pittsburgh steelers
1996#5#23#155#dt#san diego chargers
1996#7#22#231#rb#san diego chargers
1997#5#30#160#lb#green bay packers
1997#6#8#171#qb#new york giants
1998#7#46#235#de#oakland raiders
1999#3#2#63#g#indianapolis colts
1999#4#25#120#db#minnesota vikings
1999#6#33#202#de#arizona cardinals
1999#7#1#207#rb#cleveland browns
1999#7#6#212#db#carolina panthers
1999#7#19#225#dt#new york giants
2000#2#14#45#db#denver broncos
2000#2#30#61#g#philadelphia eagles
2000#4#8#102#db#arizona cardinals
2000#4#20#114#wr#green bay packers
2000#6#30#196#wr#jacksonville jaguars
2001#2#24#55#lb#philadelphia eagles
2001#6#4#167#de#atlanta falcons
2002#4#2#100#db#carolina panthers
2002#7#29#240#db#tennessee titans
2003#2#10#42#db#seattle seahawks
2004#1#16#16#g#philadelphia eagles
2004#1#25#25#db#green bay packers
2004#3#17#80#lb#cincinnati bengals
2004#4#32#128#rb#new england patriots
2004#5#28#160#lb#miami dolphins
2004#6#12#177#t#pittsburgh steelers
2005#1#21#21#wr#jacksonville jaguars
2005#5#23#159#lb#seattle seahawks
2005#7#46#254#db#san francisco 49ers
2007#1#8#8#de#atlanta falcons
2007#2#9#41#db#atlanta falcons
2007#2#10#42#t#indianapolis colts
2007#5#36#173#db#indianapolis colts
2007#7#38#248#dt#st. louis rams
2008#1#4#4#rb#oakland raiders
2008#1#22#22#rb#dallas cowboys
2008#3#27#90#dt#chicago bears
2008#7#4#211#t#new york jets
2008#7#20#227#fb#denver broncos
2008#7#41#248#wr#chicago bears
2009#4#6#106#c#cincinnati bengals
2010#3#13#77#wr#tennessee titans
2010#5#16#147#g#new york giants
2011#3#10#74#qb#new england patriots
2011#5#10#141#te#green bay packers
2011#6#3#168#t#minnesota vikings
2012#3#27#90#de#new england patriots
2012#4#9#104#wr#carolina panthers
2012#4#23#118#wr#minnesota vikings
2012#4#39#134#wr#minnesota vikings
2013#3#34#96#rb#kansas city chiefs
2013#4#15#112#qb#oakland raiders
2013#6#29#197#wr#cincinnati bengals
2013#7#16#222#te#buffalo bills
